Index;Consumption [kWh/h]
1;2363,56
2;2327,64
3;2317,90
4;2313,20
5;2308,29
6;2300,60
7;2297,32
8;2296,39
9;2295,03
10;2287,60
11;2286,59
12;2286,16
13;2284,36
14;2284,35
15;2284,11
16;2284,06
17;2283,86
18;2283,73
19;2283,42
20;2283,23
21;2282,74
22;2282,10
23;2281,21
24;2280,00
25;2278,70
26;2277,76
27;2276,14
28;2276,00
29;2274,25
30;2273,88
31;2273,84
32;2273,69
33;2272,75
34;2272,65
35;2272,46
36;2270,90
37;2269,90
38;2268,91
39;2268,90
40;2268,89
41;2267,98
42;2267,54
43;2266,74
44;2266,46
45;2264,67
46;2264,13
47;2263,84
48;2262,75
49;2260,76
50;2260,70
51;2260,33
52;2260,21
53;2260,12
54;2260,10
55;2259,90
56;2258,40
57;2257,95
58;2257,31
59;2255,13
60;2254,92
61;2254,05
62;2253,63
63;2253,14
64;2252,92
65;2252,62
66;2252,07
67;2251,41
68;2251,35
69;2251,18
70;2247,70
71;2247,01
72;2246,93
73;2246,77
74;2245,86
75;2244,99
76;2243,94
77;2243,15
78;2242,74
79;2242,42
80;2241,96
81;2241,70
82;2241,52
83;2241,14
84;2241,02
85;2239,94
86;2239,90
87;2239,73
88;2239,62
89;2239,18
90;2238,68
91;2238,54
92;2238,21
93;2238,07
94;2237,53
95;2237,22
96;2236,59
97;2236,39
98;2236,16
99;2236,15
100;2233,88
101;2233,79
102;2233,75
103;2233,75
104;2233,62
105;2232,57
106;2231,94
107;2230,71
108;2229,84
109;2229,25
110;2229,01
111;2227,04
112;2226,07
113;2225,61
114;2225,46
115;2224,88
116;2223,78
117;2220,95
118;2220,79
119;2218,25
120;2218,03
121;2217,19
122;2215,55
123;2213,04
124;2212,83
125;2210,93
126;2210,87
127;2209,88
128;2202,32
129;2195,59
130;2191,60
131;2189,71
132;2186,76
133;2111,98
134;2109,78
135;2106,42
136;2106,32
137;2104,30
138;2102,19
139;2101,05
140;2100,34
141;2095,89
142;2091,48
143;2091,38
144;2091,11
145;2090,49
146;2090,29
147;2088,44
148;2087,79
149;2085,78
150;2085,67
151;2085,51
152;2083,54
153;2083,13
154;2082,79
155;2082,46
156;2081,89
157;2081,14
158;2081,09
159;2081,02
160;2080,75
161;2079,39
162;2078,46
163;2078,12
164;2077,71
165;2076,63
166;2076,37
167;2076,21
168;2076,14
169;2075,68
170;2075,13
171;2074,03
172;2073,88
173;2073,72
174;2073,71
175;2073,63
176;2073,05
177;2072,81
178;2072,65
179;2072,41
180;2072,38
181;2070,91
182;2070,72
183;2070,48
184;2070,34
185;2069,39
186;2069,39
187;2068,65
188;2068,62
189;2067,65
190;2067,13
191;2066,67
192;2065,80
193;2065,72
194;2064,22
195;2063,59
196;2063,22
197;2062,83
198;2062,82
199;2062,27
200;2061,89
201;2061,30
202;2061,17
203;2059,84
204;2059,26
205;2059,10
206;2058,83
207;2058,70
208;2058,44
209;2058,23
210;2057,66
211;2056,55
212;2056,20
213;2055,58
214;2055,35
215;2055,21
216;2054,89
217;2054,37
218;2053,21
219;2052,84
220;2051,99
221;2049,18
222;2047,66
223;2047,50
224;2047,34
225;2046,82
226;2045,56
227;2045,49
228;2044,75
229;2044,15
230;2043,53
231;2043,30
232;2043,14
233;2042,89
234;2042,83
235;2042,55
236;2042,27
237;2041,59
238;2041,57
239;2041,42
240;2040,09
241;2040,03
242;2039,70
243;2039,62
244;2039,13
245;2038,54
246;2038,26
247;2035,11
248;2032,52
249;2031,02
250;2030,59
251;2026,88
252;2026,56
253;2025,94
254;2025,92
255;2024,30
256;2023,57
257;2022,67
258;2019,71
259;2018,69
260;2018,32
261;2017,93
262;2016,44
263;2016,31
264;2014,80
265;2010,79
266;2009,20
267;2009,06
268;2008,67
269;2007,09
270;2006,72
271;2005,72
272;2005,44
273;2004,09
274;2003,37
275;2002,85
276;2002,66
277;2002,18
278;2002,07
279;2000,17
280;1999,38
281;1999,26
282;1998,36
283;1994,74
284;1993,25
285;1992,60
286;1991,74
287;1990,56
288;1989,49
289;1988,61
290;1988,19
291;1987,37
292;1985,75
293;1984,63
294;1983,65
295;1983,45
296;1983,43
297;1983,42
298;1982,19
299;1981,11
300;1980,75
301;1980,65
302;1980,34
303;1979,54
304;1978,40
305;1976,33
306;1975,84
307;1975,39
308;1975,35
309;1975,02
310;1975,01
311;1974,99
312;1974,60
313;1973,90
314;1973,48
315;1973,14
316;1972,70
317;1971,73
318;1970,49
319;1970,47
320;1970,09
321;1969,36
322;1969,34
323;1968,75
324;1968,73
325;1968,64
326;1968,35
327;1968,33
328;1968,27
329;1968,05
330;1967,90
331;1967,42
332;1966,56
333;1966,53
334;1966,26
335;1965,84
336;1965,70
337;1965,43
338;1965,34
339;1965,32
340;1965,07
341;1964,81
342;1964,32
343;1964,28
344;1963,76
345;1963,54
346;1963,41
347;1963,19
348;1962,01
349;1961,86
350;1960,59
351;1960,40
352;1960,07
353;1960,01
354;1960,00
355;1959,21
356;1959,06
357;1958,84
358;1958,79
359;1958,41
360;1958,11
361;1958,05
362;1958,00
363;1957,96
364;1957,68
365;1957,66
366;1957,62
367;1956,87
368;1956,43
369;1956,34
370;1956,32
371;1955,70
372;1955,27
373;1955,20
374;1954,99
375;1954,91
376;1954,86
377;1954,70
378;1954,46
379;1954,20
380;1954,16
381;1953,56
382;1953,42
383;1953,32
384;1953,32
385;1953,31
386;1953,21
387;1953,11
388;1952,75
389;1952,54
390;1952,46
391;1952,38
392;1952,19
393;1952,06
394;1951,61
395;1951,50
396;1951,22
397;1951,19
398;1950,90
399;1950,75
400;1950,37
401;1950,29
402;1950,07
403;1949,90
404;1949,35
405;1949,11
406;1949,11
407;1948,73
408;1948,48
409;1948,36
410;1948,27
411;1947,79
412;1947,78
413;1947,64
414;1947,27
415;1947,23
416;1947,10
417;1946,51
418;1946,11
419;1946,03
420;1945,95
421;1945,94
422;1945,54
423;1945,15
424;1944,06
425;1943,53
426;1943,39
427;1943,35
428;1943,07
429;1943,05
430;1943,04
431;1942,73
432;1942,42
433;1942,06
434;1941,93
435;1941,90
436;1941,86
437;1941,84
438;1941,76
439;1941,04
440;1940,97
441;1940,93
442;1940,54
443;1939,99
444;1939,75
445;1939,75
446;1939,63
447;1939,31
448;1939,26
449;1939,25
450;1939,14
451;1939,03
452;1938,98
453;1938,93
454;1938,74
455;1938,72
456;1938,28
457;1938,00
458;1936,94
459;1936,82
460;1936,37
461;1936,01
462;1935,99
463;1935,95
464;1935,85
465;1935,11
466;1935,03
467;1934,58
468;1934,30
469;1933,92
470;1933,54
471;1933,45
472;1933,34
473;1932,97
474;1932,44
475;1932,31
476;1932,13
477;1930,91
478;1930,82
479;1930,81
480;1930,79
481;1930,47
482;1930,44
483;1930,39
484;1930,31
485;1929,61
486;1929,42
487;1929,09
488;1928,87
489;1928,47
490;1928,25
491;1927,74
492;1927,59
493;1927,31
494;1926,39
495;1925,93
496;1925,89
497;1925,85
498;1925,56
499;1924,78
500;1924,66
501;1924,27
502;1923,39
503;1922,82
504;1920,08
505;1920,02
506;1917,96
507;1917,18
508;1916,47
509;1916,33
510;1915,89
511;1915,56
512;1915,43
513;1914,70
514;1914,17
515;1913,19
516;1912,39
517;1911,47
518;1910,24
519;1909,98
520;1909,50
521;1909,09
522;1908,21
523;1907,69
524;1906,17
525;1906,08
526;1905,93
527;1904,36
528;1903,84
529;1903,58
530;1901,42
531;1901,15
532;1900,37
533;1900,00
534;1898,93
535;1898,35
536;1892,73
537;1892,42
538;1891,33
539;1888,45
540;1888,28
541;1887,97
542;1885,95
543;1885,68
544;1885,01
545;1883,64
546;1883,00
547;1882,99
548;1882,00
549;1881,76
550;1881,73
551;1881,01
552;1880,74
553;1880,18
554;1879,51
555;1878,73
556;1878,51
557;1878,03
558;1878,00
559;1877,65
560;1877,14
561;1875,38
562;1875,30
563;1875,14
564;1874,27
565;1873,81
566;1872,37
567;1872,07
568;1871,87
569;1871,33
570;1871,28
571;1871,13
572;1871,06
573;1870,20
574;1869,81
575;1867,04
576;1866,88
577;1866,52
578;1866,52
579;1865,50
580;1864,33
581;1863,85
582;1863,42
583;1863,08
584;1862,72
585;1862,71
586;1862,47
587;1862,35
588;1862,00
589;1861,86
590;1860,21
591;1859,55
592;1858,95
593;1858,72
594;1858,64
595;1858,57
596;1857,81
597;1857,75
598;1857,61
599;1857,50
600;1857,44
601;1856,54
602;1855,66
603;1855,40
604;1854,71
605;1854,06
606;1853,72
607;1853,28
608;1852,94
609;1852,58
610;1852,13
611;1851,41
612;1851,36
613;1850,97
614;1850,47
615;1850,07
616;1849,68
617;1849,53
618;1848,14
619;1848,13
620;1846,33
621;1846,25
622;1846,01
623;1845,66
624;1845,63
625;1845,05
626;1844,86
627;1844,72
628;1842,83
629;1842,47
630;1842,45
631;1841,04
632;1839,73
633;1839,36
634;1838,93
635;1838,17
636;1838,01
637;1837,61
638;1837,39
639;1836,95
640;1836,02
641;1835,07
642;1833,12
643;1832,60
644;1832,58
645;1832,53
646;1831,30
647;1829,72
648;1829,72
649;1825,27
650;1821,73
651;1821,04
652;1818,42
653;1817,63
654;1816,47
655;1816,20
656;1814,78
657;1812,52
658;1811,67
659;1808,89
660;1808,67
661;1804,75
662;1803,10
663;1801,09
664;1800,90
665;1800,68
666;1798,44
667;1796,71
668;1794,70
669;1792,46
670;1791,04
671;1790,84
672;1790,18
673;1789,82
674;1789,68
675;1788,36
676;1787,73
677;1787,40
678;1786,82
679;1785,55
680;1784,33
681;1783,16
682;1782,99
683;1782,71
684;1782,65
685;1782,53
686;1782,38
687;1781,87
688;1781,06
689;1780,85
690;1780,55
691;1780,48
692;1778,31
693;1778,24
