======================== Summary ========================

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 4 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3020)
Excluded 130 buildings from processing (reason: Missing year of construction)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2054)


================ Excluded buildings lists ===============

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002bng;287,79;88,88;384554,40850;5820878,07500;-
DEBE3D04YY50002cFP;170,32;62,15;384835,39600;5820580,38750;-
DEBE3D04YY50002bpa;18,69;6,68;384833,35850;5820569,98150;-
DEBE3D00YY1Y50004M;659,17;29,73;384752,67450;5820482,64600;-
DEBE3D00YY1Y50004P;624,50;24,54;384740,13300;5820498,71450;-
DEBE3D04YY50002ceG;405,32;24,82;384591,25900;5820709,38200;-
DEBE3D04YY50002blL;62,21;17,58;384969,10700;5820613,45400;-


Excluded 4 buildings from processing (reason: Building seems to be too low and has 0 storey.)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002cQp;3,26;3,20;384570,09550;5820770,87550;-
DEBE3D04YY50002bU7;0,79;5,90;384684,21850;5820813,98750;-
DEBE3D04YY50000Awx;37,44;78,57;384592,70600;5820718,66750;-
DEBE3D04YY50002auP;10118,33;7868,05;384998,99200;5820515,61000;-


Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2460)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000PbF;1126,14;84,51;384578,22700;5820551,29800;-
DEBE3D04YY50000R2f;175,30;58,42;384743,96700;5820819,54450;-
DEBE3D04YY50000A3t;147,01;59,12;384785,37600;5820931,59300;-
DEBE3D04YY500004c9;93,05;48,39;384748,75150;5820497,29100;-
DEBE3D04YY50000GQP;235,86;94,77;384681,58200;5820607,90300;-
DEBE3D04YY50000LDg;139,70;58,48;384698,22050;5820596,12550;-
DEBE3D04YY5000065F;200,36;79,52;384780,85750;5820933,78850;-
DEBE3D04YY50000JjD;161,80;73,32;384750,96650;5820842,93050;-


Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3020)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY500005tB;87,05;31,58;384834,44500;5820571,77650;-


Excluded 130 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000DSL;3077,51;296,37;384606,49400;5820383,11550;-
DEBE3D04YY50002cVL;54,87;3,49;384903,56600;5820875,42100;-
DEBE3D04YY50000A3p;343,16;84,57;384993,09900;5820960,82350;-
DEBE3D04YY50000Ibr;4186,95;203,73;384903,79050;5820142,49550;-
DEBE3D04YY50002btm;67,03;15,79;384445,48450;5820113,27750;-
DEBE3D04YY50002cb6;202,81;51,61;384984,28100;5820962,91300;-
DEBE3D04YY500001jd;2435,21;297,54;384451,78350;5820134,20500;-
DEBE3D04YY50000R3Q;4917,41;218,02;384873,39550;5820216,70300;-
DEBE3D04YY50000RJP;4964,91;220,32;384891,56250;5820209,52000;-
DEBE3D04YY50000N5d;9904,98;499,02;384868,50550;5820329,95150;-
DEBE3D04YY50000Q3t;30,70;14,51;384588,00100;5820046,83200;-
DEBE3D04YY50000QgJ;8413,68;396,55;384706,14150;5820304,52350;-
DEBE3D04YY500002uy;117,31;8,99;384520,84200;5820709,43450;-
DEBE3D04YY50000Dkg;6544,34;279,08;384686,19750;5820294,58750;-
DEBE3DATKB100008VA;46,16;0,00;384360,12600;5820990,98050;-
DEBE3D04YY50002cbt;85,97;22,78;384482,22250;5820006,61850;-
DEBE3D04YY500005qh;4518,76;208,15;384891,28850;5820249,64600;-
DEBE3D04YY50000CFB;131,11;46,82;384320,94600;5820009,16800;-
DEBE3D04YY50002bxx;11,82;3,47;384874,07100;5820149,46200;-
DEBE3D04YY50002cAU;2459,66;179,26;384645,04700;5820273,53150;-
DEBE3D04YY50000AwI;4064,45;192,68;384822,28300;5820019,86850;-
DEBE3D04YY500004Nu;4747,77;211,65;384838,21900;5820233,03300;-
DEBE3D04YY500009Ah;394,58;66,55;384456,32300;5820026,79100;-
DEBE3D04YY500005bW;5326,67;229,80;384701,75550;5820194,27250;-
DEBE3D04YY50002crQ;415,01;22,62;384922,61400;5820077,17200;-
DEBE3D04YY500003zn;6121,27;269,46;384905,20600;5820330,51350;-
DEBE3D04YY50000KLb;110,80;64,61;384941,29500;5820302,57850;-
DEBE3D04YY50000R68;3552,26;175,13;384935,26250;5820282,22700;-
DEBE3D04YY500006ls;716,34;241,54;384861,00300;5820186,03750;-
DEBE3D04YY500001ZD;4243,88;304,30;384431,82050;5820104,65950;-
DEBE3D04YY50000K83;1710,58;85,02;384588,13800;5820099,25850;-
DEBE3D04YY50002cqa;13,46;3,59;384292,33700;5820011,94550;-
DEBE3D04YY500007nt;46,28;15,41;384466,38200;5820990,09950;-
DEBE3D04YY50002cQh;54,76;17,23;384897,86050;5820924,08550;-
DEBE3D04YY50000HtE;269,31;84,23;384864,28500;5820161,24650;-
DEBE3D04YY50000Gdk;3554,19;201,13;385003,38500;5820149,30950;-
DEBE3D04YY5000037N;4173,78;194,91;384833,33550;5820928,50700;-
DEBE3D04YY500000vS;6806,80;279,90;384660,31350;5820097,66250;-
DEBE3D04YY500002Pn;8040,29;575,84;384647,12200;5820243,67300;-
DEBE3D04YY50000BWY;4800,09;213,23;384672,11350;5820300,55500;-
DEBE3D04YY50002coK;244,27;44,29;384091,48850;5820311,26650;-
DEBE3D04AL5e30000K;64,71;26,55;384175,94500;5820048,97100;-
DEBE3DATKB100008VE;93,93;0,00;384406,71400;5820676,18150;-
DEBE3D04YY50000HgO;4948,80;218,39;384705,60600;5820092,82200;-
DEBE3D04YY50002br6;242,16;58,74;384848,54400;5820107,83050;-
DEBE3D04YY50002cg6;3,46;5,44;384339,67350;5820001,27800;-
DEBE3D04YY50000Ptt;562,25;144,02;384870,47050;5820158,77300;-
DEBE3D04YY50000JQ4;3268,81;191,85;384858,36050;5820260,49400;-
DEBE3D04YY50000F4L;3354,19;169,19;385003,00850;5820120,35350;-
DEBE3D04YY50000Gtj;13735,20;624,62;384899,48450;5820951,36550;-
DEBE3D04YY50000Qdy;4263,97;230,15;384991,43850;5820032,77100;-
DEBE3D04YY500003nQ;1537,80;307,55;384512,78300;5820134,61300;-
DEBE3D04AL5e30000G;5027,52;235,88;384165,22350;5820042,31550;-
DEBE3D04YY50000CmK;881,56;285,01;384586,88800;5820079,95050;-
DEBE3D04YY500006R0;184,68;64,45;384718,80750;5820215,66250;-
DEBE3D04YY500009iU;95,26;37,53;384907,31500;5820170,08450;-
DEBE3D04YY50000NHL;164,73;66,05;384916,60650;5820170,59150;-
DEBE3D04YY50000IeG;8805,07;400,43;384599,87250;5820119,04100;-
DEBE3D04YY50002baL;19,99;41,55;384512,43850;5820351,90450;-
DEBE3D04YY50000Fnx;218,49;68,24;384595,62550;5820106,72900;-
DEBE3D04YY500001Sk;1492,38;64,20;384832,33450;5820358,62900;-
DEBE3D04YY50000EzX;5417,43;329,53;384722,37400;5820182,95600;-
DEBE3D04YY500006sZ;2144,18;160,46;384477,16450;5820080,55100;-
DEBE3D04YY50000BBT;965,89;152,08;384953,75750;5820832,62450;-
DEBE3D04YY50000PVY;3379,97;173,04;384970,42650;5820118,31700;-
DEBE3D04YY5000025z;4884,99;215,13;384855,44350;5820223,80100;-
DEBE3D04YY500008gK;4847,96;230,52;384920,82400;5820325,70450;-
DEBE3D04YY50000G4a;1698,27;129,74;384933,66450;5820098,21750;-
DEBE3DATKBDR0000X9;68,44;0,00;384396,51900;5820982,67200;-
DEBE3D04YY50000KSa;100,78;18,36;384867,33000;5820933,18350;-
DEBE3D04YY50002c04;114,95;7,45;384890,40100;5820091,84750;-
DEBE3DATKB100008Uy;48,23;0,00;384241,58150;5820749,38000;-
DEBE3D04YY50002bj7;225,45;48,78;384888,41200;5820961,68400;-
DEBE3D04YY50000Ei2;212,79;80,34;384763,15900;5820064,24300;-
DEBE3D04YY50000BpD;31,59;14,94;384857,25000;5820333,24700;-
DEBE3D04YY500001fL;4785,93;251,07;384897,59950;5820012,22650;-
DEBE3D04YY500001wn;14031,99;595,93;384738,33000;5820359,85150;-
DEBE3DATKB100007pv;2287,39;0,00;384664,48150;5820432,75300;-
DEBE3DATKB100008V1;89,55;0,00;384320,63450;5820956,79850;-
DEBE3D04YY500005Jv;2727,52;191,65;384965,23350;5820080,40250;-
DEBE3D04YY50002bxT;9,79;2,50;384997,83950;5820981,17100;-
DEBE3D04YY500003rP;4553,12;212,10;384842,94250;5820268,68250;-
