## SimStadt DIN18599 Monthly Energy Balance
#
# Weather data source;PVGIS v5_1 - SARAH - From 2005 to 2016 hourly interpolated with Insel
# Location;N52_6__E13_4
# Coordinate reference system;EPSG:25833
# Latitude;52,52;°
# Longitude;13,31;°
# Radiation model;pvgis_SARAH_2005_2016_Hay
# Calculation Mode;HEATING
# Consumer behaviour;IWU_NUTZUNG
#
# Building physics library;German Building Typology Library IWU (http://www.iwu.de)
# Building usage library;Building Usage Library (based on UsageLibrary.xlsx, sheet: Germany)
# Has custom building usage codes?;false
#
# SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
# Created at;2024/08/08 15:45:12
# Cache version;7
#
GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total sharedwall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Specific space heating demand;Total Yearly Heat+DHW demand;January Heating Demand;February Heating Demand;March Heating Demand;April Heating Demand;May Heating Demand;June Heating Demand;July Heating Demand;August Heating Demand;September Heating Demand;October Heating Demand;November Heating Demand;December Heating Demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBE3D04YY50000B0s;;52,52202;13,30565;385043,86;5820450,35;LOD2;1905;;Original;2612;non-heated;17,8;none;0,0;EFH;22,2;51,5;0,0;56,4;0,0;22,2;60,9;false;55,8;2,8;2,83;1;2,6;0;0;NO_ROOM;NOT_HEATED;0,2;1,652;17,8;1,40;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY500004G4;;52,52446;13,30557;385045,24;5820721,43;LOD2;1905;;Original;1010;residential;4072,1;none;0,0;GMH;611,0;2617,7;0,0;2737,6;0,0;658,1;13336,2;false;12725,2;22,0;18,94;7;3,0;65;92;HEATED;NOT_HEATED;1,0;0,300;4072,1;1,86;15,8;101,7;478586;96668;77887;53597;10207;368;0;0;0;421;25316;62438;87183
DEBE3D04YY50000MGa;;52,52176;13,31336;385566,83;5820409,69;LOD2;2013;;Original;2140;hall;547,7;none;0,0;MFH;159,6;496,6;0,0;511,1;0,0;162,7;1882,8;false;1711,6;12,6;11,10;4;2,7;0;0;NOT_HEATED;NOT_HEATED;0,3;0,442;547,7;0,40;non calculated;68,3;37391;7911;6474;4911;1520;177;3;0;1;343;3124;5620;7308
DEBE3D04YY50000HNE;;52,52477;13,30734;385166,10;5820753,73;LOD2;1900;;Original;1010;residential;1227,0;none;0,0;GMH;256,6;1053,7;0,0;1124,6;0,0;304,1;4456,4;false;4199,8;19,1;15,53;6;3,0;20;33;HEATED;NOT_HEATED;1,0;0,378;1227,0;1,86;15,8;129,8;178733;37614;30118;20531;4074;152;0;0;0;134;9079;23803;33794
DEBE3D04YY500009qX;;52,52156;13,31263;385516,61;5820388,58;LOD2;2013;;Original;2140;hall;638,8;none;0,0;RH;782,9;253,1;0,0;297,7;0,0;782,9;2329,1;false;1996,4;3,0;2,98;1;2,6;0;0;NO_ROOM;NOT_HEATED;0,4;0,799;638,8;0,32;non calculated;99,3;63406;11936;10108;8580;4194;1459;107;0;46;1693;5620;8679;10984
DEBE3D04YY50000M6k;;52,52379;13,31192;385474,11;5820637,58;LOD2;1925;;Original;2111;industry;1338,5;none;0,0;RH;726,3;518,2;0,0;518,2;0,0;726,3;2833,3;false;2833,3;3,9;3,90;2;2,0;0;0;NO_ROOM;NO_ROOM;0,0;0,696;1338,5;1,06;32,9;43,7;102449;16306;12685;6677;264;0;0;0;0;0;983;7851;13700
DEBE3D04YY50000PMr;;52,52201;13,30648;385100,44;5820447,87;LOD2;2013;;Original;1010;residential;2369,4;none;0,0;GMH;326,9;1411,9;0,0;1411,9;274,5;326,9;7404,4;false;7404,4;22,7;22,65;9;2,5;38;60;NO_ROOM;NO_ROOM;0,0;0,279;2369,4;0,82;15,8;52,9;162821;28808;23515;16689;3584;202;1;0;0;217;7820;18572;25882
DEBE3D04YY50000KUA;;52,52497;13,30787;385202,68;5820774,49;LOD2;1900;;Original;2523;industry;46,8;none;0,0;EFH;18,7;135,7;0,0;146,9;0,0;18,7;158,2;false;146,1;8,4;8,44;3;2,6;0;0;NO_ROOM;NOT_HEATED;0,6;1,165;46,8;1,68;32,9;163,0;9158;2093;1640;934;39;0;0;0;0;0;113;1033;1769
DEBE3D04YY50000JC1;;52,52643;13,31064;385394,19;5820932,63;LOD2;1900;;Original;2130;retail;22,1;none;0,0;EFH;28,1;54,2;0,0;73,7;0,0;28,2;94,8;false;69,0;3,5;3,52;1;2,6;0;0;NO_ROOM;NOT_HEATED;0,9;1,372;22,1;1,35;73,0;296,7;8163;1528;1255;903;205;1;0;0;0;0;363;944;1352
