======================== Summary ========================

Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2620)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2621)
Excluded 13 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 1 buildings from processing (reason: Building volume is smaller than required (0.0 m³))
Excluded 176 buildings from processing (reason: Missing year of construction)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2000)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2540)


================ Excluded buildings lists ===============

Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2620)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000Out;345,50;114,94;385391,56400;5821013,75550;-


Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2621)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000Nti;46,19;19,05;385021,19800;5821380,46550;-


Excluded 13 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002cL7;31,88;11,28;385084,30750;5821375,05050;-
DEBE3D04YY50002btv;105,11;20,28;385200,49100;5821119,10500;-
DEBE3D04YY50002cGe;24,20;8,45;385081,24400;5821422,33200;-
DEBE3D04YY50002bzH;31,54;11,31;385093,24350;5821342,26150;-
DEBE3D04YY50002ciJ;31,67;11,61;385101,22150;5821256,95550;-
DEBE3D04YY50002d0K;30,61;10,53;385102,88800;5821240,08550;-
DEBE3D04YY50002coP;150,98;42,15;385393,79000;5821009,10850;-
DEBE3D04YY50002bX7;111,39;23,24;385175,10000;5821059,45950;-
DEBE3D04YY50002co9;31,40;10,99;385097,78350;5821290,79450;-
DEBE3D04YY50002bf6;29,32;10,43;385099,43550;5821273,81500;-
DEBE3D04YY50002cOx;36,55;2,86;385185,85400;5821189,47450;-
DEBE3D04YY50002cal;33,31;11,69;385079,89400;5821391,40550;-
DEBE3D04YY50002c2v;20,52;6,91;385088,27500;5821361,48750;-


Excluded 1 buildings from processing (reason: Building volume is smaller than required (0.0 m³))

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002cEf;0,00;3,59;385847,52250;5821502,26850;-


Excluded 176 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002cZf;351,51;73,09;385269,07550;5821455,20950;-
DEBE3D01YYK0003U9a;43,65;10,87;385673,93600;5821774,31950;-
DEBE3D00YYNv0000C7;77,43;25,82;385104,94150;5821134,49000;-
DEBE3D01YYK0002KW0;815,03;213,65;385836,04000;5821064,62000;-
DEBE3D04YY50002c7c;35,52;3,51;385670,36550;5821454,78050;-
DEBE3D04YY50000Mw0;239,35;65,44;385144,13550;5821429,44800;-
DEBE3D00YY1Tj0002B;5827,90;395,65;385048,55750;5821521,51000;-
DEBE3D01YYK0002Kow;4950,91;239,04;385843,78250;5821323,65500;-
DEBE3D04YY50000FEZ;89,02;30,31;385390,19450;5821330,51700;-
DEBE3D04YY50000BpB;19,29;7,18;385077,83800;5821776,39050;-
DEBE3D01YYK0002TpP;94,99;25,78;385804,68850;5821082,65050;-
DEBE3D01YYK0002OVm;2894,49;329,04;385682,56800;5821712,71400;-
DEBE3D04YY500002Dk;107,20;30,24;385166,24750;5821805,94700;-
DEBE3D04YY50002czp;247,27;55,06;385777,04250;5821410,60050;-
DEBE3D04YY50000EEG;531,28;132,76;385161,27200;5821757,86750;-
DEBE3D01YYK0002UA5;12554,78;570,52;385975,13000;5821202,62100;-
DEBE3D01YYK0003VI3;237,42;74,07;385717,83800;5821134,04250;-
DEBE3D04YY50002c8F;2755,43;443,11;385740,48950;5821470,91650;-
DEBE3D01YYK0002PjT;16,98;6,20;385601,82750;5821750,93000;-
DEBE3D04YY50002ca0;278,16;54,00;385234,46800;5821400,94600;-
DEBE3D01YYK0002NPG;161,98;36,32;385954,12850;5821574,16600;-
DEBE3D00YY1Zy000DL;43,09;9,60;385700,24750;5821411,77700;-
DEBE3D01YYK0003UOZ;353,93;98,59;385714,52400;5821151,36050;-
DEBE3D04YY50002cHu;68,48;14,36;385212,50300;5821417,86800;-
DEBE3D00YYdM00008y;253,69;53,88;385183,63200;5821344,57000;-
DEBE3D01YYK0002P8P;4208,66;226,56;385888,50500;5821194,47250;-
DEBE3D04YY50002aTJ;2746,59;97,97;385343,04500;5821388,72350;-
DEBE3D01YYK0002SlL;1365,02;440,06;386014,77200;5821609,56450;-
DEBE3D04YY50002cUy;476,77;98,46;385058,68900;5821029,08200;-
DEBE3D00YY2mK0001n;43,88;10,84;385716,71100;5821219,96650;-
DEBE3D01YYK0002VKW;5,00;4,29;385929,52950;5821966,85500;-
