# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.1	13.0
2	3.3	12.9
3	3.5	12.8
4	3.6	12.7
5	3.6	12.6
6	3.7	12.5
7	3.8	12.5
8	5.4	12.4
9	5.3	12.4
10	4.8	12.3
11	4.2	12.2
12	3.8	11.9
13	3.5	11.9
14	3.4	11.9
15	3.4	11.8
16	3.6	11.8
17	3.8	11.7
18	4.1	11.6
19	4.4	11.6
20	4.6	11.5
21	4.8	11.5
22	5.1	11.5
23	5.4	11.5
24	5.6	11.5
25	4.5	11.5
26	5.0	11.4
27	5.6	11.4
28	5.9	11.4
29	6.2	11.4
30	6.5	11.3
31	6.7	11.3
32	8.5	11.3
33	8.5	11.3
34	7.8	11.3
35	7.2	11.2
36	6.6	11.2
37	6.3	11.2
38	6.2	11.2
39	6.2	11.2
40	6.5	11.2
41	7.0	11.2
42	7.2	11.2
43	7.4	11.2
44	7.6	11.1
45	7.8	11.1
46	8.0	11.1
47	8.2	11.0
48	8.4	11.0
49	6.7	11.0
50	6.6	11.0
51	6.6	11.0
52	6.5	11.0
53	6.5	10.9
54	6.4	10.9
55	6.4	10.9
56	8.0	10.9
57	7.9	10.9
58	7.2	10.9
59	6.7	10.9
60	6.3	10.9
61	6.0	10.9
62	5.9	10.8
63	5.9	10.8
64	6.0	10.8
65	6.4	10.8
66	6.5	10.8
67	6.6	10.8
68	6.6	10.8
69	6.7	10.8
70	6.8	10.7
71	6.9	10.7
72	7.0	10.7
73	5.6	10.7
74	5.8	10.7
75	6.0	10.7
76	6.1	10.6
77	6.2	10.6
78	6.3	10.6
79	6.4	10.6
80	8.0	10.6
81	8.0	10.5
82	7.8	10.5
83	7.7	10.5
84	7.6	10.5
85	7.6	10.5
86	7.5	10.5
87	7.6	10.5
88	7.6	10.4
89	7.8	10.4
90	7.9	10.4
91	8.0	10.4
92	8.1	10.4
93	8.2	10.4
94	8.3	10.4
95	8.4	10.4
96	8.6	10.4
97	6.9	10.3
98	6.9	10.3
99	6.9	10.3
100	7.0	10.3
101	6.9	10.3
102	6.9	10.3
103	6.9	10.3
104	8.5	10.3
105	8.5	10.3
106	8.2	10.3
107	7.8	10.3
108	7.6	10.3
109	7.4	10.3
110	7.3	10.3
111	7.2	10.3
112	7.4	10.2
113	7.6	10.2
114	7.7	10.2
115	7.8	10.2
116	7.9	10.2
117	8.0	10.2
118	8.2	10.2
119	8.3	10.2
120	8.5	10.2
121	7.0	10.1
122	7.2	10.1
123	7.4	10.1
124	7.5	10.1
125	7.6	10.1
126	7.6	10.1
127	7.7	10.1
128	9.4	10.1
129	9.4	10.1
130	9.2	10.0
131	8.9	10.0
132	8.8	10.0
133	8.6	10.0
134	8.6	10.0
135	8.6	10.0
136	8.7	10.0
137	8.9	10.0
138	9.0	10.0
139	9.1	10.0
140	9.2	10.0
141	9.3	10.0
142	9.4	10.0
143	9.5	10.0
144	9.6	10.0
145	8.0	10.0
146	8.0	9.9
147	8.0	9.9
148	8.0	9.9
149	8.0	9.9
150	8.0	9.9
151	8.0	9.9
152	9.6	9.9
153	9.5	9.9
154	8.8	9.9
155	8.1	9.9
156	7.5	9.9
157	7.0	9.9
158	6.8	9.9
159	6.8	9.9
160	7.2	9.9
161	7.6	9.9
162	7.7	9.9
163	7.8	9.9
164	8.0	9.9
165	8.1	9.8
166	8.2	9.8
167	8.4	9.8
168	8.5	9.8
169	7.1	9.8
170	7.3	9.8
171	7.5	9.8
172	7.6	9.8
173	7.7	9.8
174	7.8	9.8
175	7.9	9.8
176	9.6	9.8
177	9.6	9.8
178	9.3	9.8
179	9.2	9.8
180	9.2	9.8
181	9.2	9.8
182	8.9	9.8
183	8.7	9.8
184	8.7	9.8
185	8.9	9.7
186	9.0	9.7
187	9.2	9.7
188	9.3	9.7
189	9.5	9.7
190	9.6	9.7
191	9.8	9.7
192	9.9	9.7
193	8.4	9.7
194	8.5	9.7
195	8.6	9.7
196	8.6	9.7
197	8.6	9.7
198	8.7	9.7
199	8.8	9.7
200	10.4	9.6
201	10.3	9.6
202	10.0	9.6
203	9.7	9.6
204	9.5	9.6
205	9.3	9.6
206	9.3	9.6
207	9.2	9.6
208	9.4	9.6
209	9.6	9.6
210	9.6	9.6
