# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	5.4	25.2
2	5.8	25.1
3	6.2	24.8
4	6.3	24.6
5	6.5	24.4
6	6.6	24.2
7	6.7	24.2
8	10.0	24.1
9	9.9	24.0
10	8.7	23.8
11	7.7	23.6
12	6.8	23.1
13	6.2	23.0
14	5.9	22.9
15	5.9	22.9
16	6.3	22.8
17	6.9	22.7
18	7.5	22.5
19	7.9	22.4
20	8.4	22.3
21	8.9	22.3
22	9.4	22.2
23	9.9	22.2
24	10.4	22.2
25	8.2	22.2
26	9.3	22.0
27	10.3	22.0
28	11.0	22.0
29	11.5	22.0
30	12.2	22.0
31	12.6	21.9
32	16.3	21.9
33	16.3	21.9
34	14.8	21.9
35	13.6	21.8
36	12.5	21.7
37	11.9	21.7
38	11.5	21.7
39	11.5	21.7
40	12.2	21.7
41	13.2	21.6
42	13.6	21.6
43	14.0	21.6
44	14.4	21.6
45	14.7	21.5
46	15.1	21.5
47	15.5	21.5
48	15.9	21.3
49	12.7	21.3
50	12.5	21.3
51	12.3	21.3
52	12.3	21.2
53	12.2	21.2
54	12.1	21.2
55	12.0	21.2
56	15.1	21.1
57	15.0	21.1
58	13.7	21.1
59	12.6	21.1
60	11.9	21.1
61	11.3	21.0
62	11.0	21.0
63	11.0	21.0
64	11.3	20.9
65	11.9	20.9
66	12.2	20.9
67	12.3	20.9
68	12.5	20.8
69	12.7	20.8
70	12.9	20.8
71	13.1	20.7
72	13.2	20.7
73	10.3	20.7
74	10.9	20.7
75	11.2	20.7
76	11.4	20.6
77	11.6	20.6
78	11.8	20.6
79	11.9	20.5
80	15.3	20.5
81	15.3	20.5
82	14.9	20.4
83	14.6	20.4
84	14.4	20.4
85	14.3	20.3
86	14.3	20.3
87	14.3	20.3
88	14.5	20.3
89	14.7	20.2
90	15.0	20.2
91	15.1	20.2
92	15.4	20.2
93	15.5	20.2
94	15.8	20.1
95	16.0	20.1
96	16.5	20.0
97	13.1	20.0
98	13.1	20.0
99	13.1	20.0
100	13.1	19.9
101	13.1	19.9
102	13.1	19.9
103	13.1	19.9
104	16.3	19.9
105	16.2	19.9
106	15.5	19.9
107	14.9	19.9
108	14.3	19.8
109	14.0	19.8
110	13.8	19.8
111	13.7	19.8
112	13.9	19.8
113	14.3	19.8
114	14.6	19.7
115	14.8	19.7
116	15.1	19.7
117	15.3	19.7
118	15.6	19.7
119	15.8	19.7
120	16.3	19.7
121	13.1	19.7
122	13.5	19.6
123	13.9	19.6
124	14.2	19.6
125	14.3	19.6
126	14.5	19.5
127	14.7	19.5
128	18.0	19.5
129	18.0	19.5
130	17.5	19.5
131	17.1	19.5
132	16.7	19.5
133	16.5	19.4
134	16.4	19.4
135	16.4	19.4
136	16.6	19.4
137	17.0	19.4
138	17.1	19.4
139	17.4	19.3
140	17.5	19.3
141	17.8	19.3
142	18.0	19.3
143	18.2	19.2
144	18.4	19.2
145	15.2	19.2
146	15.3	19.2
147	15.3	19.2
148	15.3	19.2
149	15.3	19.1
150	15.3	19.1
151	15.3	19.1
152	18.5	19.1
153	18.3	19.1
154	16.7	19.1
155	15.4	19.1
156	14.2	19.1
157	13.3	19.1
158	12.8	19.1
159	12.9	19.1
160	13.5	19.1
161	14.4	19.1
162	14.7	19.1
163	14.9	19.1
164	15.1	19.1
165	15.4	19.1
166	15.6	19.1
167	15.9	19.0
168	16.2	19.0
169	13.5	19.0
170	13.8	19.0
171	14.2	19.0
172	14.4	19.0
173	14.7	19.0
174	14.9	18.9
175	15.1	18.9
176	18.4	18.9
177	18.4	18.9
178	17.9	18.9
179	17.6	18.9
180	17.7	18.9
181	17.7	18.9
182	17.0	18.9
183	16.7	18.9
184	16.6	18.8
185	17.0	18.8
186	17.3	18.8
187	17.6	18.8
188	17.9	18.8
189	18.2	18.8
190	18.4	18.8
191	18.7	18.8
192	19.1	18.8
193	16.0	18.8
194	16.2	18.8
195	16.3	18.8
196	16.4	18.8
197	16.5	18.7
198	16.7	18.7
199	16.7	18.7
200	19.9	18.7
201	19.9	18.7
202	19.2	18.7
203	18.7	18.7
204	18.2	18.7
205	17.9	18.7
206	17.8	18.7
207	17.7	18.7
208	17.9	18.7
209	18.4	18.7
210	18.5	18.7
211	18.6	18.7
212	18.8	18.7
213	18.8	18.6
214	18.8	18.6
215	18.9	18.6
216	19.1	18.6
217	15.9	18.6
218	15.9	18.6
219	15.9	18.6
220	15.9	18.6
221	15.9	18.6
222	15.9	18.6
223	15.9	18.6
224	19.1	18.6
225	19.1	18.5
226	18.4	18.5
227	17.8	18.5
228	17.3	18.5
229	17.1	18.5
230	16.8	18.5
231	16.8	18.5
232	17.0	18.4
233	17.4	18.4
234	17.5	18.4
235	17.7	18.4
236	18.0	18.4
237	17.8	18.4
238	17.9	18.4
239	18.0	18.4
240	18.1	18.4
241	15.1	18.4
242	15.1	18.4
243	15.2	18.4
244	15.3	18.4
245	15.3	18.3
246	15.3	18.3
247	15.3	18.3
248	18.6	18.3
249	18.4	18.3
250	17.3	18.3
251	16.3	18.3
252	15.3	18.3
253	14.7	18.3
254	14.3	18.3
255	14.2	18.3
256	14.5	18.2
257	15.1	18.2
258	15.6	18.2
259	16.1	18.2
260	16.5	18.2
261	17.0	18.2
262	17.5	18.2
263	17.9	18.2
264	18.3	18.2
265	16.0	18.1
266	17.1	18.1
267	18.2	18.1
268	18.8	18.1
269	19.4	18.1
270	20.0	18.1
271	20.5	18.1
272	24.2	18.1
273	24.1	18.1
274	23.6	18.0
275	23.0	18.0
276	22.3	18.0
277	22.0	18.0
278	22.4	18.0
279	22.7	18.0
280	23.1	18.0
281	23.8	18.0
282	24.0	18.0
283	24.2	18.0
284	24.4	18.0
285	24.6	18.0
286	24.8	18.0
287	25.1	17.9
288	25.2	17.9
289	21.7	17.9
290	21.5	17.9
291	20.6	17.9
292	20.2	17.9
293	19.9	17.9
294	19.5	17.9
295	19.3	17.9
296	22.3	17.9
297	22.0	17.9
298	21.0	17.9
299	20.0	17.9
300	19.3	17.9
301	18.7	17.9
302	18.5	17.9
303	18.4	17.9
304	18.7	17.8
305	19.1	17.8
306	19.1	17.8
307	19.1	17.8
308	19.1	17.8
309	19.1	17.8
310	19.1	17.8
311	19.0	17.8
312	19.0	17.8
313	16.1	17.8
314	16.4	17.8
315	16.7	17.8
316	16.9	17.8
317	17.1	17.8
318	17.3	17.8
319	17.5	17.7
320	20.7	17.7
321	20.7	17.7
322	20.3	17.7
323	19.7	17.7
324	19.3	17.7
325	19.1	17.7
326	18.9	17.7
327	18.9	17.7
328	19.1	17.7
329	19.4	17.7
330	19.8	17.7
331	20.0	17.6
332	20.3	17.6
333	20.7	17.6
334	20.9	17.6
335	21.2	17.6
336	21.5	17.6
337	18.8	17.6
338	18.8	17.6
339	19.1	17.6
340	19.2	17.5
341	19.4	17.5
342	19.5	17.5
343	19.6	17.5
344	22.9	17.5
345	22.8	17.5
346	22.2	17.5
347	21.7	17.5
348	21.3	17.5
349	21.0	17.5
350	20.9	17.5
351	21.1	17.5
352	21.3	17.5
353	21.6	17.5
354	21.7	17.5
355	21.7	17.4
356	21.8	17.4
357	21.9	17.4
358	21.9	17.4
359	21.9	17.4
360	22.0	17.4
361	18.7	17.4
362	18.6	17.4
363	18.5	17.4
364	18.3	17.4
365	18.3	17.4
366	18.2	17.4
367	18.1	17.4
368	21.2	17.4
369	21.1	17.3
370	20.7	17.3
371	20.4	17.3
372	20.2	17.3
373	19.9	17.3
374	18.0	17.3
375	17.0	17.3
376	16.7	17.3
377	17.3	17.3
378	17.5	17.3
379	17.5	17.3
380	17.7	17.3
381	17.9	17.3
382	17.9	17.3
383	18.1	17.2
384	18.2	17.2
385	15.4	17.2
386	15.7	17.2
387	16.1	17.1
388	16.3	17.1
389	16.4	17.1
390	16.7	17.1
391	16.7	17.1
392	20.1	17.1
393	19.9	17.1
394	17.8	17.1
395	15.8	17.1
396	14.0	17.1
397	12.9	17.1
398	12.3	17.1
399	12.3	17.1
400	13.1	17.1
401	14.6	17.1
402	14.7	17.1
403	15.0	17.1
404	15.1	17.1
405	15.4	17.0
406	15.5	17.0
407	15.8	17.0
408	15.9	17.0
