# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	4.3	16.6
2	4.5	16.5
3	4.8	16.3
4	4.9	16.2
5	5.0	16.1
6	5.1	15.9
7	5.1	15.9
8	7.2	15.9
9	7.1	15.8
10	6.4	15.7
11	5.7	15.5
12	5.2	15.2
13	4.8	15.2
14	4.6	15.1
15	4.6	15.1
16	4.9	15.1
17	5.2	15.0
18	5.6	14.8
19	5.9	14.8
20	6.2	14.8
21	6.5	14.7
22	6.8	14.7
23	7.1	14.7
24	7.4	14.6
25	6.0	14.6
26	6.7	14.6
27	7.4	14.6
28	7.8	14.6
29	8.1	14.5
30	8.5	14.5
31	8.8	14.5
32	11.0	14.5
33	11.0	14.5
34	10.1	14.5
35	9.4	14.5
36	8.7	14.4
37	8.3	14.4
38	8.1	14.4
39	8.1	14.4
40	8.5	14.4
41	9.1	14.4
42	9.4	14.4
43	9.6	14.3
44	9.9	14.3
45	10.1	14.3
46	10.3	14.3
47	10.6	14.2
48	10.8	14.2
49	8.8	14.1
50	8.7	14.1
51	8.6	14.1
52	8.6	14.1
53	8.5	14.1
54	8.5	14.1
55	8.4	14.0
56	10.3	14.0
57	10.2	14.0
58	9.4	14.0
59	8.8	14.0
60	8.3	13.9
61	8.0	13.9
62	7.8	13.9
63	7.8	13.9
64	8.0	13.9
65	8.4	13.9
66	8.5	13.9
67	8.6	13.8
68	8.7	13.8
69	8.8	13.8
70	8.9	13.8
71	9.0	13.8
72	9.1	13.8
73	7.4	13.8
74	7.7	13.8
75	7.9	13.7
76	8.0	13.7
77	8.2	13.7
78	8.3	13.7
79	8.4	13.6
80	10.4	13.6
81	10.4	13.6
82	10.2	13.6
83	10.0	13.6
84	9.9	13.6
85	9.8	13.5
86	9.8	13.5
87	9.8	13.5
88	9.9	13.4
89	10.1	13.4
90	10.2	13.4
91	10.3	13.4
92	10.5	13.4
93	10.6	13.4
94	10.7	13.4
95	10.9	13.4
96	11.2	13.3
97	9.0	13.3
98	9.0	13.3
99	9.0	13.3
100	9.1	13.3
101	9.0	13.3
102	9.0	13.3
103	9.0	13.3
104	11.0	13.3
105	11.0	13.3
106	10.6	13.3
107	10.2	13.3
108	9.8	13.2
109	9.6	13.2
110	9.5	13.2
111	9.4	13.2
112	9.6	13.1
113	9.8	13.1
114	10.0	13.1
115	10.1	13.1
116	10.3	13.1
117	10.4	13.1
118	10.6	13.1
119	10.7	13.1
120	11.0	13.1
121	9.1	13.1
122	9.3	13.1
123	9.6	13.1
124	9.7	13.1
125	9.8	13.1
126	9.9	13.0
127	10.0	13.0
128	12.1	13.0
129	12.1	13.0
130	11.8	13.0
131	11.5	13.0
132	11.3	13.0
133	11.2	13.0
134	11.1	13.0
135	11.1	13.0
136	11.2	12.9
137	11.5	12.9
138	11.6	12.9
139	11.7	12.9
140	11.8	12.9
141	12.0	12.9
142	12.1	12.9
143	12.2	12.9
144	12.4	12.9
145	10.4	12.9
146	10.4	12.9
147	10.4	12.9
148	10.4	12.8
149	10.4	12.8
150	10.4	12.8
151	10.4	12.8
152	12.4	12.8
153	12.3	12.8
154	11.3	12.8
155	10.5	12.8
156	9.7	12.8
157	9.2	12.8
158	8.9	12.8
159	8.9	12.8
160	9.3	12.8
161	9.9	12.8
162	10.0	12.8
163	10.2	12.8
164	10.3	12.8
165	10.5	12.8
166	10.6	12.8
167	10.8	12.8
168	11.0	12.8
169	9.3	12.7
170	9.5	12.7
171	9.7	12.7
172	9.9	12.7
173	10.0	12.7
174	10.2	12.7
175	10.3	12.7
176	12.4	12.7
177	12.4	12.7
178	12.0	12.7
179	11.9	12.7
180	11.9	12.7
181	11.9	12.7
182	11.5	12.7
183	11.3	12.7
184	11.2	12.7
185	11.5	12.7
186	11.7	12.6
187	11.9	12.6
188	12.0	12.6
189	12.2	12.6
190	12.4	12.6
191	12.6	12.6
192	12.8	12.6
193	10.9	12.6
194	11.0	12.6
195	11.1	12.6
196	11.1	12.6
197	11.2	12.6
198	11.3	12.6
199	11.3	12.6
200	13.3	12.6
201	13.3	12.6
202	12.9	12.6
203	12.5	12.5
204	12.2	12.5
205	12.0	12.5
206	12.0	12.5
207	11.9	12.5
208	12.1	12.5
209	12.4	12.5
210	12.4	12.5
211	12.5	12.5
212	12.6	12.5
213	12.6	12.5
214	12.6	12.5
215	12.7	12.5
216	12.8	12.5
217	10.8	12.5
218	10.8	12.5
219	10.8	12.5
220	10.8	12.4
221	10.8	12.4
222	10.8	12.4
223	10.8	12.4
224	12.8	12.4
225	12.8	12.4
226	12.4	12.4
227	12.0	12.4
228	11.7	12.4
229	11.5	12.4
230	11.4	12.4
231	11.4	12.4
232	11.5	12.4
233	11.7	12.4
234	11.8	12.4
235	11.9	12.4
236	12.1	12.4
237	12.0	12.4
238	12.1	12.4
239	12.1	12.4
240	12.2	12.4
241	10.3	12.3
242	10.3	12.3
243	10.4	12.3
244	10.4	12.3
245	10.4	12.3
246	10.4	12.3
247	10.4	12.3
248	12.5	12.3
249	12.4	12.3
250	11.7	12.3
251	11.0	12.3
252	10.4	12.2
253	10.0	12.2
254	9.8	12.2
255	9.7	12.2
256	9.9	12.2
257	10.3	12.2
258	10.6	12.2
259	10.9	12.2
260	11.2	12.2
261	11.5	12.2
262	11.8	12.2
263	12.1	12.2
264	12.3	12.2
265	10.9	12.2
266	11.6	12.2
267	12.2	12.2
268	12.6	12.2
269	13.0	12.2
270	13.3	12.2
271	13.6	12.1
272	15.9	12.1
273	15.9	12.1
274	15.5	12.1
275	15.2	12.1
