# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	0.9	4.1
2	0.9	4.1
3	1.0	4.1
4	1.0	4.0
5	1.1	4.0
6	1.1	4.0
7	1.1	4.0
8	1.6	4.0
9	1.6	3.9
10	1.4	3.9
11	1.3	3.9
12	1.1	3.8
13	1.0	3.8
14	1.0	3.8
15	1.0	3.7
16	1.0	3.7
17	1.1	3.7
18	1.2	3.7
19	1.3	3.7
20	1.4	3.7
21	1.5	3.7
22	1.5	3.6
23	1.6	3.6
24	1.7	3.6
25	1.3	3.6
26	1.5	3.6
27	1.7	3.6
28	1.8	3.6
29	1.9	3.6
30	2.0	3.6
31	2.1	3.6
32	2.7	3.6
33	2.7	3.6
34	2.4	3.6
35	2.2	3.6
36	2.1	3.6
37	1.9	3.6
38	1.9	3.6
39	1.9	3.6
40	2.0	3.6
41	2.2	3.6
42	2.2	3.6
43	2.3	3.5
44	2.4	3.5
45	2.4	3.5
46	2.5	3.5
47	2.6	3.5
48	2.6	3.5
49	2.1	3.5
50	2.1	3.5
51	2.0	3.5
52	2.0	3.5
53	2.0	3.5
54	2.0	3.5
55	2.0	3.5
56	2.5	3.5
57	2.5	3.5
58	2.2	3.5
59	2.1	3.4
60	1.9	3.4
61	1.9	3.4
62	1.8	3.4
63	1.8	3.4
64	1.9	3.4
65	2.0	3.4
66	2.0	3.4
67	2.0	3.4
68	2.1	3.4
69	2.1	3.4
70	2.1	3.4
71	2.1	3.4
72	2.2	3.4
73	1.7	3.4
74	1.8	3.4
75	1.8	3.4
76	1.9	3.4
77	1.9	3.4
78	1.9	3.4
79	2.0	3.4
80	2.5	3.4
81	2.5	3.4
82	2.4	3.3
83	2.4	3.3
84	2.4	3.3
85	2.4	3.3
86	2.3	3.3
87	2.4	3.3
88	2.4	3.3
89	2.4	3.3
90	2.5	3.3
91	2.5	3.3
92	2.5	3.3
93	2.6	3.3
94	2.6	3.3
95	2.6	3.3
96	2.7	3.3
97	2.1	3.3
98	2.1	3.3
99	2.1	3.3
100	2.2	3.3
101	2.1	3.3
102	2.1	3.3
103	2.1	3.3
104	2.7	3.3
105	2.7	3.3
106	2.6	3.3
107	2.4	3.2
108	2.4	3.2
109	2.3	3.2
110	2.3	3.2
111	2.2	3.2
112	2.3	3.2
113	2.4	3.2
114	2.4	3.2
115	2.4	3.2
116	2.5	3.2
117	2.5	3.2
118	2.6	3.2
119	2.6	3.2
120	2.7	3.2
121	2.2	3.2
122	2.2	3.2
123	2.3	3.2
124	2.3	3.2
125	2.4	3.2
126	2.4	3.2
127	2.4	3.2
128	3.0	3.2
129	3.0	3.2
130	2.9	3.2
131	2.8	3.2
132	2.7	3.2
133	2.7	3.2
134	2.7	3.2
135	2.7	3.2
136	2.7	3.2
137	2.8	3.2
138	2.8	3.2
139	2.9	3.2
140	2.9	3.2
141	2.9	3.2
142	3.0	3.2
143	3.0	3.2
144	3.0	3.2
145	2.5	3.2
146	2.5	3.1
147	2.5	3.1
148	2.5	3.1
149	2.5	3.1
150	2.5	3.1
151	2.5	3.1
152	3.0	3.1
153	3.0	3.1
154	2.7	3.1
155	2.5	3.1
156	2.3	3.1
157	2.2	3.1
158	2.1	3.1
159	2.1	3.1
160	2.2	3.1
161	2.4	3.1
162	2.4	3.1
163	2.4	3.1
164	2.5	3.1
165	2.5	3.1
166	2.6	3.1
167	2.6	3.1
168	2.7	3.1
169	2.2	3.1
170	2.3	3.1
171	2.3	3.1
172	2.4	3.1
173	2.4	3.1
174	2.4	3.1
175	2.5	3.1
176	3.0	3.1
177	3.0	3.1
178	2.9	3.1
179	2.9	3.1
180	2.9	3.1
181	2.9	3.1
182	2.8	3.1
183	2.7	3.1
184	2.7	3.1
185	2.8	3.1
186	2.8	3.1
187	2.9	3.1
188	2.9	3.1
189	3.0	3.1
190	3.0	3.1
191	3.1	3.1
192	3.1	3.1
193	2.6	3.1
194	2.7	3.1
195	2.7	3.1
196	2.7	3.1
197	2.7	3.1
198	2.7	3.1
199	2.7	3.1
200	3.3	3.1
201	3.3	3.1
202	3.2	3.1
203	3.1	3.1
204	3.0	3.1
205	2.9	3.1
206	2.9	3.1
207	2.9	3.1
208	2.9	3.1
209	3.0	3.1
210	3.0	3.1
211	3.0	3.0
212	3.1	3.0
213	3.1	3.0
214	3.1	3.0
215	3.1	3.0
216	3.1	3.0
217	2.6	3.0
218	2.6	3.0
219	2.6	3.0
220	2.6	3.0
221	2.6	3.0
222	2.6	3.0
223	2.6	3.0
224	3.1	3.0
225	3.1	3.0
226	3.0	3.0
227	2.9	3.0
228	2.8	3.0
229	2.8	3.0
230	2.8	3.0
231	2.8	3.0
232	2.8	3.0
233	2.9	3.0
234	2.9	3.0
235	2.9	3.0
236	3.0	3.0
237	2.9	3.0
238	2.9	3.0
239	3.0	3.0
240	3.0	3.0
241	2.5	3.0
242	2.5	3.0
243	2.5	3.0
244	2.5	3.0
245	2.5	3.0
246	2.5	3.0
247	2.5	3.0
248	3.0	3.0
249	3.0	3.0
250	2.8	3.0
251	2.7	3.0
252	2.5	3.0
253	2.4	3.0
254	2.3	3.0
255	2.3	3.0
256	2.4	3.0
257	2.5	3.0
258	2.6	3.0
259	2.6	3.0
260	2.7	3.0
261	2.8	3.0
262	2.9	3.0
263	2.9	3.0
264	3.0	3.0
265	2.6	3.0
266	2.8	3.0
267	3.0	3.0
268	3.1	3.0
269	3.2	3.0
270	3.3	3.0
271	3.4	3.0
272	4.0	3.0
273	4.0	3.0
274	3.9	3.0
275	3.8	3.0
276	3.7	3.0
277	3.6	2.9
278	3.7	2.9
279	3.7	2.9
280	3.8	2.9
281	3.9	2.9
282	3.9	2.9
283	4.0	2.9
284	4.0	2.9
285	4.0	2.9
286	4.1	2.9
287	4.1	2.9
288	4.1	2.9
289	3.6	2.9
290	3.5	2.9
291	3.4	2.9
292	3.3	2.9
293	3.3	2.9
294	3.2	2.9
295	3.2	2.9
296	3.7	2.9
297	3.6	2.9
298	3.4	2.9
299	3.3	2.9
300	3.2	2.9
301	3.1	2.9
302	3.0	2.9
303	3.0	2.9
304	3.1	2.9
305	3.1	2.9
306	3.1	2.9
307	3.1	2.9
308	3.1	2.9
309	3.1	2.9
310	3.1	2.9
311	3.1	2.9
312	3.1	2.9
313	2.6	2.9
314	2.7	2.9
315	2.7	2.9
316	2.8	2.9
317	2.8	2.9
318	2.8	2.9
319	2.9	2.9
320	3.4	2.9
321	3.4	2.9
322	3.3	2.9
323	3.2	2.9
324	3.2	2.9
325	3.1	2.9
326	3.1	2.9
327	3.1	2.9
328	3.1	2.9
329	3.2	2.9
330	3.2	2.9
331	3.3	2.9
332	3.3	2.9
333	3.4	2.9
334	3.4	2.9
335	3.5	2.9
336	3.5	2.9
337	3.1	2.9
338	3.1	2.9
339	3.1	2.9
340	3.2	2.9
341	3.2	2.9
342	3.2	2.9
343	3.2	2.9
344	3.8	2.9
345	3.7	2.9
346	3.6	2.9
347	3.6	2.9
348	3.5	2.9
349	3.4	2.9
350	3.4	2.9
351	3.5	2.9
352	3.5	2.9
353	3.5	2.9
354	3.6	2.9
355	3.6	2.9
356	3.6	2.9
357	3.6	2.9
358	3.6	2.9
359	3.6	2.9
360	3.6	2.8
361	3.1	2.8
362	3.0	2.8
363	3.0	2.8
364	3.0	2.8
365	3.0	2.8
366	3.0	2.8
367	3.0	2.8
368	3.5	2.8
369	3.5	2.8
370	3.4	2.8
371	3.4	2.8
372	3.3	2.8
373	3.3	2.8
374	3.0	2.8
375	2.8	2.8
376	2.7	2.8
377	2.8	2.8
378	2.9	2.8
379	2.9	2.8
380	2.9	2.8
381	2.9	2.8
382	2.9	2.8
383	3.0	2.8
384	3.0	2.8
385	2.5	2.8
386	2.6	2.8
387	2.6	2.8
388	2.7	2.8
389	2.7	2.8
390	2.7	2.8
391	2.7	2.8
392	3.3	2.8
393	3.3	2.8
394	2.9	2.8
395	2.6	2.8
396	2.3	2.8
397	2.1	2.8
398	2.0	2.8
399	2.0	2.8
400	2.2	2.8
401	2.4	2.8
402	2.4	2.8
403	2.5	2.8
404	2.5	2.8
405	2.5	2.8
406	2.6	2.8
407	2.6	2.8
408	2.6	2.8
409	2.1	2.8
410	2.1	2.8
411	2.2	2.8
412	2.2	2.8
413	2.2	2.8
414	2.2	2.8
415	2.2	2.8
416	2.7	2.8
417	2.7	2.8
418	2.6	2.8
419	2.6	2.8
420	2.6	2.8
421	2.5	2.8
422	2.2	2.8
423	2.0	2.8
424	1.9	2.8
425	2.1	2.8
426	2.1	2.8
427	2.1	2.8
428	2.1	2.8
429	2.1	2.8
430	2.2	2.8
431	2.2	2.8
432	2.2	2.8
433	1.7	2.8
434	1.8	2.8
435	1.8	2.8
436	1.8	2.8
437	1.8	2.7
438	1.9	2.7
439	1.9	2.7
440	2.4	2.7
441	2.4	2.7
442	2.4	2.7
443	2.3	2.7
444	2.3	2.7
445	2.3	2.7
446	2.0	2.7
447	1.8	2.7
448	1.7	2.7
449	1.8	2.7
450	1.8	2.7
451	1.9	2.7
452	1.9	2.7
453	2.0	2.7
454	2.0	2.7
455	2.1	2.7
456	2.1	2.7
457	1.7	2.7
458	1.7	2.7
459	1.8	2.7
460	1.8	2.7
461	1.9	2.7
462	1.9	2.7
463	1.9	2.7
464	2.5	2.7
465	2.5	2.7
466	2.4	2.7
467	2.4	2.7
468	2.4	2.7
469	2.3	2.7
470	2.1	2.7
471	2.0	2.7
472	2.0	2.7
473	2.1	2.7
474	2.1	2.7
475	2.1	2.7
476	2.1	2.7
477	2.1	2.7
478	2.2	2.7
479	2.2	2.7
480	2.2	2.7
481	1.7	2.7
482	1.7	2.7
483	1.7	2.7
484	1.7	2.7
485	1.6	2.7
486	1.6	2.7
487	1.6	2.7
488	2.2	2.7
489	2.1	2.7
490	1.9	2.7
491	1.7	2.7
492	1.5	2.7
493	1.3	2.7
494	1.2	2.7
495	1.2	2.7
496	1.3	2.7
497	1.4	2.7
498	1.5	2.7
499	1.5	2.7
500	1.6	2.7
501	1.6	2.7
502	1.7	2.7
503	1.7	2.7
504	1.8	2.7
505	1.3	2.7
506	1.4	2.7
507	1.5	2.7
508	1.5	2.7
509	1.5	2.7
510	1.6	2.7
511	1.6	2.7
512	2.1	2.7
513	2.1	2.7
514	1.8	2.7
515	1.6	2.7
516	1.4	2.7
517	1.3	2.7
518	1.1	2.7
519	1.0	2.7
520	1.0	2.7
521	1.2	2.7
522	1.3	2.7
523	1.4	2.7
524	1.5	2.7
525	1.7	2.7
526	1.8	2.7
527	1.9	2.7
528	2.0	2.7
529	1.6	2.7
530	1.7	2.7
531	1.9	2.7
532	1.9	2.7
533	2.0	2.7
534	2.1	2.7
535	2.1	2.7
536	2.7	2.7
537	2.6	2.7
538	2.2	2.7
539	1.8	2.7
540	1.6	2.7
541	1.4	2.7
542	1.2	2.7
543	1.2	2.7
544	1.3	2.7
545	1.6	2.7
546	1.7	2.7
547	1.9	2.7
548	2.1	2.7
549	2.2	2.7
550	2.4	2.7
551	2.5	2.6
552	2.7	2.6
553	2.3	2.6
554	2.5	2.6
555	2.6	2.6
556	2.7	2.6
557	2.8	2.6
558	2.9	2.6
559	3.0	2.6
560	3.6	2.6
561	3.5	2.6
562	3.3	2.6
563	3.0	2.6
564	2.8	2.6
565	2.7	2.6
566	2.6	2.6
567	2.6	2.6
568	2.6	2.6
569	2.8	2.6
570	2.8	2.6
571	2.9	2.6
572	2.9	2.6
573	2.9	2.6
574	3.0	2.6
575	3.0	2.6
576	3.1	2.6
577	2.5	2.6
578	2.4	2.6
579	2.4	2.6
580	2.3	2.6
581	2.3	2.6
582	2.3	2.6
583	2.2	2.6
584	2.8	2.6
585	2.7	2.6
586	2.6	2.6
587	2.6	2.6
588	2.5	2.6
589	2.4	2.6
590	2.4	2.6
591	2.4	2.6
592	2.4	2.6
593	2.4	2.6
594	2.5	2.6
595	2.4	2.6
596	2.4	2.6
597	2.4	2.6
598	2.4	2.6
599	2.4	2.6
600	2.4	2.6
601	1.9	2.6
602	1.9	2.6
603	2.0	2.6
604	2.0	2.6
605	2.0	2.6
606	2.0	2.6
607	2.0	2.6
608	2.6	2.6
609	2.4	2.6
610	2.1	2.6
611	2.0	2.6
612	1.8	2.6
613	1.5	2.6
614	1.3	2.6
615	1.2	2.6
616	1.2	2.6
617	1.4	2.6
618	1.6	2.6
619	1.6	2.6
620	1.6	2.6
621	1.7	2.6
622	1.7	2.6
623	1.7	2.6
624	1.8	2.6
625	1.3	2.6
626	1.4	2.6
627	1.4	2.6
628	1.4	2.6
629	1.5	2.6
630	1.5	2.6
631	1.5	2.6
