# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.3	10.2
2	1.5	10.1
3	1.7	10.0
4	1.8	9.9
5	1.8	9.9
6	1.9	9.8
7	1.9	9.8
8	3.4	9.7
9	3.3	9.6
10	2.8	9.6
11	2.4	9.5
12	2.0	9.3
13	1.7	9.2
14	1.6	9.2
15	1.6	9.2
16	1.8	9.1
17	2.0	9.1
18	2.3	9.0
19	2.5	9.0
20	2.7	8.9
21	2.9	8.9
22	3.1	8.9
23	3.4	8.9
24	3.6	8.9
25	2.6	8.9
26	3.1	8.8
27	3.5	8.8
28	3.8	8.8
29	4.1	8.8
30	4.4	8.7
31	4.6	8.7
32	6.2	8.7
33	6.2	8.7
34	5.6	8.7
35	5.0	8.7
36	4.5	8.6
37	4.2	8.6
38	4.1	8.6
39	4.1	8.6
40	4.4	8.6
41	4.8	8.6
42	5.0	8.6
43	5.2	8.6
44	5.4	8.5
45	5.5	8.5
46	5.7	8.5
47	5.9	8.5
48	6.1	8.5
49	4.6	8.5
50	4.5	8.5
51	4.4	8.4
52	4.4	8.4
53	4.4	8.4
54	4.3	8.4
55	4.3	8.4
56	5.7	8.4
57	5.6	8.4
58	5.1	8.3
59	4.6	8.3
60	4.2	8.3
61	4.0	8.3
62	3.8	8.3
63	3.8	8.3
64	4.0	8.3
65	4.3	8.3
66	4.4	8.3
67	4.4	8.2
68	4.5	8.2
69	4.6	8.2
70	4.7	8.2
71	4.8	8.2
72	4.8	8.2
73	3.5	8.2
74	3.8	8.2
75	3.9	8.1
76	4.0	8.1
77	4.1	8.1
78	4.2	8.1
79	4.3	8.1
80	5.8	8.0
81	5.8	8.0
82	5.6	8.0
83	5.4	8.0
84	5.4	8.0
85	5.3	8.0
86	5.3	8.0
87	5.3	8.0
88	5.4	7.9
89	5.5	7.9
90	5.6	7.9
91	5.7	7.9
92	5.8	7.9
93	5.9	7.9
94	6.0	7.9
95	6.1	7.9
96	6.3	7.9
97	4.8	7.9
98	4.8	7.9
99	4.8	7.8
100	4.8	7.8
101	4.8	7.8
102	4.8	7.8
