# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.8	14.0
2	2.1	13.9
3	2.3	13.8
4	2.4	13.6
5	2.5	13.6
6	2.6	13.4
7	2.7	13.4
8	4.7	13.4
9	4.6	13.3
10	3.9	13.2
11	3.3	13.0
12	2.7	12.7
13	2.4	12.7
14	2.2	12.6
15	2.2	12.6
16	2.4	12.5
17	2.8	12.5
18	3.1	12.3
19	3.4	12.3
20	3.7	12.2
21	4.0	12.2
22	4.3	12.2
23	4.6	12.1
24	4.9	12.1
25	3.5	12.1
26	4.2	12.1
27	4.9	12.1
28	5.3	12.0
29	5.6	12.0
30	6.0	12.0
31	6.3	12.0
32	8.5	12.0
33	8.5	11.9
34	7.6	11.9
35	6.9	11.9
36	6.2	11.9
37	5.8	11.9
38	5.6	11.9
39	5.6	11.9
40	6.0	11.8
41	6.7	11.8
42	6.9	11.8
43	7.1	11.8
44	7.4	11.7
45	7.6	11.6
46	7.8	11.6
47	8.1	11.6
48	8.3	11.6
49	6.3	11.6
50	6.2	11.6
51	6.1	11.5
52	6.1	11.5
53	6.0	11.5
54	6.0	11.5
55	5.9	11.4
56	7.8	11.4
57	7.7	11.4
58	6.9	11.4
59	6.3	11.4
60	5.8	11.4
61	5.5	11.4
62	5.3	11.3
63	5.3	11.3
64	5.5	11.3
65	5.9	11.3
66	6.0	11.3
67	6.1	11.3
68	6.2	11.3
69	6.3	11.3
70	6.5	11.2
71	6.6	11.2
72	6.7	11.2
73	4.9	11.1
74	5.2	11.1
75	5.4	11.1
76	5.5	11.1
77	5.7	11.1
78	5.8	11.1
79	5.9	11.0
80	7.9	11.0
81	7.9	11.0
82	7.7	11.0
83	7.5	11.0
84	7.4	10.9
85	7.3	10.9
86	7.3	10.9
87	7.3	10.9
88	7.4	10.9
89	7.6	10.9
90	7.7	10.9
91	7.8	10.8
92	8.0	10.8
93	8.1	10.8
94	8.2	10.8
95	8.4	10.8
96	8.7	10.8
97	6.6	10.8
98	6.6	10.8
99	6.6	10.8
100	6.6	10.8
101	6.6	10.7
102	6.6	10.7
103	6.6	10.7
104	8.5	10.7
105	8.5	10.7
106	8.1	10.6
107	7.7	10.6
108	7.3	10.6
109	7.1	10.6
110	7.0	10.6
111	6.9	10.6
112	7.1	10.6
113	7.3	10.6
114	7.5	10.6
115	7.6	10.6
116	7.8	10.6
117	7.9	10.6
118	8.1	10.5
119	8.2	10.5
120	8.5	10.5
121	6.6	10.5
122	6.8	10.5
123	7.1	10.5
124	7.2	10.5
125	7.3	10.5
126	7.4	10.4
127	7.5	10.4
128	9.6	10.4
129	9.6	10.4
130	9.3	10.4
131	9.0	10.4
132	8.8	10.4
133	8.7	10.4
134	8.6	10.4
135	8.6	10.4
136	8.7	10.4
137	9.0	10.4
138	9.1	10.3
139	9.2	10.3
140	9.3	10.3
141	9.5	10.3
142	9.6	10.3
143	9.7	10.3
144	9.9	10.3
145	7.9	10.3
146	7.9	10.3
147	7.9	10.2
148	7.9	10.2
149	7.9	10.2
150	7.9	10.2
151	7.9	10.2
152	9.9	10.2
153	9.8	10.2
154	8.8	10.2
155	8.0	10.2
156	7.2	10.2
157	6.7	10.2
158	6.4	10.2
159	6.5	10.2
160	6.8	10.2
161	7.4	10.2
162	7.5	10.2
163	7.7	10.2
164	7.8	10.2
165	8.0	10.2
166	8.1	10.2
167	8.3	10.1
168	8.5	10.1
169	6.8	10.1
170	7.0	10.1
171	7.2	10.1
172	7.4	10.1
173	7.5	10.1
174	7.7	10.1
175	7.8	10.1
176	9.9	10.1
177	9.9	10.1
178	9.5	10.1
179	9.4	10.1
180	9.4	10.0
