# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.4	77.0
2	17.6	76.5
3	18.8	75.7
4	19.3	75.0
5	19.8	74.5
6	20.3	73.8
7	20.5	73.8
8	30.5	73.5
9	30.1	73.1
10	26.6	72.6
11	23.5	71.8
12	20.8	70.6
13	19.1	70.4
14	18.1	70.1
15	18.1	69.9
16	19.3	69.6
17	21.0	69.1
18	22.7	69.1
19	24.2	68.4
20	25.7	68.4
21	27.1	68.4
22	28.6	68.4
23	30.3	67.9
24	31.8	67.9
25	24.9	67.7
26	28.3	67.6
27	31.5	67.4
28	33.5	67.2
29	35.2	67.2
30	37.1	66.9
31	38.4	66.7
32	49.6	66.7
33	49.6	66.7
34	45.2	66.7
35	41.5	66.5
36	38.1	66.2
37	36.2	66.2
38	35.2	66.2
39	35.2	66.2
40	37.1	66.2
41	40.3	66.0
42	41.5	65.7
43	42.8	65.7
44	44.0	65.7
45	45.0	65.7
46	46.2	65.5
47	47.4	65.4
48	48.6	65.4
49	38.6	65.0
50	38.1	65.0
51	37.6	64.9
52	37.4	64.9
53	37.1	64.7
54	36.9	64.7
55	36.7	64.7
56	46.2	64.4
57	45.7	64.4
58	41.8	64.4
59	38.4	64.3
60	36.2	64.3
61	34.5	64.2
62	33.5	64.2
63	33.5	64.0
64	34.5	64.0
65	36.4	63.9
66	37.1	63.8
67	37.6	63.8
68	38.1	63.4
69	38.6	63.4
70	39.3	63.3
71	39.8	63.3
72	40.3	63.3
73	31.5	63.2
74	33.2	63.2
75	34.2	63.1
76	34.7	63.1
77	35.4	63.0
78	35.9	62.8
79	36.4	62.7
80	46.7	62.6
81	46.7	62.4
82	45.4	62.3
83	44.5	62.2
84	44.0	62.2
85	43.7	62.2
86	43.5	62.1
87	43.7	62.1
88	44.2	61.9
89	45.0	61.7
90	45.7	61.7
91	46.2	61.6
92	46.9	61.6
93	47.4	61.3
94	48.1	61.2
95	48.9	61.2
96	50.3	61.1
97	39.8	61.1
98	39.8	61.1
99	39.8	60.9
100	40.1	60.9
101	39.8	60.9
102	39.8	60.9
103	39.8	60.8
104	49.6	60.8
105	49.4	60.8
106	47.4	60.8
107	45.4	60.7
108	43.7	60.7
109	42.8	60.7
110	42.0	60.7
111	41.8	60.7
112	42.5	60.7
113	43.7	60.6
114	44.5	60.6
115	45.2	60.6
116	45.9	60.4
117	46.7	60.4
118	47.6	60.4
119	48.1	60.4
120	49.6	60.2
121	40.1	60.2
122	41.3	60.1
123	42.5	59.9
124	43.2	59.9
125	43.7	59.9
126	44.2	59.9
127	44.7	59.8
128	55.0	59.7
129	55.0	59.7
130	53.5	59.6
131	52.0	59.4
132	51.1	59.3
133	50.3	59.2
134	50.1	59.2
135	50.1	59.2
136	50.6	59.1
137	51.8	59.1
138	52.3	59.1
139	53.0	58.9
140	53.5	58.9
141	54.2	58.9
142	55.0	58.9
143	55.5	58.9
144	56.2	58.9
145	46.4	58.7
146	46.7	58.7
147	46.7	58.6
148	46.7	58.6
149	46.7	58.4
150	46.7	58.4
151	46.7	58.4
152	56.4	58.4
153	55.7	58.4
154	51.1	58.4
155	46.9	58.2
156	43.2	58.2
157	40.6	58.2
158	39.1	58.2
159	39.3	58.2
160	41.3	58.2
161	44.0	58.2
162	44.7	58.2
163	45.4	58.2
164	46.2	58.2
165	46.9	58.2
166	47.6	58.2
167	48.6	58.0
168	49.4	57.9
169	41.0	57.9
170	42.0	57.9
171	43.2	57.9
172	44.0	57.9
173	44.7	57.9
174	45.4	57.9
175	45.9	57.7
176	56.2	57.7
177	56.2	57.7
178	54.5	57.7
179	53.8	57.7
180	54.0	57.7
181	54.0	57.6
182	51.8	57.5
183	50.8	57.5
184	50.6	57.5
185	51.8	57.5
186	52.8	57.4
187	53.8	57.4
188	54.5	57.4
189	55.5	57.4
190	56.2	57.4
191	57.2	57.4
192	58.2	57.2
193	48.9	57.2
194	49.4	57.2
195	49.8	57.2
196	50.1	57.2
197	50.3	57.2
198	50.8	57.0
199	51.1	57.0
200	60.8	56.9
201	60.6	56.9
202	58.6	56.9
203	56.9	56.9
204	55.5	56.7
205	54.5	56.7
206	54.2	56.7
207	54.0	56.7
208	54.7	56.7
209	56.2	56.7
210	56.4	56.5
211	56.7	56.5
212	57.4	56.5
213	57.4	56.5
214	57.4	56.5
215	57.7	56.4
216	58.2	56.4
217	48.4	56.4
218	48.4	56.4
219	48.6	56.2
220	48.6	56.2
221	48.6	56.2
222	48.6	56.2
223	48.6	56.2
224	58.4	56.2
225	58.2	56.2
226	56.2	56.2
227	54.2	56.2
228	52.8	56.2
229	52.0	56.2
230	51.3	56.0
231	51.3	56.0
232	51.8	56.0
233	53.0	56.0
234	53.5	56.0
235	54.0	56.0
236	55.0	55.7
237	54.2	55.7
238	54.7	55.7
239	55.0	55.7
240	55.2	55.7
241	45.9	55.7
242	46.2	55.7
243	46.4	55.6
244	46.7	55.6
245	46.7	55.5
246	46.7	55.5
247	46.7	55.5
248	56.7	55.5
249	56.2	55.5
250	52.8	55.5
251	49.6	55.5
252	46.7	55.5
253	44.7	55.5
254	43.5	55.5
255	43.2	55.5
256	44.2	55.5
257	46.2	55.4
258	47.6	55.4
259	49.1	55.4
260	50.3	55.2
261	51.8	55.2
262	53.3	55.2
263	54.7	55.2
264	56.0	55.2
265	48.9	55.2
266	52.3	55.2
267	55.5	55.2
268	57.4	55.2
269	59.1	55.2
270	61.1	55.1
271	62.6	55.1
272	73.8	55.0
273	73.5	55.0
274	71.8	55.0
275	70.1	55.0
276	67.9	55.0
277	67.2	55.0
278	68.4	55.0
279	69.1	55.0
280	70.4	55.0
281	72.6	54.9
282	73.1	54.9
283	73.8	54.7
284	74.5	54.7
285	75.0	54.7
286	75.7	54.7
287	76.5	54.7
288	77.0	54.7
289	66.2	54.7
290	65.5	54.7
291	62.8	54.7
292	61.6	54.7
293	60.6	54.7
294	59.6	54.7
295	58.9	54.7
296	67.9	54.7
297	67.2	54.7
298	64.0	54.5
299	61.1	54.5
300	58.9	54.5
301	57.2	54.5
302	56.4	54.5
303	56.2	54.5
304	56.9	54.5
305	58.4	54.5
306	58.2	54.5
307	58.2	54.3
308	58.2	54.3
309	58.2	54.3
310	58.4	54.2
311	57.9	54.2
312	57.9	54.2
313	49.1	54.2
314	50.1	54.2
315	51.1	54.2
