# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.5	49.1
2	11.2	48.8
3	12.0	48.4
4	12.3	47.9
5	12.6	47.6
6	12.9	47.1
7	13.1	47.1
8	19.5	47.0
9	19.2	46.6
10	17.0	46.3
11	15.0	45.9
12	13.3	44.9
13	12.2	44.9
14	11.5	44.8
15	11.5	44.6
16	12.3	44.5
17	13.4	44.2
18	14.5	44.0
19	15.4	43.7
20	16.4	43.5
21	17.3	43.5
22	18.3	43.5
23	19.3	43.4
24	20.3	43.4
25	15.9	43.2
26	18.1	43.0
27	20.1	42.9
28	21.4	42.9
29	22.5	42.9
30	23.7	42.7
31	24.5	42.6
32	31.7	42.6
33	31.7	42.6
34	28.9	42.4
35	26.5	42.4
36	24.3	42.3
37	23.1	42.3
38	22.5	42.3
39	22.5	42.3
40	23.7	42.3
41	25.7	42.1
42	26.5	42.0
43	27.3	42.0
44	28.1	41.8
45	28.7	41.7
46	29.5	41.7
47	30.3	41.6
48	31.0	41.6
49	24.6	41.5
50	24.3	41.5
51	24.0	41.3
52	23.9	41.3
53	23.7	41.3
54	23.6	41.3
55	23.4	41.1
56	29.5	41.0
57	29.2	41.0
58	26.7	41.0
59	24.5	41.0
60	23.1	41.0
61	22.0	40.9
62	21.4	40.9
63	21.4	40.8
64	22.0	40.8
65	23.2	40.7
66	23.7	40.7
67	24.0	40.6
68	24.3	40.4
69	24.6	40.4
70	25.1	40.4
71	25.4	40.3
72	25.7	40.3
73	20.1	40.3
74	21.2	40.2
75	21.8	40.2
76	22.2	40.2
77	22.6	40.2
78	22.9	40.1
79	23.2	39.9
80	29.8	39.8
81	29.8	39.8
82	29.0	39.7
83	28.4	39.6
84	28.1	39.6
85	27.9	39.5
86	27.8	39.5
87	27.9	39.5
88	28.2	39.4
89	28.7	39.3
90	29.2	39.3
91	29.5	39.3
92	30.0	39.2
93	30.3	39.2
94	30.7	39.0
95	31.2	39.0
96	32.1	39.0
97	25.4	38.9
98	25.4	38.9
99	25.4	38.8
100	25.6	38.8
101	25.4	38.8
102	25.4	38.8
103	25.4	38.7
