# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	15.3	71.8
2	16.4	71.3
3	17.5	70.6
4	18.0	70.0
5	18.5	69.5
6	18.9	68.8
7	19.1	68.8
8	28.5	68.6
9	28.0	68.1
10	24.8	67.7
11	21.9	67.0
12	19.4	65.6
13	17.8	65.4
14	16.9	65.3
15	16.9	65.2
16	18.0	64.9
17	19.6	64.5
18	21.2	63.9
19	22.6	63.8
20	23.9	63.4
21	25.3	63.4
22	26.7	63.2
23	28.3	63.2
24	29.6	63.2
25	23.2	63.1
26	26.4	62.7
27	29.4	62.7
28	31.2	62.5
29	32.8	62.4
30	34.6	62.3
31	35.8	62.2
32	46.3	62.2
33	46.3	62.2
34	42.2	62.0
35	38.7	61.9
36	35.6	61.8
37	33.7	61.8
38	32.8	61.8
39	32.8	61.8
40	34.6	61.8
41	37.6	61.6
42	38.7	61.5
43	39.9	61.3
44	41.0	61.3
45	41.9	61.1
46	43.1	60.7
47	44.2	60.7
48	45.3	60.6
49	36.0	60.6
50	35.6	60.6
51	35.1	60.6
52	34.9	60.5
53	34.6	60.5
54	34.4	60.4
55	34.2	60.4
56	43.1	60.0
57	42.6	60.0
58	39.0	59.9
59	35.8	59.9
60	33.7	59.8
61	32.1	59.7
62	31.2	59.7
63	31.2	59.6
64	32.1	59.6
65	34.0	59.5
66	34.6	59.5
67	35.1	59.3
68	35.6	59.3
69	36.0	59.3
70	36.7	59.1
71	37.1	59.0
72	37.6	59.0
73	29.4	59.0
74	31.0	58.8
75	31.9	58.6
76	32.4	58.6
77	33.0	58.6
78	33.5	58.4
79	34.0	58.4
80	43.5	58.3
81	43.5	58.3
82	42.4	58.1
83	41.5	57.9
84	41.0	57.9
85	40.8	57.9
86	40.6	57.7
87	40.8	57.5
88	41.2	57.5
89	41.9	57.5
90	42.6	57.4
91	43.1	57.4
92	43.8	57.4
93	44.2	57.3
94	44.9	57.2
95	45.6	57.0
96	46.9	57.0
97	37.1	57.0
98	37.1	57.0
99	37.1	57.0
100	37.4	56.7
101	37.1	56.7
102	37.1	56.7
103	37.1	56.7
104	46.3	56.6
105	46.0	56.6
106	44.2	56.5
107	42.4	56.5
108	40.8	56.3
109	39.9	56.3
110	39.2	56.3
