# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.8	88.6
2	20.2	88.0
3	21.7	87.2
4	22.2	86.3
5	22.8	85.8
6	23.3	84.9
7	23.6	84.9
8	35.2	84.6
9	34.6	84.1
10	30.7	83.5
11	27.0	82.7
12	23.9	81.0
13	21.9	81.0
14	20.8	80.7
15	20.8	80.4
16	22.2	80.1
17	24.2	79.6
18	26.2	79.3
19	27.8	78.7
20	29.5	78.4
21	31.2	78.4
22	32.9	78.4
23	34.9	78.2
24	36.6	78.2
25	28.7	77.9
26	32.6	77.6
27	36.3	77.3
28	38.5	77.3
29	40.5	77.3
30	42.7	77.0
31	44.1	76.8
32	57.1	76.8
33	57.1	76.8
34	52.0	76.5
35	47.8	76.4
36	43.9	76.2
37	41.6	76.2
38	40.5	76.2
39	40.5	76.2
40	42.7	76.2
41	46.4	75.9
42	47.8	75.6
43	49.2	75.6
44	50.6	75.4
45	51.7	75.3
46	53.1	75.3
47	54.6	75.0
48	56.0	75.0
49	44.4	74.9
50	43.9	74.8
51	43.3	74.8
52	43.0	74.5
53	42.7	74.5
54	42.5	74.4
55	42.2	74.4
56	53.1	74.2
57	52.6	74.0
58	48.1	74.0
59	44.1	73.9
60	41.6	73.9
61	39.6	73.7
62	38.5	73.7
63	38.5	73.6
64	39.6	73.6
65	41.9	73.4
66	42.7	73.4
67	43.3	73.4
68	43.9	73.4
69	44.4	73.3
70	45.3	72.8
71	45.8	72.8
72	46.4	72.8
73	36.3	72.7
74	38.2	72.7
75	39.4	72.6
76	39.9	72.4
77	40.8	72.4
78	41.3	72.3
79	41.9	72.0
80	53.7	71.9
81	53.7	71.9
82	52.3	71.7
83	51.2	71.6
84	50.6	71.4
85	50.3	71.4
86	50.1	71.3
87	50.3	71.3
88	50.9	71.3
89	51.7	71.0
90	52.6	70.9
91	53.1	70.9
92	54.0	70.7
93	54.6	70.6
94	55.4	70.6
95	56.2	70.3
96	57.9	70.3
97	45.8	70.3
98	45.8	70.2
99	45.8	70.2
100	46.1	70.0
101	45.8	70.0
102	45.8	70.0
103	45.8	70.0
104	57.1	69.9
105	56.8	69.9
106	54.6	69.9
107	52.3	69.9
108	50.3	69.7
109	49.2	69.7
110	48.4	69.6
111	48.1	69.6
112	48.9	69.6
113	50.3	69.6
114	51.2	69.6
115	52.0	69.6
116	52.9	69.6
117	53.7	69.5
118	54.8	69.3
119	55.4	69.3
120	57.1	69.3
121	46.1	69.2
122	47.5	69.1
123	48.9	69.0
124	49.8	69.0
125	50.3	68.9
126	50.9	68.7
127	51.5	68.7
128	63.3	68.7
129	63.3	68.6
130	61.6	68.4
131	59.9	68.4
132	58.8	68.3
133	57.9	68.1
134	57.6	68.1
135	57.6	68.1
136	58.2	67.9
137	59.6	67.9
138	60.2	67.9
139	61.0	67.8
140	61.6	67.8
141	62.4	67.8
142	63.3	67.6
143	63.8	67.6
144	64.7	67.6
145	53.4	67.5
146	53.7	67.5
147	53.7	67.5
148	53.7	67.3
149	53.7	67.3
150	53.7	67.2
151	53.7	67.2
152	65.0	67.2
153	64.1	67.0
154	58.8	67.0
155	54.0	67.0
156	49.8	67.0
157	46.7	66.9
158	45.0	66.9
159	45.3	66.9
160	47.5	66.9
161	50.6	66.9
162	51.5	66.9
163	52.3	66.9
164	53.1	66.9
165	54.0	66.9
166	54.8	66.9
167	56.0	66.7
168	56.8	66.7
169	47.2	66.6
170	48.4	66.6
171	49.8	66.5
172	50.6	66.5
173	51.5	66.5
174	52.3	66.5
175	52.9	66.5
176	64.7	66.4
177	64.7	66.4
178	62.7	66.4
179	61.9	66.2
180	62.1	66.2
181	62.1	66.2
182	59.6	66.1
183	58.5	66.1
184	58.2	66.1
185	59.6	66.1
186	60.7	66.1
187	61.9	66.1
188	62.7	66.0
189	63.8	65.9
190	64.7	65.9
191	65.8	65.9
192	66.9	65.9
193	56.2	65.8
194	56.8	65.8
195	57.4	65.7
196	57.6	65.6
197	57.9	65.6
198	58.5	65.6
199	58.8	65.6
200	70.0	65.5
201	69.7	65.5
202	67.5	65.5
203	65.5	65.5
204	63.8	65.3
205	62.7	65.3
206	62.4	65.2
207	62.1	65.2
208	63.0	65.2
209	64.7	65.2
210	65.0	65.0
211	65.2	65.0
212	66.1	65.0
213	66.1	65.0
214	66.1	65.0
215	66.4	65.0
216	66.9	64.7
217	55.7	64.7
218	55.7	64.7
219	56.0	64.7
220	56.0	64.7
221	56.0	64.7
222	56.0	64.7
223	56.0	64.7
224	67.2	64.7
225	66.9	64.7
226	64.7	64.7
227	62.4	64.7
228	60.7	64.7
229	59.9	64.7
230	59.1	64.7
231	59.1	64.5
232	59.6	64.5
233	61.0	64.5
234	61.6	64.5
235	62.1	64.5
236	63.3	64.4
237	62.4	64.4
238	63.0	64.4
239	63.3	64.2
240	63.6	64.2
241	52.9	64.2
242	53.1	64.2
243	53.4	64.1
244	53.7	64.1
245	53.7	63.9
246	53.7	63.9
247	53.7	63.9
248	65.2	63.9
249	64.7	63.9
250	60.7	63.9
251	57.1	63.9
252	53.7	63.8
253	51.5	63.8
254	50.1	63.8
255	49.8	63.8
256	50.9	63.8
257	53.1	63.8
258	54.8	63.8
259	56.5	63.7
260	57.9	63.7
261	59.6	63.7
262	61.3	63.6
263	63.0	63.6
264	64.4	63.6
265	56.2	63.6
266	60.2	63.6
267	63.8	63.6
268	66.1	63.6
269	68.1	63.6
270	70.3	63.6
271	72.0	63.4
272	84.9	63.4
273	84.6	63.3
274	82.7	63.3
275	80.7	63.3
276	78.2	63.3
277	77.3	63.3
278	78.7	63.3
279	79.6	63.3
280	81.0	63.3
281	83.5	63.3
282	84.1	63.3
283	84.9	63.3
284	85.8	63.3
285	86.3	63.2
286	87.2	63.2
287	88.0	63.2
288	88.6	63.0
289	76.2	63.0
290	75.4	63.0
291	72.3	63.0
292	70.9	63.0
293	69.7	63.0
294	68.6	63.0
295	67.8	63.0
296	78.2	62.9
297	77.3	62.7
298	73.7	62.7
299	70.3	62.7
300	67.8	62.7
301	65.8	62.7
302	65.0	62.7
303	64.7	62.7
304	65.5	62.7
305	67.2	62.7
306	66.9	62.7
307	66.9	62.7
308	66.9	62.7
309	66.9	62.7
310	67.2	62.5
311	66.6	62.5
312	66.6	62.5
313	56.5	62.4
314	57.6	62.4
315	58.8	62.4
316	59.3	62.4
317	60.2	62.4
318	60.7	62.2
319	61.3	62.2
320	72.8	62.2
321	72.8	62.2
322	71.4	62.1
323	69.2	62.1
324	67.8	62.1
325	66.9	62.1
326	66.4	62.1
327	66.4	62.1
328	66.9	62.1
329	68.1	61.9
330	69.5	61.9
331	70.3	61.9
332	71.4	61.9
333	72.6	61.9
334	73.4	61.9
335	74.5	61.9
336	75.6	61.6
337	66.1	61.6
338	66.1	61.6
339	66.9	61.6
340	67.5	61.6
341	68.1	61.6
342	68.3	61.6
343	68.9	61.6
344	80.4	61.4
345	80.1	61.4
346	77.9	61.3
347	76.2	61.3
348	74.8	61.3
349	73.7	61.3
350	73.4	61.3
351	74.0	61.3
352	74.8	61.3
353	75.9	61.3
354	76.2	61.3
355	76.2	61.0
356	76.5	61.0
357	76.8	61.0
358	76.8	61.0
359	76.8	61.0
360	77.0	61.0
361	65.5	61.0
362	65.2	60.9
363	65.0	60.9
364	64.4	60.7
365	64.1	60.7
366	63.8	60.7
367	63.6	60.7
368	74.5	60.7
369	74.0	60.7
370	72.8	60.7
371	71.7	60.7
372	70.9	60.7
373	70.0	60.7
374	63.3	60.7
375	59.6	60.5
376	58.5	60.5
377	60.7	60.5
378	61.3	60.5
379	61.6	60.5
380	62.1	60.2
381	62.7	60.2
382	63.0	60.2
383	63.6	60.2
384	63.8	60.2
385	54.0	60.2
386	55.1	60.2
387	56.5	60.2
388	57.1	60.2
389	57.6	60.1
390	58.5	59.9
391	58.8	59.9
392	70.6	59.9
393	70.0	59.9
394	62.4	59.9
395	55.4	59.9
396	49.2	59.9
397	45.3	59.9
398	43.3	59.9
399	43.3	59.8
400	46.1	59.6
401	51.2	59.6
402	51.7	59.6
403	52.6	59.6
404	53.1	59.6
405	54.0	59.6
406	54.6	59.6
407	55.4	59.6
408	56.0	59.6
409	45.3	59.6
410	45.6	59.6
411	46.1	59.6
412	46.1	59.6
413	46.4	59.6
414	46.4	59.6
415	46.4	59.3
416	57.9	59.3
417	57.4	59.3
418	56.5	59.3
419	55.4	59.3
420	54.6	59.3
421	53.4	59.3
422	46.1	59.3
423	42.5	59.1
424	41.3	59.1
425	43.9	59.1
426	44.4	59.1
427	45.0	59.0
428	45.6	59.0
429	45.8	59.0
430	46.4	59.0
431	47.0	58.8
432	47.5	58.8
433	37.1	58.8
434	38.0	58.8
435	38.8	58.8
436	39.1	58.8
437	39.4	58.8
438	39.9	58.8
439	39.9	58.7
440	51.5	58.7
441	51.2	58.7
442	50.3	58.7
443	49.8	58.7
444	48.9	58.7
445	48.6	58.5
446	42.2	58.5
447	38.0	58.5
448	36.3	58.5
449	38.5	58.5
450	39.4	58.5
451	40.5	58.5
452	41.3	58.5
453	42.5	58.5
454	43.6	58.3
455	44.4	58.3
456	45.6	58.3
457	35.4	58.2
458	36.8	58.2
459	38.2	58.2
460	39.1	58.2
461	39.9	58.2
462	40.8	58.2
463	41.1	58.2
464	52.9	58.2
465	52.6	58.2
466	51.7	58.1
467	51.5	58.1
468	50.6	58.1
469	50.1	57.9
470	44.7	57.9
471	42.5	57.9
472	41.9	57.9
473	43.9	57.9
474	44.4	57.9
475	44.7	57.9
476	45.3	57.9
477	45.8	57.9
478	46.1	57.9
479	46.7	57.9
480	47.0	57.9
481	35.7	57.9
482	35.7	57.8
483	35.4	57.6
484	35.4	57.6
485	35.2	57.6
486	35.2	57.6
487	34.9	57.6
488	46.1	57.6
489	45.6	57.6
490	40.8	57.6
491	36.3	57.6
492	32.1	57.6
493	28.7	57.6
494	26.4	57.6
495	26.2	57.6
496	27.6	57.4
497	30.7	57.4
498	31.5	57.3
499	32.6	57.3
500	33.5	57.3
501	34.6	57.3
502	35.7	57.3
503	36.6	57.3
504	37.7	57.3
505	28.1	57.1
506	29.5	57.1
507	31.2	57.1
508	31.8	57.1
509	32.6	57.1
510	33.2	57.1
511	33.7	57.1
512	45.3	57.1
513	44.7	57.0
514	39.4	57.0
515	35.2	57.0
516	30.4	57.0
517	27.3	57.0
518	23.3	57.0
519	21.7	57.0
520	21.9	57.0
521	25.6	56.8
522	28.1	56.8
523	30.4	56.8
524	32.9	56.8
525	35.4	56.8
526	37.7	56.8
527	40.2	56.8
528	42.5	56.8
529	34.0	56.8
530	37.1	56.8
531	39.9	56.8
532	41.6	56.5
533	43.0	56.5
534	44.7	56.5
535	45.6	56.5
536	57.9	56.5
537	56.2	56.5
538	47.2	56.5
539	39.4	56.5
540	33.5	56.5
541	29.0	56.5
542	26.4	56.5
543	26.2	56.5
544	28.4	56.5
545	34.0	56.5
546	37.4	56.5
547	40.8	56.5
548	44.1	56.5
549	47.5	56.5
550	50.9	56.5
551	54.3	56.5
552	57.6	56.3
553	49.5	56.3
554	52.9	56.3
555	56.2	56.2
556	58.2	56.2
557	60.2	56.2
558	62.1	56.2
559	63.6	56.2
560	76.2	56.1
561	75.6	56.1
562	70.0	56.0
563	64.4	56.0
564	60.7	56.0
565	58.8	56.0
566	56.0	56.0
567	55.1	56.0
568	55.7	56.0
569	59.9	56.0
570	60.7	56.0
571	61.6	56.0
572	62.1	56.0
573	63.0	56.0
574	63.8	55.9
575	64.7	55.9
576	65.5	55.9
577	53.1	55.9
578	52.0	55.9
579	50.9	55.9
580	50.1	55.8
581	49.5	55.8
582	48.6	55.8
583	48.1	55.8
584	59.1	55.7
585	58.2	55.7
586	56.0	55.7
587	56.5	55.6
588	53.1	55.6
589	51.2	55.6
590	50.6	55.6
591	50.9	55.6
592	50.3	55.6
593	52.3	55.6
