# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	5.1	24.1
2	5.5	23.9
3	5.9	23.7
4	6.0	23.5
5	6.2	23.3
6	6.3	23.1
7	6.4	23.1
8	9.6	23.0
9	9.4	22.9
10	8.3	22.7
11	7.3	22.5
12	6.5	22.0
13	6.0	21.9
14	5.7	21.9
15	5.7	21.8
16	6.0	21.8
17	6.6	21.6
18	7.1	21.4
19	7.6	21.3
20	8.0	21.3
21	8.5	21.3
22	8.9	21.2
23	9.5	21.1
24	9.9	21.1
25	7.8	21.1
26	8.9	21.0
27	9.9	21.0
28	10.5	20.9
29	11.0	20.9
30	11.6	20.9
31	12.0	20.9
32	15.5	20.9
33	15.5	20.8
34	14.1	20.8
35	13.0	20.7
36	11.9	20.7
37	11.3	20.7
38	11.0	20.7
39	11.0	20.7
40	11.6	20.6
41	12.6	20.6
42	13.0	20.6
43	13.4	20.6
44	13.8	20.6
45	14.1	20.5
46	14.4	20.3
47	14.8	20.3
48	15.2	20.3
49	12.1	20.3
50	11.9	20.2
51	11.8	20.2
52	11.7	20.2
53	11.6	20.2
54	11.5	20.2
55	11.5	20.2
56	14.4	20.1
57	14.3	20.1
58	13.1	20.0
59	12.0	20.0
60	11.3	20.0
61	10.8	20.0
62	10.5	20.0
63	10.5	20.0
64	10.8	19.9
65	11.4	19.9
66	11.6	19.9
67	11.8	19.8
68	11.9	19.8
69	12.1	19.8
70	12.3	19.8
71	12.5	19.8
72	12.6	19.7
73	9.9	19.7
74	10.4	19.7
75	10.7	19.6
76	10.9	19.6
77	11.1	19.6
78	11.2	19.6
79	11.4	19.5
80	14.6	19.5
81	14.6	19.5
82	14.2	19.4
83	13.9	19.4
84	13.8	19.4
85	13.7	19.3
86	13.6	19.3
87	13.7	19.3
88	13.8	19.3
89	14.1	19.2
90	14.3	19.2
91	14.4	19.2
92	14.7	19.2
93	14.8	19.1
94	15.1	19.1
95	15.3	19.1
96	15.7	19.1
97	12.5	19.1
98	12.5	19.0
99	12.5	19.0
100	12.5	19.0
101	12.5	19.0
102	12.5	19.0
103	12.5	19.0
104	15.5	19.0
105	15.4	19.0
106	14.8	18.9
107	14.2	18.9
108	13.7	18.9
109	13.4	18.8
110	13.1	18.8
111	13.1	18.8
112	13.3	18.8
113	13.7	18.8
114	13.9	18.7
115	14.1	18.7
116	14.4	18.7
117	14.6	18.7
118	14.9	18.7
119	15.1	18.7
120	15.5	18.7
121	12.5	18.7
122	12.9	18.6
123	13.3	18.6
124	13.5	18.6
125	13.7	18.6
126	13.8	18.6
127	14.0	18.6
128	17.2	18.5
129	17.2	18.5
130	16.7	18.5
131	16.3	18.5
132	16.0	18.5
133	15.7	18.5
134	15.7	18.5
135	15.7	18.4
136	15.8	18.4
137	16.2	18.4
138	16.4	18.4
139	16.6	18.4
140	16.7	18.4
141	17.0	18.3
142	17.2	18.3
143	17.4	18.3
144	17.6	18.3
145	14.5	18.3
146	14.6	18.3
147	14.6	18.3
148	14.6	18.3
149	14.6	18.2
150	14.6	18.2
151	14.6	18.2
152	17.7	18.2
153	17.4	18.2
154	16.0	18.2
155	14.7	18.2
156	13.5	18.2
157	12.7	18.2
158	12.2	18.2
159	12.3	18.2
160	12.9	18.2
161	13.8	18.2
162	14.0	18.1
163	14.2	18.1
164	14.4	18.1
165	14.7	18.1
166	14.9	18.1
167	15.2	18.1
168	15.4	18.0
169	12.8	18.0
170	13.1	18.0
171	13.5	18.0
172	13.8	18.0
173	14.0	18.0
174	14.2	18.0
175	14.4	18.0
176	17.6	18.0
177	17.6	18.0
178	17.0	18.0
179	16.8	18.0
180	16.9	17.9
181	16.9	17.9
182	16.2	17.9
183	15.9	17.9
184	15.8	17.9
185	16.2	17.9
186	16.5	17.9
187	16.8	17.9
188	17.0	17.9
189	17.4	17.9
190	17.6	17.8
191	17.9	17.8
192	18.2	17.8
193	15.3	17.8
194	15.4	17.8
195	15.6	17.8
196	15.7	17.8
197	15.7	17.8
198	15.9	17.8
199	16.0	17.7
200	19.0	17.7
201	19.0	17.7
202	18.3	17.7
203	17.8	17.7
204	17.4	17.7
205	17.0	17.7
206	17.0	17.7
207	16.9	17.7
208	17.1	17.7
209	17.6	17.7
210	17.7	17.7
211	17.7	17.7
212	18.0	17.7
213	18.0	17.6
214	18.0	17.6
215	18.0	17.6
216	18.2	17.6
217	15.1	17.6
218	15.1	17.6
219	15.2	17.6
220	15.2	17.6
221	15.2	17.6
222	15.2	17.6
223	15.2	17.6
224	18.3	17.6
225	18.2	17.6
226	17.6	17.6
227	17.0	17.6
228	16.5	17.6
229	16.3	17.6
230	16.1	17.6
231	16.1	17.6
232	16.2	17.5
233	16.6	17.5
234	16.7	17.5
235	16.9	17.5
236	17.2	17.5
237	17.0	17.5
238	17.1	17.5
239	17.2	17.5
240	17.3	17.4
241	14.4	17.4
242	14.4	17.4
243	14.5	17.4
244	14.6	17.4
245	14.6	17.4
246	14.6	17.4
247	14.6	17.4
248	17.7	17.4
249	17.6	17.4
250	16.5	17.4
251	15.5	17.4
252	14.6	17.4
253	14.0	17.4
254	13.6	17.4
255	13.5	17.3
256	13.8	17.3
257	14.4	17.3
258	14.9	17.3
259	15.4	17.3
260	15.7	17.3
261	16.2	17.3
262	16.7	17.3
263	17.1	17.3
264	17.5	17.3
265	15.3	17.3
266	16.4	17.3
267	17.4	17.2
268	18.0	17.2
269	18.5	17.2
270	19.1	17.2
271	19.6	17.2
272	23.1	17.2
273	23.0	17.2
274	22.5	17.2
275	21.9	17.2
276	21.3	17.2
277	21.0	17.2
278	21.4	17.2
279	21.6	17.2
280	22.0	17.1
281	22.7	17.1
282	22.9	17.1
283	23.1	17.1
284	23.3	17.1
285	23.5	17.1
286	23.7	17.1
287	23.9	17.1
288	24.1	17.1
289	20.7	17.1
290	20.5	17.0
291	19.6	17.0
292	19.3	17.0
293	19.0	17.0
294	18.7	17.0
295	18.4	17.0
296	21.3	17.0
297	21.0	17.0
298	20.0	17.0
299	19.1	17.0
300	18.4	17.0
301	17.9	17.0
302	17.7	17.0
303	17.6	17.0
304	17.8	17.0
305	18.3	17.0
306	18.2	17.0
307	18.2	17.0
308	18.2	16.9
309	18.2	16.9
310	18.3	16.9
311	18.1	16.9
312	18.1	16.9
313	15.4	16.9
314	15.7	16.9
315	16.0	16.9
316	16.1	16.9
317	16.4	16.9
318	16.5	16.9
319	16.7	16.9
320	19.8	16.9
321	19.8	16.9
322	19.4	16.9
323	18.8	16.9
324	18.4	16.8
325	18.2	16.8
326	18.0	16.8
327	18.0	16.8
328	18.2	16.8
329	18.5	16.7
330	18.9	16.7
331	19.1	16.7
332	19.4	16.7
333	19.7	16.7
334	20.0	16.7
335	20.3	16.7
336	20.6	16.7
337	18.0	16.7
338	18.0	16.7
339	18.2	16.7
340	18.3	16.7
341	18.5	16.7
342	18.6	16.7
343	18.7	16.6
344	21.9	16.6
345	21.8	16.6
346	21.2	16.6
347	20.7	16.6
348	20.3	16.6
349	20.0	16.6
350	20.0	16.6
351	20.1	16.6
352	20.3	16.6
353	20.6	16.5
354	20.7	16.5
355	20.7	16.5
356	20.8	16.5
357	20.9	16.5
358	20.9	16.5
359	20.9	16.5
360	20.9	16.5
361	17.8	16.5
362	17.7	16.5
363	17.7	16.5
364	17.5	16.5
365	17.4	16.5
366	17.4	16.5
367	17.3	16.4
368	20.3	16.4
369	20.1	16.4
370	19.8	16.4
371	19.5	16.4
372	19.3	16.4
373	19.0	16.4
374	17.2	16.4
375	16.2	16.4
376	15.9	16.4
377	16.5	16.4
378	16.7	16.4
379	16.7	16.4
380	16.9	16.3
381	17.0	16.3
382	17.1	16.3
383	17.3	16.3
384	17.4	16.3
385	14.7	16.3
386	15.0	16.3
387	15.4	16.3
388	15.5	16.3
389	15.7	16.3
390	15.9	16.3
391	16.0	16.3
392	19.2	16.3
393	19.0	16.3
394	17.0	16.2
395	15.1	16.2
396	13.4	16.2
397	12.3	16.2
398	11.8	16.2
399	11.8	16.2
400	12.5	16.2
401	13.9	16.2
402	14.1	16.2
403	14.3	16.2
404	14.4	16.2
405	14.7	16.2
406	14.8	16.2
407	15.1	16.2
408	15.2	16.1
409	12.3	16.1
410	12.4	16.1
411	12.5	16.1
412	12.5	16.1
413	12.6	16.1
414	12.6	16.1
415	12.6	16.1
416	15.7	16.0
417	15.6	16.0
418	15.4	16.0
419	15.1	16.0
420	14.8	16.0
421	14.5	16.0
422	12.5	16.0
423	11.5	16.0
424	11.2	16.0
425	11.9	16.0
426	12.1	16.0
427	12.2	16.0
428	12.4	16.0
429	12.5	16.0
430	12.6	16.0
431	12.8	16.0
432	12.9	16.0
433	10.1	16.0
434	10.3	16.0
435	10.5	16.0
436	10.6	15.9
437	10.7	15.9
438	10.9	15.9
439	10.9	15.9
440	14.0	15.9
441	13.9	15.9
442	13.7	15.9
443	13.5	15.9
444	13.3	15.9
445	13.2	15.9
446	11.5	15.9
447	10.3	15.9
448	9.9	15.8
449	10.5	15.8
450	10.7	15.8
451	11.0	15.8
452	11.2	15.8
453	11.5	15.8
454	11.8	15.8
455	12.1	15.8
456	12.4	15.8
457	9.6	15.8
458	10.0	15.8
459	10.4	15.8
460	10.6	15.7
461	10.9	15.7
462	11.1	15.7
463	11.2	15.7
464	14.4	15.7
465	14.3	15.7
466	14.1	15.7
467	14.0	15.7
468	13.8	15.7
469	13.6	15.7
470	12.2	15.7
471	11.5	15.7
472	11.4	15.7
473	11.9	15.7
474	12.1	15.7
475	12.2	15.7
476	12.3	15.7
477	12.5	15.7
478	12.5	15.7
479	12.7	15.7
480	12.8	15.7
481	9.7	15.7
482	9.7	15.7
483	9.6	15.7
484	9.6	15.7
485	9.6	15.7
486	9.6	15.6
487	9.5	15.6
488	12.5	15.6
489	12.4	15.6
490	11.1	15.6
491	9.9	15.6
492	8.7	15.6
493	7.8	15.6
494	7.2	15.6
495	7.1	15.6
496	7.5	15.6
497	8.3	15.6
498	8.6	15.6
499	8.9	15.6
500	9.1	15.6
501	9.4	15.6
502	9.7	15.6
503	9.9	15.5
504	10.2	15.5
505	7.6	15.5
506	8.0	15.5
507	8.5	15.5
508	8.6	15.5
509	8.9	15.5
510	9.0	15.5
511	9.2	15.5
512	12.3	15.5
513	12.2	15.5
514	10.7	15.5
515	9.6	15.5
516	8.3	15.5
517	7.4	15.5
518	6.3	15.5
519	5.9	15.5
520	6.0	15.4
521	7.0	15.4
522	7.6	15.4
523	8.3	15.4
524	8.9	15.4
525	9.6	15.4
526	10.2	15.4
527	10.9	15.4
528	11.5	15.4
529	9.2	15.4
530	10.1	15.4
531	10.9	15.4
532	11.3	15.4
533	11.7	15.3
534	12.2	15.3
535	12.4	15.3
536	15.7	15.3
537	15.3	15.3
538	12.8	15.3
539	10.7	15.3
540	9.1	15.3
541	7.9	15.3
542	7.2	15.3
543	7.1	15.3
544	7.7	15.3
545	9.2	15.3
546	10.2	15.3
547	11.1	15.3
548	12.0	15.3
549	12.9	15.3
550	13.8	15.3
551	14.8	15.2
552	15.7	15.2
553	13.5	15.2
554	14.4	15.2
555	15.3	15.2
556	15.8	15.2
557	16.4	15.2
558	16.9	15.2
559	17.3	15.2
560	20.7	15.2
561	20.6	15.2
562	19.0	15.2
563	17.5	15.2
564	16.5	15.2
565	16.0	15.2
566	15.2	15.2
567	15.0	15.2
568	15.1	15.2
569	16.3	15.2
570	16.5	15.2
571	16.7	15.2
572	16.9	15.2
573	17.1	15.2
574	17.4	15.2
575	17.6	15.2
576	17.8	15.2
577	14.4	15.2
578	14.1	15.1
579	13.8	15.1
580	13.6	15.1
581	13.5	15.1
582	13.2	15.1
583	13.1	15.1
584	16.1	15.1
585	15.8	15.1
586	15.2	15.1
587	15.4	15.1
588	14.4	15.1
589	13.9	15.1
590	13.8	15.1
591	13.8	15.1
592	13.7	15.1
593	14.2	15.1
594	14.3	15.1
595	14.2	15.0
596	14.1	15.0
597	14.1	15.0
598	14.1	15.0
599	14.1	15.0
600	14.0	15.0
601	11.2	15.0
602	11.3	15.0
603	11.5	15.0
604	11.5	15.0
605	11.6	15.0
606	11.7	15.0
607	11.8	15.0
608	14.8	15.0
609	14.1	15.0
610	12.4	15.0
611	11.5	15.0
612	10.6	15.0
613	8.9	15.0
614	7.8	15.0
615	7.1	15.0
616	7.0	15.0
617	7.9	15.0
618	9.1	15.0
619	9.3	15.0
620	9.5	15.0
621	9.7	14.9
622	9.9	14.9
623	10.2	14.9
624	10.4	14.9
625	7.6	14.9
626	7.9	14.9
627	8.2	14.9
628	8.3	14.9
629	8.5	14.9
630	8.6	14.9
631	8.7	14.8
632	11.9	14.8
633	11.8	14.8
634	11.6	14.8
635	11.4	14.8
636	11.3	14.8
637	11.2	14.8
638	11.5	14.8
639	11.1	14.8
640	11.4	14.8
641	11.4	14.8
642	11.5	14.8
643	11.8	14.8
644	12.2	14.8
645	12.3	14.8
646	12.5	14.8
647	12.8	14.8
648	13.1	14.7
649	10.2	14.7
650	10.6	14.7
651	11.0	14.7
652	11.1	14.7
653	11.2	14.7
654	11.5	14.7
655	11.5	14.7
656	14.8	14.7
657	14.5	14.7
658	13.7	14.7
659	13.4	14.7
660	12.8	14.7
661	12.5	14.7
662	12.2	14.7
663	12.3	14.7
664	12.5	14.7
665	12.9	14.7
666	13.3	14.7
667	13.5	14.7
668	13.7	14.7
669	13.8	14.7
670	14.1	14.7
671	14.2	14.7
672	14.4	14.6
673	11.5	14.6
674	11.5	14.6
675	11.5	14.6
676	11.5	14.6
677	11.5	14.6
678	11.5	14.6
679	11.5	14.6
680	14.6	14.6
681	14.4	14.6
682	12.9	14.6
683	11.8	14.6
684	10.2	14.6
685	8.9	14.6
686	8.4	14.6
687	8.4	14.6
688	8.9	14.6
689	9.6	14.6
690	10.5	14.6
691	10.5	14.6
692	10.7	14.6
693	10.9	14.6
694	11.0	14.6
695	11.2	14.6
696	11.3	14.6
697	8.5	14.6
698	8.8	14.5
699	9.0	14.5
700	9.2	14.5
701	9.3	14.5
702	9.4	14.5
703	9.6	14.5
704	12.7	14.5
705	12.5	14.5
706	12.0	14.5
