# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.1	34.2
2	8.6	34.0
3	9.1	33.6
4	9.4	33.3
5	9.6	33.1
6	9.8	32.8
7	9.9	32.8
8	14.2	32.7
9	14.0	32.5
10	12.5	32.3
11	11.1	32.0
12	10.0	31.3
13	9.3	31.2
14	8.8	31.1
15	8.8	31.0
16	9.4	30.8
17	10.1	30.7
18	10.8	30.7
19	11.5	30.5
20	12.1	30.3
21	12.7	30.3
22	13.4	30.2
23	14.1	30.1
24	14.7	30.0
25	11.8	30.0
26	13.2	30.0
27	14.6	30.0
28	15.5	29.9
29	16.2	29.8
30	17.0	29.8
31	17.6	29.8
32	22.4	29.8
33	22.4	29.8
34	20.5	29.8
35	18.9	29.7
36	17.5	29.5
37	16.6	29.5
38	16.2	29.5
39	16.2	29.5
40	17.0	29.5
41	18.4	29.5
42	18.9	29.4
43	19.5	29.4
44	20.0	29.4
45	20.4	29.3
46	20.9	29.3
47	21.4	29.2
48	22.0	29.0
49	17.7	29.0
50	17.5	29.0
51	17.2	28.9
52	17.1	28.9
53	17.0	28.9
54	16.9	28.7
55	16.8	28.7
56	20.9	28.6
57	20.7	28.6
58	19.0	28.6
59	17.6	28.6
60	16.6	28.5
61	15.9	28.5
62	15.5	28.5
63	15.5	28.5
64	15.9	28.5
65	16.7	28.3
66	17.0	28.3
67	17.2	28.3
68	17.5	28.3
69	17.7	28.3
70	18.0	28.3
71	18.2	28.2
72	18.4	28.2
73	14.6	28.1
74	15.4	28.1
75	15.8	28.1
76	16.0	28.0
77	16.3	28.0
78	16.5	28.0
79	16.7	27.9
80	21.1	27.9
81	21.1	27.8
82	20.6	27.8
83	20.2	27.7
84	20.0	27.7
85	19.9	27.7
86	19.8	27.6
87	19.9	27.6
88	20.1	27.5
89	20.4	27.5
90	20.7	27.5
91	20.9	27.4
92	21.2	27.4
93	21.4	27.3
94	21.8	27.3
95	22.1	27.3
96	22.7	27.3
97	18.2	27.2
98	18.2	27.2
99	18.2	27.2
100	18.3	27.2
101	18.2	27.2
102	18.2	27.2
103	18.2	27.2
104	22.4	27.1
105	22.3	27.1
106	21.4	27.1
107	20.6	27.1
108	19.9	27.0
109	19.5	27.0
110	19.1	26.9
111	19.0	26.9
112	19.3	26.8
113	19.9	26.8
114	20.2	26.7
115	20.5	26.7
116	20.8	26.7
117	21.1	26.6
118	21.6	26.6
119	21.8	26.6
120	22.4	26.6
121	18.3	26.6
122	18.8	26.6
123	19.3	26.6
124	19.7	26.5
125	19.9	26.5
126	20.1	26.5
127	20.3	26.5
128	24.7	26.5
129	24.7	26.5
130	24.1	26.5
131	23.4	26.5
132	23.0	26.5
133	22.7	26.5
134	22.6	26.5
135	22.6	26.5
136	22.8	26.4
137	23.3	26.4
138	23.6	26.4
139	23.9	26.4
140	24.1	26.4
141	24.4	26.4
142	24.7	26.4
143	24.9	26.4
144	25.2	26.3
145	21.0	26.3
146	21.1	26.3
147	21.1	26.3
148	21.1	26.3
149	21.1	26.3
150	21.1	26.2
151	21.1	26.2
152	25.3	26.2
153	25.0	26.2
154	23.0	26.2
155	21.2	26.2
156	19.7	26.2
157	18.5	26.2
158	17.9	26.2
159	18.0	26.1
160	18.8	26.1
161	20.0	26.1
162	20.3	26.1
163	20.6	26.1
164	20.9	26.1
165	21.2	26.1
166	21.6	26.1
167	22.0	26.1
168	22.3	26.1
169	18.7	26.1
170	19.1	26.1
171	19.7	26.1
172	20.0	26.1
173	20.3	26.0
174	20.6	26.0
175	20.8	26.0
176	25.2	26.0
177	25.2	26.0
178	24.5	25.9
179	24.2	25.9
180	24.3	25.9
181	24.3	25.9
182	23.3	25.9
183	22.9	25.9
184	22.8	25.9
185	23.3	25.8
186	23.8	25.8
187	24.2	25.8
188	24.5	25.8
189	24.9	25.8
