# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	72.1	339.1
2	77.5	337.0
3	82.9	333.7
4	85.0	330.5
5	87.2	328.3
6	89.4	325.1
7	90.4	325.1
8	134.6	324.0
9	132.4	321.9
10	117.3	319.7
11	103.3	316.5
12	91.5	310.0
13	84.0	309.0
14	79.7	309.0
15	79.7	307.9
16	85.0	306.8
17	92.6	304.7
18	100.1	302.5
19	106.6	301.4
20	113.0	299.3
21	119.5	299.3
22	126.0	299.2
23	133.5	299.2
24	139.9	299.2
25	109.8	298.2
26	124.9	296.0
27	138.9	296.0
28	147.5	296.0
29	155.0	295.3
30	163.6	295.0
31	169.0	294.9
32	218.5	293.9
33	218.5	293.9
34	199.2	293.9
35	183.0	292.8
36	167.9	291.7
37	159.3	291.7
38	155.0	291.7
39	155.0	291.7
40	163.6	291.7
41	177.6	291.6
42	183.0	290.7
43	188.4	289.6
44	193.8	289.6
45	198.1	289.2
46	203.5	289.2
47	208.8	288.5
48	214.2	287.3
49	170.1	287.3
50	167.9	286.4
51	165.8	286.4
52	164.7	286.2
53	163.6	286.2
54	162.6	285.3
55	161.5	285.3
56	203.5	284.0
57	201.3	284.0
58	184.1	283.2
59	169.0	283.1
60	159.3	283.1
61	151.8	282.9
62	147.5	282.0
63	147.5	282.0
64	151.8	281.8
65	160.4	281.8
66	163.6	281.0
67	165.8	281.0
68	167.9	280.7
69	170.1	280.7
70	173.3	279.6
71	175.5	278.8
72	177.6	278.8
73	138.9	278.8
74	146.4	278.1
75	150.7	277.7
76	152.9	277.5
77	156.1	277.5
78	158.2	276.7
79	160.4	276.4
80	205.6	276.4
81	205.6	275.6
82	200.2	274.5
83	195.9	274.2
84	193.8	274.1
85	192.7	273.4
86	191.6	273.4
87	192.7	273.1
88	194.9	272.1
89	198.1	272.0
90	201.3	272.0
91	203.5	272.0
92	206.7	271.3
93	208.8	271.3
94	212.1	270.9
95	215.3	270.2
96	221.8	269.9
97	175.5	269.1
98	175.5	269.1
99	175.5	269.1
100	176.5	268.1
101	175.5	268.1
102	175.5	268.1
103	175.5	268.1
104	218.5	267.7
105	217.5	267.7
106	208.8	267.0
107	200.2	267.0
108	192.7	266.6
109	188.4	266.6
110	185.2	266.6
111	184.1	266.6
112	187.3	266.0
113	192.7	265.9
114	195.9	265.5
115	199.2	265.5
116	202.4	265.5
117	205.6	265.5
118	209.9	265.5
119	212.1	265.5
120	218.5	264.8
121	176.5	264.4
122	181.9	264.4
123	187.3	264.4
124	190.5	264.0
125	192.7	263.7
126	194.9	263.3
127	197.0	263.3
128	242.2	262.7
129	242.2	262.2
130	235.8	262.2
131	229.3	262.2
132	225.0	261.6
133	221.8	261.1
134	220.7	261.1
135	220.7	260.5
136	222.8	260.5
137	228.2	260.5
138	230.4	260.0
139	233.6	259.4
140	235.8	259.4
141	239.0	259.4
142	242.2	259.0
143	244.4	259.0
144	247.6	259.0
145	204.5	259.0
146	205.6	258.4
147	205.6	258.4
148	205.6	257.9
149	205.6	257.9
150	205.6	257.9
151	205.6	257.3
152	248.7	257.3
153	245.4	257.3
154	225.0	257.0
155	206.7	256.8
156	190.5	256.8
157	178.7	256.2
158	172.2	256.2
159	173.3	256.2
160	181.9	256.2
161	193.8	256.2
162	197.0	256.2
163	200.2	256.2
164	203.5	256.2
165	206.7	256.2
166	209.9	256.2
167	214.2	255.7
168	217.5	255.7
169	180.9	255.7
170	185.2	255.1
171	190.5	255.1
