# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	2.7	7.4
2	2.8	7.4
3	2.9	7.3
4	2.9	7.3
5	3.0	7.3
6	3.0	7.2
7	3.1	7.2
8	3.1	7.1
9	3.0	7.1
10	2.7	7.1
11	2.4	7.1
12	2.2	7.0
13	2.0	7.0
14	1.9	7.0
15	1.9	6.9
16	2.0	6.9
17	2.2	6.8
18	2.4	6.8
19	2.5	6.8
20	2.6	6.8
21	2.8	6.8
22	2.9	6.8
23	3.1	6.7
24	3.2	6.7
25	3.5	6.7
26	3.8	6.7
27	4.1	6.7
28	4.3	6.7
29	4.4	6.7
30	4.6	6.7
31	4.7	6.7
32	4.9	6.7
33	4.9	6.6
34	4.4	6.6
35	4.1	6.6
36	3.8	6.6
37	3.6	6.6
38	3.5	6.6
39	3.5	6.6
40	3.7	6.6
41	4.0	6.6
42	4.1	6.6
43	4.2	6.6
44	4.3	6.6
45	4.4	6.5
46	4.5	6.5
47	4.7	6.5
48	4.8	6.5
49	4.7	6.5
50	4.7	6.5
51	4.7	6.5
52	4.6	6.5
53	4.6	6.5
54	4.6	6.5
55	4.6	6.5
56	4.5	6.5
57	4.5	6.5
58	4.1	6.5
59	3.8	6.5
60	3.6	6.5
61	3.4	6.4
62	3.4	6.4
63	3.4	6.4
64	3.4	6.4
65	3.6	6.4
66	3.7	6.4
67	3.7	6.4
68	3.8	6.4
69	3.8	6.4
70	3.9	6.4
71	3.9	6.4
72	4.0	6.4
73	4.1	6.4
74	4.2	6.4
75	4.3	6.4
76	4.4	6.4
77	4.4	6.4
78	4.5	6.4
79	4.5	6.4
80	4.6	6.4
81	4.6	6.4
82	4.5	6.3
83	4.4	6.3
84	4.3	6.3
85	4.3	6.3
86	4.3	6.3
87	4.3	6.3
88	4.4	6.3
89	4.4	6.3
90	4.5	6.3
91	4.5	6.3
92	4.6	6.3
93	4.7	6.3
94	4.7	6.3
95	4.8	6.3
96	4.9	6.3
97	4.9	6.3
98	4.9	6.3
99	4.9	6.3
100	4.9	6.3
101	4.9	6.3
102	4.9	6.3
103	4.9	6.3
104	4.9	6.2
105	4.8	6.2
106	4.7	6.2
107	4.5	6.2
108	4.3	6.2
109	4.2	6.2
110	4.2	6.2
111	4.1	6.2
112	4.2	6.2
113	4.3	6.2
114	4.4	6.2
115	4.4	6.2
116	4.5	6.2
117	4.6	6.2
118	4.7	6.2
119	4.7	6.2
120	4.9	6.2
121	4.9	6.2
122	5.0	6.2
123	5.1	6.2
124	5.2	6.2
125	5.2	6.2
126	5.3	6.1
127	5.3	6.1
128	5.4	6.1
129	5.4	6.1
130	5.2	6.1
131	5.1	6.1
132	5.0	6.1
133	4.9	6.1
134	4.9	6.1
135	4.9	6.1
136	5.0	6.1
137	5.1	6.1
138	5.1	6.1
139	5.2	6.1
140	5.2	6.1
141	5.3	6.0
142	5.4	6.0
143	5.4	6.0
144	5.5	6.0
145	5.5	6.0
146	5.5	6.0
147	5.5	6.0
148	5.5	6.0
149	5.5	6.0
150	5.5	6.0
151	5.5	6.0
152	5.5	6.0
153	5.4	6.0
154	5.0	6.0
155	4.6	6.0
156	4.3	6.0
157	4.0	6.0
158	3.9	5.9
