# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	9.2	43.3
2	9.9	43.0
3	10.6	42.6
4	10.9	42.2
5	11.1	41.9
6	11.4	41.5
7	11.5	41.5
8	17.2	41.3
9	16.9	41.1
10	15.0	40.8
11	13.2	40.4
12	11.7	39.6
13	10.7	39.4
14	10.2	39.3
15	10.2	39.2
16	10.9	39.1
17	11.8	38.9
18	12.8	38.5
19	13.6	38.4
20	14.4	38.2
21	15.2	38.2
22	16.1	38.0
23	17.0	38.0
24	17.9	38.0
25	14.0	38.0
26	15.9	37.9
27	17.7	37.8
28	18.8	37.8
29	19.8	37.6
30	20.9	37.6
31	21.6	37.5
32	27.9	37.5
33	27.9	37.5
34	25.4	37.4
35	23.3	37.4
36	21.4	37.2
37	20.3	37.2
38	19.8	37.2
39	19.8	37.2
40	20.9	37.2
41	22.7	37.1
42	23.3	37.1
43	24.0	37.1
44	24.7	37.0
45	25.3	36.9
46	26.0	36.9
47	26.6	36.8
48	27.3	36.5
49	21.7	36.5
50	21.4	36.5
51	21.2	36.5
52	21.0	36.4
53	20.9	36.4
54	20.7	36.3
55	20.6	36.3
56	26.0	36.3
57	25.7	36.1
58	23.5	36.1
59	21.6	36.0
60	20.3	36.0
61	19.4	36.0
62	18.8	36.0
63	18.8	35.9
64	19.4	35.8
65	20.5	35.8
66	20.9	35.8
67	21.2	35.8
68	21.4	35.7
69	21.7	35.6
70	22.1	35.6
71	22.4	35.6
72	22.7	35.6
73	17.7	35.6
74	18.7	35.5
75	19.2	35.4
76	19.5	35.3
77	19.9	35.2
78	20.2	35.2
79	20.5	35.2
80	26.2	35.1
81	26.2	35.1
82	25.5	35.1
83	25.0	35.0
84	24.7	34.9
85	24.6	34.9
86	24.4	34.9
87	24.6	34.8
88	24.9	34.7
89	25.3	34.6
90	25.7	34.6
91	26.0	34.5
92	26.4	34.5
93	26.6	34.5
94	27.1	34.5
95	27.5	34.4
96	28.3	34.3
97	22.4	34.3
98	22.4	34.3
99	22.4	34.2
100	22.5	34.2
101	22.4	34.2
102	22.4	34.2
103	22.4	34.2
104	27.9	34.1
105	27.7	34.1
106	26.6	34.1
107	25.5	34.0
108	24.6	34.0
109	24.0	33.9
110	23.6	33.9
111	23.5	33.8
112	23.9	33.8
113	24.6	33.8
114	25.0	33.8
115	25.4	33.8
116	25.8	33.7
117	26.2	33.7
118	26.8	33.7
119	27.1	33.7
120	27.9	33.7
121	22.5	33.7
122	23.2	33.7
123	23.9	33.6
124	24.3	33.6
125	24.6	33.6
126	24.9	33.5
127	25.1	33.4
128	30.9	33.4
129	30.9	33.4
130	30.1	33.3
131	29.3	33.3
132	28.7	33.3
133	28.3	33.3
134	28.2	33.2
135	28.2	33.2
136	28.4	33.2
137	29.1	33.2
138	29.4	33.1
139	29.8	33.1
140	30.1	33.1
141	30.5	33.1
142	30.9	33.1
143	31.2	33.0
144	31.6	33.0
145	26.1	33.0
146	26.2	32.9
147	26.2	32.9
148	26.2	32.9
149	26.2	32.8
150	26.2	32.8
151	26.2	32.8
152	31.7	32.7
153	31.3	32.7
154	28.7	32.7
155	26.4	32.7
156	24.3	32.7
157	22.8	32.7
158	22.0	32.7
159	22.1	32.7
160	23.2	32.7
161	24.7	32.7
162	25.1	32.7
163	25.5	32.7
164	26.0	32.7
165	26.4	32.7
166	26.8	32.7
167	27.3	32.6
168	27.7	32.6
169	23.1	32.6
170	23.6	32.6
171	24.3	32.6
172	24.7	32.6
173	25.1	32.6
174	25.5	32.5
175	25.8	32.5
176	31.6	32.5
177	31.6	32.4
178	30.6	32.4
179	30.2	32.4
180	30.4	32.4
181	30.4	32.4
182	29.1	32.3
183	28.6	32.3
184	28.4	32.3
185	29.1	32.3
186	29.7	32.3
187	30.2	32.3
188	30.6	32.3
189	31.2	32.3
190	31.6	32.3
191	32.1	32.3
192	32.7	32.2
193	27.5	32.2
194	27.7	32.2
195	28.0	32.2
196	28.2	32.2
197	28.3	32.2
198	28.6	32.2
199	28.7	32.2
200	34.2	32.1
201	34.1	32.1
202	33.0	32.0
203	32.0	32.0
204	31.2	32.0
205	30.6	32.0
206	30.5	32.0
207	30.4	32.0
208	30.8	32.0
209	31.6	32.0
210	31.7	32.0
211	31.9	31.9
212	32.3	31.9
213	32.3	31.9
214	32.3	31.9
215	32.4	31.9
216	32.7	31.9
217	27.2	31.9
218	27.2	31.9
219	27.3	31.9
220	27.3	31.9
221	27.3	31.8
222	27.3	31.8
223	27.3	31.8
224	32.8	31.8
225	32.7	31.8
226	31.6	31.7
227	30.5	31.7
228	29.7	31.7
229	29.3	31.7
230	28.8	31.7
231	28.8	31.7
232	29.1	31.6
233	29.8	31.6
234	30.1	31.6
235	30.4	31.6
236	30.9	31.6
237	30.5	31.6
238	30.8	31.6
239	30.9	31.6
240	31.0	31.6
241	25.8	31.6
242	26.0	31.6
243	26.1	31.5
244	26.2	31.5
245	26.2	31.5
246	26.2	31.5
247	26.2	31.5
248	31.9	31.3
249	31.6	31.3
250	29.7	31.3
251	27.9	31.3
252	26.2	31.3
253	25.1	31.3
254	24.4	31.2
255	24.3	31.2
256	24.9	31.2
257	26.0	31.2
258	26.8	31.2
259	27.6	31.2
260	28.3	31.2
261	29.1	31.2
262	29.9	31.2
263	30.8	31.1
