# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.0	14.3
2	3.3	14.2
3	3.5	14.1
4	3.6	13.9
5	3.7	13.9
6	3.8	13.7
7	3.8	13.7
8	5.7	13.7
9	5.6	13.6
10	5.0	13.5
11	4.4	13.4
12	3.9	13.1
13	3.5	13.1
14	3.4	13.0
15	3.4	13.0
16	3.6	12.9
17	3.9	12.9
18	4.2	12.8
19	4.5	12.7
20	4.8	12.7
21	5.0	12.7
22	5.3	12.7
23	5.6	12.6
24	5.9	12.6
25	4.6	12.6
26	5.3	12.5
27	5.9	12.5
28	6.2	12.5
29	6.5	12.5
30	6.9	12.4
31	7.1	12.4
32	9.2	12.4
33	9.2	12.4
34	8.4	12.4
35	7.7	12.4
36	7.1	12.3
37	6.7	12.3
38	6.5	12.3
39	6.5	12.3
40	6.9	12.3
41	7.5	12.3
42	7.7	12.2
43	8.0	12.2
44	8.2	12.2
45	8.4	12.2
46	8.6	12.2
47	8.8	12.1
48	9.0	12.1
49	7.2	12.1
50	7.1	12.1
51	7.0	12.0
52	7.0	12.0
53	6.9	12.0
54	6.9	12.0
55	6.8	12.0
56	8.6	12.0
57	8.5	11.9
58	7.8	11.9
59	7.1	11.9
60	6.7	11.9
61	6.4	11.9
62	6.2	11.9
63	6.2	11.9
64	6.4	11.9
65	6.8	11.9
66	6.9	11.9
67	7.0	11.8
68	7.1	11.8
69	7.2	11.8
70	7.3	11.8
71	7.4	11.8
72	7.5	11.8
73	5.9	11.7
74	6.2	11.7
75	6.4	11.7
76	6.5	11.7
77	6.6	11.7
78	6.7	11.7
79	6.8	11.6
80	8.7	11.6
81	8.7	11.6
82	8.5	11.6
83	8.3	11.5
84	8.2	11.5
85	8.1	11.5
86	8.1	11.5
87	8.1	11.5
88	8.2	11.5
89	8.4	11.5
90	8.5	11.4
91	8.6	11.4
92	8.7	11.4
93	8.8	11.4
94	8.9	11.4
95	9.1	11.4
96	9.4	11.4
97	7.4	11.3
98	7.4	11.3
99	7.4	11.3
100	7.5	11.3
101	7.4	11.3
102	7.4	11.3
103	7.4	11.3
104	9.2	11.3
105	9.2	11.3
106	8.8	11.3
107	8.5	11.3
108	8.1	11.3
109	8.0	11.3
110	7.8	11.2
111	7.8	11.2
112	7.9	11.2
113	8.1	11.2
114	8.3	11.2
115	8.4	11.2
116	8.5	11.2
117	8.7	11.2
118	8.9	11.2
119	8.9	11.2
120	9.2	11.2
121	7.5	11.2
122	7.7	11.2
123	7.9	11.1
124	8.0	11.1
125	8.1	11.1
126	8.2	11.1
127	8.3	11.1
128	10.2	11.1
129	10.2	11.1
130	9.9	11.1
131	9.7	11.0
132	9.5	11.0
133	9.4	11.0
134	9.3	11.0
135	9.3	11.0
136	9.4	11.0
137	9.6	11.0
138	9.7	11.0
139	9.9	10.9
140	9.9	10.9
141	10.1	10.9
142	10.2	10.9
143	10.3	10.9
144	10.4	10.9
145	8.6	10.9
146	8.7	10.9
147	8.7	10.9
148	8.7	10.9
149	8.7	10.9
150	8.7	10.9
151	8.7	10.9
152	10.5	10.8
153	10.4	10.8
154	9.5	10.8
155	8.7	10.8
156	8.0	10.8
157	7.5	10.8
158	7.3	10.8
159	7.3	10.8
160	7.7	10.8
161	8.2	10.8
162	8.3	10.8
163	8.5	10.8
164	8.6	10.8
165	8.7	10.8
166	8.9	10.8
167	9.0	10.8
168	9.2	10.8
169	7.6	10.8
170	7.8	10.7
171	8.0	10.7
172	8.2	10.7
173	8.3	10.7
174	8.5	10.7
175	8.5	10.7
176	10.4	10.7
177	10.4	10.7
178	10.1	10.7
179	10.0	10.7
180	10.0	10.7
181	10.0	10.7
182	9.6	10.7
183	9.4	10.7
184	9.4	10.7
185	9.6	10.7
186	9.8	10.7
187	10.0	10.7
188	10.1	10.6
189	10.3	10.6
190	10.4	10.6
191	10.6	10.6
192	10.8	10.6
193	9.1	10.6
194	9.2	10.6
195	9.3	10.6
196	9.3	10.6
197	9.4	10.6
198	9.4	10.6
199	9.5	10.6
200	11.3	10.6
201	11.3	10.6
202	10.9	10.6
203	10.6	10.6
204	10.3	10.5
205	10.1	10.5
206	10.1	10.5
207	10.0	10.5
208	10.2	10.5
209	10.4	10.5
210	10.5	10.5
211	10.5	10.5
212	10.7	10.5
213	10.7	10.5
214	10.7	10.5
215	10.7	10.5
216	10.8	10.5
217	9.0	10.5
218	9.0	10.5
219	9.0	10.4
220	9.0	10.4
221	9.0	10.4
222	9.0	10.4
223	9.0	10.4
224	10.9	10.4
225	10.8	10.4
226	10.4	10.4
227	10.1	10.4
228	9.8	10.4
229	9.7	10.4
230	9.5	10.4
231	9.5	10.4
232	9.6	10.4
233	9.9	10.4
234	9.9	10.4
235	10.0	10.4
236	10.2	10.4
237	10.1	10.4
238	10.2	10.3
239	10.2	10.3
240	10.3	10.3
241	8.5	10.3
242	8.6	10.3
243	8.6	10.3
244	8.7	10.3
245	8.7	10.3
246	8.7	10.3
247	8.7	10.3
248	10.5	10.3
249	10.4	10.3
250	9.8	10.3
251	9.2	10.3
252	8.7	10.3
253	8.3	10.3
254	8.1	10.3
255	8.0	10.3
256	8.2	10.3
257	8.6	10.3
258	8.9	10.3
259	9.1	10.3
260	9.4	10.3
261	9.6	10.3
262	9.9	10.3
263	10.2	10.3
264	10.4	10.2
265	9.1	10.2
266	9.7	10.2
267	10.3	10.2
268	10.7	10.2
