# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.4	48.8
2	11.2	48.5
3	11.9	48.0
4	12.2	47.6
5	12.5	47.2
6	12.9	46.8
7	13.0	46.8
8	19.4	46.6
9	19.1	46.3
10	16.9	46.0
11	14.9	45.5
12	13.2	44.6
13	12.1	44.5
14	11.5	44.4
15	11.5	44.3
16	12.2	44.1
17	13.3	43.8
18	14.4	43.5
19	15.3	43.4
20	16.3	43.1
21	17.2	43.1
22	18.1	43.0
23	19.2	43.0
24	20.1	43.0
25	15.8	42.9
26	18.0	42.6
27	20.0	42.6
28	21.2	42.5
29	22.3	42.4
30	23.5	42.4
31	24.3	42.4
32	31.4	42.3
33	31.4	42.3
34	28.7	42.3
35	26.3	42.1
36	24.2	42.0
37	22.9	42.0
38	22.3	42.0
39	22.3	42.0
40	23.5	42.0
41	25.6	41.9
42	26.3	41.8
43	27.1	41.7
44	27.9	41.7
45	28.5	41.5
46	29.3	41.5
47	30.0	41.5
48	30.8	41.3
49	24.5	41.3
50	24.2	41.2
51	23.9	41.2
52	23.7	41.1
53	23.5	41.1
54	23.4	41.0
55	23.2	41.0
56	29.3	40.8
57	29.0	40.8
58	26.5	40.7
59	24.3	40.7
60	22.9	40.7
61	21.8	40.6
62	21.2	40.6
63	21.2	40.6
64	21.8	40.5
65	23.1	40.5
66	23.5	40.4
67	23.9	40.4
68	24.2	40.4
69	24.5	40.4
70	24.9	40.2
71	25.2	40.1
72	25.6	40.1
73	20.0	40.1
74	21.1	40.0
75	21.7	39.9
76	22.0	39.9
77	22.5	39.9
78	22.8	39.8
79	23.1	39.7
80	29.6	39.7
81	29.6	39.7
82	28.8	39.5
83	28.2	39.4
84	27.9	39.3
85	27.7	39.3
86	27.6	39.3
87	27.7	39.3
88	28.0	39.1
89	28.5	39.1
90	29.0	39.1
91	29.3	39.1
92	29.7	39.0
93	30.0	39.0
94	30.5	38.9
95	31.0	38.9
96	31.9	38.8
97	25.2	38.7
98	25.2	38.7
99	25.2	38.7
100	25.4	38.6
101	25.2	38.6
102	25.2	38.6
103	25.2	38.6
104	31.4	38.5
105	31.3	38.5
106	30.0	38.4
107	28.8	38.4
108	27.7	38.3
109	27.1	38.3
110	26.6	38.3
111	26.5	38.3
112	27.0	38.3
113	27.7	38.2
114	28.2	38.2
115	28.7	38.2
116	29.1	38.2
117	29.6	38.2
118	30.2	38.2
119	30.5	38.2
120	31.4	38.1
121	25.4	38.0
122	26.2	38.0
123	27.0	38.0
124	27.4	37.9
125	27.7	37.9
126	28.0	37.9
127	28.3	37.9
128	34.9	37.8
129	34.9	37.7
130	33.9	37.7
131	33.0	37.7
132	32.4	37.6
133	31.9	37.5
134	31.8	37.5
135	31.8	37.5
136	32.1	37.5
137	32.8	37.5
138	33.1	37.3
139	33.6	37.3
140	33.9	37.3
141	34.4	37.3
142	34.9	37.2
143	35.2	37.2
144	35.6	37.2
145	29.4	37.2
146	29.6	37.2
147	29.6	37.2
148	29.6	37.1
149	29.6	37.1
150	29.6	37.1
151	29.6	37.0
152	35.8	37.0
153	35.3	37.0
154	32.4	36.9
155	29.7	36.9
156	27.4	36.9
157	25.7	36.9
158	24.8	36.9
159	24.9	36.9
160	26.2	36.9
161	27.9	36.9
162	28.3	36.9
163	28.8	36.9
164	29.3	36.9
165	29.7	36.9
166	30.2	36.9
167	30.8	36.8
168	31.3	36.8
169	26.0	36.8
170	26.6	36.7
171	27.4	36.7
172	27.9	36.6
173	28.3	36.6
174	28.8	36.6
175	29.1	36.6
176	35.6	36.6
177	35.6	36.6
178	34.5	36.6
179	34.1	36.5
180	34.2	36.5
181	34.2	36.5
182	32.8	36.4
183	32.2	36.4
184	32.1	36.4
185	32.8	36.4
186	33.5	36.4
187	34.1	36.4
188	34.5	36.4
189	35.2	36.4
190	35.6	36.4
191	36.2	36.4
192	36.9	36.4
193	31.0	36.3
194	31.3	36.3
195	31.6	36.3
196	31.8	36.3
197	31.9	36.3
198	32.2	36.2
199	32.4	36.2
200	38.6	36.2
201	38.4	36.2
202	37.2	36.1
203	36.1	36.1
204	35.2	36.1
205	34.5	36.1
206	34.4	36.1
207	34.2	36.1
208	34.7	36.1
209	35.6	36.1
210	35.8	36.0
211	35.9	36.0
212	36.4	36.0
213	36.4	36.0
214	36.4	36.0
215	36.6	36.0
216	36.9	36.0
217	30.7	35.9
218	30.7	35.9
219	30.8	35.9
220	30.8	35.9
221	30.8	35.9
222	30.8	35.8
223	30.8	35.8
224	37.0	35.8
225	36.9	35.8
226	35.6	35.8
227	34.4	35.8
228	33.5	35.7
229	33.0	35.7
230	32.5	35.7
231	32.5	35.7
232	32.8	35.7
233	33.6	35.6
234	33.9	35.6
235	34.2	35.6
236	34.9	35.6
237	34.4	35.6
238	34.7	35.6
239	34.9	35.6
240	35.0	35.6
241	29.1	35.6
242	29.3	35.6
243	29.4	35.5
244	29.6	35.5
245	29.6	35.5
246	29.6	35.5
247	29.6	35.5
248	35.9	35.5
249	35.6	35.5
250	33.5	35.4
251	31.4	35.4
252	29.6	35.3
253	28.3	35.3
254	27.6	35.3
255	27.4	35.3
256	28.0	35.2
257	29.3	35.2
258	30.2	35.2
259	31.1	35.2
260	31.9	35.2
261	32.8	35.2
262	33.8	35.2
263	34.7	35.2
264	35.5	35.2
265	31.0	35.0
266	33.1	35.0
267	35.2	35.0
268	36.4	35.0
269	37.5	35.0
270	38.7	35.0
271	39.7	35.0
272	46.8	35.0
273	46.6	35.0
274	45.5	34.9
275	44.5	34.9
276	43.1	34.9
277	42.6	34.9
278	43.4	34.9
279	43.8	34.9
280	44.6	34.9
281	46.0	34.9
282	46.3	34.9
283	46.8	34.9
284	47.2	34.9
285	47.6	34.7
286	48.0	34.7
287	48.5	34.7
288	48.8	34.7
289	42.0	34.7
290	41.5	34.7
291	39.8	34.7
292	39.0	34.7
293	38.4	34.7
294	37.8	34.7
295	37.3	34.7
296	43.1	34.7
297	42.6	34.7
298	40.6	34.6
299	38.7	34.6
300	37.3	34.6
301	36.2	34.5
302	35.8	34.5
303	35.6	34.5
304	36.1	34.5
305	37.0	34.4
306	36.9	34.4
307	36.9	34.4
308	36.9	34.4
309	36.9	34.4
310	37.0	34.4
311	36.7	34.4
312	36.7	34.4
313	31.1	34.4
314	31.8	34.4
315	32.4	34.4
316	32.7	34.4
317	33.1	34.4
318	33.5	34.4
319	33.8	34.3
320	40.1	34.3
321	40.1	34.3
322	39.3	34.2
323	38.1	34.2
324	37.3	34.2
325	36.9	34.2
326	36.6	34.2
327	36.6	34.2
328	36.9	34.2
329	37.5	34.1
330	38.3	34.1
331	38.7	34.1
332	39.3	34.1
333	40.0	34.1
334	40.4	34.1
335	41.0	34.0
336	41.7	34.0
337	36.4	33.9
338	36.4	33.9
339	36.9	33.9
340	37.2	33.9
341	37.5	33.9
342	37.6	33.9
343	37.9	33.9
344	44.3	33.9
345	44.1	33.9
346	42.9	33.9
347	42.0	33.9
348	41.2	33.8
349	40.6	33.8
350	40.4	33.8
351	40.7	33.8
352	41.2	33.8
353	41.8	33.8
354	42.0	33.8
355	42.0	33.8
356	42.1	33.7
357	42.3	33.7
358	42.3	33.6
359	42.3	33.6
360	42.4	33.6
361	36.1	33.6
362	35.9	33.6
363	35.8	33.6
364	35.5	33.6
365	35.3	33.6
366	35.2	33.6
367	35.0	33.6
368	41.0	33.5
369	40.7	33.5
370	40.1	33.5
371	39.5	33.5
372	39.0	33.5
373	38.6	33.5
374	34.9	33.5
375	32.8	33.5
376	32.2	33.5
377	33.5	33.5
378	33.8	33.5
379	33.9	33.5
380	34.2	33.4
381	34.5	33.3
382	34.7	33.3
383	35.0	33.3
384	35.2	33.3
385	29.7	33.3
386	30.4	33.3
387	31.1	33.2
388	31.4	33.2
389	31.8	33.2
390	32.2	33.2
391	32.4	33.2
392	38.9	33.1
393	38.6	33.1
394	34.4	33.1
395	30.5	33.1
396	27.1	33.0
397	24.9	33.0
398	23.9	33.0
399	23.9	33.0
400	25.4	33.0
401	28.2	33.0
402	28.5	33.0
403	29.0	33.0
404	29.3	33.0
405	29.7	33.0
406	30.0	33.0
407	30.5	32.8
408	30.8	32.8
409	24.9	32.8
410	25.1	32.8
411	25.4	32.8
412	25.4	32.8
413	25.6	32.8
414	25.6	32.8
415	25.6	32.8
416	31.9	32.8
417	31.6	32.8
418	31.1	32.8
419	30.5	32.8
420	30.0	32.7
421	29.4	32.7
422	25.4	32.7
423	23.4	32.7
424	22.8	32.7
425	24.2	32.7
426	24.5	32.7
427	24.8	32.7
428	25.1	32.7
429	25.2	32.6
430	25.6	32.5
431	25.9	32.5
432	26.2	32.5
433	20.4	32.5
434	20.9	32.5
435	21.4	32.5
436	21.5	32.5
437	21.7	32.5
438	22.0	32.5
439	22.0	32.5
440	28.3	32.4
441	28.2	32.4
442	27.7	32.4
443	27.4	32.4
444	27.0	32.4
445	26.8	32.4
446	23.2	32.4
447	20.9	32.4
448	20.0	32.4
449	21.2	32.4
450	21.7	32.4
451	22.3	32.4
452	22.8	32.4
453	23.4	32.4
454	24.0	32.4
455	24.5	32.3
456	25.1	32.3
457	19.5	32.3
458	20.3	32.3
459	21.1	32.2
460	21.5	32.2
461	22.0	32.2
462	22.5	32.2
463	22.6	32.2
464	29.1	32.2
465	29.0	32.2
466	28.5	32.2
467	28.3	32.2
468	27.9	32.2
469	27.6	32.1
470	24.6	32.1
471	23.4	32.1
472	23.1	32.1
473	24.2	32.1
474	24.5	32.1
475	24.6	32.1
476	24.9	32.1
477	25.2	32.1
478	25.4	32.1
479	25.7	32.1
480	25.9	32.1
481	19.7	32.0
482	19.7	32.0
483	19.5	32.0
484	19.5	32.0
485	19.4	31.9
486	19.4	31.9
487	19.2	31.9
488	25.4	31.9
489	25.1	31.9
490	22.5	31.9
491	20.0	31.9
492	17.7	31.9
493	15.8	31.9
494	14.6	31.9
495	14.4	31.9
496	15.2	31.9
497	16.9	31.9
498	17.3	31.8
499	18.0	31.8
500	18.4	31.8
501	19.1	31.8
502	19.7	31.8
503	20.1	31.8
504	20.8	31.8
505	15.5	31.8
506	16.3	31.8
507	17.2	31.8
508	17.5	31.8
509	18.0	31.8
510	18.3	31.8
511	18.6	31.8
512	24.9	31.8
513	24.6	31.8
514	21.7	31.7
515	19.4	31.7
516	16.7	31.6
517	15.0	31.6
518	12.9	31.6
519	11.9	31.6
520	12.1	31.6
521	14.1	31.6
522	15.5	31.5
523	16.7	31.5
524	18.1	31.5
525	19.5	31.5
526	20.8	31.4
527	22.2	31.4
528	23.4	31.4
529	18.7	31.4
530	20.4	31.4
531	22.0	31.4
532	22.9	31.4
533	23.7	31.4
534	24.6	31.4
535	25.1	31.4
536	31.9	31.4
537	31.0	31.4
538	26.0	31.4
539	21.7	31.4
540	18.4	31.4
541	16.0	31.3
542	14.6	31.3
543	14.4	31.3
544	15.6	31.3
545	18.7	31.3
546	20.6	31.3
547	22.5	31.3
548	24.3	31.2
549	26.2	31.1
550	28.0	31.1
551	29.9	31.1
552	31.8	31.1
553	27.3	31.1
554	29.1	31.1
555	31.0	31.1
556	32.1	31.1
557	33.1	31.1
558	34.2	31.1
559	35.0	31.1
560	42.0	31.1
561	41.7	31.1
562	38.6	31.1
563	35.5	31.1
564	33.5	31.1
565	32.4	31.1
566	30.8	31.1
567	30.4	31.1
568	30.7	31.0
569	33.0	31.0
570	33.5	31.0
571	33.9	31.0
572	34.2	31.0
573	34.7	31.0
574	35.2	31.0
575	35.6	31.0
576	36.1	31.0
577	29.3	31.0
578	28.7	31.0
579	28.0	31.0
580	27.6	31.0
581	27.3	31.0
582	26.8	31.0
583	26.5	31.0
584	32.5	31.0
585	32.1	31.0
586	30.8	31.0
587	31.1	31.0
588	29.3	30.8
589	28.2	30.8
590	27.9	30.8
591	28.0	30.8
592	27.7	30.8
593	28.8	30.8
594	29.0	30.8
595	28.8	30.8
596	28.7	30.8
597	28.7	30.8
598	28.7	30.8
599	28.5	30.8
600	28.3	30.8
601	22.6	30.8
602	22.9	30.8
603	23.2	30.7
604	23.4	30.7
605	23.5	30.7
606	23.7	30.7
607	23.9	30.7
608	30.0	30.7
609	28.7	30.7
610	25.1	30.7
611	23.2	30.7
612	21.5	30.7
613	18.1	30.7
614	15.8	30.7
615	14.4	30.7
616	14.3	30.7
617	16.0	30.6
618	18.4	30.5
619	18.9	30.5
620	19.2	30.5
621	19.7	30.5
622	20.1	30.5
623	20.6	30.5
624	21.1	30.5
625	15.3	30.5
626	16.0	30.5
627	16.6	30.5
628	16.9	30.5
629	17.2	30.5
630	17.5	30.5
631	17.7	30.5
632	24.2	30.4
633	24.0	30.4
634	23.5	30.4
635	23.1	30.4
636	22.9	30.4
637	22.6	30.3
638	23.4	30.3
639	22.5	30.3
640	23.1	30.3
641	23.1	30.2
642	23.4	30.2
643	23.9	30.2
644	24.6	30.2
645	24.9	30.2
646	25.4	30.2
647	25.9	30.2
