# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	7.8	36.8
2	8.4	36.6
3	9.0	36.3
4	9.2	35.9
5	9.5	35.7
6	9.7	35.3
7	9.8	35.3
8	14.6	35.2
9	14.4	35.0
10	12.7	34.7
11	11.2	34.4
12	9.9	33.7
13	9.1	33.6
14	8.7	33.5
15	8.7	33.4
16	9.2	33.3
17	10.1	33.1
18	10.9	32.8
19	11.6	32.7
20	12.3	32.5
21	13.0	32.5
22	13.7	32.4
23	14.5	32.4
24	15.2	32.4
25	11.9	32.4
26	13.6	32.2
27	15.1	32.2
28	16.0	32.1
29	16.8	32.0
30	17.8	32.0
31	18.4	31.9
32	23.7	31.9
33	23.7	31.9
34	21.6	31.8
35	19.9	31.8
36	18.2	31.7
37	17.3	31.7
38	16.8	31.7
39	16.8	31.7
40	17.8	31.7
41	19.3	31.6
42	19.9	31.6
43	20.5	31.5
44	21.1	31.5
45	21.5	31.3
46	22.1	31.1
47	22.7	31.1
48	23.3	31.1
49	18.5	31.1
50	18.2	31.1
51	18.0	31.1
52	17.9	31.0
53	17.8	31.0
54	17.7	31.0
55	17.5	31.0
56	22.1	30.8
57	21.9	30.8
58	20.0	30.8
59	18.4	30.8
60	17.3	30.7
61	16.5	30.6
62	16.0	30.6
63	16.0	30.6
64	16.5	30.6
65	17.4	30.5
66	17.8	30.5
67	18.0	30.5
68	18.2	30.4
69	18.5	30.4
70	18.8	30.3
71	19.1	30.3
72	19.3	30.3
73	15.1	30.3
74	15.9	30.2
75	16.4	30.1
76	16.6	30.1
77	17.0	30.1
78	17.2	30.0
79	17.4	30.0
80	22.3	29.9
81	22.3	29.9
82	21.8	29.8
83	21.3	29.7
84	21.1	29.7
85	20.9	29.7
86	20.8	29.6
87	20.9	29.5
88	21.2	29.5
89	21.5	29.5
90	21.9	29.5
91	22.1	29.5
92	22.5	29.5
93	22.7	29.4
94	23.0	29.4
95	23.4	29.3
96	24.1	29.3
97	19.1	29.2
98	19.1	29.2
99	19.1	29.2
100	19.2	29.1
101	19.1	29.1
102	19.1	29.1
103	19.1	29.1
104	23.7	29.0
105	23.6	29.0
106	22.7	29.0
107	21.8	29.0
108	20.9	28.9
109	20.5	28.9
110	20.1	28.9
111	20.0	28.9
112	20.3	28.9
113	20.9	28.8
114	21.3	28.8
115	21.6	28.8
116	22.0	28.8
117	22.3	28.8
118	22.8	28.8
119	23.0	28.8
120	23.7	28.7
121	19.2	28.7
122	19.8	28.7
123	20.3	28.7
124	20.7	28.6
125	20.9	28.5
126	21.2	28.5
127	21.4	28.5
128	26.3	28.4
129	26.3	28.4
130	25.6	28.4
131	24.9	28.4
132	24.4	28.4
133	24.1	28.3
134	24.0	28.3
135	24.0	28.3
136	24.2	28.3
137	24.8	28.3
138	25.0	28.2
139	25.4	28.2
140	25.6	28.2
141	26.0	28.1
142	26.3	28.1
143	26.5	28.1
144	26.9	28.1
145	22.2	28.1
146	22.3	28.0
147	22.3	28.0
148	22.3	28.0
149	22.3	28.0
150	22.3	27.9
151	22.3	27.9
152	27.0	27.9
153	26.7	27.9
154	24.4	27.8
155	22.5	27.8
156	20.7	27.8
157	19.4	27.8
158	18.7	27.8
159	18.8	27.8
160	19.8	27.8
161	21.1	27.8
162	21.4	27.8
163	21.8	27.8
164	22.1	27.8
165	22.5	27.8
166	22.8	27.7
167	23.3	27.7
168	23.6	27.7
169	19.6	27.7
170	20.1	27.7
171	20.7	27.6
172	21.1	27.6
173	21.4	27.6
174	21.8	27.6
175	22.0	27.6
176	26.9	27.6
177	26.9	27.5
178	26.1	27.5
179	25.7	27.5
180	25.8	27.5
181	25.8	27.5
182	24.8	27.5
183	24.3	27.5
184	24.2	27.5
185	24.8	27.5
186	25.3	27.5
187	25.7	27.5
188	26.1	27.4
189	26.5	27.4
190	26.9	27.4
191	27.4	27.4
192	27.8	27.4
193	23.4	27.4
194	23.6	27.4
195	23.9	27.3
196	24.0	27.3
197	24.1	27.3
198	24.3	27.3
199	24.4	27.3
200	29.1	27.3
201	29.0	27.3
202	28.1	27.2
203	27.2	27.2
204	26.5	27.2
205	26.1	27.2
206	26.0	27.2
207	25.8	27.2
208	26.2	27.1
209	26.9	27.1
210	27.0	27.1
211	27.1	27.1
212	27.5	27.1
213	27.5	27.1
214	27.5	27.1
215	27.6	27.1
216	27.8	27.1
217	23.2	27.0
218	23.2	27.0
219	23.3	27.0
220	23.3	27.0
221	23.3	27.0
222	23.3	27.0
223	23.3	27.0
224	27.9	27.0
225	27.8	27.0
226	26.9	26.9
227	26.0	26.9
228	25.3	26.9
229	24.9	26.9
230	24.6	26.9
231	24.6	26.9
232	24.8	26.9
233	25.4	26.9
234	25.6	26.9
235	25.8	26.9
236	26.3	26.9
237	26.0	26.9
238	26.2	26.9
239	26.3	26.8
240	26.4	26.8
