# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	12.4	58.3
2	13.3	57.9
3	14.3	57.4
4	14.6	56.8
5	15.0	56.5
6	15.4	55.9
7	15.6	55.9
8	23.1	55.7
9	22.8	55.4
10	20.2	55.0
11	17.8	54.4
12	15.7	53.3
13	14.4	53.2
14	13.7	53.1
15	13.7	52.9
16	14.6	52.8
17	15.9	52.4
18	17.2	52.0
19	18.3	51.8
20	19.4	51.5
21	20.5	51.5
22	21.7	51.5
23	23.0	51.5
24	24.1	51.5
25	18.9	51.3
26	21.5	50.9
27	23.9	50.9
28	25.4	50.9
29	26.7	50.7
30	28.1	50.7
31	29.1	50.5
32	37.6	50.5
33	37.6	50.5
34	34.2	50.4
35	31.5	50.2
36	28.9	50.2
37	27.4	50.2
38	26.7	50.2
39	26.7	50.2
40	28.1	50.2
41	30.5	50.0
42	31.5	49.8
43	32.4	49.8
44	33.3	49.6
45	34.1	49.4
46	35.0	49.4
47	35.9	49.2
48	36.8	49.2
49	29.2	49.2
50	28.9	49.2
51	28.5	49.1
52	28.3	49.1
53	28.1	48.9
54	28.0	48.9
55	27.8	48.7
56	35.0	48.7
57	34.6	48.7
58	31.7	48.5
59	29.1	48.5
60	27.4	48.5
61	26.1	48.5
62	25.4	48.3
63	25.4	48.3
64	26.1	48.3
65	27.6	48.3
66	28.1	48.3
67	28.5	48.1
68	28.9	47.9
69	29.2	47.9
70	29.8	47.9
71	30.2	47.8
72	30.5	47.7
73	23.9	47.7
74	25.2	47.6
75	25.9	47.5
76	26.3	47.5
77	26.8	47.4
78	27.2	47.3
79	27.6	47.3
80	35.4	47.2
81	35.4	47.2
82	34.4	47.0
83	33.7	47.0
84	33.3	47.0
85	33.1	46.8
86	33.0	46.8
87	33.1	46.8
88	33.5	46.7
89	34.1	46.7
90	34.6	46.6
91	35.0	46.5
92	35.5	46.4
93	35.9	46.3
94	36.5	46.3
95	37.0	46.3
96	38.1	46.3
97	30.2	46.1
98	30.2	46.1
99	30.2	46.1
100	30.4	46.1
101	30.2	46.0
102	30.2	46.0
103	30.2	45.9
104	37.6	45.9
105	37.4	45.9
106	35.9	45.9
107	34.4	45.9
108	33.1	45.9
109	32.4	45.7
110	31.8	45.7
111	31.7	45.7
112	32.2	45.7
113	33.1	45.7
114	33.7	45.7
115	34.2	45.7
116	34.8	45.5
117	35.4	45.5
118	36.1	45.5
119	36.5	45.5
120	37.6	45.5
121	30.4	45.4
122	31.3	45.3
123	32.2	45.3
124	32.8	45.2
125	33.1	45.1
126	33.5	45.1
127	33.9	45.1
128	41.7	45.0
129	41.7	44.9
130	40.5	44.9
131	39.4	44.9
132	38.7	44.8
133	38.1	44.8
134	37.9	44.8
135	37.9	44.6
136	38.3	44.6
137	39.2	44.6
138	39.6	44.6
139	40.2	44.6
140	40.5	44.6
141	41.1	44.5
142	41.7	44.4
143	42.0	44.4
144	42.6	44.4
145	35.2	44.4
146	35.4	44.4
147	35.4	44.2
148	35.4	44.2
149	35.4	44.2
150	35.4	44.2
151	35.4	44.2
152	42.8	44.1
153	42.2	44.1
154	38.7	44.1
155	35.5	44.1
156	32.8	44.1
157	30.7	44.1
158	29.6	44.1
159	29.8	44.1
160	31.3	44.1
161	33.3	44.1
