# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	15.0	70.3
2	16.1	69.8
3	17.2	69.2
4	17.6	68.5
5	18.1	68.1
6	18.5	67.4
7	18.7	67.4
8	27.9	67.2
9	27.4	66.7
10	24.3	66.3
11	21.4	65.6
12	19.0	64.3
13	17.4	64.0
14	16.5	64.0
15	16.5	63.8
16	17.6	63.6
17	19.2	63.1
18	20.8	62.6
19	22.1	62.5
20	23.4	62.0
21	24.8	62.0
22	26.1	61.9
23	27.7	61.9
24	29.0	61.9
25	22.8	61.8
26	25.9	61.4
27	28.8	61.4
28	30.6	61.3
29	32.1	61.1
30	33.9	61.0
31	35.0	60.9
32	45.3	60.9
33	45.3	60.9
34	41.3	60.7
35	37.9	60.5
36	34.8	60.5
37	33.0	60.5
38	32.1	60.5
39	32.1	60.5
40	33.9	60.4
41	36.8	60.2
42	37.9	60.2
43	39.0	60.0
44	40.2	60.0
45	41.1	59.8
46	42.2	59.5
47	43.3	59.5
48	44.4	59.4
49	35.3	59.4
50	34.8	59.2
51	34.4	59.2
52	34.1	59.1
53	33.9	59.1
54	33.7	59.0
55	33.5	59.0
56	42.2	58.8
57	41.7	58.8
58	38.2	58.7
59	35.0	58.7
60	33.0	58.6
61	31.5	58.5
62	30.6	58.5
63	30.6	58.3
64	31.5	58.3
65	33.2	58.2
66	33.9	58.2
67	34.4	58.1
68	34.8	58.1
69	35.3	57.9
70	35.9	57.8
71	36.4	57.8
72	36.8	57.8
73	28.8	57.8
74	30.3	57.6
75	31.2	57.4
76	31.7	57.4
77	32.4	57.3
78	32.8	57.2
79	33.2	57.2
80	42.6	57.1
81	42.6	56.9
82	41.5	56.8
83	40.6	56.7
84	40.2	56.7
85	39.9	56.7
86	39.7	56.5
87	39.9	56.3
88	40.4	56.3
89	41.1	56.3
90	41.7	56.2
91	42.2	56.2
92	42.8	56.1
93	43.3	56.0
94	44.0	55.9
95	44.6	55.9
96	46.0	55.8
97	36.4	55.8
98	36.4	55.8
99	36.4	55.6
100	36.6	55.6
101	36.4	55.6
102	36.4	55.6
103	36.4	55.5
104	45.3	55.4
105	45.1	55.4
106	43.3	55.3
107	41.5	55.3
108	39.9	55.2
109	39.0	55.2
110	38.4	55.2
111	38.2	55.2
112	38.8	55.1
113	39.9	55.0
114	40.6	55.0
115	41.3	55.0
116	41.9	55.0
117	42.6	55.0
118	43.5	55.0
119	44.0	54.9
120	45.3	54.7
121	36.6	54.7
122	37.7	54.7
123	38.8	54.7
124	39.5	54.5
125	39.9	54.5
126	40.4	54.4
127	40.8	54.3
128	50.2	54.3
129	50.2	54.3
130	48.9	54.3
131	47.5	54.2
132	46.6	54.1
133	46.0	54.1
134	45.7	54.0
135	45.7	54.0
136	46.2	54.0
137	47.3	53.9
138	47.8	53.8
139	48.4	53.8
140	48.9	53.8
141	49.5	53.6
142	50.2	53.6
143	50.7	53.6
144	51.3	53.6
145	42.4	53.6
146	42.6	53.4
147	42.6	53.4
148	42.6	53.4
149	42.6	53.3
150	42.6	53.3
151	42.6	53.3
152	51.5	53.2
153	50.9	53.2
154	46.6	53.1
155	42.8	53.1
156	39.5	53.1
157	37.0	53.1
158	35.7	53.1
159	35.9	53.1
160	37.7	53.1
161	40.2	53.1
162	40.8	53.1
163	41.5	53.1
164	42.2	53.0
165	42.8	52.9
166	43.5	52.9
167	44.4	52.9
168	45.1	52.9
169	37.5	52.9
170	38.4	52.8
171	39.5	52.7
172	40.2	52.7
173	40.8	52.7
174	41.5	52.7
175	41.9	52.7
176	51.3	52.5
177	51.3	52.5
178	49.8	52.5
179	49.1	52.5
180	49.3	52.5
181	49.3	52.4
182	47.3	52.4
183	46.4	52.4
184	46.2	52.4
185	47.3	52.4
186	48.2	52.4
187	49.1	52.4
188	49.8	52.2
189	50.7	52.2
190	51.3	52.2
191	52.2	52.2
192	53.1	52.2
193	44.6	52.0
194	45.1	52.0
195	45.5	52.0
196	45.7	52.0
197	46.0	52.0
198	46.4	52.0
199	46.6	52.0
200	55.6	52.0
201	55.3	52.0
202	53.6	52.0
203	52.0	51.8
204	50.7	51.8
205	49.8	51.8
206	49.5	51.8
207	49.3	51.8
208	50.0	51.8
209	51.3	51.8
210	51.5	51.8
211	51.8	51.8
212	52.4	51.8
213	52.4	51.6
214	52.4	51.6
215	52.7	51.6
216	53.1	51.6
217	44.2	51.5
218	44.2	51.5
219	44.4	51.5
220	44.4	51.5
221	44.4	51.4
222	44.4	51.4
223	44.4	51.3
224	53.3	51.3
225	53.1	51.3
226	51.3	51.3
227	49.5	51.3
228	48.2	51.3
229	47.5	51.3
230	46.9	51.3
231	46.9	51.3
232	47.3	51.3
233	48.4	51.3
234	48.9	51.2
235	49.3	51.2
236	50.2	51.2
237	49.5	51.1
238	50.0	51.1
239	50.2	51.1
240	50.4	51.1
241	41.9	51.1
242	42.2	51.1
243	42.4	51.1
244	42.6	51.0
245	42.6	51.0
246	42.6	50.9
247	42.6	50.9
248	51.8	50.9
249	51.3	50.9
250	48.2	50.8
251	45.3	50.8
252	42.6	50.8
253	40.8	50.7
254	39.7	50.7
255	39.5	50.7
256	40.4	50.7
257	42.2	50.7
258	43.5	50.7
259	44.9	50.7
260	46.0	50.7
261	47.3	50.7
262	48.6	50.6
263	50.0	50.4
264	51.1	50.4
265	44.6	50.4
266	47.8	50.4
267	50.7	50.4
268	52.4	50.4
269	54.0	50.4
270	55.8	50.4
271	57.1	50.4
272	67.4	50.4
273	67.2	50.4
274	65.6	50.2
275	64.0	50.2
276	62.0	50.2
277	61.4	50.2
278	62.5	50.2
279	63.1	50.2
280	64.3	50.2
281	66.3	50.2
282	66.7	50.2
283	67.4	50.2
284	68.1	50.2
285	68.5	50.0
286	69.2	50.0
287	69.8	50.0
288	70.3	50.0
289	60.5	50.0
290	59.8	50.0
291	57.3	50.0
292	56.2	50.0
293	55.3	50.0
294	54.4	50.0
295	53.8	50.0
296	62.0	49.8
297	61.4	49.8
298	58.5	49.8
299	55.8	49.8
300	53.8	49.8
301	52.2	49.8
302	51.5	49.8
303	51.3	49.5
304	52.0	49.5
305	53.3	49.5
306	53.1	49.5
307	53.1	49.5
308	53.1	49.5
309	53.1	49.5
310	53.3	49.5
311	52.9	49.5
312	52.9	49.5
313	44.9	49.5
314	45.7	49.5
315	46.6	49.3
316	47.1	49.3
317	47.8	49.3
318	48.2	49.3
319	48.6	49.3
320	57.8	49.3
321	57.8	49.3
322	56.7	49.3
323	54.9	49.3
324	53.8	49.3
325	53.1	49.3
326	52.7	49.3
327	52.7	49.1
328	53.1	49.1
329	54.0	49.1
330	55.1	49.1
331	55.8	49.1
332	56.7	49.1
333	57.6	48.9
334	58.2	48.9
335	59.1	48.9
336	60.0	48.9
337	52.4	48.9
338	52.4	48.9
339	53.1	48.9
340	53.6	48.9
341	54.0	48.9
342	54.2	48.9
343	54.7	48.9
344	63.8	48.9
345	63.6	48.6
346	61.8	48.6
347	60.5	48.6
348	59.4	48.6
349	58.5	48.6
350	58.2	48.6
351	58.7	48.6
352	59.4	48.4
353	60.2	48.4
354	60.5	48.4
355	60.5	48.4
356	60.7	48.4
357	60.9	48.4
358	60.9	48.4
359	60.9	48.4
360	61.1	48.4
361	52.0	48.3
362	51.8	48.2
363	51.5	48.2
364	51.1	48.2
365	50.9	48.2
366	50.7	48.2
367	50.4	48.2
368	59.1	48.2
369	58.7	48.2
370	57.8	48.2
371	56.9	48.2
372	56.2	48.2
373	55.6	48.2
374	50.2	48.1
375	47.3	48.1
376	46.4	48.0
377	48.2	48.0
378	48.6	48.0
379	48.9	48.0
380	49.3	47.9
381	49.8	47.9
382	50.0	47.8
383	50.4	47.8
384	50.7	47.8
385	42.8	47.8
386	43.7	47.7
387	44.9	47.7
388	45.3	47.7
389	45.7	47.7
390	46.4	47.7
391	46.6	47.7
392	56.0	47.7
393	55.6	47.5
394	49.5	47.5
395	44.0	47.5
396	39.0	47.5
397	35.9	47.5
398	34.4	47.5
399	34.4	47.5
400	36.6	47.5
401	40.6	47.5
402	41.1	47.3
403	41.7	47.3
404	42.2	47.3
