# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.6	49.7
2	11.4	49.4
3	12.2	48.9
4	12.5	48.5
5	12.8	48.2
6	13.1	47.7
7	13.3	47.7
8	19.7	47.5
9	19.4	47.2
10	17.2	46.9
11	15.2	46.4
12	13.4	45.5
13	12.3	45.3
14	11.7	45.2
15	11.7	45.1
16	12.5	45.0
17	13.6	44.7
18	14.7	44.2
19	15.6	44.2
20	16.6	43.9
21	17.5	43.9
22	18.5	43.7
23	19.6	43.7
24	20.5	43.7
25	16.1	43.7
26	18.3	43.4
27	20.4	43.4
28	21.6	43.3
29	22.7	43.2
30	24.0	43.1
31	24.8	43.1
32	32.0	43.1
33	32.0	43.1
34	29.2	42.9
35	26.8	42.8
36	24.6	42.8
37	23.4	42.8
38	22.7	42.8
39	22.7	42.8
40	24.0	42.7
41	26.0	42.6
42	26.8	42.6
43	27.6	42.5
44	28.4	42.5
45	29.0	42.3
46	29.8	42.0
47	30.6	42.0
48	31.4	42.0
49	24.9	42.0
50	24.6	41.8
51	24.3	41.8
52	24.2	41.8
53	24.0	41.8
54	23.8	41.8
55	23.7	41.8
56	29.8	41.5
57	29.5	41.5
58	27.0	41.5
59	24.8	41.5
60	23.4	41.4
61	22.3	41.4
62	21.6	41.3
63	21.6	41.2
64	22.3	41.2
65	23.5	41.2
66	24.0	41.2
67	24.3	41.0
68	24.6	41.0
69	24.9	40.9
70	25.4	40.9
71	25.7	40.9
72	26.0	40.9
73	20.4	40.8
74	21.5	40.7
75	22.1	40.6
76	22.4	40.5
77	22.9	40.5
78	23.2	40.4
79	23.5	40.4
80	30.2	40.4
81	30.2	40.3
82	29.4	40.2
83	28.7	40.1
84	28.4	40.1
85	28.3	40.1
86	28.1	39.9
87	28.3	39.8
88	28.6	39.8
89	29.0	39.7
90	29.5	39.7
91	29.8	39.7
92	30.3	39.6
93	30.6	39.6
94	31.1	39.6
95	31.6	39.5
96	32.5	39.5
97	25.7	39.5
98	25.7	39.4
99	25.7	39.3
100	25.9	39.3
101	25.7	39.3
102	25.7	39.3
103	25.7	39.3
104	32.0	39.2
105	31.9	39.2
106	30.6	39.1
107	29.4	39.1
108	28.3	39.0
109	27.6	38.9
110	27.2	38.9
111	27.0	38.9
112	27.5	38.9
113	28.3	38.8
114	28.7	38.8
115	29.2	38.8
116	29.7	38.8
117	30.2	38.8
118	30.8	38.8
119	31.1	38.8
120	32.0	38.7
121	25.9	38.6
122	26.7	38.6
123	27.5	38.6
124	27.9	38.5
125	28.3	38.5
126	28.6	38.5
127	28.9	38.4
128	35.5	38.4
129	35.5	38.3
130	34.6	38.3
131	33.6	38.3
132	33.0	38.2
133	32.5	38.2
134	32.4	38.2
135	32.4	38.1
136	32.7	38.1
137	33.5	38.1
138	33.8	38.0
139	34.3	38.0
140	34.6	38.0
141	35.0	37.9
142	35.5	37.9
143	35.8	37.8
144	36.3	37.8
145	30.0	37.8
146	30.2	37.7
147	30.2	37.7
148	30.2	37.7
149	30.2	37.7
150	30.2	37.7
151	30.2	37.7
152	36.5	37.6
153	36.0	37.6
154	33.0	37.6
155	30.3	37.6
156	27.9	37.6
157	26.2	37.6
158	25.3	37.6
159	25.4	37.6
160	26.7	37.6
161	28.4	37.6
162	28.9	37.6
163	29.4	37.5
164	29.8	37.5
165	30.3	37.4
166	30.8	37.4
167	31.4	37.4
168	31.9	37.4
169	26.5	37.4
170	27.2	37.4
171	27.9	37.3
172	28.4	37.3
173	28.9	37.3
174	29.4	37.2
175	29.7	37.2
176	36.3	37.1
177	36.3	37.1
178	35.2	37.1
179	34.7	37.1
180	34.9	37.1
181	34.9	37.1
182	33.5	37.1
183	32.8	37.0
184	32.7	37.0
185	33.5	37.0
186	34.1	37.0
187	34.7	37.0
188	35.2	36.9
189	35.8	36.9
190	36.3	36.9
191	36.9	36.9
192	37.6	36.9
193	31.6	36.8
194	31.9	36.8
195	32.2	36.8
196	32.4	36.8
197	32.5	36.8
198	32.8	36.8
199	33.0	36.7
200	39.3	36.7
201	39.2	36.7
202	37.9	36.7
203	36.8	36.7
204	35.8	36.7
205	35.2	36.7
206	35.0	36.6
207	34.9	36.6
208	35.4	36.6
209	36.3	36.6
210	36.5	36.6
211	36.6	36.6
212	37.1	36.6
213	37.1	36.5
214	37.1	36.5
215	37.3	36.5
216	37.6	36.5
217	31.3	36.5
218	31.3	36.5
219	31.4	36.4
220	31.4	36.4
221	31.4	36.4
222	31.4	36.4
223	31.4	36.3
224	37.7	36.3
225	37.6	36.3
226	36.3	36.3
227	35.0	36.3
228	34.1	36.3
229	33.6	36.3
230	33.2	36.3
231	33.2	36.3
232	33.5	36.3
233	34.3	36.3
234	34.6	36.3
235	34.9	36.2
236	35.5	36.2
237	35.0	36.2
238	35.4	36.2
239	35.5	36.2
240	35.7	36.1
241	29.7	36.1
242	29.8	36.1
243	30.0	36.1
244	30.2	36.1
245	30.2	36.1
246	30.2	36.0
247	30.2	36.0
248	36.6	36.0
249	36.3	36.0
250	34.1	36.0
251	32.0	35.9
252	30.2	35.9
253	28.9	35.8
254	28.1	35.8
255	27.9	35.8
256	28.6	35.8
257	29.8	35.8
258	30.8	35.8
259	31.7	35.8
260	32.5	35.8
261	33.5	35.8
262	34.4	35.8
263	35.4	35.7
264	36.2	35.7
265	31.6	35.7
266	33.8	35.7
267	35.8	35.7
268	37.1	35.7
269	38.2	35.6
270	39.5	35.6
271	40.4	35.6
272	47.7	35.6
273	47.5	35.6
274	46.4	35.5
275	45.3	35.5
276	43.9	35.5
277	43.4	35.5
278	44.2	35.5
279	44.7	35.5
280	45.5	35.4
281	46.9	35.4
282	47.2	35.4
283	47.7	35.4
284	48.2	35.4
285	48.5	35.4
286	48.9	35.4
287	49.4	35.4
288	49.7	35.4
289	42.8	35.4
290	42.3	35.3
291	40.6	35.3
292	39.8	35.3
293	39.2	35.3
294	38.5	35.3
295	38.0	35.3
296	43.9	35.2
297	43.4	35.2
298	41.4	35.2
299	39.5	35.2
300	38.0	35.1
301	36.9	35.1
302	36.5	35.1
303	36.3	35.0
304	36.8	35.0
305	37.7	35.0
306	37.6	35.0
307	37.6	35.0
308	37.6	35.0
309	37.6	35.0
310	37.7	35.0
311	37.4	35.0
312	37.4	35.0
313	31.7	35.0
314	32.4	35.0
315	33.0	34.9
316	33.3	34.9
317	33.8	34.9
318	34.1	34.9
319	34.4	34.9
320	40.9	34.9
321	40.9	34.9
322	40.1	34.9
323	38.8	34.9
324	38.0	34.8
325	37.6	34.8
326	37.3	34.8
327	37.3	34.7
328	37.6	34.7
329	38.2	34.7
330	39.0	34.7
331	39.5	34.7
332	40.1	34.7
333	40.7	34.6
334	41.2	34.6
335	41.8	34.6
336	42.5	34.6
337	37.1	34.6
338	37.1	34.6
339	37.6	34.6
340	37.9	34.5
341	38.2	34.5
342	38.4	34.5
343	38.7	34.5
344	45.2	34.5
345	45.0	34.4
346	43.7	34.4
347	42.8	34.4
348	42.0	34.3
349	41.4	34.3
350	41.2	34.3
351	41.5	34.3
352	42.0	34.3
353	42.6	34.2
354	42.8	34.2
355	42.8	34.2
356	42.9	34.2
357	43.1	34.2
358	43.1	34.2
359	43.1	34.2
360	43.3	34.1
361	36.8	34.1
362	36.6	34.1
363	36.5	34.1
364	36.2	34.1
365	36.0	34.1
366	35.8	34.1
367	35.7	34.1
368	41.8	34.1
369	41.5	34.0
370	40.9	34.0
371	40.3	34.0
372	39.8	34.0
373	39.3	34.0
374	35.5	33.9
375	33.5	33.9
376	32.8	33.9
377	34.1	33.9
378	34.4	33.9
379	34.6	33.9
380	34.9	33.8
381	35.2	33.8
382	35.4	33.8
383	35.7	33.8
384	35.8	33.8
385	30.3	33.8
386	30.9	33.7
387	31.7	33.7
388	32.0	33.7
389	32.4	33.7
390	32.8	33.7
391	33.0	33.6
392	39.6	33.6
393	39.3	33.6
394	35.0	33.6
395	31.1	33.5
396	27.6	33.5
397	25.4	33.5
398	24.3	33.5
399	24.3	33.5
400	25.9	33.5
401	28.7	33.5
402	29.0	33.5
403	29.5	33.5
404	29.8	33.5
405	30.3	33.5
406	30.6	33.5
407	31.1	33.5
408	31.4	33.5
409	25.4	33.4
410	25.6	33.4
411	25.9	33.4
412	25.9	33.4
413	26.0	33.4
414	26.0	33.3
415	26.0	33.2
416	32.5	33.2
417	32.2	33.2
418	31.7	33.2
419	31.1	33.2
420	30.6	33.2
421	30.0	33.2
422	25.9	33.2
423	23.8	33.2
424	23.2	33.2
425	24.6	33.2
426	24.9	33.2
427	25.3	33.1
428	25.6	33.1
429	25.7	33.1
430	26.0	33.1
431	26.4	33.1
432	26.7	33.0
433	20.8	33.0
434	21.3	33.0
435	21.8	33.0
436	21.9	33.0
437	22.1	33.0
