# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.7	40.7
2	9.3	40.5
3	10.0	40.1
4	10.2	39.7
5	10.5	39.4
6	10.7	39.0
7	10.9	39.0
8	16.2	38.9
9	15.9	38.7
10	14.1	38.4
11	12.4	38.0
12	11.0	37.2
13	10.1	37.2
14	9.6	37.1
15	9.6	37.0
16	10.2	36.8
17	11.1	36.6
18	12.0	36.4
19	12.8	36.2
20	13.6	36.0
21	14.4	36.0
22	15.1	36.0
23	16.0	35.9
24	16.8	35.9
25	13.2	35.8
26	15.0	35.6
27	16.7	35.6
28	17.7	35.6
29	18.6	35.5
30	19.7	35.4
31	20.3	35.3
32	26.2	35.3
33	26.2	35.3
34	23.9	35.2
35	22.0	35.1
36	20.2	35.0
37	19.1	35.0
38	18.6	35.0
39	18.6	35.0
40	19.7	35.0
41	21.3	34.9
42	22.0	34.8
43	22.6	34.8
44	23.3	34.6
45	23.8	34.6
46	24.4	34.6
47	25.1	34.5
48	25.7	34.5
49	20.4	34.4
50	20.2	34.4
51	19.9	34.3
52	19.8	34.3
53	19.7	34.2
54	19.5	34.2
55	19.4	34.1
56	24.4	34.1
57	24.2	34.0
58	22.1	34.0
59	20.3	33.9
60	19.1	33.9
61	18.2	33.9
62	17.7	33.9
63	17.7	33.8
64	18.2	33.8
65	19.3	33.7
66	19.7	33.7
67	19.9	33.7
68	20.2	33.5
69	20.4	33.5
70	20.8	33.5
71	21.1	33.4
72	21.3	33.4
73	16.7	33.4
74	17.6	33.4
75	18.1	33.4
76	18.4	33.3
77	18.7	33.3
78	19.0	33.2
79	19.3	33.1
80	24.7	33.0
81	24.7	33.0
82	24.0	32.9
83	23.5	32.8
84	23.3	32.8
85	23.1	32.8
86	23.0	32.8
87	23.1	32.8
88	23.4	32.7
89	23.8	32.6
90	24.2	32.6
91	24.4	32.6
92	24.8	32.5
93	25.1	32.5
94	25.5	32.3
95	25.9	32.3
96	26.6	32.3
97	21.1	32.2
98	21.1	32.2
99	21.1	32.2
100	21.2	32.2
101	21.1	32.2
102	21.1	32.2
103	21.1	32.2
104	26.2	32.1
105	26.1	32.1
106	25.1	32.1
107	24.0	32.1
108	23.1	32.1
109	22.6	32.1
110	22.2	32.0
111	22.1	32.0
112	22.5	32.0
113	23.1	32.0
114	23.5	32.0
115	23.9	32.0
116	24.3	31.9
117	24.7	31.8
118	25.2	31.8
119	25.5	31.8
120	26.2	31.8
121	21.2	31.7
122	21.8	31.7
123	22.5	31.7
124	22.9	31.7
125	23.1	31.6
126	23.4	31.6
127	23.7	31.6
128	29.1	31.5
129	29.1	31.5
130	28.3	31.4
131	27.5	31.4
132	27.0	31.4
133	26.6	31.3
134	26.5	31.3
135	26.5	31.3
136	26.8	31.2
137	27.4	31.2
138	27.7	31.2
139	28.1	31.2
140	28.3	31.2
141	28.7	31.2
142	29.1	31.1
143	29.3	31.1
144	29.7	31.1
145	24.6	31.0
146	24.7	31.0
147	24.7	30.9
148	24.7	30.9
149	24.7	30.9
150	24.7	30.9
151	24.7	30.9
152	29.9	30.8
153	29.5	30.8
154	27.0	30.8
155	24.8	30.8
156	22.9	30.8
157	21.5	30.8
158	20.7	30.8
159	20.8	30.8
160	21.8	30.8
161	23.3	30.8
162	23.7	30.8
163	24.0	30.8
164	24.4	30.8
165	24.8	30.8
166	25.2	30.7
167	25.7	30.7
168	26.1	30.6
169	21.7	30.6
170	22.2	30.5
171	22.9	30.5
172	23.3	30.5
173	23.7	30.5
174	24.0	30.5
175	24.3	30.5
176	29.7	30.5
177	29.7	30.5
178	28.8	30.5
179	28.4	30.4
180	28.6	30.4
181	28.6	30.4
182	27.4	30.4
183	26.9	30.4
184	26.8	30.4
185	27.4	30.4
186	27.9	30.4
187	28.4	30.4
188	28.8	30.3
189	29.3	30.3
190	29.7	30.3
191	30.3	30.3
192	30.8	30.3
193	25.9	30.3
194	26.1	30.1
195	26.4	30.1
196	26.5	30.1
197	26.6	30.1
198	26.9	30.1
199	27.0	30.1
200	32.2	30.1
201	32.1	30.1
202	31.0	30.1
203	30.1	30.0
204	29.3	30.0
205	28.8	30.0
206	28.7	30.0
207	28.6	30.0
208	29.0	29.9
209	29.7	29.9
210	29.9	29.9
211	30.0	29.9
212	30.4	29.9
213	30.4	29.9
214	30.4	29.9
215	30.5	29.7
216	30.8	29.7
217	25.6	29.7
218	25.6	29.7
219	25.7	29.7
220	25.7	29.7
221	25.7	29.7
222	25.7	29.7
223	25.7	29.7
224	30.9	29.7
225	30.8	29.7
226	29.7	29.7
227	28.7	29.7
228	27.9	29.7
229	27.5	29.6
230	27.1	29.6
231	27.1	29.6
232	27.4	29.6
233	28.1	29.6
234	28.3	29.5
235	28.6	29.5
236	29.1	29.5
237	28.7	29.5
238	29.0	29.5
239	29.1	29.5
240	29.2	29.4
241	24.3	29.4
242	24.4	29.4
243	24.6	29.4
244	24.7	29.4
245	24.7	29.4
246	24.7	29.4
247	24.7	29.4
248	30.0	29.3
249	29.7	29.3
250	27.9	29.3
251	26.2	29.3
252	24.7	29.3
253	23.7	29.3
254	23.0	29.3
255	22.9	29.2
256	23.4	29.2
257	24.4	29.2
258	25.2	29.2
259	26.0	29.2
260	26.6	29.2
261	27.4	29.2
262	28.2	29.2
263	29.0	29.2
264	29.6	29.2
265	25.9	29.2
266	27.7	29.1
267	29.3	29.1
268	30.4	29.1
269	31.3	29.1
270	32.3	29.1
271	33.1	29.1
272	39.0	29.1
273	38.9	29.1
274	38.0	29.1
275	37.1	29.1
276	35.9	29.1
277	35.6	29.1
278	36.2	29.1
279	36.6	29.1
280	37.2	29.0
281	38.4	29.0
282	38.7	29.0
283	39.0	29.0
284	39.4	29.0
285	39.7	29.0
286	40.1	29.0
287	40.5	29.0
288	40.7	29.0
289	35.0	29.0
290	34.6	29.0
291	33.2	28.9
292	32.6	28.9
293	32.1	28.8
294	31.5	28.8
295	31.2	28.8
296	35.9	28.8
297	35.6	28.8
298	33.9	28.8
299	32.3	28.8
300	31.2	28.8
301	30.3	28.8
302	29.9	28.8
303	29.7	28.8
304	30.1	28.8
305	30.9	28.8
306	30.8	28.8
307	30.8	28.7
308	30.8	28.7
309	30.8	28.7
310	30.9	28.7
311	30.6	28.7
312	30.6	28.7
313	26.0	28.7
314	26.5	28.7
315	27.0	28.7
316	27.3	28.6
317	27.7	28.6
318	27.9	28.6
319	28.2	28.6
320	33.5	28.6
321	33.5	28.6
322	32.8	28.6
323	31.8	28.6
324	31.2	28.6
325	30.8	28.6
326	30.5	28.6
327	30.5	28.5
328	30.8	28.5
329	31.3	28.4
330	31.9	28.4
331	32.3	28.4
332	32.8	28.4
333	33.4	28.4
334	33.7	28.4
335	34.3	28.4
336	34.8	28.3
337	30.4	28.3
338	30.4	28.3
339	30.8	28.3
340	31.0	28.3
341	31.3	28.3
342	31.4	28.3
343	31.7	28.3
344	37.0	28.2
345	36.8	28.2
346	35.8	28.2
347	35.0	28.2
348	34.4	28.2
349	33.9	28.2
350	33.7	28.2
351	34.0	28.2
352	34.4	28.2
353	34.9	28.1
354	35.0	28.1
355	35.0	28.0
356	35.2	28.0
357	35.3	28.0
358	35.3	28.0
359	35.3	28.0
360	35.4	28.0
361	30.1	28.0
362	30.0	27.9
363	29.9	27.9
364	29.6	27.9
365	29.5	27.9
366	29.3	27.9
367	29.2	27.9
368	34.3	27.9
369	34.0	27.9
370	33.5	27.9
371	33.0	27.9
372	32.6	27.9
373	32.2	27.8
374	29.1	27.8
375	27.4	27.8
376	26.9	27.8
377	27.9	27.8
378	28.2	27.7
379	28.3	27.7
380	28.6	27.7
381	28.8	27.7
382	29.0	27.7
383	29.2	27.7
384	29.3	27.6
385	24.8	27.6
386	25.3	27.6
387	26.0	27.6
388	26.2	27.6
389	26.5	27.5
390	26.9	27.5
391	27.0	27.5
392	32.5	27.5
393	32.2	27.5
