# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.5	77.5
2	17.7	77.1
3	19.0	76.3
4	19.4	75.6
5	19.9	75.1
6	20.4	74.3
7	20.7	74.3
8	30.8	74.1
9	30.3	73.6
10	26.8	73.1
11	23.6	72.4
12	20.9	70.9
13	19.2	70.8
14	18.2	70.7
15	18.2	70.4
16	19.4	70.2
17	21.2	69.7
18	22.9	69.3
19	24.4	68.9
20	25.8	68.6
21	27.3	68.6
22	28.8	68.6
23	30.5	68.4
24	32.0	68.4
25	25.1	68.2
26	28.6	67.8
27	31.8	67.7
28	33.7	67.7
29	35.4	67.6
30	37.4	67.5
31	38.6	67.2
32	50.0	67.2
33	50.0	67.2
34	45.5	67.0
35	41.8	66.8
36	38.4	66.7
37	36.4	66.7
38	35.4	66.7
39	35.4	66.7
40	37.4	66.7
41	40.6	66.5
42	41.8	66.2
43	43.1	66.2
44	44.3	66.0
45	45.3	65.8
46	46.5	65.8
47	47.8	65.7
48	49.0	65.6
49	38.9	65.6
50	38.4	65.5
51	37.9	65.5
52	37.7	65.2
53	37.4	65.2
54	37.2	65.1
55	36.9	65.1
56	46.5	64.8
57	46.0	64.7
58	42.1	64.7
59	38.6	64.6
60	36.4	64.6
61	34.7	64.5
62	33.7	64.5
63	33.7	64.4
64	34.7	64.4
65	36.7	64.3
66	37.4	64.3
67	37.9	64.3
68	38.4	64.3
69	38.9	64.1
70	39.6	63.8
71	40.1	63.8
72	40.6	63.8
73	31.8	63.6
74	33.5	63.6
75	34.5	63.5
76	35.0	63.3
77	35.7	63.3
78	36.2	63.3
79	36.7	63.0
80	47.0	63.0
81	47.0	62.8
82	45.8	62.8
83	44.8	62.6
84	44.3	62.5
85	44.1	62.5
86	43.8	62.3
87	44.1	62.3
88	44.6	62.3
89	45.3	62.1
90	46.0	62.0
91	46.5	62.0
92	47.3	61.9
93	47.8	61.8
94	48.5	61.8
95	49.2	61.5
96	50.7	61.5
97	40.1	61.5
98	40.1	61.3
99	40.1	61.3
100	40.4	61.3
101	40.1	61.3
102	40.1	61.3
103	40.1	61.3
104	50.0	61.1
105	49.7	61.1
106	47.8	61.1
107	45.8	61.1
108	44.1	61.1
109	43.1	61.1
110	42.3	61.0
111	42.1	60.8
112	42.8	60.8
113	44.1	60.8
114	44.8	60.8
115	45.5	60.8
116	46.3	60.8
117	47.0	60.8
118	48.0	60.6
119	48.5	60.6
120	50.0	60.6
121	40.4	60.6
122	41.6	60.6
123	42.8	60.3
124	43.6	60.3
125	44.1	60.3
126	44.6	60.1
127	45.1	60.1
128	55.4	60.1
129	55.4	60.1
130	53.9	59.8
131	52.4	59.8
132	51.5	59.8
133	50.7	59.6
134	50.5	59.6
135	50.5	59.6
136	51.0	59.3
137	52.2	59.3
138	52.7	59.3
139	53.4	59.3
140	53.9	59.3
141	54.7	59.3
142	55.4	59.2
143	55.9	59.1
144	56.6	59.1
145	46.8	59.1
146	47.0	59.1
147	47.0	59.1
148	47.0	58.8
149	47.0	58.8
150	47.0	58.8
151	47.0	58.8
152	56.9	58.8
153	56.1	58.8
154	51.5	58.6
155	47.3	58.6
156	43.6	58.6
157	40.9	58.6
158	39.4	58.6
159	39.6	58.6
160	41.6	58.6
161	44.3	58.6
162	45.1	58.6
163	45.8	58.6
164	46.5	58.6
165	47.3	58.6
166	48.0	58.6
167	49.0	58.3
168	49.7	58.3
169	41.4	58.3
170	42.3	58.3
171	43.6	58.1
172	44.3	58.1
173	45.1	58.1
174	45.8	58.1
175	46.3	58.1
176	56.6	58.1
177	56.6	58.1
178	54.9	58.1
179	54.2	57.9
180	54.4	57.9
181	54.4	57.9
182	52.2	57.9
183	51.2	57.9
184	51.0	57.9
185	52.2	57.9
186	53.2	57.9
187	54.2	57.9
188	54.9	57.9
189	55.9	57.6
190	56.6	57.6
191	57.6	57.6
192	58.6	57.6
193	49.2	57.6
194	49.7	57.6
195	50.2	57.6
196	50.5	57.4
197	50.7	57.4
198	51.2	57.4
199	51.5	57.4
200	61.3	57.4
201	61.1	57.4
202	59.1	57.4
203	57.4	57.4
204	55.9	57.2
205	54.9	57.1
206	54.7	57.1
207	54.4	57.1
208	55.1	57.1
209	56.6	57.1
210	56.9	56.9
211	57.1	56.9
212	57.9	56.9
213	57.9	56.9
214	57.9	56.9
215	58.1	56.9
216	58.6	56.8
217	48.7	56.8
218	48.7	56.6
219	49.0	56.6
220	49.0	56.6
221	49.0	56.6
222	49.0	56.6
223	49.0	56.6
224	58.8	56.6
225	58.6	56.6
226	56.6	56.6
227	54.7	56.6
228	53.2	56.6
229	52.4	56.6
230	51.7	56.6
231	51.7	56.5
232	52.2	56.5
233	53.4	56.5
234	53.9	56.4
235	54.4	56.4
236	55.4	56.4
237	54.7	56.4
238	55.1	56.4
239	55.4	56.3
240	55.6	56.3
241	46.3	56.1
242	46.5	56.1
243	46.8	56.1
244	47.0	56.1
245	47.0	56.1
246	47.0	56.1
247	47.0	55.9
248	57.1	55.9
249	56.6	55.9
250	53.2	55.9
251	50.0	55.9
252	47.0	55.9
253	45.1	55.9
254	43.8	55.9
255	43.6	55.9
256	44.6	55.9
257	46.5	55.9
258	48.0	55.9
259	49.5	55.9
260	50.7	55.9
261	52.2	55.9
262	53.7	55.6
263	55.1	55.6
264	56.4	55.6
265	49.2	55.6
266	52.7	55.6
267	55.9	55.6
268	57.9	55.6
269	59.6	55.6
270	61.5	55.6
271	63.0	55.6
272	74.3	55.6
273	74.1	55.4
274	72.4	55.4
275	70.7	55.4
276	68.4	55.4
277	67.7	55.4
278	68.9	55.4
279	69.7	55.4
280	70.9	55.4
281	73.1	55.4
282	73.6	55.4
283	74.3	55.4
284	75.1	55.4
285	75.6	55.4
286	76.3	55.4
287	77.1	55.4
288	77.5	55.2
289	66.7	55.1
290	66.0	55.1
291	63.3	55.1
292	62.0	55.1
293	61.1	55.1
294	60.1	55.1
295	59.3	55.1
296	68.4	55.1
297	67.7	55.0
298	64.5	55.0
299	61.5	54.9
300	59.3	54.9
301	57.6	54.9
302	56.9	54.9
303	56.6	54.9
304	57.4	54.9
305	58.8	54.9
306	58.6	54.9
307	58.6	54.9
308	58.6	54.9
309	58.6	54.9
310	58.8	54.7
311	58.3	54.7
312	58.3	54.7
313	49.5	54.7
314	50.5	54.7
315	51.5	54.6
316	51.9	54.6
317	52.7	54.6
318	53.2	54.4
319	53.7	54.4
320	63.8	54.4
321	63.8	54.4
322	62.5	54.4
323	60.6	54.4
324	59.3	54.4
325	58.6	54.4
326	58.1	54.4
327	58.1	54.4
328	58.6	54.4
329	59.6	54.2
330	60.8	54.2
331	61.5	54.1
332	62.5	54.1
333	63.5	54.1
334	64.3	54.1
335	65.2	54.1
336	66.2	53.9
337	57.9	53.9
338	57.9	53.9
339	58.6	53.9
340	59.1	53.9
341	59.6	53.9
342	59.8	53.9
343	60.3	53.9
344	70.4	53.8
345	70.2	53.8
346	68.2	53.7
347	66.7	53.7
348	65.5	53.7
349	64.5	53.6
350	64.3	53.6
351	64.7	53.6
352	65.5	53.6
353	66.5	53.6
