# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.4	39.5
2	9.0	39.2
3	9.6	38.8
4	9.9	38.5
5	10.2	38.2
6	10.4	37.8
7	10.5	37.8
8	15.7	37.7
9	15.4	37.5
10	13.7	37.2
11	12.0	36.8
12	10.7	36.1
13	9.8	36.1
14	9.3	36.0
15	9.3	35.8
16	9.9	35.7
17	10.8	35.5
18	11.7	35.3
19	12.4	35.1
20	13.2	34.9
21	13.9	34.9
22	14.7	34.9
23	15.5	34.8
24	16.3	34.8
25	12.8	34.7
26	14.5	34.5
27	16.2	34.5
28	17.2	34.5
29	18.0	34.4
30	19.0	34.3
31	19.7	34.2
32	25.4	34.2
33	25.4	34.2
34	23.2	34.1
35	21.3	34.0
36	19.5	34.0
37	18.5	34.0
38	18.0	34.0
39	18.0	34.0
40	19.0	34.0
41	20.7	33.8
42	21.3	33.7
43	21.9	33.7
44	22.6	33.6
45	23.1	33.5
46	23.7	33.5
47	24.3	33.4
48	24.9	33.4
49	19.8	33.3
50	19.5	33.3
51	19.3	33.2
52	19.2	33.2
53	19.0	33.2
54	18.9	33.1
55	18.8	33.1
56	23.7	33.0
57	23.4	33.0
58	21.4	33.0
59	19.7	32.9
60	18.5	32.9
61	17.7	32.8
62	17.2	32.8
63	17.2	32.8
64	17.7	32.8
65	18.7	32.7
66	19.0	32.7
67	19.3	32.6
68	19.5	32.5
69	19.8	32.5
70	20.2	32.5
71	20.4	32.5
72	20.7	32.5
73	16.2	32.4
74	17.0	32.4
75	17.5	32.3
76	17.8	32.2
77	18.2	32.2
78	18.4	32.2
79	18.7	32.1
80	23.9	32.0
81	23.9	32.0
82	23.3	31.9
83	22.8	31.8
84	22.6	31.8
85	22.4	31.8
86	22.3	31.7
87	22.4	31.7
88	22.7	31.7
89	23.1	31.6
90	23.4	31.6
91	23.7	31.6
92	24.1	31.5
93	24.3	31.5
94	24.7	31.3
95	25.1	31.3
96	25.8	31.3
97	20.4	31.3
98	20.4	31.2
99	20.4	31.2
100	20.6	31.2
101	20.4	31.2
102	20.4	31.2
103	20.4	31.2
104	25.4	31.1
105	25.3	31.1
106	24.3	31.1
107	23.3	31.1
108	22.4	31.1
109	21.9	31.1
110	21.6	31.0
111	21.4	31.0
112	21.8	31.0
113	22.4	31.0
114	22.8	31.0
115	23.2	31.0
116	23.6	31.0
117	23.9	30.9
118	24.4	30.9
119	24.7	30.9
120	25.4	30.8
121	20.6	30.8
122	21.2	30.7
123	21.8	30.7
124	22.2	30.7
125	22.4	30.6
126	22.7	30.6
127	22.9	30.6
128	28.2	30.6
129	28.2	30.6
130	27.4	30.5
131	26.7	30.5
132	26.2	30.5
133	25.8	30.3
134	25.7	30.3
135	25.7	30.3
136	25.9	30.2
137	26.6	30.2
138	26.8	30.2
139	27.2	30.2
140	27.4	30.2
141	27.8	30.2
142	28.2	30.1
143	28.4	30.1
144	28.8	30.1
145	23.8	30.1
146	23.9	30.1
147	23.9	30.0
148	23.9	30.0
149	23.9	29.9
150	23.9	29.9
151	23.9	29.9
152	28.9	29.9
153	28.6	29.8
154	26.2	29.8
155	24.1	29.8
156	22.2	29.8
157	20.8	29.8
158	20.1	29.8
159	20.2	29.8
160	21.2	29.8
161	22.6	29.8
162	22.9	29.8
163	23.3	29.8
164	23.7	29.8
165	24.1	29.8
166	24.4	29.7
167	24.9	29.7
168	25.3	29.7
169	21.1	29.7
170	21.6	29.7
171	22.2	29.6
172	22.6	29.6
173	22.9	29.6
174	23.3	29.6
175	23.6	29.6
176	28.8	29.6
177	28.8	29.6
178	27.9	29.6
179	27.6	29.5
180	27.7	29.5
181	27.7	29.5
182	26.6	29.4
183	26.1	29.4
184	25.9	29.4
185	26.6	29.4
186	27.1	29.4
187	27.6	29.4
188	27.9	29.3
189	28.4	29.3
190	28.8	29.3
191	29.3	29.3
192	29.8	29.3
193	25.1	29.3
194	25.3	29.2
195	25.6	29.2
196	25.7	29.2
197	25.8	29.2
198	26.1	29.2
199	26.2	29.2
200	31.2	29.2
201	31.1	29.2
202	30.1	29.2
203	29.2	29.1
204	28.4	29.1
