# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	9.2	43.4
2	9.9	43.1
3	10.6	42.7
4	10.9	42.3
5	11.2	42.0
6	11.4	41.6
7	11.6	41.6
8	17.2	41.4
9	16.9	41.2
10	15.0	40.9
11	13.2	40.5
12	11.7	39.7
13	10.7	39.7
14	10.2	39.5
15	10.2	39.4
16	10.9	39.2
17	11.8	39.0
18	12.8	38.9
19	13.6	38.6
20	14.5	38.4
21	15.3	38.4
22	16.1	38.4
23	17.1	38.3
24	17.9	38.3
25	14.0	38.1
26	16.0	38.0
27	17.8	37.9
28	18.9	37.9
29	19.8	37.9
30	20.9	37.7
31	21.6	37.6
32	28.0	37.6
33	28.0	37.6
34	25.5	37.5
35	23.4	37.5
36	21.5	37.3
37	20.4	37.3
38	19.8	37.3
39	19.8	37.3
40	20.9	37.3
41	22.7	37.2
42	23.4	37.0
43	24.1	37.0
44	24.8	36.9
45	25.3	36.9
46	26.0	36.9
47	26.7	36.8
48	27.4	36.8
49	21.8	36.6
50	21.5	36.6
51	21.2	36.5
52	21.1	36.5
53	20.9	36.5
54	20.8	36.5
55	20.7	36.5
56	26.0	36.3
57	25.7	36.2
58	23.5	36.2
59	21.6	36.2
60	20.4	36.2
61	19.4	36.1
62	18.9	36.1
63	18.9	36.1
64	19.4	36.1
65	20.5	35.9
66	20.9	35.9
67	21.2	35.9
68	21.5	35.8
69	21.8	35.8
70	22.2	35.7
71	22.4	35.7
72	22.7	35.7
73	17.8	35.6
74	18.7	35.6
75	19.3	35.5
76	19.6	35.5
77	20.0	35.5
78	20.2	35.4
79	20.5	35.3
80	26.3	35.2
81	26.3	35.1
82	25.6	35.1
83	25.1	35.0
84	24.8	35.0
85	24.6	35.0
86	24.5	34.9
87	24.6	34.9
88	24.9	34.9
89	25.3	34.8
90	25.7	34.7
91	26.0	34.7
92	26.4	34.7
93	26.7	34.6
94	27.1	34.4
95	27.5	34.4
96	28.4	34.4
97	22.4	34.4
98	22.4	34.4
99	22.4	34.4
100	22.6	34.3
101	22.4	34.3
102	22.4	34.3
103	22.4	34.3
104	28.0	34.2
105	27.8	34.2
106	26.7	34.2
107	25.6	34.2
108	24.6	34.1
109	24.1	34.1
110	23.7	34.1
111	23.5	34.1
112	24.0	34.1
113	24.6	34.1
114	25.1	34.1
115	25.5	34.1
116	25.9	34.0
117	26.3	34.0
118	26.9	34.0
119	27.1	34.0
120	28.0	33.9
121	22.6	33.9
122	23.3	33.8
123	24.0	33.8
124	24.4	33.7
125	24.6	33.7
126	24.9	33.7
127	25.2	33.7
128	31.0	33.6
129	31.0	33.6
130	30.2	33.5
131	29.3	33.5
132	28.8	33.5
133	28.4	33.3
134	28.2	33.3
135	28.2	33.3
136	28.5	33.3
137	29.2	33.3
138	29.5	33.3
139	29.9	33.2
140	30.2	33.2
141	30.6	33.2
142	31.0	33.1
143	31.3	33.1
144	31.7	33.1
145	26.2	33.0
146	26.3	33.0
147	26.3	33.0
148	26.3	33.0
149	26.3	32.9
150	26.3	32.9
151	26.3	32.9
152	31.8	32.9
153	31.4	32.8
154	28.8	32.8
155	26.4	32.8
156	24.4	32.8
157	22.9	32.8
158	22.0	32.8
159	22.2	32.8
160	23.3	32.8
161	24.8	32.8
162	25.2	32.8
163	25.6	32.8
164	26.0	32.8
165	26.4	32.8
166	26.9	32.7
167	27.4	32.7
168	27.8	32.6
169	23.1	32.6
170	23.7	32.6
171	24.4	32.6
172	24.8	32.6
173	25.2	32.6
174	25.6	32.6
175	25.9	32.6
176	31.7	32.5
177	31.7	32.5
178	30.7	32.5
179	30.3	32.4
180	30.4	32.4
181	30.4	32.4
182	29.2	32.4
183	28.6	32.4
184	28.5	32.4
185	29.2	32.4
186	29.7	32.4
187	30.3	32.4
188	30.7	32.3
189	31.3	32.3
190	31.7	32.3
191	32.2	32.3
192	32.8	32.2
193	27.5	32.2
194	27.8	32.1
195	28.1	32.1
196	28.2	32.1
197	28.4	32.1
198	28.6	32.1
199	28.8	32.1
200	34.3	32.1
201	34.1	32.1
202	33.0	32.1
203	32.1	32.0
204	31.3	32.0
205	30.7	32.0
206	30.6	31.9
207	30.4	31.9
208	30.8	31.9
209	31.7	31.9
210	31.8	31.9
211	31.9	31.8
212	32.4	31.8
213	32.4	31.8
214	32.4	31.8
215	32.5	31.8
216	32.8	31.7
217	27.3	31.7
218	27.3	31.7
219	27.4	31.7
220	27.4	31.7
221	27.4	31.7
222	27.4	31.7
223	27.4	31.7
224	32.9	31.7
225	32.8	31.7
226	31.7	31.7
227	30.6	31.7
228	29.7	31.7
229	29.3	31.6
230	28.9	31.6
231	28.9	31.5
232	29.2	31.5
233	29.9	31.5
234	30.2	31.5
235	30.4	31.5
236	31.0	31.4
237	30.6	31.4
238	30.8	31.4
239	31.0	31.4
240	31.1	31.4
241	25.9	31.4
242	26.0	31.4
243	26.2	31.3
244	26.3	31.3
245	26.3	31.3
246	26.3	31.3
247	26.3	31.3
248	31.9	31.3
249	31.7	31.3
250	29.7	31.3
251	28.0	31.3
252	26.3	31.3
253	25.2	31.3
254	24.5	31.3
255	24.4	31.3
256	24.9	31.3
257	26.0	31.2
258	26.9	31.2
259	27.7	31.2
260	28.4	31.2
261	29.2	31.2
262	30.0	31.1
263	30.8	31.1
264	31.5	31.1
265	27.5	31.1
266	29.5	31.1
267	31.3	31.1
268	32.4	31.0
269	33.3	31.0
270	34.4	31.0
271	35.3	31.0
272	41.6	31.0
273	41.4	31.0
274	40.5	31.0
275	39.5	31.0
276	38.3	31.0
277	37.9	31.0
278	38.6	31.0
279	39.0	31.0
280	39.7	31.0
281	40.9	31.0
282	41.2	31.0
283	41.6	30.9
284	42.0	30.9
285	42.3	30.9
286	42.7	30.9
287	43.1	30.9
288	43.4	30.8
289	37.3	30.8
290	36.9	30.8
291	35.4	30.8
292	34.7	30.8
293	34.1	30.8
294	33.6	30.8
295	33.2	30.8
296	38.3	30.7
297	37.9	30.7
298	36.1	30.7
299	34.4	30.7
300	33.2	30.7
301	32.2	30.7
302	31.8	30.7
303	31.7	30.7
304	32.1	30.7
305	32.9	30.7
306	32.8	30.7
307	32.8	30.6
308	32.8	30.6
309	32.8	30.6
310	32.9	30.6
311	32.6	30.6
312	32.6	30.6
313	27.7	30.6
314	28.2	30.6
315	28.8	30.6
316	29.1	30.5
317	29.5	30.5
318	29.7	30.5
319	30.0	30.5
320	35.7	30.5
321	35.7	30.5
322	35.0	30.4
323	33.9	30.4
324	33.2	30.4
325	32.8	30.4
326	32.5	30.4
327	32.5	30.4
328	32.8	30.4
329	33.3	30.3
330	34.0	30.3
331	34.4	30.3
332	35.0	30.3
333	35.5	30.3
334	35.9	30.3
335	36.5	30.3
336	37.0	30.2
337	32.4	30.2
338	32.4	30.2
339	32.8	30.2
340	33.0	30.2
341	33.3	30.2
342	33.5	30.2
343	33.7	30.2
344	39.4	30.0
345	39.2	30.0
346	38.1	30.0
347	37.3	30.0
348	36.6	30.0
349	36.1	30.0
350	35.9	30.0
351	36.2	30.0
352	36.6	30.0
353	37.2	29.9
354	37.3	29.9
355	37.3	29.9
356	37.5	29.9
357	37.6	29.9
358	37.6	29.9
359	37.6	29.9
360	37.7	29.9
361	32.1	29.9
362	31.9	29.8
363	31.8	29.8
364	31.5	29.8
365	31.4	29.8
366	31.3	29.7
367	31.1	29.7
368	36.5	29.7
369	36.2	29.7
370	35.7	29.7
371	35.1	29.7
372	34.7	29.7
373	34.3	29.6
374	31.0	29.6
375	29.2	29.6
376	28.6	29.6
377	29.7	29.6
378	30.0	29.6
379	30.2	29.6
380	30.4	29.5
381	30.7	29.5
382	30.8	29.5
383	31.1	29.5
384	31.3	29.5
385	26.4	29.5
386	27.0	29.5
387	27.7	29.5
388	28.0	29.5
389	28.2	29.4
390	28.6	29.4
391	28.8	29.4
392	34.6	29.4
393	34.3	29.3
394	30.6	29.3
395	27.1	29.3
396	24.1	29.3
397	22.2	29.2
398	21.2	29.2
399	21.2	29.2
400	22.6	29.2
401	25.1	29.2
402	25.3	29.2
403	25.7	29.2
404	26.0	29.2
405	26.4	29.2
406	26.7	29.2
407	27.1	29.2
408	27.4	29.2
409	22.2	29.1
410	22.3	29.1
411	22.6	29.1
412	22.6	29.1
413	22.7	29.1
414	22.7	29.1
415	22.7	29.1
416	28.4	29.1
417	28.1	29.0
418	27.7	29.0
419	27.1	28.9
420	26.7	28.9
421	26.2	28.9
422	22.6	28.9
423	20.8	28.9
424	20.2	28.9
425	21.5	28.9
426	21.8	28.9
427	22.0	28.9
428	22.3	28.8
429	22.4	28.8
430	22.7	28.8
431	23.0	28.8
432	23.3	28.8
433	18.2	28.8
434	18.6	28.8
435	19.0	28.8
436	19.1	28.8
437	19.3	28.8
438	19.6	28.8
439	19.6	28.8
440	25.2	28.8
441	25.1	28.7
442	24.6	28.7
443	24.4	28.7
444	24.0	28.7
445	23.8	28.7
446	20.7	28.7
447	18.6	28.7
448	17.8	28.6
449	18.9	28.6
450	19.3	28.6
451	19.8	28.6
452	20.2	28.5
453	20.8	28.5
454	21.3	28.5
455	21.8	28.5
456	22.3	28.5
457	17.3	28.5
458	18.0	28.5
459	18.7	28.5
460	19.1	28.5
461	19.6	28.4
462	20.0	28.4
463	20.1	28.4
464	25.9	28.4
465	25.7	28.4
466	25.3	28.4
467	25.2	28.4
468	24.8	28.4
469	24.5	28.4
470	21.9	28.4
471	20.8	28.4
472	20.5	28.4
473	21.5	28.4
474	21.8	28.4
475	21.9	28.4
476	22.2	28.4
477	22.4	28.4
478	22.6	28.3
479	22.9	28.3
480	23.0	28.3
481	17.5	28.3
482	17.5	28.2
483	17.3	28.2
484	17.3	28.2
485	17.2	28.2
486	17.2	28.2
487	17.1	28.2
488	22.6	28.2
489	22.3	28.2
490	20.0	28.2
491	17.8	28.2
492	15.7	28.2
493	14.0	28.1
494	12.9	28.1
495	12.8	28.1
496	13.5	28.1
497	15.0	28.1
498	15.4	28.0
499	16.0	28.0
500	16.4	28.0
501	16.9	28.0
502	17.5	28.0
503	17.9	28.0
504	18.5	28.0
505	13.8	28.0
506	14.5	28.0
507	15.3	28.0
508	15.6	28.0
509	16.0	28.0
510	16.2	27.9
511	16.5	27.9
512	22.2	27.9
513	21.9	27.8
514	19.3	27.8
515	17.2	27.8
516	14.9	27.8
517	13.4	27.8
518	11.4	27.8
519	10.6	27.8
520	10.7	27.8
521	12.5	27.8
522	13.8	27.8
523	14.9	27.8
524	16.1	27.8
525	17.3	27.7
526	18.5	27.7
527	19.7	27.7
528	20.8	27.7
529	16.7	27.7
530	18.2	27.7
531	19.6	27.7
532	20.4	27.7
533	21.1	27.7
534	21.9	27.7
535	22.3	27.7
536	28.4	27.7
537	27.5	27.7
538	23.1	27.7
539	19.3	27.7
540	16.4	27.7
541	14.2	27.7
542	12.9	27.7
543	12.8	27.7
544	13.9	27.5
545	16.7	27.5
546	18.3	27.5
547	20.0	27.5
548	21.6	27.5
549	23.3	27.5
550	24.9	27.5
551	26.6	27.5
552	28.2	27.5
553	24.2	27.4
554	25.9	27.4
555	27.5	27.4
556	28.5	27.4
557	29.5	27.4
558	30.4	27.4
559	31.1	27.4
560	37.3	27.4
561	37.0	27.4
562	34.3	27.4
563	31.5	27.4
564	29.7	27.4
565	28.8	27.4
566	27.4	27.4
567	27.0	27.4
568	27.3	27.4
569	29.3	27.4
570	29.7	27.4
571	30.2	27.4
572	30.4	27.3
573	30.8	27.3
574	31.3	27.3
575	31.7	27.3
576	32.1	27.3
577	26.0	27.3
578	25.5	27.3
579	24.9	27.3
580	24.5	27.3
581	24.2	27.3
582	23.8	27.3
583	23.5	27.3
584	28.9	27.3
585	28.5	27.3
586	27.4	27.2
587	27.7	27.2
588	26.0	27.2
589	25.1	27.2
590	24.8	27.2
591	24.9	27.1
592	24.6	27.1
593	25.6	27.1
594	25.7	27.1
595	25.6	27.1
596	25.5	27.1
597	25.5	27.1
598	25.5	27.1
599	25.3	27.1
600	25.2	27.1
601	20.1	27.1
602	20.4	27.0
603	20.7	27.0
604	20.8	27.0
605	20.9	27.0
606	21.1	27.0
607	21.2	27.0
608	26.7	27.0
609	25.5	27.0
610	22.3	27.0
611	20.7	27.0
612	19.1	27.0
613	16.1	27.0
614	14.0	26.9
615	12.8	26.9
616	12.7	26.9
617	14.2	26.9
618	16.4	26.8
619	16.8	26.8
620	17.1	26.8
621	17.5	26.8
622	17.9	26.8
623	18.3	26.8
624	18.7	26.8
625	13.6	26.8
626	14.2	26.8
627	14.7	26.8
628	15.0	26.8
629	15.3	26.8
630	15.6	26.8
631	15.7	26.8
632	21.5	26.7
633	21.3	26.7
634	20.9	26.7
635	20.5	26.7
636	20.4	26.7
637	20.1	26.7
638	20.8	26.7
639	20.0	26.7
640	20.5	26.7
641	20.5	26.7
642	20.8	26.7
643	21.2	26.7
644	21.9	26.7
645	22.2	26.7
646	22.6	26.7
647	23.0	26.6
648	23.5	26.6
649	18.5	26.6
650	19.1	26.6
651	19.8	26.6
652	20.0	26.6
653	20.2	26.6
654	20.7	26.6
655	20.8	26.5
656	26.6	26.5
657	26.2	26.5
658	24.6	26.5
659	24.1	26.5
660	23.1	26.4
661	22.4	26.4
662	22.0	26.4
663	22.2	26.4
664	22.6	26.4
665	23.3	26.4
666	24.0	26.4
667	24.4	26.4
668	24.6	26.4
669	24.9	26.4
670	25.3	26.4
671	25.6	26.4
672	26.0	26.4
673	20.7	26.4
674	20.7	26.4
675	20.8	26.3
676	20.8	26.3
677	20.8	26.3
678	20.8	26.3
679	20.8	26.3
680	26.3	26.3
681	25.9	26.3
682	23.3	26.3
683	21.3	26.3
684	18.5	26.3
685	16.0	26.3
686	15.1	26.3
687	15.1	26.3
688	16.1	26.3
689	17.2	26.3
690	18.9	26.3
691	19.0	26.3
692	19.3	26.3
693	19.6	26.3
694	19.8	26.3
695	20.1	26.3
696	20.4	26.2
697	15.3	26.2
698	15.8	26.2
699	16.2	26.2
700	16.5	26.2
701	16.8	26.2
702	16.9	26.2
703	17.2	26.1
704	22.9	26.1
705	22.4	26.1
706	21.6	26.0
707	20.8	26.0
708	20.4	26.0
709	20.2	26.0
710	16.9	26.0
711	15.1	26.0
712	14.6	26.0
713	15.4	26.0
714	16.7	26.0
715	16.9	26.0
716	17.3	26.0
717	17.6	26.0
718	17.9	26.0
719	18.2	26.0
720	18.6	26.0
721	13.4	26.0
722	13.6	26.0
723	13.9	26.0
724	13.9	26.0
725	14.0	26.0
726	14.0	26.0
727	14.2	26.0
728	19.7	26.0
729	19.3	26.0
730	17.3	25.9
731	16.0	25.9
732	14.3	25.9
733	12.4	25.9
734	11.0	25.9
735	10.3	25.9
736	12.0	25.9
737	13.2	25.9
738	14.3	25.9
739	14.6	25.9
740	14.7	25.9
741	14.9	25.9
742	15.0	25.9
743	15.3	25.9
744	15.4	25.9
745	9.3	25.9
746	9.8	25.8
747	10.3	25.8
748	10.6	25.8
749	10.8	25.7
750	11.1	25.7
751	11.2	25.7
752	16.3	25.7
753	16.2	25.7
754	14.7	25.7
755	14.6	25.7
756	13.6	25.7
757	12.5	25.7
758	12.1	25.7
759	12.1	25.7
760	12.1	25.7
761	12.3	25.7
762	13.1	25.7
763	13.6	25.7
764	14.1	25.6
765	14.6	25.6
766	15.2	25.6
767	15.6	25.6
768	16.1	25.6
769	11.5	25.6
770	11.8	25.6
771	12.2	25.6
772	12.5	25.6
773	12.6	25.6
774	12.7	25.6
775	12.7	25.6
776	17.7	25.6
777	16.7	25.5
778	15.2	25.5
779	14.6	25.5
780	13.5	25.5
781	12.1	25.5
782	12.8	25.5
783	13.6	25.5
784	14.2	25.5
785	14.6	25.5
786	15.1	25.5
787	15.6	25.5
788	15.9	25.5
789	16.4	25.5
790	16.9	25.4
791	17.3	25.4
792	17.8	25.4
793	13.7	25.4
794	14.8	25.4
795	15.2	25.4
796	15.6	25.4
797	15.9	25.4
798	16.2	25.4
799	16.4	25.4
800	21.6	25.4
801	21.3	25.4
802	20.7	25.4
803	19.8	25.4
804	19.4	25.4
805	19.2	25.3
806	19.2	25.3
807	19.1	25.3
808	19.1	25.3
809	19.4	25.3
810	19.9	25.3
811	20.6	25.3
812	21.2	25.3
813	21.9	25.3
814	22.5	25.3
815	23.3	25.3
816	24.0	25.3
817	20.1	25.3
818	21.3	25.3
819	22.5	25.3
820	23.2	25.3
821	23.9	25.3
822	24.4	25.3
823	24.8	25.2
824	29.9	25.2
825	29.1	25.2
826	27.9	25.2
827	27.0	25.2
828	26.2	25.2
829	25.9	25.2
830	26.0	25.2
831	26.8	25.2
832	27.7	25.2
833	28.4	25.2
834	29.0	25.2
835	28.9	25.2
836	28.8	25.2
837	28.7	25.2
838	28.4	25.2
839	28.3	25.2
840	28.2	25.1
841	22.8	25.1
842	22.2	25.1
843	21.7	25.1
844	21.3	25.1
845	21.2	25.1
846	20.8	25.0
847	20.4	25.0
848	25.3	25.0
849	24.9	25.0
850	24.4	25.0
851	24.0	25.0
852	23.7	25.0
853	23.3	25.0
854	20.6	24.9
855	18.9	24.9
856	18.2	24.9
857	18.3	24.9
858	19.2	24.9
859	19.4	24.9
860	19.7	24.9
861	20.1	24.9
862	20.3	24.9
863	20.6	24.9
864	20.9	24.9
865	16.8	24.9
866	17.7	24.9
867	18.7	24.9
868	19.2	24.9
869	19.7	24.9
870	20.1	24.9
871	20.4	24.9
872	25.5	24.8
873	25.5	24.8
874	25.4	24.8
875	25.3	24.8
876	25.3	24.8
877	25.5	24.8
878	24.0	24.8
879	23.4	24.8
880	23.2	24.8
881	23.4	24.8
882	23.9	24.8
883	24.0	24.8
884	24.3	24.7
885	24.4	24.7
886	24.7	24.7
887	24.8	24.7
888	24.9	24.7
889	19.8	24.7
890	19.6	24.7
891	19.3	24.7
892	19.2	24.7
893	19.1	24.6
894	18.9	24.6
895	18.8	24.6
896	23.8	24.6
897	23.5	24.6
898	22.5	24.6
899	21.7	24.6
900	20.9	24.6
901	20.6	24.6
902	20.1	24.6
903	19.9	24.5
904	19.9	24.5
905	20.3	24.5
906	20.7	24.5
907	20.9	24.5
908	21.2	24.5
909	21.6	24.5
910	21.8	24.5
911	22.7	24.5
912	22.4	24.5
913	18.6	24.5
914	19.8	24.5
915	21.2	24.5
916	21.9	24.5
917	22.5	24.4
918	23.2	24.4
919	23.7	24.4
920	28.7	24.4
921	28.3	24.4
922	27.5	24.4
923	26.8	24.4
924	26.0	24.4
925	25.7	24.4
926	25.4	24.4
927	25.4	24.4
928	25.7	24.4
929	26.2	24.4
930	26.9	24.4
