# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	20.8	97.7
2	22.3	97.0
3	23.9	96.1
4	24.5	95.2
5	25.1	94.6
6	25.7	93.6
7	26.0	93.6
8	38.8	93.3
9	38.1	92.7
10	33.8	92.1
11	29.8	91.2
12	26.4	89.3
13	24.2	89.2
14	22.9	89.0
15	22.9	88.7
16	24.5	88.4
17	26.7	87.7
18	28.8	87.3
19	30.7	86.8
20	32.6	86.4
21	34.4	86.4
22	36.3	86.4
23	38.4	86.2
24	40.3	86.2
25	31.6	85.9
26	36.0	85.4
27	40.0	85.3
28	42.5	85.3
29	44.6	85.1
30	47.1	84.9
31	48.7	84.6
32	62.9	84.6
33	62.9	84.6
34	57.4	84.3
35	52.7	84.2
36	48.4	84.0
37	45.9	84.0
38	44.6	84.0
39	44.6	84.0
40	47.1	84.0
41	51.2	83.7
42	52.7	83.4
43	54.3	83.4
44	55.8	83.1
45	57.0	82.9
46	58.6	82.9
47	60.1	82.9
48	61.7	82.6
49	49.0	82.6
50	48.4	82.5
51	47.7	82.5
52	47.4	82.2
53	47.1	82.2
54	46.8	82.0
55	46.5	82.0
56	58.6	81.6
57	58.0	81.5
58	53.0	81.5
59	48.7	81.3
60	45.9	81.3
61	43.7	81.2
62	42.5	81.2
63	42.5	81.2
64	43.7	81.2
65	46.2	81.0
66	47.1	81.0
67	47.7	80.9
68	48.4	80.9
69	49.0	80.7
70	49.9	80.3
71	50.5	80.3
72	51.2	80.3
73	40.0	80.1
74	42.2	80.1
75	43.4	80.0
76	44.0	79.8
77	45.0	79.8
78	45.6	79.7
79	46.2	79.5
80	59.2	79.4
81	59.2	79.1
82	57.7	79.1
83	56.4	78.8
84	55.8	78.7
85	55.5	78.7
86	55.2	78.5
87	55.5	78.5
88	56.1	78.5
89	57.0	78.2
90	58.0	78.1
91	58.6	78.1
92	59.5	78.1
93	60.1	77.9
94	61.1	77.8
95	62.0	77.5
96	63.9	77.5
97	50.5	77.5
98	50.5	77.2
99	50.5	77.2
100	50.8	77.2
101	50.5	77.2
102	50.5	77.2
103	50.5	77.2
104	62.9	76.9
105	62.6	76.9
106	60.1	76.9
107	57.7	76.9
108	55.5	76.9
109	54.3	76.9
110	53.3	76.9
111	53.0	76.6
112	53.9	76.6
113	55.5	76.6
114	56.4	76.6
115	57.4	76.6
116	58.3	76.6
117	59.2	76.6
118	60.5	76.4
119	61.1	76.3
120	62.9	76.3
121	50.8	76.3
122	52.4	76.3
123	53.9	76.0
124	54.9	76.0
125	55.5	76.0
126	56.1	75.7
127	56.7	75.7
128	69.8	75.7
129	69.8	75.6
130	67.9	75.4
131	66.0	75.4
132	64.8	75.3
133	63.9	75.0
134	63.6	75.0
135	63.6	75.0
136	64.2	74.7
137	65.7	74.7
138	66.3	74.7
139	67.3	74.7
140	67.9	74.7
141	68.8	74.7
142	69.8	74.7
143	70.4	74.4
144	71.3	74.4
145	58.9	74.4
146	59.2	74.4
147	59.2	74.4
148	59.2	74.1
149	59.2	74.1
150	59.2	74.1
151	59.2	74.1
152	71.6	74.1
153	70.7	74.1
