# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	4.2	20.0
2	4.6	19.8
3	4.9	19.7
4	5.0	19.5
5	5.1	19.3
6	5.3	19.1
7	5.3	19.1
8	7.9	19.1
9	7.8	19.0
10	6.9	18.8
11	6.1	18.6
12	5.4	18.3
13	4.9	18.2
14	4.7	18.1
15	4.7	18.1
16	5.0	18.1
17	5.5	17.9
18	5.9	17.8
19	6.3	17.7
20	6.7	17.6
21	7.0	17.6
22	7.4	17.6
23	7.9	17.5
24	8.2	17.5
25	6.5	17.5
26	7.4	17.4
27	8.2	17.4
28	8.7	17.4
29	9.1	17.4
30	9.6	17.4
31	10.0	17.3
32	12.9	17.3
33	12.9	17.3
34	11.7	17.3
35	10.8	17.2
36	9.9	17.2
37	9.4	17.2
38	9.1	17.2
39	9.1	17.2
40	9.6	17.2
41	10.5	17.1
42	10.8	17.1
43	11.1	17.1
44	11.4	17.1
45	11.7	17.0
46	12.0	17.0
47	12.3	17.0
48	12.6	16.9
49	10.0	16.9
50	9.9	16.8
51	9.8	16.8
52	9.7	16.8
53	9.6	16.8
54	9.6	16.8
55	9.5	16.8
56	12.0	16.7
57	11.9	16.7
58	10.8	16.7
59	10.0	16.7
60	9.4	16.7
61	8.9	16.6
62	8.7	16.6
63	8.7	16.6
64	8.9	16.5
65	9.4	16.5
66	9.6	16.5
67	9.8	16.5
68	9.9	16.5
69	10.0	16.5
70	10.2	16.4
71	10.3	16.4
72	10.5	16.4
73	8.2	16.4
74	8.6	16.4
75	8.9	16.4
76	9.0	16.3
77	9.2	16.3
78	9.3	16.3
79	9.4	16.2
80	12.1	16.2
81	12.1	16.2
82	11.8	16.2
83	11.5	16.1
84	11.4	16.1
85	11.3	16.1
86	11.3	16.1
87	11.3	16.0
88	11.5	16.0
89	11.7	16.0
90	11.9	16.0
91	12.0	16.0
92	12.2	16.0
93	12.3	16.0
94	12.5	15.9
95	12.7	15.9
96	13.1	15.9
97	10.3	15.9
98	10.3	15.9
99	10.3	15.8
100	10.4	15.8
101	10.3	15.8
102	10.3	15.8
103	10.3	15.8
104	12.9	15.7
105	12.8	15.7
106	12.3	15.7
107	11.8	15.7
108	11.3	15.7
109	11.1	15.7
110	10.9	15.6
111	10.8	15.6
112	11.0	15.6
113	11.3	15.6
114	11.5	15.6
115	11.7	15.6
116	11.9	15.6
117	12.1	15.6
118	12.4	15.6
119	12.5	15.6
120	12.9	15.6
121	10.4	15.6
122	10.7	15.5
123	11.0	15.5
124	11.2	15.5
125	11.3	15.5
126	11.5	15.5
127	11.6	15.4
128	14.3	15.4
129	14.3	15.4
130	13.9	15.4
131	13.5	15.4
132	13.3	15.4
133	13.1	15.3
134	13.0	15.3
135	13.0	15.3
136	13.1	15.3
137	13.4	15.3
138	13.6	15.3
139	13.8	15.3
140	13.9	15.3
141	14.1	15.3
142	14.3	15.3
143	14.4	15.2
144	14.6	15.2
145	12.0	15.2
146	12.1	15.2
147	12.1	15.2
148	12.1	15.2
149	12.1	15.2
150	12.1	15.2
151	12.1	15.1
152	14.6	15.1
153	14.5	15.1
154	13.3	15.1
155	12.2	15.1
156	11.2	15.1
157	10.5	15.1
158	10.1	15.1
159	10.2	15.1
160	10.7	15.1
161	11.4	15.1
162	11.6	15.1
163	11.8	15.1
164	12.0	15.1
165	12.2	15.1
166	12.4	15.1
167	12.6	15.0
168	12.8	15.0
169	10.7	15.0
170	10.9	15.0
171	11.2	15.0
172	11.4	15.0
173	11.6	15.0
174	11.8	15.0
175	11.9	15.0
176	14.6	15.0
177	14.6	15.0
178	14.1	15.0
179	13.9	15.0
180	14.0	14.9
181	14.0	14.9
182	13.4	14.9
183	13.2	14.9
184	13.1	14.9
185	13.4	14.9
186	13.7	14.9
187	13.9	14.9
188	14.1	14.9
189	14.4	14.9
190	14.6	14.9
191	14.8	14.9
192	15.1	14.9
193	12.7	14.9
194	12.8	14.9
195	12.9	14.8
196	13.0	14.8
197	13.1	14.8
198	13.2	14.8
199	13.3	14.8
200	15.8	14.8
201	15.7	14.8
202	15.2	14.8
203	14.8	14.8
204	14.4	14.8
205	14.1	14.8
206	14.1	14.8
207	14.0	14.8
208	14.2	14.8
209	14.6	14.7
210	14.6	14.7
211	14.7	14.7
212	14.9	14.7
213	14.9	14.7
214	14.9	14.7
215	15.0	14.7
216	15.1	14.7
217	12.6	14.7
218	12.6	14.7
219	12.6	14.7
220	12.6	14.7
221	12.6	14.7
222	12.6	14.7
223	12.6	14.7
224	15.2	14.7
225	15.1	14.6
226	14.6	14.6
227	14.1	14.6
228	13.7	14.6
229	13.5	14.6
230	13.3	14.6
231	13.3	14.6
232	13.4	14.6
233	13.8	14.6
234	13.9	14.6
235	14.0	14.6
236	14.3	14.6
237	14.1	14.6
238	14.2	14.6
239	14.3	14.6
240	14.3	14.6
241	11.9	14.6
242	12.0	14.6
243	12.0	14.5
244	12.1	14.5
245	12.1	14.5
246	12.1	14.5
247	12.1	14.5
248	14.7	14.5
249	14.6	14.5
250	13.7	14.5
251	12.9	14.5
252	12.1	14.5
253	11.6	14.5
254	11.3	14.4
255	11.2	14.4
256	11.5	14.4
257	12.0	14.4
258	12.4	14.4
259	12.7	14.4
260	13.1	14.4
261	13.4	14.4
262	13.8	14.4
263	14.2	14.4
264	14.5	14.4
265	12.7	14.3
266	13.6	14.3
267	14.4	14.3
268	14.9	14.3
269	15.3	14.3
270	15.9	14.3
271	16.2	14.3
272	19.1	14.3
273	19.1	14.3
274	18.6	14.3
275	18.2	14.3
276	17.6	14.3
277	17.4	14.3
278	17.8	14.3
279	17.9	14.3
280	18.3	14.2
281	18.8	14.2
282	19.0	14.2
283	19.1	14.2
284	19.3	14.2
285	19.5	14.2
286	19.7	14.2
287	19.8	14.2
288	20.0	14.2
289	17.2	14.2
290	17.0	14.2
291	16.3	14.2
292	16.0	14.2
293	15.7	14.2
294	15.5	14.2
295	15.3	14.2
296	17.6	14.2
297	17.4	14.2
298	16.6	14.1
299	15.9	14.1
300	15.3	14.1
301	14.8	14.1
302	14.6	14.1
303	14.6	14.1
304	14.8	14.1
305	15.2	14.1
306	15.1	14.1
307	15.1	14.1
308	15.1	14.1
309	15.1	14.1
310	15.2	14.1
311	15.0	14.1
312	15.0	14.0
313	12.7	14.0
314	13.0	14.0
315	13.3	14.0
316	13.4	14.0
317	13.6	14.0
318	13.7	14.0
319	13.8	14.0
320	16.4	14.0
321	16.4	14.0
322	16.1	14.0
323	15.6	14.0
324	15.3	14.0
325	15.1	14.0
326	15.0	14.0
327	15.0	14.0
328	15.1	14.0
329	15.3	13.9
330	15.7	13.9
331	15.9	13.9
332	16.1	13.9
333	16.4	13.9
334	16.5	13.9
335	16.8	13.9
336	17.1	13.9
337	14.9	13.9
338	14.9	13.9
339	15.1	13.9
340	15.2	13.9
341	15.3	13.9
342	15.4	13.9
343	15.5	13.8
344	18.1	13.8
345	18.1	13.8
346	17.6	13.8
347	17.2	13.8
348	16.9	13.8
349	16.6	13.8
350	16.5	13.8
351	16.7	13.8
352	16.9	13.8
353	17.1	13.8
354	17.2	13.8
355	17.2	13.8
356	17.2	13.8
357	17.3	13.8
358	17.3	13.8
359	17.3	13.8
360	17.4	13.8
361	14.8	13.7
362	14.7	13.7
363	14.6	13.7
364	14.5	13.7
365	14.5	13.7
366	14.4	13.7
367	14.3	13.7
368	16.8	13.7
369	16.7	13.7
370	16.4	13.7
371	16.2	13.7
372	16.0	13.7
373	15.8	13.7
374	14.3	13.7
375	13.4	13.7
376	13.2	13.7
377	13.7	13.7
378	13.8	13.7
379	13.9	13.7
380	14.0	13.7
381	14.1	13.7
382	14.2	13.7
383	14.3	13.6
384	14.4	13.6
385	12.2	13.6
386	12.4	13.6
387	12.7	13.6
388	12.9	13.6
389	13.0	13.6
390	13.2	13.6
391	13.3	13.5
392	15.9	13.5
393	15.8	13.5
394	14.1	13.5
395	12.5	13.5
396	11.1	13.5
397	10.2	13.5
398	9.8	13.5
399	9.8	13.5
400	10.4	13.5
401	11.5	13.5
402	11.7	13.5
403	11.9	13.5
404	12.0	13.5
405	12.2	13.5
406	12.3	13.5
407	12.5	13.5
408	12.6	13.5
409	10.2	13.5
410	10.3	13.4
411	10.4	13.4
412	10.4	13.4
413	10.5	13.4
414	10.5	13.4
415	10.5	13.4
416	13.1	13.4
417	12.9	13.4
418	12.7	13.4
419	12.5	13.4
420	12.3	13.4
421	12.0	13.4
422	10.4	13.4
423	9.6	13.4
424	9.3	13.3
425	9.9	13.3
426	10.0	13.3
427	10.1	13.3
428	10.3	13.3
429	10.3	13.3
430	10.5	13.3
431	10.6	13.3
432	10.7	13.3
433	8.4	13.3
434	8.6	13.3
435	8.7	13.3
436	8.8	13.3
437	8.9	13.3
438	9.0	13.3
439	9.0	13.3
440	11.6	13.3
441	11.5	13.3
442	11.3	13.3
443	11.2	13.3
444	11.0	13.3
445	11.0	13.3
446	9.5	13.3
447	8.6	13.3
448	8.2	13.2
449	8.7	13.2
450	8.9	13.2
451	9.1	13.2
452	9.3	13.2
453	9.6	13.2
454	9.8	13.2
455	10.0	13.2
456	10.3	13.2
457	8.0	13.2
458	8.3	13.2
459	8.6	13.2
460	8.8	13.2
461	9.0	13.2
462	9.2	13.2
463	9.3	13.2
464	11.9	13.2
465	11.9	13.2
466	11.7	13.1
467	11.6	13.1
468	11.4	13.1
469	11.3	13.1
470	10.1	13.1
471	9.6	13.1
472	9.4	13.1
473	9.9	13.1
474	10.0	13.1
475	10.1	13.1
476	10.2	13.1
477	10.3	13.1
478	10.4	13.1
479	10.5	13.1
480	10.6	13.1
481	8.1	13.1
482	8.1	13.1
483	8.0	13.1
484	8.0	13.1
485	7.9	13.1
486	7.9	13.1
487	7.9	13.1
488	10.4	13.1
489	10.3	13.1
490	9.2	13.1
491	8.2	13.1
492	7.2	13.1
493	6.5	13.1
494	6.0	13.0
495	5.9	13.0
496	6.2	13.0
497	6.9	13.0
498	7.1	13.0
499	7.4	13.0
500	7.5	13.0
501	7.8	13.0
502	8.1	13.0
503	8.2	13.0
504	8.5	13.0
505	6.3	13.0
506	6.7	13.0
507	7.0	13.0
508	7.2	13.0
509	7.4	13.0
510	7.5	13.0
511	7.6	13.0
512	10.2	13.0
513	10.1	13.0
514	8.9	12.9
515	7.9	12.9
516	6.8	12.9
517	6.2	12.9
518	5.3	12.9
519	4.9	12.9
520	4.9	12.9
521	5.8	12.9
522	6.3	12.9
523	6.8	12.9
524	7.4	12.9
525	8.0	12.9
526	8.5	12.9
527	9.1	12.9
528	9.6	12.9
529	7.7	12.9
530	8.4	12.9
531	9.0	12.9
532	9.4	12.9
533	9.7	12.9
534	10.1	12.9
535	10.3	12.9
536	13.1	12.9
537	12.7	12.8
538	10.7	12.8
539	8.9	12.8
540	7.5	12.8
541	6.5	12.8
542	6.0	12.8
543	5.9	12.8
544	6.4	12.8
545	7.7	12.8
546	8.4	12.8
547	9.2	12.8
548	10.0	12.8
549	10.7	12.8
550	11.5	12.8
551	12.2	12.8
552	13.0	12.8
553	11.2	12.8
554	11.9	12.8
555	12.7	12.8
556	13.1	12.7
557	13.6	12.7
558	14.0	12.7
559	14.3	12.7
560	17.2	12.7
561	17.1	12.7
562	15.8	12.7
563	14.5	12.7
564	13.7	12.7
565	13.3	12.7
566	12.6	12.7
567	12.4	12.7
568	12.6	12.7
569	13.5	12.7
570	13.7	12.7
571	13.9	12.7
572	14.0	12.7
573	14.2	12.7
574	14.4	12.6
575	14.6	12.6
576	14.8	12.6
577	12.0	12.6
578	11.7	12.6
579	11.5	12.6
580	11.3	12.6
581	11.2	12.6
582	11.0	12.6
583	10.8	12.6
584	13.3	12.6
585	13.1	12.6
586	12.6	12.6
587	12.7	12.6
588	12.0	12.6
589	11.5	12.6
590	11.4	12.6
591	11.5	12.6
592	11.3	12.6
593	11.8	12.6
594	11.9	12.6
595	11.8	12.6
596	11.7	12.6
597	11.7	12.6
598	11.7	12.6
599	11.7	12.6
600	11.6	12.6
601	9.3	12.6
602	9.4	12.6
603	9.5	12.6
604	9.6	12.6
605	9.6	12.6
606	9.7	12.6
607	9.8	12.6
608	12.3	12.6
609	11.7	12.5
610	10.3	12.5
611	9.5	12.5
612	8.8	12.5
613	7.4	12.5
614	6.5	12.5
615	5.9	12.5
616	5.8	12.5
617	6.5	12.5
618	7.5	12.5
619	7.7	12.5
620	7.9	12.5
621	8.1	12.5
622	8.2	12.5
623	8.4	12.5
624	8.6	12.5
625	6.3	12.5
626	6.5	12.4
627	6.8	12.4
628	6.9	12.4
629	7.0	12.4
630	7.2	12.4
631	7.2	12.4
632	9.9	12.4
633	9.8	12.4
634	9.6	12.4
635	9.4	12.4
636	9.4	12.4
637	9.3	12.4
638	9.6	12.4
639	9.2	12.4
640	9.4	12.4
641	9.4	12.4
642	9.6	12.4
643	9.8	12.4
644	10.1	12.4
645	10.2	12.4
646	10.4	12.4
647	10.6	12.4
648	10.8	12.3
649	8.5	12.3
650	8.8	12.3
651	9.1	12.3
652	9.2	12.3
653	9.3	12.3
654	9.5	12.3
655	9.6	12.3
656	12.2	12.3
657	12.0	12.3
658	11.3	12.3
659	11.1	12.3
660	10.7	12.3
661	10.3	12.3
662	10.1	12.3
663	10.2	12.3
664	10.4	12.3
665	10.7	12.3
666	11.0	12.3
667	11.2	12.3
668	11.3	12.3
669	11.5	12.3
670	11.7	12.3
671	11.8	12.3
672	12.0	12.3
673	9.5	12.3
674	9.5	12.3
675	9.6	12.3
676	9.6	12.2
677	9.6	12.2
678	9.6	12.2
679	9.6	12.2
680	12.1	12.2
681	11.9	12.2
682	10.7	12.2
683	9.8	12.2
684	8.5	12.2
685	7.4	12.2
686	7.0	12.2
687	7.0	12.2
688	7.4	12.2
689	7.9	12.2
690	8.7	12.2
691	8.7	12.2
692	8.9	12.2
693	9.0	12.2
694	9.1	12.2
695	9.3	12.2
696	9.4	12.2
697	7.0	12.2
698	7.3	12.2
699	7.5	12.2
700	7.6	12.2
701	7.7	12.2
702	7.8	12.1
703	7.9	12.1
704	10.5	12.1
705	10.3	12.1
706	10.0	12.1
707	9.6	12.1
708	9.4	12.1
709	9.3	12.1
710	7.8	12.1
711	7.0	12.1
712	6.7	12.1
713	7.1	12.1
714	7.7	12.1
715	7.8	12.1
716	8.0	12.1
717	8.1	12.1
718	8.2	12.1
719	8.4	12.1
720	8.6	12.1
721	6.2	12.1
722	6.3	12.1
723	6.4	12.1
724	6.4	12.1
725	6.5	12.1
726	6.5	12.1
727	6.5	12.1
728	9.1	12.1
729	8.9	12.1
730	8.0	12.1
731	7.4	12.1
732	6.6	12.1
733	5.7	12.1
734	5.1	12.1
735	4.8	12.1
736	5.5	12.1
737	6.1	12.1
738	6.6	12.1
739	6.7	12.0
740	6.8	12.0
741	6.8	12.0
742	6.9	12.0
743	7.0	12.0
744	7.1	12.0
745	4.5	12.0
746	4.7	12.0
747	4.9	12.0
748	5.0	12.0
749	5.2	12.0
750	5.3	12.0
751	5.3	12.0
752	7.8	12.0
753	7.7	12.0
754	7.0	12.0
755	6.9	12.0
756	6.5	12.0
757	5.9	12.0
758	5.8	12.0
759	5.8	12.0
760	5.8	12.0
761	5.9	12.0
762	6.2	12.0
763	6.5	12.0
764	6.7	12.0
765	6.9	12.0
766	7.2	12.0
767	7.4	12.0
768	7.7	12.0
769	5.5	11.9
770	5.6	11.9
771	5.8	11.9
772	5.9	11.9
773	6.0	11.9
774	6.1	11.9
775	6.1	11.9
776	8.4	11.9
777	8.0	11.9
778	7.2	11.9
779	6.9	11.9
780	6.4	11.9
781	5.8	11.9
782	6.1	11.9
783	6.5	11.9
784	6.8	11.9
785	6.9	11.9
786	7.2	11.9
787	7.4	11.9
788	7.6	11.9
789	7.8	11.9
790	8.1	11.9
791	8.3	11.9
792	8.5	11.9
793	6.5	11.9
794	7.1	11.9
795	7.2	11.9
796	7.4	11.9
797	7.6	11.9
798	7.7	11.9
799	7.8	11.8
800	10.3	11.8
801	10.2	11.8
802	9.9	11.8
803	9.4	11.8
804	9.3	11.8
805	9.1	11.8
806	9.1	11.8
807	9.1	11.8
808	9.1	11.8
809	9.3	11.8
810	9.5	11.8
811	9.8	11.8
812	10.1	11.8
813	10.4	11.8
814	10.7	11.8
815	11.1	11.8
816	11.5	11.8
817	9.6	11.8
818	10.2	11.8
819	10.7	11.7
820	11.0	11.7
821	11.4	11.7
822	11.6	11.7
823	11.8	11.7
824	14.2	11.7
825	13.9	11.7
826	13.3	11.7
827	12.9	11.7
828	12.5	11.7
829	12.3	11.7
