# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	12.9	60.6
2	13.9	60.3
3	14.8	59.7
4	15.2	59.1
5	15.6	58.7
6	16.0	58.1
7	16.2	58.1
8	24.1	57.9
9	23.7	57.6
10	21.0	57.2
11	18.5	56.6
12	16.4	55.4
13	15.0	55.2
14	14.2	55.1
15	14.2	55.1
16	15.2	54.9
17	16.6	54.5
18	17.9	53.9
19	19.1	53.9
20	20.2	53.5
21	21.4	53.5
22	22.5	53.4
23	23.9	53.4
24	25.0	53.4
25	19.6	53.3
26	22.3	52.9
27	24.8	52.9
28	26.4	52.8
29	27.7	52.7
30	29.3	52.7
31	30.2	52.6
32	39.1	52.6
33	39.1	52.6
34	35.6	52.6
35	32.7	52.4
36	30.0	52.2
37	28.5	52.2
38	27.7	52.2
39	27.7	52.2
40	29.3	52.2
41	31.8	52.0
42	32.7	52.0
43	33.7	51.8
44	34.6	51.8
45	35.4	51.6
46	36.4	51.6
47	37.3	51.6
48	38.3	51.2
49	30.4	51.2
50	30.0	51.2
51	29.6	51.2
52	29.5	51.0
53	29.3	51.0
54	29.1	51.0
55	28.9	51.0
56	36.4	50.6
57	36.0	50.6
58	32.9	50.6
59	30.2	50.6
60	28.5	50.5
61	27.1	50.4
62	26.4	50.4
63	26.4	50.4
64	27.1	50.3
65	28.7	50.3
66	29.3	50.2
67	29.6	50.2
68	30.0	50.1
69	30.4	50.1
70	31.0	49.9
71	31.4	49.9
72	31.8	49.9
73	24.8	49.9
74	26.2	49.7
75	26.9	49.6
76	27.3	49.5
77	27.9	49.5
78	28.3	49.5
79	28.7	49.3
80	36.8	49.3
81	36.8	49.3
82	35.8	49.1
83	35.0	48.9
84	34.6	48.9
85	34.5	48.9
86	34.3	48.9
87	34.5	48.7
88	34.8	48.6
89	35.4	48.5
90	36.0	48.5
91	36.4	48.5
92	37.0	48.5
93	37.3	48.5
94	37.9	48.3
95	38.5	48.3
96	39.7	48.1
97	31.4	48.1
98	31.4	48.1
99	31.4	48.1
100	31.6	47.9
101	31.4	47.9
102	31.4	47.9
103	31.4	47.9
104	39.1	47.7
105	38.9	47.7
106	37.3	47.7
107	35.8	47.7
108	34.5	47.5
109	33.7	47.5
110	33.1	47.5
111	32.9	47.5
112	33.5	47.5
113	34.5	47.5
114	35.0	47.4
115	35.6	47.3
116	36.2	47.3
117	36.8	47.3
118	37.5	47.3
119	37.9	47.3
120	39.1	47.3
121	31.6	47.2
122	32.5	47.1
123	33.5	47.1
124	34.1	47.1
125	34.5	47.1
126	34.8	47.0
127	35.2	47.0
128	43.3	47.0
129	43.3	46.8
130	42.2	46.8
131	41.0	46.8
132	40.2	46.8
133	39.7	46.6
134	39.5	46.6
135	39.5	46.6
136	39.8	46.6
137	40.8	46.6
138	41.2	46.4
139	41.8	46.4
140	42.2	46.4
141	42.7	46.4
142	43.3	46.2
143	43.7	46.2
144	44.3	46.2
145	36.6	46.2
146	36.8	46.2
147	36.8	46.2
148	36.8	46.0
149	36.8	46.0
150	36.8	46.0
151	36.8	46.0
152	44.5	46.0
153	43.9	46.0
154	40.2	45.9
155	37.0	45.8
156	34.1	45.8
157	32.0	45.8
158	30.8	45.8
159	31.0	45.8
160	32.5	45.8
161	34.6	45.8
162	35.2	45.8
163	35.8	45.8
164	36.4	45.8
165	37.0	45.8
166	37.5	45.8
167	38.3	45.6
168	38.9	45.6
169	32.3	45.6
170	33.1	45.6
171	34.1	45.6
172	34.6	45.5
173	35.2	45.5
174	35.8	45.4
175	36.2	45.4
176	44.3	45.4
177	44.3	45.4
178	42.9	45.4
179	42.3	45.3
180	42.5	45.3
181	42.5	45.3
182	40.8	45.2
183	40.0	45.2
184	39.8	45.2
185	40.8	45.2
186	41.6	45.2
187	42.3	45.2
188	42.9	45.2
189	43.7	45.2
190	44.3	45.2
191	45.0	45.2
192	45.8	45.2
193	38.5	45.1
194	38.9	45.1
195	39.3	45.0
196	39.5	45.0
197	39.7	45.0
198	40.0	45.0
199	40.2	45.0
200	47.9	45.0
201	47.7	45.0
202	46.2	44.9
203	44.9	44.9
204	43.7	44.9
205	42.9	44.9
206	42.7	44.8
207	42.5	44.8
208	43.1	44.8
209	44.3	44.8
210	44.5	44.8
211	44.7	44.8
212	45.2	44.8
213	45.2	44.7
214	45.2	44.7
215	45.4	44.7
216	45.8	44.6
217	38.1	44.6
218	38.1	44.6
219	38.3	44.6
220	38.3	44.6
221	38.3	44.6
222	38.3	44.5
223	38.3	44.5
224	46.0	44.5
225	45.8	44.5
226	44.3	44.4
227	42.7	44.4
228	41.6	44.4
229	41.0	44.4
230	40.4	44.4
231	40.4	44.3
232	40.8	44.3
233	41.8	44.3
234	42.2	44.3
235	42.5	44.3
236	43.3	44.3
237	42.7	44.3
238	43.1	44.3
239	43.3	44.3
240	43.5	44.2
241	36.2	44.2
242	36.4	44.2
243	36.6	44.1
244	36.8	44.1
245	36.8	44.1
246	36.8	44.1
247	36.8	44.1
248	44.7	44.0
249	44.3	44.0
250	41.6	44.0
251	39.1	44.0
252	36.8	43.9
253	35.2	43.9
254	34.3	43.9
255	34.1	43.9
256	34.8	43.7
257	36.4	43.7
258	37.5	43.7
259	38.7	43.7
260	39.7	43.7
261	40.8	43.7
262	42.0	43.7
263	43.1	43.7
264	44.1	43.7
265	38.5	43.5
266	41.2	43.5
267	43.7	43.5
268	45.2	43.5
269	46.6	43.5
270	48.1	43.5
271	49.3	43.5
272	58.1	43.5
273	57.9	43.5
274	56.6	43.3
275	55.2	43.3
276	53.5	43.3
277	52.9	43.3
278	53.9	43.3
279	54.5	43.3
280	55.4	43.3
281	57.2	43.3
282	57.6	43.3
283	58.1	43.3
284	58.7	43.3
285	59.1	43.2
286	59.7	43.2
287	60.3	43.1
288	60.6	43.1
289	52.2	43.1
290	51.6	43.1
291	49.5	43.1
292	48.5	43.1
293	47.7	43.1
294	47.0	43.1
295	46.4	43.1
296	53.5	43.1
297	52.9	43.1
298	50.4	42.9
299	48.1	42.9
300	46.4	42.9
301	45.0	42.9
302	44.5	42.9
303	44.3	42.9
304	44.9	42.9
305	46.0	42.8
306	45.8	42.8
307	45.8	42.7
308	45.8	42.7
309	45.8	42.7
310	46.0	42.7
311	45.6	42.7
312	45.6	42.7
313	38.7	42.7
314	39.5	42.7
315	40.2	42.7
316	40.6	42.7
317	41.2	42.7
318	41.6	42.7
319	42.0	42.6
320	49.9	42.5
321	49.9	42.5
322	48.9	42.5
323	47.4	42.5
324	46.4	42.5
325	45.8	42.5
326	45.4	42.5
327	45.4	42.5
328	45.8	42.5
329	46.6	42.5
330	47.5	42.4
331	48.1	42.3
332	48.9	42.3
333	49.7	42.3
334	50.2	42.3
335	51.0	42.3
336	51.8	42.3
337	45.2	42.3
338	45.2	42.2
339	45.8	42.2
340	46.2	42.2
341	46.6	42.2
342	46.8	42.2
343	47.2	42.1
344	55.1	42.1
345	54.9	42.1
346	53.3	42.1
347	52.2	42.1
348	51.2	42.1
349	50.4	42.1
350	50.2	42.0
351	50.6	42.0
352	51.2	42.0
353	52.0	41.9
354	52.2	41.9
355	52.2	41.9
356	52.4	41.9
357	52.6	41.9
358	52.6	41.8
359	52.6	41.8
360	52.7	41.7
361	44.9	41.7
362	44.7	41.7
363	44.5	41.7
364	44.1	41.7
365	43.9	41.7
366	43.7	41.7
367	43.5	41.7
368	51.0	41.6
369	50.6	41.6
370	49.9	41.6
371	49.1	41.6
372	48.5	41.6
373	47.9	41.6
374	43.3	41.6
375	40.8	41.5
376	40.0	41.5
377	41.6	41.5
378	42.0	41.5
379	42.2	41.5
380	42.5	41.5
381	42.9	41.4
382	43.1	41.4
383	43.5	41.3
384	43.7	41.3
385	37.0	41.3
386	37.7	41.3
387	38.7	41.2
388	39.1	41.2
389	39.5	41.2
390	40.0	41.2
391	40.2	41.1
392	48.3	41.1
393	47.9	41.1
394	42.7	41.1
395	37.9	41.1
396	33.7	41.0
397	31.0	41.0
398	29.6	41.0
399	29.6	41.0
400	31.6	41.0
401	35.0	41.0
402	35.4	40.9
403	36.0	40.9
404	36.4	40.9
405	37.0	40.9
406	37.3	40.9
407	37.9	40.9
408	38.3	40.8
409	31.0	40.8
410	31.2	40.8
411	31.6	40.8
412	31.6	40.8
413	31.8	40.8
414	31.8	40.8
415	31.8	40.8
416	39.7	40.8
417	39.3	40.8
418	38.7	40.7
419	37.9	40.7
420	37.3	40.7
421	36.6	40.7
422	31.6	40.6
423	29.1	40.6
424	28.3	40.6
425	30.0	40.6
426	30.4	40.6
427	30.8	40.6
428	31.2	40.6
429	31.4	40.6
430	31.8	40.6
431	32.1	40.6
432	32.5	40.5
433	25.4	40.5
434	26.0	40.4
435	26.6	40.4
436	26.8	40.4
437	26.9	40.4
438	27.3	40.4
439	27.3	40.4
440	35.2	40.4
441	35.0	40.4
442	34.5	40.3
443	34.1	40.3
444	33.5	40.3
445	33.3	40.2
446	28.9	40.2
447	26.0	40.2
448	24.8	40.2
449	26.4	40.2
450	26.9	40.2
451	27.7	40.2
452	28.3	40.2
453	29.1	40.2
454	29.8	40.2
455	30.4	40.1
456	31.2	40.1
457	24.3	40.1
458	25.2	40.1
459	26.2	40.0
460	26.8	40.0
461	27.3	40.0
462	27.9	40.0
463	28.1	40.0
464	36.2	40.0
465	36.0	40.0
466	35.4	40.0
467	35.2	40.0
468	34.6	40.0
