# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.3	48.3
2	11.0	48.0
3	11.8	47.6
4	12.1	47.1
5	12.4	46.8
6	12.7	46.3
7	12.9	46.3
8	19.2	46.2
9	18.9	45.9
10	16.7	45.6
11	14.7	45.1
12	13.0	44.2
13	12.0	44.1
14	11.4	44.0
15	11.4	43.9
16	12.1	43.7
17	13.2	43.4
18	14.3	43.1
19	15.2	43.0
20	16.1	42.7
21	17.0	42.7
22	18.0	42.7
23	19.0	42.7
24	20.0	42.7
25	15.7	42.5
26	17.8	42.2
27	19.8	42.2
28	21.0	42.2
29	22.1	42.0
30	23.3	42.0
31	24.1	41.9
32	31.2	41.9
33	31.2	41.9
34	28.4	41.7
35	26.1	41.6
36	23.9	41.6
37	22.7	41.6
38	22.1	41.6
39	22.1	41.6
40	23.3	41.6
41	25.3	41.6
42	26.1	41.4
43	26.9	41.3
44	27.6	41.3
45	28.2	41.1
46	29.0	41.0
47	29.8	41.0
48	30.5	40.8
49	24.2	40.8
50	23.9	40.8
51	23.6	40.8
52	23.5	40.7
53	23.3	40.7
54	23.2	40.7
55	23.0	40.7
56	29.0	40.5
57	28.7	40.5
58	26.2	40.4
59	24.1	40.4
60	22.7	40.3
61	21.6	40.2
62	21.0	40.2
63	21.0	40.2
64	21.6	40.2
65	22.9	40.1
66	23.3	40.1
67	23.6	40.0
68	23.9	40.0
69	24.2	39.9
70	24.7	39.9
71	25.0	39.7
72	25.3	39.7
73	19.8	39.7
74	20.9	39.6
75	21.5	39.6
76	21.8	39.6
77	22.3	39.4
78	22.6	39.4
79	22.9	39.4
80	29.3	39.3
81	29.3	39.2
82	28.5	39.1
83	27.9	39.1
84	27.6	39.0
85	27.5	39.0
86	27.3	38.9
87	27.5	38.8
88	27.8	38.8
89	28.2	38.8
90	28.7	38.7
91	29.0	38.7
92	29.5	38.6
93	29.8	38.6
94	30.2	38.5
95	30.7	38.5
96	31.6	38.4
97	25.0	38.4
98	25.0	38.4
99	25.0	38.3
100	25.2	38.2
101	25.0	38.2
102	25.0	38.2
103	25.0	38.2
104	31.2	38.2
105	31.0	38.2
106	29.8	38.1
107	28.5	38.1
108	27.5	38.0
109	26.9	38.0
110	26.4	38.0
111	26.2	38.0
112	26.7	37.9
113	27.5	37.9
114	27.9	37.9
115	28.4	37.9
116	28.9	37.9
117	29.3	37.9
118	29.9	37.9
119	30.2	37.8
120	31.2	37.7
121	25.2	37.7
122	25.9	37.7
123	26.7	37.6
124	27.2	37.5
125	27.5	37.5
126	27.8	37.5
127	28.1	37.4
128	34.5	37.4
129	34.5	37.4
130	33.6	37.4
131	32.7	37.3
132	32.1	37.2
133	31.6	37.2
134	31.5	37.2
135	31.5	37.1
136	31.8	37.1
137	32.5	37.1
138	32.8	37.0
139	33.3	37.0
140	33.6	37.0
141	34.1	36.9
142	34.5	36.9
143	34.8	36.9
144	35.3	36.8
145	29.2	36.8
146	29.3	36.8
147	29.3	36.8
148	29.3	36.8
149	29.3	36.7
150	29.3	36.7
151	29.3	36.7
152	35.5	36.6
153	35.0	36.6
154	32.1	36.6
155	29.5	36.5
156	27.2	36.5
157	25.5	36.5
158	24.6	36.5
159	24.7	36.5
160	25.9	36.5
161	27.6	36.5
162	28.1	36.5
163	28.5	36.5
164	29.0	36.5
