# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	20.8	97.9
2	22.4	97.3
3	23.9	96.4
4	24.6	95.4
5	25.2	94.8
6	25.8	93.9
7	26.1	93.9
8	38.9	93.6
9	38.2	92.9
10	33.9	92.3
11	29.8	91.4
12	26.4	89.5
13	24.2	89.4
14	23.0	89.2
15	23.0	88.9
16	24.6	88.6
17	26.7	88.0
18	28.9	87.5
19	30.8	87.0
20	32.6	86.6
21	34.5	86.6
22	36.4	86.6
23	38.5	86.4
24	40.4	86.4
25	31.7	86.1
26	36.1	85.6
27	40.1	85.5
28	42.6	85.5
29	44.8	85.3
30	47.3	85.2
31	48.8	84.9
32	63.1	84.9
33	63.1	84.9
34	57.5	84.6
35	52.8	84.4
36	48.5	84.2
37	46.0	84.2
38	44.8	84.2
39	44.8	84.2
40	47.3	84.2
41	51.3	83.9
42	52.8	83.6
43	54.4	83.6
44	56.0	83.3
45	57.2	83.1
46	58.8	83.1
47	60.3	82.8
48	61.9	82.8
49	49.1	82.8
50	48.5	82.7
51	47.9	82.7
52	47.6	82.4
53	47.3	82.4
54	46.9	82.2
55	46.6	82.2
56	58.8	81.9
57	58.1	81.8
58	53.2	81.8
59	48.8	81.6
60	46.0	81.6
61	43.8	81.4
62	42.6	81.4
63	42.6	81.2
64	43.8	81.2
65	46.3	81.1
66	47.3	81.1
67	47.9	81.1
68	48.5	81.1
69	49.1	80.9
70	50.0	80.5
71	50.7	80.5
72	51.3	80.5
73	40.1	80.3
74	42.3	80.3
75	43.5	80.2
76	44.1	80.0
77	45.1	80.0
78	45.7	79.9
79	46.3	79.6
80	59.4	79.5
81	59.4	79.3
82	57.8	79.3
83	56.6	79.0
84	56.0	79.0
85	55.6	79.0
86	55.3	78.7
87	55.6	78.7
88	56.3	78.7
89	57.2	78.4
90	58.1	78.3
91	58.8	78.3
92	59.7	78.1
93	60.3	78.0
94	61.2	78.0
95	62.2	77.7
96	64.0	77.7
97	50.7	77.7
98	50.7	77.5
99	50.7	77.5
100	51.0	77.4
101	50.7	77.4
102	50.7	77.4
103	50.7	77.4
104	63.1	77.1
105	62.8	77.1
106	60.3	77.1
107	57.8	77.1
108	55.6	77.1
109	54.4	77.1
110	53.5	76.9
111	53.2	76.8
112	54.1	76.8
113	55.6	76.8
114	56.6	76.8
115	57.5	76.8
116	58.4	76.8
117	59.4	76.8
118	60.6	76.5
119	61.2	76.5
120	63.1	76.5
121	51.0	76.5
122	52.5	76.3
123	54.1	76.2
124	55.0	76.2
125	55.6	76.2
126	56.3	75.9
127	56.9	75.9
128	69.9	75.9
129	69.9	75.9
130	68.1	75.6
131	66.2	75.6
132	65.0	75.5
133	64.0	75.2
134	63.7	75.2
135	63.7	75.2
136	64.3	74.9
137	65.9	74.9
138	66.5	74.9
139	67.5	74.9
140	68.1	74.9
141	69.0	74.9
142	69.9	74.6
143	70.6	74.6
144	71.5	74.6
145	59.1	74.6
146	59.4	74.6
147	59.4	74.6
148	59.4	74.3
149	59.4	74.3
150	59.4	74.3
151	59.4	74.3
152	71.8	74.3
153	70.9	74.1
154	65.0	74.0
155	59.7	74.0
156	55.0	74.0
157	51.6	74.0
158	49.7	74.0
159	50.0	74.0
160	52.5	74.0
161	56.0	74.0
162	56.9	74.0
163	57.8	74.0
164	58.8	74.0
165	59.7	74.0
166	60.6	74.0
167	61.9	73.7
168	62.8	73.7
169	52.2	73.7
170	53.5	73.7
171	55.0	73.4
172	56.0	73.4
173	56.9	73.4
174	57.8	73.4
