# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.9	42.0
2	11.5	41.8
3	12.2	41.4
4	12.4	41.0
5	12.7	40.7
6	12.9	40.4
7	13.0	40.4
8	18.2	40.2
9	17.9	40.0
10	16.2	39.7
11	14.5	39.4
12	13.2	38.6
13	12.3	38.5
14	11.8	38.4
15	11.8	38.4
16	12.4	38.2
17	13.3	38.0
18	14.2	37.7
19	14.9	37.6
20	15.7	37.4
21	16.4	37.4
22	17.2	37.3
23	18.1	37.3
24	18.8	37.3
25	15.3	37.2
26	17.1	37.0
27	18.7	37.0
28	19.7	36.9
29	20.6	36.9
30	21.6	36.8
31	22.2	36.8
32	28.0	36.7
33	28.0	36.7
34	25.7	36.7
35	23.8	36.6
36	22.1	36.5
37	21.1	36.5
38	20.6	36.5
39	20.6	36.5
40	21.6	36.5
41	23.2	36.4
42	23.8	36.4
43	24.4	36.2
44	25.1	36.2
45	25.6	36.1
46	26.2	36.1
47	26.8	36.1
48	27.5	35.9
49	22.3	35.9
50	22.1	35.9
51	21.8	35.9
52	21.7	35.8
53	21.6	35.8
54	21.4	35.7
55	21.3	35.7
56	26.2	35.5
57	26.0	35.5
58	23.9	35.5
59	22.2	35.5
60	21.1	35.4
61	20.2	35.4
62	19.7	35.4
63	19.7	35.4
64	20.2	35.3
65	21.2	35.3
66	21.6	35.2
67	21.8	35.2
68	22.1	35.2
69	22.3	35.2
70	22.7	35.0
71	22.9	35.0
72	23.2	35.0
73	18.7	35.0
74	19.6	34.9
75	20.1	34.8
76	20.3	34.8
77	20.7	34.8
78	20.9	34.7
79	21.2	34.7
80	26.5	34.7
81	26.5	34.6
82	25.8	34.5
83	25.3	34.4
84	25.1	34.4
85	24.9	34.4
86	24.8	34.3
87	24.9	34.3
88	25.2	34.1
89	25.6	34.1
90	26.0	34.1
91	26.2	34.1
92	26.6	34.1
93	26.8	34.1
94	27.2	34.0
95	27.6	34.0
96	28.3	33.9
97	22.9	33.9
98	22.9	33.9
99	22.9	33.9
100	23.1	33.7
101	22.9	33.7
102	22.9	33.7
103	22.9	33.7
104	28.0	33.6
105	27.8	33.6
106	26.8	33.6
107	25.8	33.6
108	24.9	33.5
109	24.4	33.5
110	24.1	33.5
111	23.9	33.5
112	24.3	33.5
113	24.9	33.4
114	25.3	33.4
115	25.7	33.4
116	26.1	33.4
117	26.5	33.4
118	27.0	33.4
119	27.2	33.4
120	28.0	33.4
121	23.1	33.3
122	23.7	33.3
123	24.3	33.3
124	24.7	33.2
125	24.9	33.1
126	25.2	33.1
127	25.5	33.1
128	30.7	33.1
129	30.7	33.0
130	30.0	33.0
131	29.2	33.0
132	28.7	33.0
133	28.3	32.9
134	28.2	32.9
135	28.2	32.8
136	28.5	32.8
137	29.1	32.8
138	29.3	32.7
139	29.7	32.7
140	30.0	32.7
141	30.3	32.7
142	30.7	32.6
143	31.0	32.6
144	31.3	32.6
145	26.3	32.6
146	26.5	32.6
147	26.5	32.5
148	26.5	32.5
149	26.5	32.5
150	26.5	32.5
151	26.5	32.5
152	31.5	32.5
153	31.1	32.5
154	28.7	32.4
155	26.6	32.4
156	24.7	32.3
157	23.3	32.3
158	22.6	32.3
159	22.7	32.3
160	23.7	32.3
161	25.1	32.3
162	25.5	32.3
163	25.8	32.3
164	26.2	32.3
165	26.6	32.3
166	27.0	32.3
167	27.5	32.2
168	27.8	32.2
169	23.6	32.2
170	24.1	32.2
171	24.7	32.2
172	25.1	32.1
173	25.5	32.1
174	25.8	32.1
175	26.1	32.1
176	31.3	32.1
177	31.3	32.1
178	30.5	32.1
179	30.1	32.0
180	30.2	32.0
181	30.2	32.0
182	29.1	32.0
183	28.6	32.0
184	28.5	32.0
185	29.1	32.0
186	29.6	32.0
187	30.1	32.0
188	30.5	32.0
189	31.0	32.0
190	31.3	32.0
191	31.8	32.0
192	32.3	32.0
193	27.6	31.9
194	27.8	31.9
195	28.1	31.9
196	28.2	31.8
197	28.3	31.8
198	28.6	31.8
199	28.7	31.8
200	33.7	31.7
201	33.6	31.7
202	32.6	31.7
203	31.7	31.7
204	31.0	31.7
205	30.5	31.7
206	30.3	31.7
207	30.2	31.7
208	30.6	31.7
209	31.3	31.7
210	31.5	31.6
211	31.6	31.6
212	32.0	31.6
213	32.0	31.6
214	32.0	31.6
215	32.1	31.6
216	32.3	31.6
217	27.3	31.6
218	27.3	31.6
219	27.5	31.6
220	27.5	31.5
221	27.5	31.5
222	27.5	31.5
223	27.5	31.5
224	32.5	31.5
225	32.3	31.5
226	31.3	31.5
227	30.3	31.5
228	29.6	31.4
229	29.2	31.4
230	28.8	31.4
231	28.8	31.4
232	29.1	31.4
233	29.7	31.3
234	30.0	31.3
235	30.2	31.3
236	30.7	31.3
237	30.3	31.3
238	30.6	31.3
239	30.7	31.3
240	30.8	31.3
241	26.1	31.3
242	26.2	31.2
243	26.3	31.2
244	26.5	31.2
245	26.5	31.2
246	26.5	31.2
247	26.5	31.2
248	31.6	31.2
249	31.3	31.2
250	29.6	31.1
251	28.0	31.1
252	26.5	31.1
253	25.5	31.1
254	24.8	31.1
255	24.7	31.1
256	25.2	31.0
257	26.2	31.0
258	27.0	31.0
