# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	28.2	132.5
2	30.3	131.7
3	32.4	130.4
4	33.2	129.2
5	34.1	128.3
6	34.9	127.1
7	35.3	127.1
8	52.6	126.6
9	51.8	125.8
10	45.9	125.0
11	40.4	123.7
12	35.8	121.2
13	32.8	120.8
14	31.1	120.8
15	31.1	120.3
16	33.2	119.9
17	36.2	119.1
18	39.1	118.3
19	41.7	117.8
20	44.2	117.0
21	46.7	117.0
22	49.2	117.0
23	52.2	117.0
24	54.7	117.0
25	42.9	116.5
26	48.8	115.7
27	54.3	115.7
28	57.6	115.7
29	60.6	115.4
30	64.0	115.3
31	66.1	115.3
32	85.4	114.9
33	85.4	114.9
34	77.8	114.9
35	71.5	114.4
36	65.6	114.0
37	62.3	114.0
38	60.6	114.0
39	60.6	114.0
40	64.0	114.0
41	69.4	114.0
42	71.5	113.6
43	73.6	113.2
44	75.7	113.2
45	77.4	113.0
46	79.5	113.0
47	81.6	112.8
48	83.7	112.3
49	66.5	112.3
50	65.6	111.9
51	64.8	111.9
52	64.4	111.9
53	64.0	111.9
54	63.5	111.5
55	63.1	111.5
56	79.5	111.0
57	78.7	111.0
58	71.9	110.7
59	66.1	110.7
60	62.3	110.6
61	59.3	110.6
62	57.6	110.2
63	57.6	110.2
64	59.3	110.2
65	62.7	110.2
66	64.0	109.8
67	64.8	109.8
68	65.6	109.8
69	66.5	109.8
70	67.7	109.3
71	68.6	109.0
72	69.4	109.0
73	54.3	109.0
74	57.2	108.7
75	58.9	108.6
76	59.7	108.5
77	61.0	108.5
78	61.8	108.1
79	62.7	108.1
80	80.4	108.1
81	80.4	107.7
82	78.3	107.3
83	76.6	107.2
84	75.7	107.1
85	75.3	106.9
86	74.9	106.9
87	75.3	106.8
88	76.2	106.4
89	77.4	106.4
90	78.7	106.4
91	79.5	106.3
92	80.8	106.0
93	81.6	106.0
94	82.9	105.9
95	84.1	105.6
96	86.7	105.5
97	68.6	105.2
98	68.6	105.2
99	68.6	105.2
100	69.0	104.8
101	68.6	104.8
102	68.6	104.8
103	68.6	104.8
104	85.4	104.6
105	85.0	104.6
106	81.6	104.3
107	78.3	104.3
108	75.3	104.2
109	73.6	104.2
110	72.4	104.2
111	71.9	104.2
112	73.2	103.9
113	75.3	103.9
114	76.6	103.8
115	77.8	103.8
116	79.1	103.8
117	80.4	103.8
118	82.0	103.8
119	82.9	103.8
120	85.4	103.5
121	69.0	103.4
122	71.1	103.4
123	73.2	103.4
124	74.5	103.1
125	75.3	103.1
126	76.2	102.9
127	77.0	102.9
128	94.7	102.7
129	94.7	102.5
130	92.1	102.5
131	89.6	102.5
132	87.9	102.2
133	86.7	102.1
134	86.3	102.1
135	86.3	101.8
136	87.1	101.8
137	89.2	101.8
138	90.0	101.6
139	91.3	101.4
140	92.1	101.4
141	93.4	101.4
142	94.7	101.2
143	95.5	101.2
144	96.8	101.2
145	79.9	101.2
146	80.4	101.0
147	80.4	101.0
148	80.4	100.8
149	80.4	100.8
150	80.4	100.8
151	80.4	100.6
152	97.2	100.6
153	95.9	100.6
154	87.9	100.4
155	80.8	100.4
156	74.5	100.4
157	69.8	100.1
158	67.3	100.1
159	67.7	100.1
160	71.1	100.1
161	75.7	100.1
162	77.0	100.1
163	78.3	100.1
164	79.5	100.1
165	80.8	100.1
166	82.0	100.1
167	83.7	100.0
168	85.0	100.0
169	70.7	100.0
170	72.4	99.7
171	74.5	99.7
172	75.7	99.6
173	77.0	99.6
174	78.3	99.5
175	79.1	99.5
176	96.8	99.3
177	96.8	99.3
178	93.8	99.3
179	92.6	99.2
180	93.0	99.2
181	93.0	99.2
182	89.2	99.1
183	87.5	99.1
184	87.1	99.1
185	89.2	99.1
186	90.9	99.1
187	92.6	98.9
188	93.8	98.9
189	95.5	98.9
190	96.8	98.9
191	98.5	98.9
192	100.1	98.9
193	84.1	98.8
194	85.0	98.8
195	85.8	98.7
196	86.3	98.7
197	86.7	98.7
198	87.5	98.5
199	87.9	98.5
200	104.8	98.4
201	104.3	98.4
202	101.0	98.3
203	98.0	98.3
204	95.5	98.3
205	93.8	98.3
206	93.4	98.0
207	93.0	98.0
208	94.2	98.0
209	96.8	98.0
210	97.2	98.0
211	97.6	98.0
212	98.9	98.0
213	98.9	97.8
214	98.9	97.8
215	99.3	97.8
216	100.1	97.8
217	83.3	97.6
218	83.3	97.6
219	83.7	97.6
220	83.7	97.6
221	83.7	97.6
222	83.7	97.4
223	83.7	97.4
224	100.6	97.2
225	100.1	97.2
226	96.8	97.2
227	93.4	97.2
228	90.9	97.2
229	89.6	97.2
230	88.4	97.2
231	88.4	97.0
232	89.2	97.0
233	91.3	96.8
234	92.1	96.8
235	93.0	96.8
236	94.7	96.8
237	93.4	96.8
238	94.2	96.8
239	94.7	96.8
240	95.1	96.8
241	79.1	96.8
242	79.5	96.8
243	79.9	96.6
244	80.4	96.6
245	80.4	96.6
246	80.4	96.6
247	80.4	96.5
248	97.6	96.5
249	96.8	96.3
250	90.9	96.3
251	85.4	96.3
252	80.4	96.1
253	77.0	96.1
254	74.9	95.9
255	74.5	95.9
256	76.2	95.7
257	79.5	95.7
258	82.0	95.5
259	84.6	95.5
260	86.7	95.5
261	89.2	95.5
262	91.7	95.5
263	94.2	95.5
264	96.3	95.5
265	84.1	95.3
266	90.0	95.3
267	95.5	95.3
268	98.9	95.3
269	101.8	95.3
270	105.2	95.1
271	107.7	95.1
272	127.1	95.1
273	126.6	95.1
274	123.7	94.9
275	120.8	94.9
276	117.0	94.9
277	115.7	94.9
278	117.8	94.9
279	119.1	94.7
280	121.2	94.7
281	125.0	94.7
282	125.8	94.7
283	127.1	94.7
284	128.3	94.7
285	129.2	94.5
286	130.4	94.5
287	131.7	94.4
288	132.5	94.4
289	114.0	94.4
290	112.8	94.4
291	108.1	94.4
292	106.0	94.4
293	104.3	94.2
294	102.7	94.2
295	101.4	94.2
296	117.0	94.2
297	115.7	94.2
298	110.2	94.0
299	105.2	94.0
300	101.4	94.0
301	98.5	93.8
302	97.2	93.8
303	96.8	93.8
304	98.0	93.8
305	100.6	93.7
306	100.1	93.7
307	100.1	93.6
308	100.1	93.6
309	100.1	93.6
310	100.6	93.6
311	99.7	93.6
