Index;Consumption [kWh/h]
1;4180,68
2;4158,44
3;4142,68
4;4140,12
5;4132,40
6;4132,18
7;4128,71
8;4125,66
9;4124,95
10;4120,89
11;4120,03
12;4119,76
13;4116,89
14;4116,37
15;4115,23
16;4114,64
17;4113,37
18;4112,97
19;4111,68
20;4109,99
21;4107,09
22;4106,78
23;4104,86
24;4102,88
25;4102,35
26;4102,20
27;4101,71
28;4100,80
29;4100,27
30;4100,18
31;4099,16
32;4098,79
33;4098,59
34;4097,94
35;4096,70
36;4096,44
37;4096,31
38;4094,65
39;4092,02
40;4089,35
41;4086,62
42;4085,60
43;4084,45
44;4084,33
45;4082,63
46;4082,51
47;4081,60
48;4080,65
49;4080,48
50;4079,69
51;4077,63
52;4077,40
53;4077,01
54;4076,94
55;4075,93
56;4075,78
57;4070,08
58;4069,76
59;4068,99
60;4067,70
61;4066,04
62;4064,08
63;4061,99
64;4060,28
65;4060,23
66;4059,29
67;4058,07
68;4056,46
69;4055,46
70;4054,53
71;4053,89
72;4048,69
73;4048,28
74;4045,46
75;4045,03
76;4043,81
77;4043,73
78;4040,66
79;4039,33
80;4039,22
81;4038,27
82;4037,77
83;4035,59
84;4034,47
85;4034,23
86;4033,94
87;4033,05
88;4031,86
89;4031,04
90;4030,19
91;4029,79
92;4027,67
93;4025,33
94;4023,87
95;4023,62
96;4022,99
97;4021,56
98;4021,41
99;4020,56
100;4019,93
101;4018,01
102;4017,21
103;4016,54
104;4015,10
105;4012,62
106;4012,31
107;4012,20
108;4011,79
109;4011,05
110;4010,17
111;4008,09
112;4007,80
113;4007,52
114;4004,17
115;4000,54
116;4000,47
117;4000,35
118;3999,05
119;3997,60
120;3997,59
121;3994,17
122;3993,95
123;3992,66
124;3991,33
125;3989,60
126;3989,58
127;3987,98
128;3987,72
129;3984,97
130;3979,53
131;3971,25
132;3944,09
133;3778,02
134;3777,14
135;3776,26
136;3774,02
137;3769,10
138;3767,71
139;3766,32
140;3766,18
141;3764,73
142;3764,66
143;3763,45
144;3759,90
145;3758,19
146;3757,74
147;3754,35
148;3751,41
149;3750,12
150;3749,60
151;3747,11
152;3746,15
153;3745,62
154;3744,74
155;3744,49
156;3743,48
157;3742,71
158;3742,42
159;3741,44
160;3741,23
161;3741,09
162;3740,03
163;3739,17
164;3738,95
165;3738,70
166;3736,28
167;3735,75
168;3735,19
169;3733,37
170;3733,36
171;3733,26
172;3733,23
173;3731,11
174;3730,74
175;3730,56
176;3730,14
177;3729,36
178;3729,17
179;3728,65
180;3728,09
181;3728,00
182;3727,89
183;3726,05
184;3725,69
185;3725,25
186;3724,88
187;3724,66
188;3724,62
189;3724,35
190;3723,83
191;3720,30
192;3719,81
193;3719,18
194;3718,89
195;3718,80
196;3717,63
197;3717,61
198;3716,94
199;3716,76
200;3716,73
201;3714,92
202;3714,65
203;3714,12
204;3712,96
205;3712,74
206;3711,90
207;3711,68
208;3711,62
209;3709,79
210;3708,99
211;3708,54
212;3707,94
213;3707,56
214;3707,43
215;3707,15
216;3706,99
217;3705,04
218;3704,74
219;3704,61
220;3704,43
221;3703,71
222;3702,95
223;3700,39
224;3699,75
225;3699,60
226;3698,20
227;3698,07
228;3697,84
229;3696,98
230;3696,28
231;3696,15
232;3695,57
233;3695,53
234;3694,98
235;3694,80
236;3694,55
237;3693,81
238;3693,58
239;3692,57
240;3691,55
241;3691,27
242;3691,23
243;3691,08
244;3690,17
245;3689,94
246;3687,48
247;3686,83
248;3686,28
249;3686,15
250;3684,58
251;3682,87
252;3682,52
253;3681,93
254;3672,16
255;3671,71
256;3671,58
257;3666,40
258;3664,67
259;3660,22
260;3659,76
261;3656,38
262;3650,30
263;3649,71
264;3638,06
265;3629,45
266;3610,95
267;3608,01
268;3606,51
269;3606,01
270;3604,28
271;3603,76
272;3603,28
273;3603,20
274;3602,82
275;3601,21
276;3599,71
277;3597,94
278;3596,60
279;3596,40
280;3593,69
281;3592,86
282;3592,66
283;3592,10
284;3590,75
285;3587,73
286;3587,64
287;3585,15
288;3584,68
289;3583,60
290;3582,49
291;3582,20
292;3580,91
293;3580,26
294;3580,17
295;3579,83
296;3579,42
297;3578,25
298;3578,18
299;3577,76
300;3577,62
301;3577,31
302;3574,04
303;3573,02
304;3568,72
305;3568,21
306;3567,13
307;3565,18
308;3563,02
309;3560,49
310;3559,55
311;3559,34
312;3559,05
313;3559,04
314;3558,74
315;3557,30
316;3557,25
317;3557,06
318;3555,14
319;3554,49
320;3553,99
321;3552,66
322;3552,46
323;3551,15
324;3549,32
325;3549,12
326;3548,96
327;3548,45
328;3545,90
329;3545,14
330;3544,93
331;3544,31
332;3543,56
333;3542,70
334;3542,10
335;3541,55
336;3541,51
337;3540,72
338;3540,36
339;3539,83
340;3539,54
341;3539,12
342;3538,56
343;3537,81
344;3537,58
345;3537,17
346;3537,08
347;3536,84
348;3536,11
349;3535,65
350;3535,03
351;3534,46
352;3534,32
353;3534,16
354;3533,91
355;3532,79
356;3532,62
357;3531,61
358;3531,22
359;3530,26
360;3530,14
361;3529,38
362;3528,32
363;3528,11
364;3527,74
365;3527,63
366;3527,37
367;3526,21
368;3526,09
369;3526,07
370;3525,22
371;3525,10
372;3525,08
373;3523,92
374;3523,84
375;3523,84
376;3523,74
377;3523,34
378;3523,19
379;3522,71
380;3522,48
381;3522,46
382;3522,03
383;3520,72
384;3520,61
385;3520,56
386;3519,99
387;3519,80
388;3519,74
389;3519,43
390;3519,28
391;3518,91
392;3518,73
393;3517,43
394;3517,01
395;3516,57
396;3516,05
397;3515,98
398;3515,40
399;3515,36
400;3515,08
401;3514,97
402;3514,37
403;3514,31
404;3513,56
405;3513,51
406;3513,15
407;3512,41
408;3512,24
409;3512,15
410;3511,88
411;3511,34
412;3511,24
413;3510,97
414;3510,55
415;3510,50
416;3510,37
417;3510,26
418;3510,06
419;3510,04
420;3509,68
421;3509,64
422;3509,53
423;3508,97
424;3508,25
425;3508,09
426;3507,84
427;3507,82
428;3507,65
429;3507,60
430;3506,86
431;3506,83
432;3506,38
433;3505,88
434;3505,72
435;3504,44
436;3504,28
437;3504,13
438;3503,64
439;3503,25
440;3503,06
441;3502,80
442;3502,75
443;3502,38
444;3502,22
445;3501,08
446;3501,06
447;3500,32
448;3500,23
449;3499,69
450;3499,68
451;3499,23
452;3499,07
453;3498,80
454;3498,18
455;3497,77
456;3497,65
457;3497,45
458;3497,29
459;3497,02
460;3496,86
461;3496,72
462;3496,14
463;3494,10
464;3494,06
465;3494,04
466;3493,94
467;3493,60
468;3493,32
469;3493,32
470;3492,52
471;3492,47
472;3492,35
473;3491,95
474;3491,93
475;3488,46
476;3488,39
477;3488,31
478;3488,05
479;3487,30
480;3486,88
481;3486,31
482;3485,48
483;3485,25
484;3483,69
485;3483,57
486;3483,08
487;3482,87
488;3481,05
489;3481,00
490;3480,96
491;3480,67
492;3480,12
493;3479,12
494;3479,07
495;3478,73
496;3476,57
497;3476,06
498;3475,39
499;3475,17
500;3474,36
501;3473,61
502;3473,57
503;3473,10
504;3471,79
505;3470,85
506;3470,09
507;3469,02
508;3467,27
509;3466,77
510;3466,57
511;3466,41
512;3466,20
513;3464,40
514;3464,36
515;3462,71
516;3461,57
517;3460,79
518;3458,15
519;3453,81
520;3453,44
521;3451,15
522;3447,47
523;3445,37
524;3445,06
525;3442,55
526;3440,16
527;3428,34
528;3425,04
529;3414,39
530;3406,64
531;3401,79
532;3401,62
533;3399,14
534;3398,83
535;3398,23
536;3396,33
537;3394,56
538;3393,29
539;3392,67
540;3391,48
541;3383,00
542;3380,82
543;3380,02
544;3378,30
545;3378,20
546;3378,17
547;3377,93
548;3377,68
549;3377,20
550;3376,75
551;3376,34
552;3375,21
553;3374,17
554;3373,24
555;3372,51
556;3370,44
