======================== Summary ========================

Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2520)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2600)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2621)
Excluded 35 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 192 buildings from processing (reason: Missing year of construction)
Excluded 8 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2083)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 9998)
Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2000)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2010)
Excluded 12 buildings from processing (reason: Unknown ALKIS code: 2142)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 1000)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2310)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2200)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2100)


================ Excluded buildings lists ===============

Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2520)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000MFB;513,60;274,95;385500,32750;5820333,87600;-
DEBE3D04YY50000Op0;2505,41;218,00;385463,86950;5820503,14500;-
DEBE3D04YY5000077d;830,48;184,35;385445,10050;5820331,99000;-
DEBE3D04YY50000LrX;3455,56;432,19;385468,33550;5820453,97600;-
DEBE3D04YY50000HDy;351,62;33,03;385404,74600;5820561,33250;-
DEBE3D04YY500006cf;202,05;65,39;385302,46650;5820431,08950;-


Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2600)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000NQI;300,11;21,81;385449,37550;5820978,44350;-
DEBE3D04YY500003m9;644,23;30,97;385451,03750;5820989,09700;-


Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2621)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000ReH;2224,80;299,96;385489,48200;5820987,00250;-
DEBE3D04YY50000Qk1;57,36;18,41;385394,25800;5820618,30200;-


Excluded 35 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002czx;50,58;12,41;385171,13150;5820979,59850;-
DEBE3D04YY50002coY;51,49;11,49;385673,41300;5820706,99850;-
DEBE3D04YY50002bwW;114,73;38,24;385158,67700;5820665,24750;-
DEBE3D00YY1RC00049;114,73;38,24;385158,67700;5820665,24750;-
DEBE3D04YY50002cnG;49,68;10,01;385199,30050;5820990,95850;-
DEBE3D04YY50002bkN;6,22;2,66;385415,27550;5820918,36550;-
DEBE3D04YY50002bqG;304,60;110,67;385391,41600;5820561,78100;-
DEBE3D04YY50002cRL;271,06;63,48;385516,75550;5820621,74000;-
DEBE3D00YY2ZI0002c;861,85;172,52;385531,92600;5820958,74600;-
DEBE3D04YY50002d0j;203,21;93,51;385486,23050;5820516,42600;-
DEBE3D00YY2ZI0002d;625,89;87,52;385551,81100;5820957,77750;-
