# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.3	6.2
2	1.4	6.2
3	1.5	6.1
4	1.6	6.1
5	1.6	6.0
6	1.6	6.0
7	1.7	6.0
8	2.5	6.0
9	2.4	5.9
10	2.2	5.9
11	1.9	5.8
12	1.7	5.7
13	1.5	5.7
14	1.5	5.7
15	1.5	5.6
16	1.6	5.6
17	1.7	5.6
18	1.8	5.5
19	2.0	5.5
20	2.1	5.5
21	2.2	5.5
22	2.3	5.5
23	2.5	5.4
24	2.6	5.4
25	2.0	5.4
26	2.3	5.4
27	2.6	5.4
28	2.7	5.4
29	2.9	5.4
30	3.0	5.4
31	3.1	5.4
32	4.0	5.4
33	4.0	5.4
34	3.7	5.4
35	3.4	5.4
36	3.1	5.4
37	2.9	5.4
38	2.9	5.4
39	2.9	5.4
40	3.0	5.3
41	3.3	5.3
42	3.4	5.3
43	3.5	5.3
44	3.6	5.3
45	3.6	5.3
46	3.7	5.3
47	3.8	5.3
48	3.9	5.2
49	3.1	5.2
50	3.1	5.2
51	3.0	5.2
52	3.0	5.2
53	3.0	5.2
54	3.0	5.2
55	3.0	5.2
56	3.7	5.2
57	3.7	5.2
58	3.4	5.2
59	3.1	5.2
60	2.9	5.2
61	2.8	5.2
62	2.7	5.2
63	2.7	5.2
64	2.8	5.1
65	3.0	5.1
66	3.0	5.1
67	3.0	5.1
68	3.1	5.1
69	3.1	5.1
70	3.2	5.1
71	3.2	5.1
72	3.3	5.1
73	2.6	5.1
74	2.7	5.1
75	2.8	5.1
76	2.8	5.1
77	2.9	5.0
78	2.9	5.0
79	3.0	5.0
80	3.8	5.0
81	3.8	5.0
82	3.7	5.0
83	3.6	5.0
84	3.6	5.0
85	3.5	5.0
86	3.5	5.0
87	3.5	5.0
88	3.6	5.0
89	3.6	5.0
90	3.7	5.0
91	3.7	5.0
92	3.8	5.0
93	3.8	5.0
94	3.9	5.0
95	4.0	5.0
96	4.1	4.9
97	3.2	4.9
98	3.2	4.9
99	3.2	4.9
100	3.2	4.9
101	3.2	4.9
102	3.2	4.9
103	3.2	4.9
104	4.0	4.9
105	4.0	4.9
106	3.8	4.9
107	3.7	4.9
108	3.5	4.9
109	3.5	4.9
110	3.4	4.9
111	3.4	4.9
112	3.4	4.9
113	3.5	4.9
114	3.6	4.9
115	3.7	4.8
116	3.7	4.8
117	3.8	4.8
118	3.9	4.8
119	3.9	4.8
120	4.0	4.8
121	3.2	4.8
122	3.3	4.8
123	3.4	4.8
124	3.5	4.8
125	3.5	4.8
126	3.6	4.8
127	3.6	4.8
128	4.5	4.8
129	4.5	4.8
130	4.3	4.8
131	4.2	4.8
132	4.1	4.8
133	4.1	4.8
134	4.1	4.8
135	4.1	4.8
136	4.1	4.8
137	4.2	4.8
138	4.2	4.8
139	4.3	4.8
140	4.3	4.8
141	4.4	4.8
142	4.5	4.8
143	4.5	4.7
144	4.6	4.7
145	3.8	4.7
146	3.8	4.7
147	3.8	4.7
148	3.8	4.7
149	3.8	4.7
150	3.8	4.7
151	3.8	4.7
152	4.6	4.7
153	4.5	4.7
154	4.1	4.7
155	3.8	4.7
156	3.5	4.7
157	3.3	4.7
158	3.2	4.7
159	3.2	4.7
160	3.3	4.7
161	3.6	4.7
162	3.6	4.7
163	3.7	4.7
164	3.7	4.7
165	3.8	4.7
166	3.9	4.7
167	3.9	4.7
168	4.0	4.7
169	3.3	4.7
170	3.4	4.7
171	3.5	4.7
172	3.6	4.7
173	3.6	4.7
174	3.7	4.7
175	3.7	4.7
176	4.6	4.7
177	4.6	4.7
178	4.4	4.7
179	4.4	4.7
180	4.4	4.6
181	4.4	4.6
182	4.2	4.6
183	4.1	4.6
184	4.1	4.6
185	4.2	4.6
186	4.3	4.6
187	4.4	4.6
188	4.4	4.6
189	4.5	4.6
190	4.6	4.6
191	4.6	4.6
192	4.7	4.6
193	4.0	4.6
194	4.0	4.6
195	4.0	4.6
196	4.1	4.6
197	4.1	4.6
198	4.1	4.6
199	4.1	4.6
200	4.9	4.6
201	4.9	4.6
202	4.8	4.6
203	4.6	4.6
204	4.5	4.6
205	4.4	4.6
206	4.4	4.6
207	4.4	4.6
208	4.4	4.6
209	4.6	4.6
210	4.6	4.6
211	4.6	4.6
212	4.7	4.6
213	4.7	4.6
214	4.7	4.6
215	4.7	4.6
216	4.7	4.6
217	3.9	4.6
218	3.9	4.6
219	3.9	4.6
220	3.9	4.6
221	3.9	4.6
222	3.9	4.6
223	3.9	4.6
224	4.7	4.6
225	4.7	4.6
226	4.6	4.6
227	4.4	4.6
228	4.3	4.5
229	4.2	4.5
230	4.2	4.5
231	4.2	4.5
232	4.2	4.5
233	4.3	4.5
234	4.3	4.5
235	4.4	4.5
236	4.5	4.5
237	4.4	4.5
238	4.4	4.5
239	4.5	4.5
240	4.5	4.5
241	3.7	4.5
242	3.7	4.5
243	3.8	4.5
244	3.8	4.5
245	3.8	4.5
246	3.8	4.5
247	3.8	4.5
248	4.6	4.5
249	4.6	4.5
250	4.3	4.5
251	4.0	4.5
252	3.8	4.5
253	3.6	4.5
254	3.5	4.5
255	3.5	4.5
256	3.6	4.5
257	3.7	4.5
258	3.9	4.5
259	4.0	4.5
260	4.1	4.5
261	4.2	4.5
262	4.3	4.5
263	4.4	4.5
264	4.5	4.5
265	4.0	4.5
266	4.2	4.5
267	4.5	4.5
268	4.7	4.5
269	4.8	4.5
270	5.0	4.5
271	5.1	4.5
272	6.0	4.5
273	6.0	4.4
274	5.8	4.4
275	5.7	4.4
276	5.5	4.4
277	5.4	4.4
278	5.5	4.4
279	5.6	4.4
280	5.7	4.4
281	5.9	4.4
282	5.9	4.4
283	6.0	4.4
284	6.0	4.4
285	6.1	4.4
286	6.1	4.4
287	6.2	4.4
288	6.2	4.4
289	5.4	4.4
290	5.3	4.4
291	5.1	4.4
292	5.0	4.4
293	4.9	4.4
294	4.8	4.4
295	4.8	4.4
296	5.5	4.4
297	5.4	4.4
298	5.2	4.4
299	5.0	4.4
300	4.8	4.4
301	4.6	4.4
302	4.6	4.4
303	4.6	4.4
304	4.6	4.4
305	4.7	4.4
306	4.7	4.4
307	4.7	4.4
308	4.7	4.4
309	4.7	4.4
310	4.7	4.4
311	4.7	4.4
312	4.7	4.4
