# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	30.5	128.7
2	32.5	127.9
3	34.5	126.7
4	35.2	125.5
5	36.0	124.8
6	36.8	123.6
7	37.2	123.6
8	53.5	123.2
9	52.7	122.4
10	47.1	121.6
11	42.0	120.4
12	37.6	118.0
13	34.9	118.0
14	33.3	117.6
15	33.3	117.2
16	35.2	116.8
17	38.0	116.2
18	40.8	116.0
19	43.2	115.6
20	45.5	114.9
21	47.9	114.4
22	50.3	114.4
23	53.1	114.4
24	55.4	114.1
25	44.4	114.1
26	49.9	113.9
27	55.1	113.9
28	58.2	113.7
29	61.0	113.2
30	64.2	112.9
31	66.1	112.9
32	84.4	112.8
33	84.4	112.5
34	77.2	112.1
35	71.3	112.1
36	65.7	112.1
37	62.6	111.7
38	61.0	111.6
39	61.0	111.6
40	64.2	111.3
41	69.3	111.3
42	71.3	111.3
43	73.3	111.3
44	75.3	111.3
45	76.8	110.9
46	78.8	110.5
47	80.8	110.5
48	82.8	110.1
49	66.5	110.0
50	65.7	110.0
51	65.0	109.6
52	64.6	109.6
53	64.2	109.6
54	63.8	109.3
55	63.4	109.3
56	78.8	108.9
57	78.0	108.9
58	71.7	108.8
59	66.1	108.8
60	62.6	108.4
61	59.8	108.1
62	58.2	108.1
63	58.2	108.1
64	59.8	108.0
65	63.0	108.0
66	64.2	107.7
67	65.0	107.7
68	65.7	107.6
69	66.5	107.6
70	67.7	107.3
71	68.5	107.3
72	69.3	107.3
73	55.1	107.2
74	57.8	106.5
75	59.4	106.5
76	60.2	106.5
77	61.4	106.4
78	62.2	106.4
79	63.0	106.1
80	79.6	106.0
81	79.6	106.0
82	77.6	105.7
83	76.0	105.4
84	75.3	105.2
85	74.9	105.0
86	74.5	105.0
87	74.9	104.8
88	75.6	104.6
89	76.8	104.6
90	78.0	104.4
91	78.8	104.4
92	80.0	104.4
93	80.8	104.3
94	82.0	104.0
95	83.2	103.8
96	85.5	103.8
97	68.5	103.6
98	68.5	103.4
99	68.5	103.0
100	68.9	103.0
101	68.5	103.0
102	68.5	102.8
103	68.5	102.8
104	84.4	102.7
105	84.0	102.6
106	80.8	102.6
107	77.6	102.6
108	74.9	102.6
109	73.3	102.4
110	72.1	102.4
111	71.7	102.4
112	72.9	102.4
113	74.9	102.4
114	76.0	102.2
115	77.2	102.2
116	78.4	102.0
117	79.6	102.0
118	81.2	102.0
119	82.0	102.0
120	84.4	102.0
121	68.9	102.0
122	70.9	101.8
123	72.9	101.6
124	74.1	101.6
125	74.9	101.6
126	75.6	101.6
127	76.4	101.4
128	93.1	101.2
129	93.1	101.2
130	90.7	101.0
131	88.3	100.8
132	86.7	100.8
133	85.5	100.8
134	85.2	100.8
135	85.2	100.8
136	85.9	100.6
137	87.9	100.4
138	88.7	100.4
139	89.9	100.4
140	90.7	100.4
141	91.9	100.4
142	93.1	100.2
143	93.9	100.1
144	95.1	100.1
145	79.2	99.8
146	79.6	99.8
147	79.6	99.8
148	79.6	99.7
149	79.6	99.7
150	79.6	99.6
151	79.6	99.6
152	95.4	99.6
153	94.3	99.4
154	86.7	99.4
155	80.0	99.4
156	74.1	99.3
157	69.7	99.3
158	67.3	99.3
159	67.7	99.2
160	70.9	99.2
161	75.3	99.2
162	76.4	99.0
163	77.6	99.0
164	78.8	98.9
165	80.0	98.9
166	81.2	98.8
167	82.8	98.8
168	84.0	98.6
169	70.5	98.6
170	72.1	98.6
171	74.1	98.5
172	75.3	98.5
173	76.4	98.5
174	77.6	98.4
175	78.4	98.4
176	95.1	98.4
177	95.1	98.2
178	92.3	98.2
179	91.1	98.2
180	91.5	98.2
181	91.5	98.2
182	87.9	98.2
183	86.3	98.2
184	85.9	98.2
185	87.9	98.2
186	89.5	98.2
187	91.1	98.1
188	92.3	98.0
189	93.9	98.0
190	95.1	97.8
191	96.6	97.8
192	98.2	97.8
193	83.2	97.8
194	84.0	97.8
195	84.8	97.6
196	85.2	97.6
197	85.5	97.6
198	86.3	97.6
199	86.7	97.6
200	102.6	97.4
201	102.2	97.4
202	99.0	97.4
203	96.2	97.4
204	93.9	97.2
205	92.3	97.2
206	91.9	97.2
207	91.5	97.0
208	92.7	97.0
209	95.1	97.0
210	95.4	97.0
211	95.8	97.0
212	97.0	97.0
213	97.0	96.7
214	97.0	96.7
215	97.4	96.7
216	98.2	96.7
217	82.4	96.6
218	82.4	96.6
219	82.8	96.3
220	82.8	96.3
221	82.8	96.3
222	82.8	96.3
223	82.8	96.2
224	98.6	96.2
225	98.2	96.2
226	95.1	96.2
227	91.9	95.9
228	89.5	95.9
229	88.3	95.8
230	87.1	95.8
231	87.1	95.8
232	87.9	95.8
233	89.9	95.8
234	90.7	95.5
235	91.5	95.5
236	93.1	95.4
237	91.9	95.4
238	92.7	95.4
239	93.1	95.4
240	93.5	95.1
241	78.4	95.1
242	78.8	95.1
243	79.2	95.1
244	79.6	95.1
245	79.6	95.1
246	79.6	95.1
247	79.6	95.1
248	95.8	95.1
249	95.1	95.1
250	89.5	95.1
251	84.4	95.1
252	79.6	95.1
253	76.4	95.1
254	74.5	95.1
255	74.1	94.7
256	75.6	94.7
257	78.8	94.7
258	81.2	94.7
259	83.6	94.7
260	85.5	94.3
261	87.9	94.3
262	90.3	94.3
263	92.7	94.3
264	94.7	94.2
265	83.2	93.9
266	88.7	93.9
267	93.9	93.9
268	97.0	93.9
269	99.8	93.9
270	103.0	93.9
271	105.4	93.9
272	123.6	93.9
273	123.2	93.9
274	120.4	93.9
275	117.6	93.9
276	114.1	93.9
277	112.9	93.9
278	114.9	93.8
279	116.0	93.5
280	118.0	93.5
281	121.6	93.5
282	122.4	93.5
283	123.6	93.5
284	124.8	93.5
285	125.5	93.5
286	126.7	93.5
287	127.9	93.5
288	128.7	93.5
289	111.3	93.5
290	110.1	93.4
291	105.7	93.4
292	103.8	93.2
293	102.2	93.2
294	100.6	93.1
295	99.4	93.1
296	114.1	93.1
297	112.9	93.1
298	107.7	93.1
299	103.0	93.1
300	99.4	93.1
