# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	15.9	74.8
2	17.1	74.3
3	18.3	73.6
4	18.7	72.9
5	19.2	72.4
6	19.7	71.7
7	19.9	71.7
8	29.7	71.4
9	29.2	71.0
10	25.9	70.5
11	22.8	69.8
12	20.2	68.4
13	18.5	68.2
14	17.6	68.1
15	17.6	67.9
16	18.7	67.6
17	20.4	67.2
18	22.1	66.8
19	23.5	66.5
20	24.9	66.1
21	26.3	66.1
22	27.8	66.1
23	29.4	66.0
24	30.9	66.0
25	24.2	65.7
26	27.5	65.3
27	30.6	65.3
28	32.5	65.3
29	34.2	65.2
30	36.1	65.1
31	37.3	65.0
32	48.2	64.8
33	48.2	64.8
34	43.9	64.8
35	40.3	64.6
36	37.0	64.4
37	35.1	64.3
38	34.2	64.3
39	34.2	64.3
40	36.1	64.3
41	39.2	64.3
42	40.3	64.1
43	41.5	63.9
44	42.7	63.9
45	43.7	63.8
46	44.9	63.8
47	46.0	63.6
48	47.2	63.4
49	37.5	63.4
50	37.0	63.2
51	36.5	63.2
52	36.3	63.1
53	36.1	63.1
54	35.8	62.9
55	35.6	62.9
56	44.9	62.7
57	44.4	62.7
58	40.6	62.5
59	37.3	62.5
60	35.1	62.4
61	33.5	62.4
62	32.5	62.2
63	32.5	62.2
64	33.5	62.2
65	35.4	62.2
66	36.1	62.0
67	36.5	62.0
68	37.0	61.9
69	37.5	61.9
70	38.2	61.7
71	38.7	61.5
72	39.2	61.5
73	30.6	61.5
74	32.3	61.4
75	33.2	61.3
76	33.7	61.3
77	34.4	61.2
78	34.9	61.0
79	35.4	61.0
80	45.3	61.0
81	45.3	60.8
82	44.1	60.5
83	43.2	60.5
84	42.7	60.5
85	42.5	60.3
86	42.2	60.3
87	42.5	60.3
88	43.0	60.1
89	43.7	60.0
90	44.4	60.0
91	44.9	60.0
92	45.6	59.8
93	46.0	59.8
94	46.8	59.8
95	47.5	59.6
96	48.9	59.6
97	38.7	59.3
98	38.7	59.3
99	38.7	59.3
100	38.9	59.1
101	38.7	59.1
102	38.7	59.1
103	38.7	59.1
104	48.2	59.1
105	47.9	59.1
106	46.0	58.9
107	44.1	58.9
108	42.5	58.8
109	41.5	58.8
110	40.8	58.8
111	40.6	58.8
112	41.3	58.8
113	42.5	58.6
114	43.2	58.6
115	43.9	58.6
116	44.6	58.6
117	45.3	58.6
118	46.3	58.6
119	46.8	58.6
120	48.2	58.4
121	38.9	58.4
122	40.1	58.4
123	41.3	58.4
124	42.0	58.3
125	42.5	58.1
126	43.0	58.1
127	43.4	58.1
128	53.4	57.9
129	53.4	57.9
130	52.0	57.9
131	50.6	57.9
132	49.6	57.7
133	48.9	57.6
134	48.7	57.6
