# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	29.8	140.0
2	32.0	139.1
3	34.2	137.8
4	35.1	136.5
5	36.0	135.6
6	36.9	134.3
7	37.3	134.3
8	55.6	133.8
9	54.7	132.9
10	48.5	132.0
11	42.7	130.7
12	37.8	128.0
13	34.7	127.8
14	32.9	127.6
15	32.9	127.1
16	35.1	126.7
17	38.2	125.8
18	41.3	125.1
19	44.0	124.5
20	46.7	123.8
21	49.3	123.8
22	52.0	123.8
23	55.1	123.6
24	57.8	123.6
25	45.3	123.1
26	51.6	122.4
27	57.3	122.2
28	60.9	122.2
29	64.0	122.0
30	67.6	121.8
31	69.8	121.4
32	90.2	121.4
33	90.2	121.4
34	82.2	120.9
35	75.6	120.6
36	69.3	120.5
37	65.8	120.5
38	64.0	120.5
39	64.0	120.5
40	67.6	120.5
41	73.3	120.0
42	75.6	119.7
43	77.8	119.6
44	80.0	119.6
45	81.8	119.1
46	84.0	118.8
47	86.2	118.8
48	88.5	118.4
49	70.2	118.4
50	69.3	118.2
51	68.5	118.2
52	68.0	117.8
53	67.6	117.8
54	67.1	117.5
55	66.7	117.5
56	84.0	117.3
57	83.1	117.3
58	76.0	117.0
59	69.8	116.9
60	65.8	116.9
61	62.7	116.6
62	60.9	116.6
63	60.9	116.5
64	62.7	116.5
65	66.2	116.1
66	67.6	116.1
67	68.5	116.0
68	69.3	116.0
69	70.2	115.7
70	71.6	115.1
71	72.5	115.1
72	73.3	115.1
73	57.3	114.8
74	60.5	114.8
75	62.2	114.8
76	63.1	114.7
77	64.5	114.3
78	65.3	114.3
79	66.2	114.2
80	84.9	113.8
81	84.9	113.4
82	82.7	113.4
83	80.9	113.0
84	80.0	112.9
85	79.6	112.9
86	79.1	112.8
87	79.6	112.5
88	80.5	112.5
89	81.8	112.5
90	83.1	112.1
91	84.0	112.0
92	85.4	112.0
93	86.2	111.6
94	87.6	111.6
95	88.9	111.1
96	91.6	111.1
97	72.5	111.1
98	72.5	111.1
99	72.5	110.7
100	72.9	110.7
101	72.5	110.7
102	72.5	110.7
103	72.5	110.7
104	90.2	110.7
105	89.8	110.3
106	86.2	110.3
107	82.7	110.3
108	79.6	110.3
109	77.8	110.3
110	76.5	110.2
111	76.0	110.2
112	77.4	109.8
113	79.6	109.8
114	80.9	109.8
115	82.2	109.8
116	83.6	109.8
117	84.9	109.8
