# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	12.0	56.6
2	12.9	56.2
3	13.8	55.7
4	14.2	55.1
5	14.5	54.8
6	14.9	54.2
7	15.1	54.2
8	22.4	54.1
9	22.1	53.7
10	19.6	53.3
11	17.2	52.8
12	15.3	51.7
13	14.0	51.6
14	13.3	51.5
15	13.3	51.4
16	14.2	51.2
17	15.4	50.8
18	16.7	50.5
19	17.8	50.3
20	18.9	50.0
21	19.9	50.0
22	21.0	50.0
23	22.3	49.9
24	23.3	49.9
25	18.3	49.7
26	20.8	49.4
27	23.2	49.4
28	24.6	49.4
29	25.9	49.3
30	27.3	49.2
31	28.2	49.1
32	36.5	49.0
33	36.5	49.0
34	33.2	49.0
35	30.5	48.9
36	28.0	48.7
37	26.6	48.7
38	25.9	48.7
39	25.9	48.7
40	27.3	48.7
41	29.6	48.7
42	30.5	48.5
43	31.4	48.3
44	32.3	48.3
45	33.0	48.1
46	33.9	48.1
47	34.8	48.1
48	35.7	48.0
49	28.4	48.0
50	28.0	47.8
51	27.7	47.8
52	27.5	47.8
53	27.3	47.8
54	27.1	47.6
55	26.9	47.6
56	33.9	47.4
57	33.6	47.4
58	30.7	47.3
59	28.2	47.2
60	26.6	47.2
61	25.3	47.1
62	24.6	47.1
63	24.6	47.1
64	25.3	47.1
65	26.8	47.1
66	27.3	46.9
67	27.7	46.9
68	28.0	46.9
69	28.4	46.9
70	28.9	46.7
71	29.3	46.5
72	29.6	46.5
73	23.2	46.5
74	24.4	46.3
75	25.1	46.3
76	25.5	46.3
77	26.0	46.2
78	26.4	46.2
79	26.8	46.2
80	34.3	46.2
81	34.3	46.0
82	33.4	45.8
83	32.7	45.8
84	32.3	45.6
85	32.1	45.6
86	32.0	45.6
87	32.1	45.6
88	32.5	45.4
89	33.0	45.4
90	33.6	45.4
91	33.9	45.3
92	34.5	45.3
93	34.8	45.3
94	35.4	45.2
95	35.9	45.1
96	37.0	45.1
97	29.3	44.9
98	29.3	44.9
99	29.3	44.9
100	29.5	44.7
101	29.3	44.7
102	29.3	44.7
103	29.3	44.7
104	36.5	44.7
105	36.3	44.7
106	34.8	44.5
107	33.4	44.5
108	32.1	44.5
109	31.4	44.5
110	30.9	44.5
111	30.7	44.5
112	31.3	44.4
113	32.1	44.3
114	32.7	44.3
115	33.2	44.3
116	33.8	44.3
117	34.3	44.3
118	35.0	44.3
119	35.4	44.2
120	36.5	44.2
121	29.5	44.2
122	30.4	44.2
123	31.3	44.2
124	31.8	44.0
125	32.1	44.0
126	32.5	44.0
127	32.9	43.9
128	40.4	43.8
129	40.4	43.8
