# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	14.7	68.9
2	15.8	68.5
3	16.8	67.8
4	17.3	67.2
5	17.7	66.7
6	18.2	66.1
7	18.4	66.1
8	27.4	65.9
9	26.9	65.4
10	23.8	65.0
11	21.0	64.3
12	18.6	63.0
13	17.1	62.8
14	16.2	62.7
15	16.2	62.6
16	17.3	62.4
17	18.8	61.9
18	20.3	61.3
19	21.7	61.3
20	23.0	60.8
21	24.3	60.8
22	25.6	60.7
23	27.1	60.7
24	28.4	60.7
25	22.3	60.6
26	25.4	60.2
27	28.2	60.2
28	30.0	60.0
29	31.5	60.0
30	33.3	59.8
31	34.4	59.7
32	44.4	59.7
33	44.4	59.7
34	40.5	59.7
35	37.2	59.5
36	34.1	59.3
37	32.4	59.3
38	31.5	59.3
39	31.5	59.3
40	33.3	59.3
41	36.1	59.1
42	37.2	59.1
43	38.3	58.9
44	39.4	58.9
45	40.3	58.6
46	41.4	58.5
47	42.4	58.5
48	43.5	58.3
49	34.6	58.3
50	34.1	58.2
51	33.7	58.2
52	33.5	58.0
53	33.3	58.0
54	33.0	58.0
55	32.8	58.0
56	41.4	57.6
57	40.9	57.6
58	37.4	57.5
59	34.4	57.5
60	32.4	57.4
61	30.9	57.3
62	30.0	57.3
63	30.0	57.3
64	30.9	57.1
65	32.6	57.1
66	33.3	57.1
67	33.7	57.1
68	34.1	56.9
69	34.6	56.9
70	35.2	56.7
71	35.7	56.7
72	36.1	56.7
73	28.2	56.7
74	29.8	56.5
75	30.6	56.3
76	31.1	56.3
77	31.7	56.2
78	32.2	56.2
79	32.6	56.0
80	41.8	56.0
81	41.8	56.0
82	40.7	55.8
83	39.8	55.6
84	39.4	55.6
85	39.2	55.6
86	38.9	55.4
87	39.2	55.4
88	39.6	55.2
89	40.3	55.2
90	40.9	55.2
91	41.4	55.1
92	42.0	55.1
93	42.4	55.0
94	43.1	54.9
95	43.8	54.9
96	45.1	54.7
97	35.7	54.7
98	35.7	54.7
99	35.7	54.7
100	35.9	54.5
101	35.7	54.5
102	35.7	54.5
103	35.7	54.5
104	44.4	54.3
105	44.2	54.3
106	42.4	54.3
107	40.7	54.3
108	39.2	54.1
109	38.3	54.1
110	37.6	54.1
111	37.4	54.1
112	38.1	54.0
113	39.2	53.8
114	39.8	53.8
115	40.5	53.8
116	41.1	53.8
117	41.8	53.8
118	42.7	53.8
119	43.1	53.8
120	44.4	53.8
121	35.9	53.6
122	37.0	53.6
123	38.1	53.6
124	38.7	53.6
125	39.2	53.4
126	39.6	53.4
127	40.0	53.4
128	49.2	53.4
129	49.2	53.2
130	47.9	53.2
131	46.6	53.2
132	45.7	53.2
133	45.1	53.0
134	44.9	53.0
135	44.9	53.0
136	45.3	53.0
137	46.4	53.0
138	46.8	52.7
139	47.5	52.7
140	47.9	52.7
141	48.6	52.6
142	49.2	52.5
143	49.7	52.5
144	50.3	52.5
145	41.6	52.5
146	41.8	52.5
147	41.8	52.4
148	41.8	52.3
