# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	9.9	42.0
2	10.6	41.7
3	11.2	41.3
4	11.5	40.9
5	11.8	40.7
6	12.0	40.3
7	12.1	40.3
8	17.4	40.2
9	17.2	39.9
10	15.4	39.7
11	13.7	39.3
12	12.3	38.5
13	11.4	38.4
14	10.9	38.2
15	10.9	38.1
16	11.5	38.0
17	12.4	37.8
18	13.3	37.5
19	14.1	37.3
20	14.9	37.2
21	15.6	37.2
22	16.4	37.1
23	17.3	37.1
24	18.1	36.9
25	14.5	36.9
26	16.3	36.9
27	18.0	36.8
28	19.0	36.8
29	19.9	36.7
30	20.9	36.6
31	21.6	36.6
32	27.5	36.6
33	27.5	36.5
34	25.2	36.4
35	23.3	36.4
36	21.4	36.3
37	20.4	36.3
38	19.9	36.3
39	19.9	36.3
40	20.9	36.3
41	22.6	36.3
42	23.3	36.3
43	23.9	36.2
44	24.5	36.0
45	25.1	36.0
46	25.7	36.0
47	26.4	35.9
48	27.0	35.7
49	21.7	35.7
50	21.4	35.6
51	21.2	35.5
52	21.1	35.5
53	20.9	35.4
54	20.8	35.4
55	20.7	35.3
56	25.7	35.3
57	25.4	35.3
58	23.4	35.3
59	21.6	35.1
60	20.4	35.1
61	19.5	35.1
62	19.0	35.1
63	19.0	35.0
64	19.5	35.0
65	20.5	35.0
66	20.9	34.9
67	21.2	34.8
68	21.4	34.8
69	21.7	34.7
70	22.1	34.7
71	22.3	34.7
72	22.6	34.7
73	18.0	34.7
74	18.9	34.6
75	19.4	34.5
76	19.6	34.5
77	20.0	34.5
78	20.3	34.4
79	20.5	34.3
80	26.0	34.3
81	26.0	34.2
82	25.3	34.2
83	24.8	34.2
84	24.5	34.2
85	24.4	34.1
86	24.3	34.1
87	24.4	33.9
88	24.7	33.8
89	25.1	33.8
90	25.4	33.8
91	25.7	33.7
92	26.1	33.6
93	26.4	33.6
94	26.7	33.6
95	27.1	33.6
96	27.9	33.6
97	22.3	33.6
98	22.3	33.5
99	22.3	33.5
100	22.5	33.5
101	22.3	33.5
102	22.3	33.5
103	22.3	33.5
104	27.5	33.4
105	27.4	33.3
106	26.4	33.3
107	25.3	33.3
108	24.4	33.2
109	23.9	33.1
110	23.5	33.1
111	23.4	33.1
112	23.8	33.0
113	24.4	33.0
114	24.8	33.0
115	25.2	33.0
116	25.6	32.9
117	26.0	32.9
118	26.5	32.9
119	26.7	32.9
120	27.5	32.9
121	22.5	32.9
122	23.1	32.9
123	23.8	32.8
124	24.2	32.8
125	24.4	32.7
126	24.7	32.7
