# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.9	79.3
2	18.1	78.8
3	19.4	78.1
4	19.9	77.3
5	20.4	76.8
6	20.9	76.0
7	21.2	76.0
8	31.5	75.8
9	31.0	75.3
10	27.4	74.8
11	24.2	74.0
12	21.4	72.5
13	19.6	72.3
14	18.6	72.0
15	18.6	72.0
16	19.9	71.8
17	21.7	71.3
18	23.4	70.5
19	24.9	70.5
20	26.4	70.0
21	28.0	70.0
22	29.5	69.8
23	31.2	69.8
24	32.7	69.8
25	25.7	69.7
26	29.2	69.6
27	32.5	69.2
28	34.5	69.2
29	36.3	69.0
30	38.3	69.0
31	39.5	68.8
32	51.1	68.7
33	51.1	68.7
34	46.6	68.7
35	42.8	68.5
36	39.3	68.2
37	37.3	68.2
38	36.3	68.2
39	36.3	68.2
40	38.3	68.2
41	41.5	68.2
42	42.8	68.2
43	44.1	68.0
44	45.3	68.0
45	46.3	67.7
46	47.6	67.7
47	48.8	67.5
48	50.1	67.0
49	39.8	67.0
50	39.3	67.0
51	38.8	67.0
52	38.5	66.7
53	38.3	66.7
54	38.0	66.7
55	37.8	66.7
56	47.6	66.7
57	47.1	66.2
58	43.1	66.2
59	39.5	66.2
60	37.3	66.2
61	35.5	66.0
62	34.5	66.0
63	34.5	66.0
64	35.5	65.7
65	37.5	65.7
66	38.3	65.7
67	38.8	65.7
68	39.3	65.5
69	39.8	65.5
70	40.5	65.5
71	41.0	65.2
72	41.5	65.2
73	32.5	65.2
74	34.2	65.2
75	35.3	65.0
76	35.8	64.7
77	36.5	64.7
78	37.0	64.7
79	37.5	64.6
80	48.1	64.5
81	48.1	64.4
82	46.8	64.4
83	45.8	64.2
84	45.3	64.1
85	45.1	64.0
86	44.8	64.0
87	45.1	63.9
88	45.6	63.7
89	46.3	63.5
90	47.1	63.5
91	47.6	63.4
92	48.3	63.4
93	48.8	63.4
94	49.6	63.2
95	50.4	63.2
96	51.9	63.0
97	41.0	63.0
98	41.0	63.0
99	41.0	62.9
100	41.3	62.7
101	41.0	62.7
102	41.0	62.7
103	41.0	62.7
104	51.1	62.7
105	50.9	62.4
106	48.8	62.4
107	46.8	62.4
108	45.1	62.4
109	44.1	62.2
110	43.3	62.2
111	43.1	62.2
112	43.8	62.2
113	45.1	62.2
114	45.8	62.2
115	46.6	61.9
116	47.3	61.9
117	48.1	61.9
118	49.1	61.9
119	49.6	61.9
120	51.1	61.9
121	41.3	61.9
122	42.6	61.7
123	43.8	61.6
124	44.6	61.6
125	45.1	61.6
126	45.6	61.4
127	46.1	61.4
128	56.7	61.4
129	56.7	61.3
130	55.1	61.2
131	53.6	61.1
132	52.6	61.1
133	51.9	61.1
134	51.6	61.0
135	51.6	60.9
136	52.1	60.9
137	53.4	60.9
138	53.9	60.9
139	54.6	60.9
140	55.1	60.7
141	55.9	60.7
142	56.7	60.7
143	57.2	60.6
144	57.9	60.4
145	47.8	60.4
146	48.1	60.4
147	48.1	60.4
148	48.1	60.4
149	48.1	60.2
150	48.1	60.2
151	48.1	60.2
152	58.2	60.1
153	57.4	60.1
154	52.6	60.1
155	48.3	60.1
156	44.6	60.1
157	41.8	59.9
158	40.3	59.9
159	40.5	59.9
160	42.6	59.9
161	45.3	59.9
162	46.1	59.9
163	46.8	59.9
164	47.6	59.9
165	48.3	59.9
166	49.1	59.9
167	50.1	59.9
168	50.9	59.9
169	42.3	59.8
170	43.3	59.8
171	44.6	59.8
172	45.3	59.7
173	46.1	59.7
174	46.8	59.6
175	47.3	59.6
176	57.9	59.6
177	57.9	59.6
178	56.2	59.6
179	55.4	59.4
180	55.6	59.4
181	55.6	59.4
182	53.4	59.4
183	52.4	59.4
184	52.1	59.4
185	53.4	59.4
186	54.4	59.2
187	55.4	59.2
188	56.2	59.2
189	57.2	59.2
190	57.9	59.2
191	58.9	59.2
192	59.9	59.1
193	50.4	59.1
194	50.9	59.1
195	51.4	59.1
196	51.6	59.1
197	51.9	59.1
198	52.4	59.1
199	52.6	59.1
200	62.7	58.9
201	62.4	58.9
202	60.4	58.9
203	58.7	58.9
204	57.2	58.9
205	56.2	58.9
206	55.9	58.9
207	55.6	58.7
208	56.4	58.7
209	57.9	58.7
210	58.2	58.7
211	58.4	58.7
212	59.2	58.7
213	59.2	58.7
214	59.2	58.6
215	59.4	58.6
216	59.9	58.6
217	49.9	58.6
218	49.9	58.4
219	50.1	58.4
220	50.1	58.4
221	50.1	58.4
222	50.1	58.3
223	50.1	58.3
224	60.2	58.3
225	59.9	58.3
226	57.9	58.2
