# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	20.6	96.7
2	22.1	96.1
3	23.6	95.2
4	24.3	94.3
5	24.9	93.7
6	25.5	92.7
7	25.8	92.7
8	38.4	92.4
9	37.8	91.8
10	33.5	91.2
11	29.5	90.3
12	26.1	88.4
13	24.0	88.4
14	22.7	88.1
15	22.7	87.8
16	24.3	87.5
17	26.4	86.9
18	28.6	86.5
19	30.4	86.0
20	32.2	85.6
21	34.1	85.6
22	35.9	85.6
23	38.1	85.4
24	39.9	85.4
25	31.3	85.1
26	35.6	84.6
27	39.6	84.4
28	42.1	84.4
29	44.2	84.3
30	46.7	84.1
31	48.2	83.8
32	62.3	83.8
33	62.3	83.8
34	56.8	83.5
35	52.2	83.4
36	47.9	83.2
37	45.4	83.2
38	44.2	83.2
39	44.2	83.2
40	46.7	83.2
41	50.7	82.9
42	52.2	82.6
43	53.7	82.6
44	55.3	82.3
45	56.5	82.2
46	58.0	82.2
47	59.6	81.8
48	61.1	81.8
49	48.5	81.7
50	47.9	81.7
51	47.3	81.7
52	47.0	81.4
53	46.7	81.4
54	46.4	81.2
55	46.1	81.2
56	58.0	80.9
57	57.4	80.8
58	52.5	80.8
59	48.2	80.6
60	45.4	80.6
61	43.3	80.5
62	42.1	80.5
63	42.1	80.3
64	43.3	80.3
65	45.8	80.1
66	46.7	80.1
67	47.3	80.1
68	47.9	80.1
69	48.5	80.0
70	49.4	79.5
71	50.1	79.5
72	50.7	79.5
73	39.6	79.4
74	41.8	79.4
75	43.0	79.2
76	43.6	79.0
77	44.5	79.0
78	45.1	78.9
79	45.8	78.6
80	58.7	78.4
81	58.7	78.4
82	57.1	78.3
83	55.9	78.1
84	55.3	78.0
85	55.0	78.0
86	54.7	77.8
87	55.0	77.8
88	55.6	77.8
89	56.5	77.5
90	57.4	77.4
91	58.0	77.4
92	59.0	77.2
93	59.6	77.1
94	60.5	77.0
95	61.4	76.8
96	63.3	76.8
97	50.1	76.8
98	50.1	76.6
99	50.1	76.6
100	50.4	76.5
101	50.1	76.5
102	50.1	76.5
103	50.1	76.5
104	62.3	76.2
105	62.0	76.2
106	59.6	76.2
107	57.1	76.2
108	55.0	76.2
109	53.7	76.2
110	52.8	75.9
111	52.5	75.9
112	53.4	75.9
113	55.0	75.9
114	55.9	75.9
115	56.8	75.9
116	57.7	75.9
117	58.7	75.8
118	59.9	75.6
119	60.5	75.6
120	62.3	75.6
121	50.4	75.5
122	51.9	75.3
123	53.4	75.3
124	54.4	75.3
125	55.0	75.2
126	55.6	75.0
127	56.2	75.0
128	69.1	75.0
129	69.1	74.9
130	67.3	74.7
131	65.4	74.7
132	64.2	74.6
133	63.3	74.3
134	63.0	74.3
135	63.0	74.3
136	63.6	74.1
137	65.1	74.1
138	65.7	74.1
139	66.6	74.0
140	67.3	74.0
141	68.2	74.0
142	69.1	73.8
143	69.7	73.8
144	70.6	73.8
145	58.3	73.7
146	58.7	73.7
147	58.7	73.7
148	58.7	73.4
149	58.7	73.4
150	58.7	73.4
151	58.7	73.4
152	70.9	73.4
153	70.0	73.1
154	64.2	73.1
155	59.0	73.1
156	54.4	73.1
157	51.0	73.1
158	49.1	73.1
159	49.4	73.1
160	51.9	73.1
161	55.3	73.1
162	56.2	73.1
163	57.1	73.1
164	58.0	73.1
165	59.0	73.1
