# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	34.5	162.4
2	37.1	161.4
3	39.7	159.8
4	40.7	158.3
5	41.8	157.3
6	42.8	155.7
7	43.3	155.7
8	64.4	155.2
9	63.4	154.2
10	56.2	153.1
11	49.5	151.6
12	43.8	148.5
13	40.2	148.0
14	38.2	147.5
15	38.2	147.4
16	40.7	146.9
17	44.3	145.9
18	47.9	144.4
19	51.0	144.3
20	54.1	143.3
21	57.2	143.3
22	60.3	142.8
23	63.9	142.8
24	67.0	142.8
25	52.6	142.8
26	59.8	141.9
27	66.5	141.8
28	70.6	141.8
29	74.2	141.3
30	78.4	141.2
31	80.9	140.8
32	104.7	140.8
33	104.7	140.8
34	95.4	140.7
35	87.6	140.2
36	80.4	139.7
37	76.3	139.7
38	74.2	139.7
39	74.2	139.7
40	78.4	139.7
41	85.1	139.2
42	87.6	139.1
43	90.2	139.0
44	92.8	139.0
45	94.9	138.7
46	97.4	138.7
47	100.0	138.2
48	102.6	137.1
49	81.5	137.1
50	80.4	137.1
51	79.4	137.1
52	78.9	136.6
53	78.4	136.6
54	77.9	136.5
55	77.3	136.5
56	97.4	136.1
57	96.4	135.6
58	88.2	135.6
59	80.9	135.5
60	76.3	135.5
61	72.7	135.1
62	70.6	135.1
63	70.6	135.0
64	72.7	134.6
65	76.8	134.6
66	78.4	134.5
67	79.4	134.5
68	80.4	133.9
69	81.5	133.9
70	83.0	133.6
71	84.0	133.5
72	85.1	133.5
73	66.5	133.5
74	70.1	133.4
75	72.2	133.0
76	73.2	132.5
77	74.8	132.4
78	75.8	132.4
79	76.8	132.0
80	98.5	131.9
81	98.5	131.9
82	95.9	131.7
83	93.8	131.5
84	92.8	131.0
85	92.3	131.0
86	91.8	130.8
87	92.3	130.7
88	93.3	130.3
89	94.9	129.9
90	96.4	129.9
91	97.4	129.8
92	99.0	129.8
93	100.0	129.8
94	101.6	129.4
95	103.1	129.3
96	106.2	128.9
97	84.0	128.9
98	84.0	128.9
99	84.0	128.8
100	84.6	128.4
101	84.0	128.4
102	84.0	128.4
103	84.0	128.4
104	104.7	127.9
105	104.1	127.9
106	100.0	127.8
107	95.9	127.7
108	92.3	127.7
109	90.2	127.3
110	88.7	127.2
111	88.2	127.2
112	89.7	127.2
113	92.3	127.2
114	93.8	126.9
115	95.4	126.8
116	96.9	126.7
117	98.5	126.7
118	100.5	126.7
119	101.6	126.7
120	104.7	126.7
121	84.6	126.7
122	87.1	126.3
123	89.7	126.2
124	91.3	126.2
125	92.3	126.2
126	93.3	125.8
127	94.4	125.6
128	116.0	125.6
129	116.0	125.3
130	112.9	125.1
131	109.8	125.1
132	107.8	125.1
133	106.2	124.9
134	105.7	124.8
135	105.7	124.8
136	106.7	124.8
137	109.3	124.6
138	110.3	124.6
139	111.9	124.4
140	112.9	124.3
141	114.5	124.3
142	116.0	124.3
143	117.0	123.7
144	118.6	123.7
145	98.0	123.6
146	98.5	123.6
147	98.5	123.6
148	98.5	123.5
149	98.5	123.2
150	98.5	123.2
151	98.5	123.2
152	119.1	123.0
153	117.6	123.0
154	107.8	123.0
155	99.0	122.7
156	91.3	122.7
157	85.6	122.7
158	82.5	122.7
159	83.0	122.7
160	87.1	122.7
161	92.8	122.7
162	94.4	122.7
163	95.9	122.7
164	97.4	122.7
165	99.0	122.5
166	100.5	122.5
167	102.6	122.5
168	104.1	122.5
169	86.6	122.2
170	88.7	122.2
171	91.3	122.0
172	92.8	122.0
173	94.4	122.0
174	95.9	122.0
175	96.9	122.0
176	118.6	122.0
177	118.6	121.7
178	115.0	121.7
179	113.4	121.7
180	113.9	121.5
181	113.9	121.5
182	109.3	121.5
183	107.2	121.5
184	106.7	121.2
185	109.3	121.2
186	111.4	121.2
187	113.4	121.2
188	115.0	121.2
189	117.0	121.2
190	118.6	121.1
191	120.6	121.1
192	122.7	121.0
193	103.1	121.0
