# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.4	49.0
2	11.2	48.7
3	12.0	48.3
4	12.3	47.8
5	12.6	47.5
6	12.9	47.0
7	13.1	47.0
8	19.5	46.9
9	19.1	46.5
10	17.0	46.2
11	14.9	45.8
12	13.2	44.8
13	12.1	44.7
14	11.5	44.5
15	11.5	44.5
16	12.3	44.4
17	13.4	44.0
18	14.5	43.6
19	15.4	43.6
20	16.3	43.3
21	17.3	43.3
22	18.2	43.1
23	19.3	43.1
24	20.2	43.1
25	15.9	43.1
26	18.1	42.8
27	20.1	42.8
28	21.3	42.7
29	22.4	42.6
30	23.7	42.6
31	24.4	42.5
32	31.6	42.5
33	31.6	42.5
34	28.8	42.5
35	26.5	42.3
36	24.3	42.2
37	23.0	42.2
38	22.4	42.2
39	22.4	42.2
40	23.7	42.2
41	25.7	42.0
42	26.5	42.0
43	27.2	41.9
44	28.0	41.9
45	28.6	41.8
46	29.4	41.8
47	30.2	41.7
48	31.0	41.4
49	24.6	41.4
50	24.3	41.4
51	24.0	41.4
52	23.8	41.2
53	23.7	41.2
54	23.5	41.2
55	23.3	41.2
56	29.4	40.9
57	29.1	40.9
58	26.6	40.9
59	24.4	40.9
60	23.0	40.9
61	21.9	40.8
62	21.3	40.8
63	21.3	40.7
64	21.9	40.6
65	23.2	40.6
66	23.7	40.6
67	24.0	40.6
68	24.3	40.4
69	24.6	40.4
70	25.1	40.3
71	25.4	40.3
72	25.7	40.3
73	20.1	40.3
74	21.2	40.2
75	21.8	40.2
76	22.1	40.0
77	22.6	40.0
78	22.9	40.0
79	23.2	39.8
80	29.7	39.8
81	29.7	39.8
82	29.0	39.7
83	28.3	39.6
84	28.0	39.5
85	27.9	39.5
86	27.7	39.5
87	27.9	39.3
88	28.2	39.3
89	28.6	39.2
90	29.1	39.2
91	29.4	39.2
92	29.9	39.2
93	30.2	39.2
94	30.7	39.1
95	31.1	39.0
96	32.1	38.9
97	25.4	38.9
98	25.4	38.9
99	25.4	38.9
100	25.5	38.8
101	25.4	38.8
102	25.4	38.8
103	25.4	38.8
104	31.6	38.6
105	31.4	38.6
106	30.2	38.5
107	29.0	38.5
108	27.9	38.4
109	27.2	38.4
110	26.8	38.4
111	26.6	38.4
112	27.1	38.4
113	27.9	38.4
114	28.3	38.3
115	28.8	38.2
116	29.3	38.2
117	29.7	38.2
118	30.4	38.2
119	30.7	38.2
120	31.6	38.2
121	25.5	38.2
122	26.3	38.1
123	27.1	38.1
124	27.5	38.1
125	27.9	38.1
126	28.2	38.0
127	28.5	37.9
128	35.0	37.9
129	35.0	37.8
130	34.1	37.8
131	33.2	37.8
132	32.5	37.8
133	32.1	37.7
134	31.9	37.7
135	31.9	37.7
136	32.2	37.6
137	33.0	37.6
138	33.3	37.6
139	33.8	37.5
140	34.1	37.5
141	34.6	37.5
142	35.0	37.4
143	35.3	37.4
144	35.8	37.4
145	29.6	37.3
146	29.7	37.3
147	29.7	37.3
148	29.7	37.2
149	29.7	37.2
150	29.7	37.2
151	29.7	37.1
152	36.0	37.1
153	35.5	37.1
154	32.5	37.1
155	29.9	37.0
156	27.5	37.0
157	25.8	37.0
158	24.9	37.0
159	25.1	37.0
160	26.3	37.0
161	28.0	37.0
162	28.5	37.0
163	29.0	37.0
164	29.4	37.0
165	29.9	37.0
166	30.4	37.0
167	31.0	36.9
168	31.4	36.9
169	26.1	36.8
170	26.8	36.8
