# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	5.8	27.1
2	6.2	27.0
3	6.6	26.7
4	6.8	26.4
5	7.0	26.3
6	7.1	26.0
7	7.2	26.0
8	10.8	25.9
9	10.6	25.8
10	9.4	25.6
11	8.3	25.3
12	7.3	24.8
13	6.7	24.7
14	6.4	24.6
15	6.4	24.6
16	6.8	24.5
17	7.4	24.4
18	8.0	24.1
19	8.5	24.1
20	9.0	23.9
21	9.6	23.9
22	10.1	23.9
23	10.7	23.8
24	11.2	23.8
25	8.8	23.8
26	10.0	23.7
27	11.1	23.7
28	11.8	23.7
29	12.4	23.6
30	13.1	23.6
31	13.5	23.5
32	17.5	23.5
33	17.5	23.5
34	15.9	23.5
35	14.6	23.4
36	13.4	23.3
37	12.7	23.3
38	12.4	23.3
39	12.4	23.3
40	13.1	23.3
41	14.2	23.3
42	14.6	23.2
43	15.1	23.2
44	15.5	23.2
45	15.8	23.2
46	16.3	23.2
47	16.7	23.1
48	17.1	22.9
49	13.6	22.9
50	13.4	22.9
51	13.3	22.9
52	13.2	22.8
53	13.1	22.8
54	13.0	22.8
55	12.9	22.8
56	16.3	22.7
57	16.1	22.7
58	14.7	22.7
59	13.5	22.6
60	12.7	22.6
61	12.1	22.6
62	11.8	22.6
63	11.8	22.5
64	12.1	22.5
65	12.8	22.5
66	13.1	22.5
67	13.3	22.5
68	13.4	22.4
69	13.6	22.4
70	13.9	22.3
71	14.0	22.3
72	14.2	22.3
73	11.1	22.3
74	11.7	22.3
75	12.1	22.2
76	12.2	22.1
77	12.5	22.1
78	12.7	22.1
79	12.8	22.1
80	16.5	22.0
81	16.5	22.0
82	16.0	22.0
83	15.7	22.0
84	15.5	21.9
85	15.4	21.9
86	15.3	21.8
87	15.4	21.8
88	15.6	21.8
89	15.8	21.7
90	16.1	21.7
91	16.3	21.7
92	16.5	21.7
93	16.7	21.7
94	17.0	21.6
95	17.2	21.6
96	17.7	21.5
97	14.0	21.5
98	14.0	21.5
99	14.0	21.5
100	14.1	21.4
101	14.0	21.4
102	14.0	21.4
103	14.0	21.4
104	17.5	21.4
105	17.4	21.4
106	16.7	21.4
107	16.0	21.3
108	15.4	21.3
109	15.1	21.3
110	14.8	21.2
111	14.7	21.2
112	15.0	21.2
113	15.4	21.2
114	15.7	21.2
115	15.9	21.2
116	16.2	21.2
117	16.5	21.2
118	16.8	21.2
119	17.0	21.2
120	17.5	21.2
121	14.1	21.2
122	14.6	21.1
123	15.0	21.1
124	15.2	21.1
125	15.4	21.1
126	15.6	21.0
127	15.8	21.0
128	19.4	21.0
129	19.4	20.9
130	18.9	20.9
131	18.3	20.9
132	18.0	20.9
133	17.7	20.9
134	17.7	20.8
135	17.7	20.8
136	17.8	20.8
137	18.3	20.8
138	18.4	20.8
139	18.7	20.8
140	18.9	20.8
141	19.1	20.8
142	19.4	20.8
143	19.6	20.7
144	19.8	20.7
145	16.4	20.6
146	16.5	20.6
147	16.5	20.6
148	16.5	20.6
149	16.5	20.6
150	16.5	20.6
151	16.5	20.6
152	19.9	20.5
153	19.6	20.5
154	18.0	20.5
155	16.5	20.5
