# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.6	7.6
2	1.7	7.5
3	1.9	7.5
4	1.9	7.4
5	2.0	7.3
6	2.0	7.3
7	2.0	7.3
8	3.0	7.2
9	3.0	7.2
10	2.6	7.2
11	2.3	7.1
12	2.0	6.9
13	1.9	6.9
14	1.8	6.9
15	1.8	6.9
16	1.9	6.9
17	2.1	6.8
18	2.2	6.8
19	2.4	6.7
20	2.5	6.7
21	2.7	6.7
22	2.8	6.7
23	3.0	6.7
24	3.1	6.7
25	2.5	6.7
26	2.8	6.7
27	3.1	6.6
28	3.3	6.6
29	3.5	6.6
30	3.7	6.6
31	3.8	6.6
32	4.9	6.6
33	4.9	6.6
34	4.5	6.6
35	4.1	6.6
36	3.8	6.6
37	3.6	6.6
38	3.5	6.5
39	3.5	6.5
40	3.7	6.5
41	4.0	6.5
42	4.1	6.5
43	4.2	6.5
44	4.3	6.5
45	4.4	6.5
46	4.6	6.5
47	4.7	6.5
48	4.8	6.4
49	3.8	6.4
50	3.8	6.4
51	3.7	6.4
52	3.7	6.4
53	3.7	6.4
54	3.6	6.4
55	3.6	6.4
56	4.6	6.4
57	4.5	6.4
58	4.1	6.4
59	3.8	6.3
60	3.6	6.3
61	3.4	6.3
62	3.3	6.3
63	3.3	6.3
64	3.4	6.3
65	3.6	6.3
66	3.7	6.3
67	3.7	6.3
68	3.8	6.3
69	3.8	6.3
70	3.9	6.3
71	3.9	6.3
72	4.0	6.2
73	3.1	6.2
74	3.3	6.2
75	3.4	6.2
76	3.4	6.2
77	3.5	6.2
78	3.5	6.2
79	3.6	6.2
80	4.6	6.2
81	4.6	6.2
82	4.5	6.2
83	4.4	6.2
84	4.3	6.1
85	4.3	6.1
86	4.3	6.1
87	4.3	6.1
88	4.4	6.1
89	4.4	6.1
90	4.5	6.1
91	4.6	6.1
92	4.6	6.1
93	4.7	6.1
94	4.7	6.1
95	4.8	6.0
96	5.0	6.0
97	3.9	6.0
98	3.9	6.0
99	3.9	6.0
100	3.9	6.0
101	3.9	6.0
102	3.9	6.0
103	3.9	6.0
104	4.9	6.0
105	4.9	6.0
106	4.7	6.0
107	4.5	6.0
108	4.3	6.0
109	4.2	6.0
110	4.1	6.0
111	4.1	6.0
112	4.2	6.0
113	4.3	6.0
114	4.4	5.9
115	4.5	5.9
116	4.5	5.9
117	4.6	5.9
118	4.7	5.9
119	4.7	5.9
120	4.9	5.9
121	3.9	5.9
122	4.1	5.9
123	4.2	5.9
124	4.3	5.9
125	4.3	5.9
126	4.4	5.9
127	4.4	5.9
128	5.4	5.9
129	5.4	5.9
130	5.3	5.9
131	5.1	5.9
132	5.0	5.9
133	5.0	5.9
134	4.9	5.9
135	4.9	5.8
136	5.0	5.8
137	5.1	5.8
138	5.2	5.8
139	5.2	5.8
140	5.3	5.8
141	5.3	5.8
142	5.4	5.8
143	5.5	5.8
144	5.5	5.8
145	4.6	5.8
146	4.6	5.8
147	4.6	5.8
148	4.6	5.8
149	4.6	5.8
150	4.6	5.8
151	4.6	5.8
152	5.6	5.8
153	5.5	5.8
154	5.0	5.8
155	4.6	5.8
156	4.3	5.8
157	4.0	5.8
158	3.9	5.8
159	3.9	5.8
160	4.1	5.7
161	4.3	5.7
162	4.4	5.7
163	4.5	5.7
164	4.6	5.7
165	4.6	5.7
166	4.7	5.7
167	4.8	5.7
168	4.9	5.7
169	4.0	5.7
170	4.1	5.7
171	4.3	5.7
172	4.3	5.7
173	4.4	5.7
174	4.5	5.7
175	4.5	5.7
176	5.5	5.7
177	5.5	5.7
178	5.4	5.7
179	5.3	5.7
180	5.3	5.7
181	5.3	5.7
182	5.1	5.7
183	5.0	5.7
184	5.0	5.7
185	5.1	5.7
186	5.2	5.7
187	5.3	5.7
188	5.4	5.7
189	5.5	5.7
190	5.5	5.7
191	5.6	5.7
192	5.7	5.7
193	4.8	5.7
194	4.9	5.7
195	4.9	5.7
196	4.9	5.7
197	5.0	5.7
198	5.0	5.7
199	5.0	5.7
200	6.0	5.7
201	6.0	5.7
202	5.8	5.7
203	5.6	5.7
204	5.5	5.7
205	5.4	5.6
206	5.3	5.6
207	5.3	5.6
208	5.4	5.6
209	5.5	5.6
210	5.6	5.6
211	5.6	5.6
212	5.7	5.6
213	5.7	5.6
214	5.7	5.6
215	5.7	5.6
216	5.7	5.6
217	4.8	5.6
218	4.8	5.6
219	4.8	5.6
220	4.8	5.6
221	4.8	5.6
222	4.8	5.6
223	4.8	5.6
224	5.8	5.6
225	5.7	5.6
226	5.5	5.6
227	5.3	5.6
228	5.2	5.6
229	5.1	5.6
230	5.1	5.6
231	5.1	5.6
232	5.1	5.6
233	5.2	5.6
234	5.3	5.6
235	5.3	5.6
236	5.4	5.5
237	5.3	5.5
238	5.4	5.5
239	5.4	5.5
240	5.4	5.5
241	4.5	5.5
242	4.6	5.5
243	4.6	5.5
244	4.6	5.5
245	4.6	5.5
246	4.6	5.5
247	4.6	5.5
248	5.6	5.5
249	5.5	5.5
250	5.2	5.5
251	4.9	5.5
252	4.6	5.5
253	4.4	5.5
254	4.3	5.5
255	4.3	5.5
256	4.4	5.5
257	4.6	5.5
258	4.7	5.5
259	4.8	5.5
260	5.0	5.5
261	5.1	5.5
262	5.3	5.5
263	5.4	5.5
264	5.5	5.5
265	4.8	5.5
266	5.2	5.5
267	5.5	5.5
268	5.7	5.5
269	5.8	5.5
270	6.0	5.5
271	6.2	5.5
272	7.3	5.4
273	7.2	5.4
274	7.1	5.4
275	6.9	5.4
276	6.7	5.4
277	6.6	5.4
278	6.7	5.4
279	6.8	5.4
280	6.9	5.4
281	7.2	5.4
282	7.2	5.4
283	7.3	5.4
284	7.3	5.4
285	7.4	5.4
286	7.5	5.4
287	7.5	5.4
288	7.6	5.4
289	6.5	5.4
290	6.5	5.4
291	6.2	5.4
292	6.1	5.4
293	6.0	5.4
294	5.9	5.4
295	5.8	5.4
296	6.7	5.4
297	6.6	5.4
298	6.3	5.4
299	6.0	5.4
300	5.8	5.4
301	5.6	5.4
302	5.6	5.4
303	5.5	5.4
304	5.6	5.4
305	5.8	5.4
306	5.7	5.4
307	5.7	5.4
308	5.7	5.4
309	5.7	5.4
310	5.8	5.4
311	5.7	5.4
312	5.7	5.4
313	4.8	5.4
314	4.9	5.4
315	5.0	5.4
316	5.1	5.4
317	5.2	5.3
318	5.2	5.3
319	5.3	5.3
320	6.2	5.3
321	6.2	5.3
322	6.1	5.3
323	5.9	5.3
324	5.8	5.3
325	5.7	5.3
326	5.7	5.3
327	5.7	5.3
328	5.7	5.3
329	5.8	5.3
330	5.9	5.3
331	6.0	5.3
332	6.1	5.3
333	6.2	5.3
334	6.3	5.3
335	6.4	5.3
336	6.5	5.3
337	5.7	5.3
338	5.7	5.3
339	5.7	5.3
340	5.8	5.3
341	5.8	5.3
342	5.9	5.3
343	5.9	5.3
344	6.9	5.3
345	6.9	5.3
346	6.7	5.3
347	6.5	5.3
348	6.4	5.3
349	6.3	5.3
350	6.3	5.3
351	6.3	5.3
352	6.4	5.3
353	6.5	5.3
354	6.5	5.3
355	6.5	5.3
356	6.6	5.3
357	6.6	5.3
358	6.6	5.3
359	6.6	5.3
360	6.6	5.3
361	5.6	5.3
362	5.6	5.3
363	5.6	5.2
364	5.5	5.2
365	5.5	5.2
366	5.5	5.2
367	5.4	5.2
368	6.4	5.2
369	6.3	5.2
370	6.2	5.2
371	6.1	5.2
372	6.1	5.2
373	6.0	5.2
374	5.4	5.2
375	5.1	5.2
376	5.0	5.2
377	5.2	5.2
378	5.3	5.2
379	5.3	5.2
380	5.3	5.2
381	5.4	5.2
382	5.4	5.2
383	5.4	5.2
384	5.5	5.2
385	4.6	5.2
386	4.7	5.2
387	4.8	5.2
388	4.9	5.2
389	4.9	5.2
390	5.0	5.2
391	5.0	5.2
392	6.0	5.2
393	6.0	5.2
394	5.3	5.2
395	4.7	5.2
396	4.2	5.2
397	3.9	5.2
398	3.7	5.2
399	3.7	5.2
400	3.9	5.2
401	4.4	5.2
402	4.4	5.2
403	4.5	5.1
404	4.6	5.1
405	4.6	5.1
406	4.7	5.1
407	4.7	5.1
408	4.8	5.1
409	3.9	5.1
410	3.9	5.1
411	3.9	5.1
412	3.9	5.1
413	4.0	5.1
414	4.0	5.1
415	4.0	5.1
416	5.0	5.1
417	4.9	5.1
418	4.8	5.1
419	4.7	5.1
420	4.7	5.1
421	4.6	5.1
422	3.9	5.1
423	3.6	5.1
424	3.5	5.1
425	3.8	5.1
426	3.8	5.1
427	3.9	5.1
428	3.9	5.1
429	3.9	5.1
430	4.0	5.1
431	4.0	5.1
432	4.1	5.1
433	3.2	5.1
434	3.3	5.1
435	3.3	5.1
436	3.3	5.1
437	3.4	5.1
438	3.4	5.1
439	3.4	5.1
440	4.4	5.1
441	4.4	5.1
442	4.3	5.1
443	4.3	5.1
444	4.2	5.1
445	4.2	5.1
446	3.6	5.1
447	3.3	5.1
448	3.1	5.1
449	3.3	5.1
450	3.4	5.1
451	3.5	5.1
452	3.5	5.1
453	3.6	5.1
454	3.7	5.1
455	3.8	5.1
456	3.9	5.0
457	3.0	5.0
458	3.2	5.0
459	3.3	5.0
460	3.3	5.0
461	3.4	5.0
462	3.5	5.0
463	3.5	5.0
464	4.5	5.0
465	4.5	5.0
466	4.4	5.0
467	4.4	5.0
468	4.3	5.0
469	4.3	5.0
470	3.8	5.0
471	3.6	5.0
472	3.6	5.0
473	3.8	5.0
474	3.8	5.0
475	3.8	5.0
476	3.9	5.0
477	3.9	5.0
478	3.9	5.0
479	4.0	5.0
480	4.0	5.0
481	3.1	5.0
482	3.1	5.0
483	3.0	5.0
484	3.0	5.0
485	3.0	5.0
486	3.0	5.0
487	3.0	5.0
488	3.9	5.0
489	3.9	5.0
490	3.5	5.0
491	3.1	5.0
492	2.7	5.0
493	2.5	5.0
494	2.3	5.0
495	2.2	5.0
496	2.4	5.0
497	2.6	5.0
498	2.7	5.0
499	2.8	5.0
500	2.9	5.0
501	3.0	5.0
502	3.1	5.0
503	3.1	5.0
504	3.2	5.0
505	2.4	5.0
506	2.5	5.0
507	2.7	5.0
508	2.7	5.0
509	2.8	5.0
510	2.8	5.0
511	2.9	5.0
512	3.9	4.9
513	3.8	4.9
514	3.4	4.9
515	3.0	4.9
516	2.6	4.9
517	2.3	4.9
518	2.0	4.9
519	1.9	4.9
520	1.9	4.9
521	2.2	4.9
522	2.4	4.9
523	2.6	4.9
524	2.8	4.9
525	3.0	4.9
526	3.2	4.9
527	3.4	4.9
528	3.6	4.9
529	2.9	4.9
530	3.2	4.9
531	3.4	4.9
532	3.6	4.9
533	3.7	4.9
534	3.8	4.9
535	3.9	4.9
536	5.0	4.9
537	4.8	4.9
538	4.0	4.9
539	3.4	4.9
