# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	24.2	102.3
2	25.8	101.7
3	27.4	100.8
4	28.0	99.8
5	28.7	99.2
6	29.3	98.2
7	29.6	98.2
8	42.5	97.9
9	41.9	97.3
10	37.5	96.7
11	33.4	95.7
12	29.9	93.8
13	27.7	93.5
14	26.4	93.2
15	26.4	93.1
16	28.0	92.9
17	30.2	92.3
18	32.4	91.3
19	34.3	91.2
20	36.2	90.7
21	38.1	90.7
22	40.0	90.4
23	42.2	90.3
24	44.1	90.3
25	35.3	90.3
26	39.7	89.7
27	43.8	89.7
28	46.3	89.4
29	48.5	89.3
30	51.0	89.1
31	52.6	89.1
32	67.1	89.1
33	67.1	89.0
34	61.4	88.8
35	56.7	88.5
36	52.3	88.5
37	49.7	88.5
38	48.5	88.5
39	48.5	88.5
40	51.0	88.2
41	55.1	88.0
42	56.7	87.8
43	58.2	87.8
44	59.8	87.5
45	61.1	87.2
46	62.7	86.9
47	64.2	86.9
48	65.8	86.8
49	52.9	86.8
50	52.3	86.6
51	51.6	86.6
52	51.3	86.5
53	51.0	86.5
54	50.7	86.0
55	50.4	86.0
56	62.7	85.8
57	62.0	85.8
58	57.0	85.6
59	52.6	85.6
60	49.7	85.5
61	47.5	85.5
62	46.3	85.5
63	46.3	85.3
64	47.5	85.3
65	50.1	85.2
66	51.0	85.2
67	51.6	84.9
68	52.3	84.9
69	52.9	84.7
70	53.8	84.7
71	54.5	84.7
72	55.1	84.6
73	43.8	84.4
74	46.0	84.1
75	47.2	83.9
76	47.9	83.9
77	48.8	83.8
78	49.4	83.8
79	50.1	83.6
80	63.3	83.6
81	63.3	83.4
82	61.7	83.1
83	60.5	83.1
84	59.8	83.0
85	59.5	82.7
86	59.2	82.5
87	59.5	82.5
88	60.1	82.4
89	61.1	82.3
90	62.0	82.3
91	62.7	82.3
92	63.6	82.2
93	64.2	82.0
94	65.2	81.9
95	66.1	81.9
96	68.0	81.9
97	54.5	81.7
98	54.5	81.5
99	54.5	81.5
100	54.8	81.5
101	54.5	81.5
102	54.5	81.2
103	54.5	81.2
104	67.1	81.2
105	66.7	81.1
106	64.2	81.1
107	61.7	80.9
