# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	22.9	107.9
2	24.7	107.2
3	26.4	106.2
4	27.1	105.2
5	27.7	104.5
6	28.4	103.4
7	28.8	103.4
8	42.8	103.1
9	42.1	102.4
10	37.3	101.7
11	32.9	100.7
12	29.1	98.6
13	26.7	98.3
14	25.3	98.1
15	25.3	98.0
16	27.1	97.6
17	29.5	96.9
18	31.9	96.0
19	33.9	95.9
20	36.0	95.2
21	38.0	95.2
22	40.1	95.0
23	42.5	95.0
24	44.5	95.0
25	34.9	94.9
26	39.7	94.2
27	44.2	94.2
28	46.9	94.0
29	49.3	94.0
30	52.1	93.8
31	53.8	93.6
32	69.5	93.5
33	69.5	93.5
34	63.4	93.5
35	58.2	93.2
36	53.4	92.8
37	50.7	92.8
38	49.3	92.8
39	49.3	92.8
40	52.1	92.8
41	56.5	92.6
42	58.2	92.5
43	59.9	92.1
44	61.7	92.1
45	63.0	92.1
46	64.7	92.1
47	66.4	91.8
48	68.2	91.2
49	54.1	91.2
50	53.4	91.1
51	52.7	91.1
52	52.4	90.9
53	52.1	90.9
54	51.7	90.8
55	51.4	90.8
56	64.7	90.2
57	64.1	90.2
58	58.6	90.2
59	53.8	90.1
60	50.7	90.1
61	48.3	89.8
62	46.9	89.7
63	46.9	89.7
64	48.3	89.5
65	51.0	89.5
66	52.1	89.4
67	52.7	89.4
68	53.4	89.1
69	54.1	89.1
70	55.1	88.8
71	55.8	88.7
72	56.5	88.7
73	44.2	88.7
74	46.6	88.6
75	48.0	88.4
76	48.6	88.1
77	49.7	88.1
78	50.3	88.0
79	51.0	87.7
80	65.4	87.7
81	65.4	87.7
82	63.7	87.3
83	62.3	87.3
84	61.7	87.1
85	61.3	87.0
86	61.0	87.0
87	61.3	86.7
88	62.0	86.7
89	63.0	86.4
90	64.1	86.4
91	64.7	86.4
92	65.8	86.3
93	66.4	86.3
94	67.5	86.0
95	68.5	86.0
96	70.6	85.7
97	55.8	85.6
98	55.8	85.6
99	55.8	85.6
100	56.2	85.3
101	55.8	85.3
102	55.8	85.3
103	55.8	85.3
104	69.5	85.0
105	69.2	85.0
106	66.4	84.9
107	63.7	84.9
108	61.3	84.7
109	59.9	84.6
110	58.9	84.6
111	58.6	84.6
112	59.6	84.6
113	61.3	84.6
114	62.3	84.3
115	63.4	84.3
116	64.4	84.3
117	65.4	84.3
118	66.8	84.3
119	67.5	84.3
120	69.5	84.3
121	56.2	84.1
122	57.9	83.9
123	59.6	83.9
124	60.6	83.9
125	61.3	83.9
126	62.0	83.6
127	62.7	83.6
128	77.1	83.6
129	77.1	83.3
130	75.0	83.3
131	73.0	83.3
132	71.6	83.2
133	70.6	82.9
134	70.2	82.9
135	70.2	82.9
136	70.9	82.9
137	72.6	82.9
138	73.3	82.8
139	74.3	82.5
140	75.0	82.5
141	76.0	82.5
142	77.1	82.5
143	77.8	82.2
144	78.8	82.2
145	65.1	82.2
146	65.4	82.2
147	65.4	82.2
148	65.4	81.9
149	65.4	81.9
150	65.4	81.9
151	65.4	81.9
152	79.1	81.9
153	78.1	81.9
154	71.6	81.8
155	65.8	81.5
156	60.6	81.5
157	56.9	81.5
158	54.8	81.5
159	55.1	81.5
160	57.9	81.5
161	61.7	81.5
162	62.7	81.5
163	63.7	81.5
164	64.7	81.5
165	65.8	81.5
166	66.8	81.5
167	68.2	81.2
168	69.2	81.2
169	57.5	81.2
170	58.9	81.2
171	60.6	81.2
172	61.7	81.2
