# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	6.8	31.8
2	7.3	31.6
3	7.8	31.3
4	8.0	31.0
5	8.2	30.8
6	8.4	30.5
7	8.5	30.5
8	12.6	30.4
9	12.4	30.2
10	11.0	30.0
11	9.7	29.7
12	8.6	29.1
13	7.9	29.0
14	7.5	28.9
15	7.5	28.9
16	8.0	28.8
17	8.7	28.6
18	9.4	28.3
19	10.0	28.2
20	10.6	28.1
21	11.2	28.1
22	11.8	28.0
23	12.5	27.9
24	13.1	27.9
25	10.3	27.9
26	11.7	27.8
27	13.0	27.8
28	13.8	27.7
29	14.5	27.7
30	15.3	27.6
31	15.9	27.6
32	20.5	27.6
33	20.5	27.6
34	18.7	27.5
35	17.2	27.5
36	15.8	27.4
37	14.9	27.4
38	14.5	27.4
39	14.5	27.4
40	15.3	27.4
41	16.7	27.3
42	17.2	27.2
43	17.7	27.2
44	18.2	27.2
45	18.6	27.2
46	19.1	27.2
47	19.6	27.1
48	20.1	26.9
49	16.0	26.9
50	15.8	26.8
51	15.5	26.8
52	15.4	26.8
53	15.3	26.8
54	15.2	26.7
55	15.1	26.7
56	19.1	26.6
57	18.9	26.6
58	17.3	26.6
59	15.9	26.5
60	14.9	26.5
61	14.2	26.5
62	13.8	26.5
63	13.8	26.4
64	14.2	26.4
65	15.0	26.4
66	15.3	26.3
67	15.5	26.3
68	15.8	26.2
69	16.0	26.2
70	16.3	26.1
71	16.5	26.1
72	16.7	26.1
73	13.0	26.1
74	13.7	26.1
75	14.1	26.0
76	14.3	25.9
77	14.6	25.9
78	14.8	25.9
79	15.0	25.8
80	19.3	25.8
81	19.3	25.8
82	18.8	25.7
83	18.4	25.7
84	18.2	25.6
85	18.1	25.6
86	18.0	25.6
87	18.1	25.6
88	18.3	25.5
89	18.6	25.4
90	18.9	25.4
91	19.1	25.4
92	19.4	25.4
93	19.6	25.4
94	19.9	25.3
95	20.2	25.3
96	20.8	25.2
97	16.5	25.2
98	16.5	25.2
99	16.5	25.2
100	16.6	25.1
101	16.5	25.1
102	16.5	25.1
103	16.5	25.1
104	20.5	25.0
105	20.4	25.0
106	19.6	25.0
107	18.8	25.0
108	18.1	25.0
109	17.7	24.9
110	17.4	24.9
111	17.3	24.9
112	17.6	24.9
113	18.1	24.9
114	18.4	24.8
115	18.7	24.8
116	19.0	24.8
117	19.3	24.8
118	19.7	24.8
119	19.9	24.8
120	20.5	24.8
121	16.6	24.8
122	17.1	24.7
123	17.6	24.7
124	17.9	24.7
125	18.1	24.7
126	18.3	24.6
127	18.5	24.6
128	22.7	24.6
129	22.7	24.5
130	22.1	24.5
131	21.5	24.5
132	21.1	24.5
133	20.8	24.4
134	20.7	24.4
135	20.7	24.4
136	20.9	24.4
137	21.4	24.4
138	21.6	24.4
139	21.9	24.3
140	22.1	24.3
141	22.4	24.3
142	22.7	24.3
143	22.9	24.2
144	23.2	24.2
145	19.2	24.2
146	19.3	24.2
147	19.3	24.2
148	19.3	24.1
149	19.3	24.1
150	19.3	24.1
151	19.3	24.1
152	23.3	24.1
153	23.0	24.1
154	21.1	24.1
155	19.4	24.0
156	17.9	24.0
157	16.8	24.0
158	16.2	24.0
159	16.3	24.0
160	17.1	24.0
161	18.2	24.0
162	18.5	24.0
163	18.8	24.0
164	19.1	24.0
165	19.4	24.0
166	19.7	24.0
167	20.1	23.9
168	20.4	23.9
169	17.0	23.9
170	17.4	23.9
171	17.9	23.9
172	18.2	23.9
173	18.5	23.9
174	18.8	23.8
175	19.0	23.8
176	23.2	23.8
177	23.2	23.8
178	22.5	23.8
179	22.2	23.8
180	22.3	23.8
181	22.3	23.8
182	21.4	23.8
183	21.0	23.8
184	20.9	23.7
185	21.4	23.7
186	21.8	23.7
187	22.2	23.7
188	22.5	23.7
189	22.9	23.7
190	23.2	23.7
191	23.6	23.7
192	24.0	23.7
193	20.2	23.7
194	20.4	23.7
195	20.6	23.7
196	20.7	23.7
197	20.8	23.6
198	21.0	23.6
199	21.1	23.6
200	25.1	23.6
201	25.0	23.6
202	24.2	23.6
203	23.5	23.6
204	22.9	23.6
205	22.5	23.5
206	22.4	23.5
207	22.3	23.5
208	22.6	23.5
209	23.2	23.5
210	23.3	23.5
211	23.4	23.5
212	23.7	23.5
