# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.8	16.0
2	4.0	15.9
3	4.3	15.8
4	4.4	15.6
5	4.5	15.5
6	4.6	15.4
7	4.6	15.4
8	6.6	15.3
9	6.5	15.2
10	5.9	15.1
11	5.2	15.0
12	4.7	14.7
13	4.3	14.6
14	4.1	14.6
15	4.1	14.5
16	4.4	14.4
17	4.7	14.3
18	5.1	14.3
19	5.4	14.2
20	5.7	14.2
21	6.0	14.1
22	6.3	14.1
23	6.6	14.0
24	6.9	14.0
25	5.5	14.0
26	6.2	14.0
27	6.8	13.9
28	7.2	13.9
29	7.6	13.9
30	8.0	13.9
31	8.2	13.9
32	10.5	13.9
33	10.5	13.9
34	9.6	13.8
35	8.9	13.8
36	8.2	13.8
37	7.8	13.8
38	7.6	13.8
39	7.6	13.8
40	8.0	13.8
41	8.6	13.8
42	8.9	13.7
43	9.1	13.7
44	9.4	13.7
45	9.5	13.7
46	9.8	13.7
47	10.0	13.6
48	10.3	13.6
49	8.3	13.5
50	8.2	13.5
51	8.1	13.5
52	8.0	13.5
53	8.0	13.4
54	7.9	13.4
55	7.9	13.4
56	9.8	13.4
57	9.7	13.3
58	8.9	13.3
59	8.2	13.3
60	7.8	13.3
61	7.4	13.3
62	7.2	13.3
63	7.2	13.3
64	7.4	13.2
65	7.8	13.2
66	8.0	13.2
67	8.1	13.2
68	8.2	13.2
69	8.3	13.2
70	8.4	13.1
71	8.5	13.1
72	8.6	13.1
73	6.8	13.1
74	7.2	13.1
75	7.4	13.1
76	7.5	13.0
77	7.6	13.0
78	7.7	13.0
79	7.8	13.0
80	9.9	13.0
81	9.9	13.0
82	9.6	13.0
83	9.5	12.9
84	9.4	12.9
85	9.3	12.9
86	9.3	12.9
87	9.3	12.8
88	9.4	12.8
89	9.5	12.8
90	9.7	12.8
91	9.8	12.8
92	9.9	12.8
93	10.0	12.7
94	10.2	12.7
95	10.3	12.7
96	10.6	12.7
97	8.5	12.7
98	8.5	12.7
99	8.5	12.7
100	8.6	12.7
101	8.5	12.7
102	8.5	12.7
103	8.5	12.6
104	10.5	12.6
105	10.4	12.6
106	10.0	12.6
107	9.6	12.6
108	9.3	12.6
109	9.1	12.6
110	9.0	12.5
111	8.9	12.5
112	9.1	12.5
113	9.3	12.5
114	9.5	12.4
115	9.6	12.4
116	9.7	12.4
117	9.9	12.4
118	10.1	12.4
119	10.2	12.4
120	10.5	12.4
121	8.6	12.4
122	8.8	12.4
123	9.1	12.4
124	9.2	12.4
125	9.3	12.4
126	9.4	12.4
127	9.5	12.3
128	11.6	12.3
129	11.6	12.3
130	11.3	12.3
131	11.0	12.3
132	10.8	12.3
133	10.6	12.3
134	10.6	12.3
135	10.6	12.3
136	10.7	12.3
137	10.9	12.3
138	11.0	12.3
139	11.2	12.3
140	11.3	12.3
141	11.4	12.3
142	11.6	12.3
143	11.7	12.3
144	11.8	12.2
145	9.8	12.2
146	9.9	12.2
147	9.9	12.2
148	9.9	12.2
149	9.9	12.2
150	9.9	12.2
151	9.9	12.2
152	11.9	12.2
153	11.7	12.2
154	10.8	12.2
155	9.9	12.2
156	9.2	12.2
157	8.7	12.2
158	8.4	12.2
159	8.4	12.2
160	8.8	12.2
161	9.4	12.2
162	9.5	12.2
163	9.6	12.2
164	9.8	12.2
165	9.9	12.2
166	10.1	12.1
167	10.3	12.1
168	10.4	12.1
169	8.8	12.1
170	9.0	12.1
171	9.2	12.1
172	9.4	12.1
173	9.5	12.1
174	9.6	12.1
175	9.7	12.1
176	11.8	12.1
177	11.8	12.1
178	11.5	12.1
179	11.3	12.1
180	11.4	12.1
181	11.4	12.1
182	10.9	12.0
183	10.7	12.0
184	10.7	12.0
185	10.9	12.0
186	11.1	12.0
187	11.3	12.0
188	11.5	12.0
189	11.7	12.0
190	11.8	12.0
191	12.0	12.0
192	12.2	12.0
193	10.3	12.0
194	10.4	12.0
195	10.5	12.0
196	10.6	12.0
197	10.6	12.0
198	10.7	11.9
199	10.8	11.9
200	12.7	11.9
201	12.7	11.9
202	12.3	11.9
203	12.0	11.9
204	11.7	11.9
205	11.5	11.9
206	11.4	11.9
207	11.4	11.9
208	11.5	11.9
209	11.8	11.9
210	11.9	11.9
211	11.9	11.9
212	12.1	11.9
213	12.1	11.9
214	12.1	11.9
215	12.1	11.9
216	12.2	11.8
217	10.2	11.8
218	10.2	11.8
219	10.3	11.8
220	10.3	11.8
221	10.3	11.8
222	10.3	11.8
223	10.3	11.8
224	12.3	11.8
225	12.2	11.8
226	11.8	11.8
227	11.4	11.8
228	11.1	11.8
229	11.0	11.8
230	10.8	11.8
231	10.8	11.8
232	10.9	11.8
233	11.2	11.8
234	11.3	11.8
235	11.4	11.8
236	11.6	11.7
237	11.4	11.7
238	11.5	11.7
239	11.6	11.7
240	11.6	11.7
241	9.7	11.7
242	9.8	11.7
243	9.8	11.7
244	9.9	11.7
245	9.9	11.7
246	9.9	11.7
247	9.9	11.7
248	11.9	11.7
249	11.8	11.7
250	11.1	11.7
251	10.5	11.7
252	9.9	11.7
253	9.5	11.6
254	9.3	11.6
255	9.2	11.6
256	9.4	11.6
257	9.8	11.6
258	10.1	11.6
259	10.4	11.6
260	10.6	11.6
261	10.9	11.6
262	11.2	11.6
263	11.5	11.6
264	11.8	11.6
265	10.3	11.6
266	11.0	11.6
267	11.7	11.6
268	12.1	11.6
269	12.4	11.5
270	12.8	11.5
271	13.1	11.5
272	15.4	11.5
273	15.3	11.5
274	15.0	11.5
275	14.6	11.5
276	14.2	11.5
277	14.0	11.5
278	14.3	11.5
279	14.4	11.5
280	14.7	11.5
281	15.1	11.5
282	15.2	11.5
283	15.4	11.5
284	15.5	11.5
285	15.6	11.5
286	15.8	11.4
287	15.9	11.4
288	16.0	11.4
289	13.8	11.4
290	13.7	11.4
291	13.1	11.4
292	12.9	11.4
293	12.7	11.4
294	12.5	11.4
295	12.4	11.4
296	14.2	11.4
297	14.0	11.4
298	13.4	11.4
299	12.8	11.4
300	12.4	11.4
301	12.0	11.4
302	11.9	11.4
303	11.8	11.4
304	12.0	11.4
305	12.3	11.4
306	12.2	11.3
307	12.2	11.3
308	12.2	11.3
309	12.2	11.3
310	12.3	11.3
311	12.2	11.3
312	12.2	11.3
313	10.4	11.3
314	10.6	11.3
315	10.8	11.3
316	10.9	11.3
317	11.0	11.3
318	11.1	11.3
319	11.2	11.3
320	13.2	11.3
321	13.2	11.3
322	13.0	11.3
323	12.6	11.3
324	12.4	11.3
325	12.2	11.3
326	12.1	11.3
327	12.1	11.3
328	12.2	11.2
329	12.4	11.2
330	12.7	11.2
331	12.8	11.2
332	13.0	11.2
333	13.2	11.2
334	13.3	11.2
335	13.5	11.2
336	13.7	11.2
337	12.1	11.2
338	12.1	11.2
339	12.2	11.2
340	12.3	11.2
341	12.4	11.2
342	12.5	11.2
343	12.6	11.2
344	14.6	11.2
345	14.5	11.2
346	14.1	11.2
347	13.8	11.2
348	13.6	11.1
349	13.4	11.1
350	13.3	11.1
351	13.4	11.1
352	13.6	11.1
353	13.8	11.1
354	13.8	11.1
355	13.8	11.1
356	13.9	11.1
357	13.9	11.1
358	13.9	11.1
359	13.9	11.1
360	14.0	11.1
361	12.0	11.1
362	11.9	11.1
363	11.9	11.1
364	11.8	11.1
365	11.7	11.0
366	11.7	11.0
367	11.6	11.0
368	13.5	11.0
369	13.4	11.0
370	13.2	11.0
371	13.0	11.0
372	12.9	11.0
373	12.7	11.0
374	11.6	11.0
375	10.9	11.0
376	10.7	11.0
377	11.1	11.0
378	11.2	11.0
379	11.3	11.0
380	11.4	11.0
381	11.5	11.0
382	11.5	11.0
383	11.6	11.0
384	11.7	10.9
385	9.9	10.9
386	10.1	10.9
387	10.4	10.9
388	10.5	10.9
389	10.6	10.9
390	10.7	10.9
391	10.8	10.9
392	12.8	10.9
393	12.7	10.9
394	11.4	10.9
395	10.2	10.9
396	9.1	10.9
397	8.4	10.9
398	8.1	10.9
399	8.1	10.9
400	8.6	10.9
401	9.5	10.9
402	9.5	10.9
403	9.7	10.9
404	9.8	10.9
405	9.9	10.9
406	10.0	10.9
407	10.2	10.8
408	10.3	10.8
409	8.4	10.8
410	8.5	10.8
411	8.6	10.8
412	8.6	10.8
413	8.6	10.8
414	8.6	10.8
415	8.6	10.8
416	10.6	10.8
417	10.5	10.8
418	10.4	10.8
419	10.2	10.8
420	10.0	10.8
421	9.8	10.8
422	8.6	10.8
423	7.9	10.8
424	7.7	10.8
425	8.2	10.8
426	8.3	10.8
427	8.4	10.8
428	8.5	10.8
429	8.5	10.8
430	8.6	10.8
431	8.7	10.8
432	8.8	10.7
433	7.0	10.7
434	7.1	10.7
435	7.3	10.7
436	7.3	10.7
437	7.4	10.7
438	7.5	10.7
439	7.5	10.7
440	9.5	10.7
441	9.5	10.7
442	9.3	10.7
443	9.2	10.7
444	9.1	10.7
445	9.0	10.7
446	7.9	10.7
447	7.1	10.7
448	6.8	10.7
449	7.2	10.7
450	7.4	10.7
451	7.6	10.7
452	7.7	10.7
453	7.9	10.7
454	8.1	10.7
455	8.3	10.7
456	8.5	10.6
457	6.7	10.6
458	6.9	10.6
459	7.2	10.6
460	7.3	10.6
461	7.5	10.6
462	7.6	10.6
463	7.7	10.6
464	9.7	10.6
465	9.7	10.6
466	9.5	10.6
467	9.5	10.6
468	9.4	10.6
469	9.3	10.6
470	8.3	10.6
471	7.9	10.6
472	7.8	10.6
473	8.2	10.6
474	8.3	10.6
475	8.3	10.6
476	8.4	10.6
477	8.5	10.6
478	8.6	10.6
479	8.7	10.6
480	8.7	10.6
481	6.7	10.6
482	6.7	10.6
483	6.7	10.6
484	6.7	10.6
485	6.6	10.6
486	6.6	10.6
487	6.6	10.6
488	8.6	10.6
489	8.5	10.6
490	7.6	10.6
491	6.8	10.6
492	6.1	10.6
493	5.5	10.6
494	5.1	10.5
495	5.1	10.5
496	5.3	10.5
497	5.9	10.5
498	6.0	10.5
499	6.2	10.5
500	6.4	10.5
501	6.5	10.5
502	6.7	10.5
503	6.9	10.5
504	7.1	10.5
505	5.4	10.5
506	5.7	10.5
507	6.0	10.5
508	6.1	10.5
509	6.2	10.5
510	6.3	10.5
511	6.4	10.5
512	8.4	10.5
513	8.3	10.5
514	7.4	10.5
515	6.6	10.5
516	5.8	10.5
517	5.3	10.5
518	4.6	10.5
519	4.3	10.5
520	4.3	10.5
521	5.0	10.5
522	5.4	10.4
523	5.8	10.4
524	6.3	10.4
525	6.7	10.4
526	7.1	10.4
527	7.5	10.4
528	7.9	10.4
529	6.4	10.4
530	7.0	10.4
531	7.5	10.4
532	7.8	10.4
533	8.0	10.4
534	8.3	10.4
535	8.5	10.4
536	10.6	10.4
537	10.3	10.4
538	8.8	10.4
539	7.4	10.4
540	6.4	10.4
541	5.6	10.4
542	5.1	10.4
543	5.1	10.4
544	5.5	10.4
545	6.4	10.4
546	7.0	10.4
547	7.6	10.4
548	8.2	10.4
549	8.8	10.4
550	9.4	10.4
551	10.0	10.3
552	10.6	10.3
553	9.2	10.3
554	9.7	10.3
555	10.3	10.3
556	10.7	10.3
557	11.0	10.3
558	11.4	10.3
559	11.6	10.3
560	13.8	10.3
561	13.7	10.3
562	12.7	10.3
563	11.8	10.3
564	11.1	10.3
565	10.8	10.3
566	10.3	10.3
567	10.1	10.3
568	10.2	10.3
569	11.0	10.3
570	11.1	10.3
571	11.3	10.3
572	11.4	10.3
573	11.5	10.3
574	11.7	10.3
575	11.8	10.3
576	12.0	10.3
577	9.8	10.2
578	9.6	10.2
579	9.4	10.2
580	9.3	10.2
581	9.2	10.2
582	9.0	10.2
583	8.9	10.2
584	10.8	10.2
585	10.7	10.2
586	10.3	10.2
587	10.4	10.2
588	9.8	10.2
589	9.5	10.2
590	9.4	10.2
591	9.4	10.2
592	9.3	10.2
593	9.6	10.2
594	9.7	10.2
595	9.6	10.2
596	9.6	10.2
597	9.6	10.2
598	9.6	10.2
599	9.5	10.2
600	9.5	10.2
601	7.7	10.1
602	7.8	10.1
603	7.9	10.1
604	7.9	10.1
605	8.0	10.1
606	8.0	10.1
607	8.1	10.1
608	10.0	10.1
609	9.6	10.1
610	8.5	10.1
611	7.9	10.1
612	7.3	10.1
613	6.3	10.1
614	5.5	10.1
615	5.1	10.1
616	5.0	10.1
617	5.6	10.1
618	6.4	10.1
619	6.5	10.1
620	6.6	10.1
621	6.7	10.1
622	6.9	10.1
623	7.0	10.1
624	7.2	10.1
625	5.4	10.1
626	5.6	10.1
627	5.8	10.1
628	5.9	10.1
629	6.0	10.0
630	6.1	10.0
631	6.1	10.0
632	8.2	10.0
633	8.1	10.0
634	8.0	10.0
635	7.8	10.0
636	7.8	10.0
637	7.7	10.0
638	7.9	10.0
639	7.6	10.0
640	7.8	10.0
641	7.8	10.0
642	7.9	10.0
643	8.1	10.0
644	8.3	10.0
645	8.4	10.0
646	8.6	10.0
647	8.7	10.0
648	8.9	10.0
649	7.1	10.0
650	7.3	10.0
651	7.6	10.0
652	7.6	10.0
653	7.7	10.0
654	7.9	10.0
655	7.9	10.0
656	10.0	10.0
657	9.8	10.0
658	9.3	10.0
659	9.1	10.0
660	8.8	10.0
661	8.5	10.0
662	8.4	10.0
663	8.4	10.0
664	8.6	10.0
665	8.8	9.9
666	9.1	9.9
667	9.2	9.9
668	9.3	9.9
669	9.4	9.9
670	9.5	9.9
671	9.6	9.9
672	9.8	9.9
673	7.9	9.9
674	7.9	9.9
675	7.9	9.9
676	7.9	9.9
677	7.9	9.9
678	7.9	9.9
679	7.9	9.9
680	9.9	9.9
681	9.7	9.9
682	8.8	9.9
683	8.1	9.9
684	7.1	9.9
685	6.2	9.9
686	5.9	9.9
687	5.9	9.9
688	6.3	9.9
689	6.6	9.9
690	7.2	9.9
691	7.3	9.9
692	7.4	9.9
693	7.5	9.9
694	7.6	9.9
695	7.7	9.9
696	7.8	9.9
697	6.0	9.9
698	6.2	9.9
699	6.3	9.9
700	6.4	9.9
701	6.5	9.9
702	6.5	9.9
703	6.6	9.9
704	8.7	9.9
705	8.5	9.9
706	8.2	9.9
707	7.9	9.9
708	7.8	9.9
709	7.7	9.9
710	6.5	9.9
711	5.9	9.9
712	5.7	9.9
713	6.0	9.9
714	6.4	9.9
715	6.5	9.8
716	6.7	9.8
717	6.8	9.8
718	6.9	9.8
719	7.0	9.8
720	7.1	9.8
721	5.3	9.8
722	5.4	9.8
723	5.5	9.8
724	5.5	9.8
725	5.5	9.8
726	5.5	9.8
727	5.6	9.8
728	7.5	9.8
729	7.4	9.8
730	6.7	9.8
731	6.2	9.8
732	5.6	9.8
733	4.9	9.8
734	4.4	9.8
735	4.2	9.8
736	4.8	9.8
737	5.2	9.8
738	5.6	9.8
739	5.7	9.8
740	5.8	9.8
741	5.8	9.8
742	5.9	9.8
743	6.0	9.8
744	6.0	9.8
745	4.0	9.8
746	4.1	9.8
747	4.3	9.8
748	4.4	9.8
749	4.5	9.8
750	4.6	9.7
751	4.6	9.7
752	6.6	9.7
753	6.5	9.7
754	6.0	9.7
755	5.9	9.7
756	5.5	9.7
757	5.1	9.7
758	5.0	9.7
759	5.0	9.7
760	5.0	9.7
761	5.1	9.7
762	5.3	9.7
763	5.5	9.7
764	5.7	9.7
765	5.9	9.7
766	6.1	9.7
767	6.3	9.7
768	6.5	9.7
769	4.7	9.7
770	4.9	9.7
771	5.0	9.7
772	5.1	9.7
773	5.2	9.7
774	5.2	9.7
775	5.2	9.7
776	7.1	9.7
777	6.7	9.7
778	6.1	9.7
779	5.9	9.7
780	5.5	9.6
781	5.0	9.6
782	5.3	9.6
783	5.5	9.6
784	5.8	9.6
785	5.9	9.6
786	6.1	9.6
787	6.3	9.6
788	6.4	9.6
789	6.6	9.6
790	6.8	9.6
791	6.9	9.6
792	7.1	9.6
793	5.6	9.6
794	6.0	9.6
795	6.1	9.6
796	6.3	9.6
797	6.4	9.6
798	6.5	9.6
799	6.6	9.6
800	8.5	9.6
801	8.4	9.6
802	8.2	9.6
803	7.9	9.6
804	7.7	9.6
805	7.6	9.6
806	7.6	9.6
807	7.6	9.6
808	7.6	9.6
809	7.7	9.6
810	7.9	9.6
811	8.1	9.6
812	8.4	9.6
813	8.6	9.6
814	8.9	9.6
815	9.2	9.6
816	9.4	9.6
817	7.9	9.5
818	8.4	9.5
819	8.9	9.5
820	9.1	9.5
821	9.4	9.5
822	9.6	9.5
823	9.7	9.5
824	11.6	9.5
825	11.3	9.5
826	10.9	9.5
827	10.6	9.5
828	10.2	9.5
829	10.1	9.5
830	10.2	9.5
831	10.5	9.5
832	10.8	9.5
833	11.1	9.5
834	11.3	9.5
835	11.2	9.5
836	11.2	9.5
837	11.2	9.5
838	11.1	9.5
839	11.0	9.5
840	11.0	9.5
841	9.0	9.5
842	8.7	9.5
843	8.6	9.5
844	8.4	9.5
845	8.4	9.5
846	8.2	9.5
847	8.1	9.5
848	9.9	9.5
849	9.8	9.5
850	9.6	9.5
851	9.4	9.5
852	9.3	9.5
853	9.2	9.5
854	8.1	9.5
855	7.5	9.4
856	7.3	9.4
857	7.3	9.4
858	7.6	9.4
859	7.7	9.4
860	7.8	9.4
861	7.9	9.4
862	8.0	9.4
863	8.1	9.4
864	8.3	9.4
865	6.7	9.4
866	7.1	9.4
867	7.4	9.4
868	7.6	9.4
869	7.8	9.4
870	7.9	9.4
871	8.1	9.4
872	10.0	9.4
873	10.0	9.4
874	9.9	9.4
875	9.9	9.4
876	9.9	9.4
877	10.0	9.4
878	9.4	9.4
879	9.2	9.4
880	9.1	9.4
881	9.2	9.4
882	9.4	9.4
883	9.4	9.4
884	9.5	9.4
885	9.6	9.4
886	9.7	9.4
887	9.7	9.4
888	9.8	9.4
889	7.9	9.4
890	7.8	9.4
891	7.7	9.4
892	7.6	9.4
893	7.6	9.3
894	7.5	9.3
895	7.5	9.3
896	9.3	9.3
897	9.3	9.3
898	8.9	9.3
899	8.6	9.3
900	8.3	9.3
901	8.1	9.3
902	7.9	9.3
903	7.9	9.3
904	7.9	9.3
905	8.0	9.3
906	8.2	9.3
907	8.3	9.3
908	8.4	9.3
909	8.5	9.3
910	8.6	9.3
911	8.9	9.3
912	8.8	9.3
913	7.4	9.3
914	7.9	9.3
915	8.4	9.3
916	8.6	9.3
917	8.9	9.3
918	9.1	9.3
919	9.3	9.3
920	11.2	9.3
921	11.0	9.3
922	10.7	9.3
923	10.5	9.3
924	10.2	9.3
925	10.0	9.3
926	9.9	9.3
927	9.9	9.3
928	10.0	9.3
929	10.2	9.3
930	10.5	9.3
931	10.7	9.3
932	11.0	9.3
933	11.3	9.3
934	11.6	9.3
935	11.9	9.2
936	12.1	9.2
937	10.4	9.2
938	10.5	9.2
939	10.6	9.2
940	10.6	9.2
941	10.7	9.2
942	10.7	9.2
943	10.8	9.2
944	12.6	9.2
945	12.2	9.2
946	11.5	9.2
947	10.9	9.2
948	10.3	9.2
949	9.9	9.2
950	9.6	9.2
951	9.5	9.2
952	9.6	9.2
953	9.9	9.2
954	10.4	9.2
955	10.5	9.2
956	10.6	9.2
957	10.6	9.2
958	10.7	9.2
959	10.7	9.2
960	10.8	9.2
961	9.0	9.2
962	9.1	9.2
963	9.1	9.2
964	9.1	9.2
965	9.1	9.2
966	9.1	9.2
967	9.1	9.2
968	10.9	9.1
969	10.8	9.1
970	10.4	9.1
971	10.0	9.1
972	9.5	9.1
973	9.3	9.1
974	9.2	9.1
975	9.1	9.1
976	9.3	9.1
977	9.5	9.1
978	9.7	9.1
979	9.9	9.1
980	10.2	9.1
981	10.1	9.1
982	10.2	9.1
983	10.4	9.1
984	10.5	9.1
985	8.8	9.1
986	9.0	9.1
987	9.2	9.1
988	9.2	9.1
989	9.3	9.1
990	9.3	9.1
991	9.4	9.1
992	11.2	9.1
993	10.8	9.1
994	10.1	9.1
995	9.4	9.1
996	8.8	9.1
997	8.3	9.1
998	7.9	9.1
999	7.8	9.1
1000	7.9	9.1
1001	8.3	9.1
1002	8.7	9.1
1003	9.0	9.1
1004	9.3	9.1
1005	9.6	9.1
1006	9.9	9.1
1007	10.1	9.1
1008	10.4	9.1
1009	8.8	9.1
1010	9.1	9.1
1011	9.4	9.1
1012	9.6	9.1
1013	9.8	9.1
1014	9.9	9.0
1015	10.0	9.0
1016	11.9	9.0
1017	11.5	9.0
1018	10.8	9.0
1019	10.1	9.0
1020	9.6	9.0
1021	9.2	9.0
1022	9.0	9.0
1023	9.0	9.0
1024	9.0	9.0
1025	9.4	9.0
1026	9.9	9.0
1027	9.9	9.0
1028	9.9	9.0
1029	10.0	9.0
1030	10.0	9.0
1031	10.1	9.0
1032	10.1	9.0
1033	8.2	9.0
1034	8.0	9.0
1035	7.9	9.0
1036	7.8	9.0
1037	7.7	9.0
1038	7.6	9.0
1039	7.6	8.9
1040	9.4	8.9
1041	9.0	8.9
1042	8.4	8.9
1043	7.9	8.9
1044	7.5	8.9
1045	7.2	8.9
1046	6.9	8.9
1047	6.8	8.9
1048	6.8	8.9
1049	7.1	8.9
1050	7.3	8.9
1051	7.5	8.9
1052	7.9	8.9
1053	7.9	8.9
1054	8.2	8.9
1055	8.4	8.9
1056	8.6	8.9
1057	7.4	8.9
1058	8.2	8.9
1059	9.0	8.9
1060	9.4	8.9
1061	9.8	8.9
1062	10.1	8.9
1063	10.4	8.9
1064	12.4	8.9
1065	12.3	8.9
1066	12.2	8.9
1067	12.1	8.9
1068	11.9	8.9
1069	11.9	8.9
1070	11.9	8.9
1071	11.9	8.9
1072	12.0	8.9
1073	12.2	8.9
1074	12.5	8.9
1075	12.7	8.8
1076	13.0	8.8
1077	13.3	8.8
1078	13.5	8.8
1079	13.8	8.8
1080	14.1	8.8
1081	12.2	8.8
1082	12.1	8.8
1083	12.1	8.8
1084	12.0	8.8
1085	12.0	8.8
1086	12.0	8.8
1087	12.0	8.8
1088	13.8	8.8
1089	13.1	8.8
1090	12.2	8.8
1091	11.3	8.8
1092	10.5	8.8
1093	9.9	8.8
1094	9.5	8.8
1095	9.3	8.8
1096	9.3	8.8
1097	9.7	8.8
1098	10.4	8.8
1099	10.4	8.8
1100	10.5	8.8
1101	10.6	8.8
1102	10.6	8.8
1103	10.6	8.8
1104	10.7	8.8
1105	8.9	8.8
1106	9.0	8.8
1107	9.1	8.8
1108	9.1	8.8
1109	9.1	8.8
1110	9.1	8.8
1111	9.1	8.7
1112	10.9	8.7
1113	10.0	8.7
1114	9.9	8.7
1115	9.3	8.7
1116	8.5	8.7
1117	7.6	8.7
1118	7.3	8.7
1119	7.2	8.7
1120	7.4	8.7
1121	7.9	8.7
1122	8.4	8.7
1123	8.6	8.7
1124	8.7	8.7
1125	8.9	8.7
1126	9.1	8.7
1127	9.3	8.7
1128	9.4	8.7
1129	7.8	8.7
1130	8.0	8.7
1131	8.3	8.7
1132	8.4	8.7
1133	8.6	8.7
1134	8.6	8.7
1135	8.7	8.7
1136	10.6	8.7
1137	9.6	8.7
1138	8.4	8.7
1139	7.3	8.7
