# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	21.6	101.5
2	23.2	100.9
3	24.8	99.9
4	25.5	98.9
5	26.1	98.3
6	26.7	97.3
7	27.1	97.3
8	40.3	97.0
9	39.6	96.3
10	35.1	95.7
11	30.9	94.7
12	27.4	92.8
13	25.1	92.5
14	23.8	92.4
15	23.8	92.2
16	25.5	91.8
17	27.7	91.2
18	30.0	90.4
19	31.9	90.2
20	33.8	89.6
21	35.8	89.6
22	37.7	89.5
23	40.0	89.5
24	41.9	89.5
25	32.9	89.3
26	37.4	88.6
27	41.6	88.6
28	44.1	88.5
29	46.4	88.3
30	49.0	88.2
31	50.6	88.2
32	65.4	88.0
33	65.4	88.0
34	59.6	88.0
35	54.8	87.6
36	50.3	87.3
37	47.7	87.3
38	46.4	87.3
39	46.4	87.3
40	49.0	87.3
41	53.2	87.2
42	54.8	87.0
43	56.4	86.7
44	58.0	86.7
45	59.3	86.4
46	60.9	86.4
47	62.5	86.4
48	64.1	85.9
49	50.9	85.9
50	50.3	85.7
51	49.6	85.7
52	49.3	85.6
53	49.0	85.6
54	48.7	85.4
55	48.3	85.4
56	60.9	84.9
57	60.3	84.9
58	55.1	84.7
59	50.6	84.7
60	47.7	84.6
61	45.4	84.6
62	44.1	84.4
63	44.1	84.4
64	45.4	84.3
65	48.0	84.3
66	49.0	84.1
67	49.6	84.1
68	50.3	83.9
69	50.9	83.9
70	51.9	83.6
71	52.5	83.5
72	53.2	83.5
73	41.6	83.5
74	43.8	83.1
75	45.1	83.1
76	45.8	83.0
77	46.7	83.0
78	47.4	82.8
79	48.0	82.6
80	61.5	82.6
81	61.5	82.5
82	59.9	82.2
83	58.6	82.0
84	58.0	81.9
85	57.7	81.8
86	57.4	81.8
87	57.7	81.7
88	58.3	81.3
89	59.3	81.3
90	60.3	81.3
91	60.9	81.3
92	61.9	81.2
93	62.5	81.2
94	63.5	81.0
95	64.4	80.9
96	66.4	80.7
97	52.5	80.6
98	52.5	80.6
99	52.5	80.6
100	52.8	80.2
101	52.5	80.2
102	52.5	80.2
103	52.5	80.2
104	65.4	80.0
105	65.1	80.0
106	62.5	79.9
107	59.9	79.9
108	57.7	79.7
109	56.4	79.7
110	55.4	79.7
111	55.1	79.7
112	56.1	79.6
113	57.7	79.5
114	58.6	79.4
115	59.6	79.4
116	60.6	79.4
117	61.5	79.4
118	62.8	79.4
119	63.5	79.4
120	65.4	79.3
121	52.8	79.1
122	54.5	79.1
123	56.1	79.1
124	57.0	78.9
125	57.7	78.9
126	58.3	78.7
127	59.0	78.7
128	72.5	78.6
129	72.5	78.4
130	70.6	78.4
131	68.6	78.4
132	67.3	78.3
133	66.4	78.1
134	66.1	78.1
135	66.1	78.0
136	66.7	78.0
137	68.3	78.0
138	69.0	77.7
139	69.9	77.7
140	70.6	77.7
141	71.5	77.7
142	72.5	77.4
143	73.1	77.4
144	74.1	77.4
145	61.2	77.4
146	61.5	77.3
147	61.5	77.3
148	61.5	77.1
149	61.5	77.1
150	61.5	77.1
151	61.5	77.0
152	74.4	77.0
153	73.5	77.0
154	67.3	76.8
155	61.9	76.8
156	57.0	76.8
157	53.5	76.7
158	51.6	76.7
159	51.9	76.7
160	54.5	76.7
161	58.0	76.7
162	59.0	76.7
163	59.9	76.7
164	60.9	76.7
165	61.9	76.7
166	62.8	76.7
167	64.1	76.5
168	65.1	76.5
169	54.1	76.5
170	55.4	76.4
171	57.0	76.4
172	58.0	76.2
173	59.0	76.2
174	59.9	76.1
175	60.6	76.1
176	74.1	76.0
177	74.1	76.0
178	71.9	76.0
179	70.9	75.9
180	71.2	75.9
181	71.2	75.9
182	68.3	75.8
183	67.0	75.8
184	66.7	75.8
185	68.3	75.8
186	69.6	75.8
187	70.9	75.7
188	71.9	75.7
189	73.1	75.7
190	74.1	75.7
191	75.4	75.7
192	76.7	75.7
193	64.4	75.6
194	65.1	75.6
195	65.7	75.5
196	66.1	75.5
197	66.4	75.5
198	67.0	75.4
199	67.3	75.4
200	80.2	75.3
201	79.9	75.3
202	77.3	75.2
203	75.1	75.2
204	73.1	75.2
205	71.9	75.2
206	71.5	75.1
207	71.2	75.1
208	72.2	75.1
209	74.1	75.1
210	74.4	75.0
211	74.8	75.0
212	75.7	75.0
213	75.7	74.8
214	75.7	74.8
215	76.0	74.8
216	76.7	74.8
217	63.8	74.8
218	63.8	74.8
219	64.1	74.8
220	64.1	74.7
221	64.1	74.7
222	64.1	74.5
223	64.1	74.5
224	77.0	74.4
225	76.7	74.4
226	74.1	74.4
227	71.5	74.4
228	69.6	74.4
229	68.6	74.4
230	67.7	74.4
231	67.7	74.2
232	68.3	74.2
233	69.9	74.1
234	70.6	74.1
235	71.2	74.1
236	72.5	74.1
237	71.5	74.1
238	72.2	74.1
239	72.5	74.1
240	72.8	74.1
241	60.6	74.1
242	60.9	74.1
243	61.2	73.9
244	61.5	73.9
245	61.5	73.9
246	61.5	73.9
247	61.5	73.8
248	74.8	73.8
249	74.1	73.8
250	69.6	73.8
251	65.4	73.8
252	61.5	73.5
253	59.0	73.5
254	57.4	73.5
255	57.0	73.5
256	58.3	73.2
257	60.9	73.2
258	62.8	73.1
259	64.8	73.1
260	66.4	73.1
261	68.3	73.1
262	70.2	73.1
263	72.2	73.1
264	73.8	73.1
265	64.4	72.9
266	69.0	72.9
267	73.1	72.9
268	75.7	72.9
269	78.0	72.9
270	80.6	72.8
271	82.5	72.8
272	97.3	72.8
273	97.0	72.8
274	94.7	72.5
275	92.5	72.5
276	89.6	72.5
277	88.6	72.5
278	90.2	72.5
279	91.2	72.5
280	92.8	72.5
281	95.7	72.5
282	96.3	72.5
283	97.3	72.5
284	98.3	72.5
285	98.9	72.2
286	99.9	72.2
287	100.9	72.2
288	101.5	72.2
289	87.3	72.2
290	86.4	72.2
291	82.8	72.2
292	81.2	72.2
293	79.9	72.2
294	78.6	72.2
295	77.7	72.2
296	89.6	72.2
297	88.6	72.2
298	84.4	71.9
299	80.6	71.9
300	77.7	71.9
301	75.4	71.9
302	74.4	71.9
303	74.1	71.9
304	75.1	71.9
305	77.0	71.6
306	76.7	71.6
307	76.7	71.6
308	76.7	71.6
309	76.7	71.6
310	77.0	71.6
311	76.4	71.6
312	76.4	71.6
313	64.8	71.6
314	66.1	71.5
315	67.3	71.5
316	68.0	71.5
317	69.0	71.5
318	69.6	71.5
319	70.2	71.2
320	83.5	71.2
321	83.5	71.2
322	81.8	71.2
323	79.3	71.2
324	77.7	71.2
325	76.7	71.2
326	76.0	71.2
327	76.0	71.2
328	76.7	71.2
329	78.0	70.9
330	79.6	70.9
331	80.6	70.9
332	81.8	70.9
333	83.1	70.9
334	84.1	70.9
335	85.4	70.7
336	86.7	70.6
337	75.7	70.6
338	75.7	70.6
339	76.7	70.6
340	77.3	70.6
341	78.0	70.6
342	78.3	70.6
343	78.9	70.6
344	92.2	70.6
345	91.8	70.6
346	89.3	70.5
347	87.3	70.4
348	85.7	70.4
349	84.4	70.3
350	84.1	70.3
351	84.7	70.3
352	85.7	70.2
353	87.0	70.2
