# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	6.6	27.7
2	7.0	27.5
3	7.4	27.2
4	7.6	27.0
5	7.7	26.8
6	7.9	26.6
7	8.0	26.6
8	11.5	26.5
9	11.3	26.3
10	10.1	26.1
11	9.0	25.9
12	8.1	25.4
13	7.5	25.3
14	7.1	25.3
15	7.1	25.2
16	7.6	25.1
17	8.2	24.9
18	8.8	24.8
19	9.3	24.7
20	9.8	24.5
21	10.3	24.5
22	10.8	24.5
23	11.4	24.5
24	11.9	24.5
25	9.5	24.4
26	10.7	24.3
27	11.8	24.3
28	12.5	24.3
29	13.1	24.2
30	13.8	24.2
31	14.2	24.1
32	18.1	24.1
33	18.1	24.1
34	16.6	24.0
35	15.3	23.9
36	14.1	23.9
37	13.4	23.9
38	13.1	23.9
39	13.1	23.9
40	13.8	23.9
41	14.9	23.8
42	15.3	23.8
43	15.7	23.7
44	16.2	23.7
45	16.5	23.7
46	16.9	23.6
47	17.4	23.6
48	17.8	23.5
49	14.3	23.5
50	14.1	23.5
51	14.0	23.5
52	13.9	23.4
53	13.8	23.4
54	13.7	23.4
55	13.6	23.4
56	16.9	23.3
57	16.8	23.3
58	15.4	23.2
59	14.2	23.2
60	13.4	23.2
61	12.9	23.2
62	12.5	23.2
63	12.5	23.1
64	12.9	23.1
65	13.5	23.1
66	13.8	23.1
67	14.0	23.1
68	14.1	23.1
69	14.3	23.0
70	14.6	22.9
71	14.7	22.9
72	14.9	22.9
73	11.8	22.9
74	12.4	22.8
75	12.8	22.8
76	12.9	22.8
77	13.2	22.7
78	13.4	22.7
79	13.5	22.7
80	17.1	22.6
81	17.1	22.6
82	16.7	22.6
83	16.3	22.5
84	16.2	22.5
85	16.1	22.5
86	16.0	22.5
87	16.1	22.4
88	16.3	22.4
89	16.5	22.4
90	16.8	22.3
91	16.9	22.3
92	17.2	22.3
93	17.4	22.2
94	17.6	22.2
95	17.9	22.2
96	18.4	22.1
97	14.7	22.1
98	14.7	22.1
99	14.7	22.0
100	14.8	22.0
101	14.7	22.0
102	14.7	22.0
103	14.7	22.0
104	18.1	22.0
105	18.0	22.0
106	17.4	22.0
107	16.7	22.0
108	16.1	22.0
109	15.7	22.0
110	15.5	22.0
111	15.4	22.0
112	15.7	21.9
113	16.1	21.9
114	16.3	21.9
115	16.6	21.9
116	16.8	21.9
117	17.1	21.9
118	17.4	21.9
119	17.6	21.8
120	18.1	21.8
121	14.8	21.8
122	15.2	21.8
123	15.7	21.7
124	15.9	21.7
125	16.1	21.7
126	16.3	21.6
127	16.4	21.6
128	20.0	21.6
129	20.0	21.6
130	19.5	21.5
131	19.0	21.5
132	18.6	21.5
133	18.4	21.5
134	18.3	21.4
135	18.3	21.4
136	18.5	21.4
137	18.9	21.4
138	19.1	21.4
139	19.3	21.4
140	19.5	21.4
141	19.7	21.4
142	20.0	21.4
143	20.2	21.4
144	20.4	21.3
145	17.0	21.3
146	17.1	21.3
147	17.1	21.3
148	17.1	21.3
149	17.1	21.2
150	17.1	21.2
151	17.1	21.2
152	20.5	21.2
153	20.3	21.2
154	18.6	21.1
155	17.2	21.1
156	15.9	21.1
157	15.0	21.1
158	14.5	21.1
159	14.6	21.1
160	15.2	21.1
161	16.2	21.1
162	16.4	21.1
163	16.7	21.1
164	16.9	21.1
165	17.2	21.1
166	17.4	21.1
167	17.8	21.1
168	18.0	21.0
169	15.1	21.0
170	15.5	21.0
171	15.9	21.0
172	16.2	21.0
173	16.4	20.9
174	16.7	20.9
175	16.8	20.9
176	20.4	20.9
177	20.4	20.9
178	19.8	20.9
179	19.6	20.9
180	19.7	20.9
181	19.7	20.8
182	18.9	20.8
183	18.6	20.8
184	18.5	20.8
185	18.9	20.8
186	19.2	20.8
187	19.6	20.8
188	19.8	20.8
189	20.2	20.8
190	20.4	20.8
191	20.8	20.8
192	21.1	20.8
193	17.9	20.8
194	18.0	20.8
195	18.2	20.8
196	18.3	20.8
197	18.4	20.7
198	18.6	20.7
199	18.6	20.7
200	22.0	20.7
201	22.0	20.7
202	21.3	20.7
203	20.7	20.7
204	20.2	20.7
205	19.8	20.7
206	19.7	20.7
207	19.7	20.6
208	19.9	20.6
209	20.4	20.6
210	20.5	20.6
211	20.6	20.6
212	20.8	20.6
213	20.8	20.6
214	20.8	20.6
215	20.9	20.5
216	21.1	20.5
217	17.7	20.5
218	17.7	20.5
219	17.8	20.5
220	17.8	20.5
221	17.8	20.5
222	17.8	20.5
223	17.8	20.4
224	21.2	20.4
225	21.1	20.4
226	20.4	20.4
227	19.7	20.4
228	19.2	20.4
229	19.0	20.4
230	18.7	20.4
231	18.7	20.4
232	18.9	20.4
233	19.3	20.4
234	19.5	20.4
235	19.7	20.4
236	20.0	20.4
237	19.7	20.4
238	19.9	20.4
239	20.0	20.4
240	20.1	20.4
241	16.8	20.3
242	16.9	20.3
243	17.0	20.3
244	17.1	20.3
245	17.1	20.3
246	17.1	20.3
247	17.1	20.3
248	20.6	20.3
249	20.4	20.3
250	19.2	20.2
251	18.1	20.2
252	17.1	20.2
253	16.4	20.2
254	16.0	20.2
255	15.9	20.2
256	16.3	20.2
257	16.9	20.2
258	17.4	20.2
259	18.0	20.2
260	18.4	20.2
261	18.9	20.2
262	19.4	20.1
263	19.9	20.1
264	20.3	20.1
265	17.9	20.1
266	19.1	20.1
267	20.2	20.1
268	20.8	20.1
269	21.4	20.1
270	22.1	20.1
271	22.6	20.1
272	26.6	20.1
273	26.5	20.1
274	25.9	20.1
275	25.3	20.1
276	24.5	20.1
277	24.3	20.1
278	24.7	20.1
279	24.9	20.0
280	25.4	20.0
281	26.1	20.0
282	26.3	20.0
283	26.6	20.0
284	26.8	20.0
285	27.0	20.0
286	27.2	20.0
287	27.5	20.0
288	27.7	20.0
289	23.9	20.0
290	23.7	20.0
291	22.7	19.9
292	22.3	19.9
293	22.0	19.9
294	21.6	19.9
295	21.4	19.9
296	24.5	19.9
297	24.3	19.9
298	23.1	19.9
299	22.1	19.8
300	21.4	19.8
301	20.8	19.8
302	20.5	19.8
303	20.4	19.8
304	20.7	19.8
305	21.2	19.8
306	21.1	19.8
307	21.1	19.8
308	21.1	19.8
309	21.1	19.8
310	21.2	19.7
311	21.0	19.7
312	21.0	19.7
313	18.0	19.7
314	18.3	19.7
315	18.6	19.7
316	18.8	19.7
317	19.1	19.7
318	19.2	19.7
319	19.4	19.7
320	22.9	19.7
321	22.9	19.7
322	22.5	19.7
323	21.8	19.7
324	21.4	19.7
325	21.1	19.7
326	20.9	19.7
327	20.9	19.6
328	21.1	19.6
329	21.4	19.6
330	21.9	19.6
331	22.1	19.6
332	22.5	19.6
333	22.8	19.5
334	23.1	19.5
335	23.4	19.5
336	23.7	19.5
337	20.8	19.5
338	20.8	19.5
339	21.1	19.5
340	21.3	19.5
341	21.4	19.5
342	21.5	19.5
343	21.7	19.5
344	25.2	19.5
345	25.1	19.5
346	24.4	19.5
347	23.9	19.5
348	23.5	19.4
349	23.1	19.4
350	23.1	19.4
351	23.2	19.4
352	23.5	19.4
353	23.8	19.4
354	23.9	19.4
355	23.9	19.4
356	24.0	19.4
357	24.1	19.3
358	24.1	19.3
359	24.1	19.3
360	24.2	19.3
361	20.7	19.3
362	20.6	19.3
363	20.5	19.3
364	20.3	19.3
365	20.3	19.2
366	20.2	19.2
367	20.1	19.2
368	23.4	19.2
369	23.2	19.2
370	22.9	19.2
371	22.6	19.2
372	22.3	19.2
373	22.0	19.2
374	20.0	19.2
375	18.9	19.2
376	18.6	19.2
377	19.2	19.2
378	19.4	19.1
379	19.5	19.1
380	19.7	19.1
381	19.8	19.1
382	19.9	19.1
383	20.1	19.1
384	20.2	19.1
385	17.2	19.1
386	17.5	19.1
387	18.0	19.1
388	18.1	19.1
389	18.3	19.0
390	18.6	19.0
391	18.6	19.0
392	22.2	19.0
393	22.0	19.0
394	19.7	19.0
395	17.6	19.0
396	15.7	19.0
397	14.6	19.0
398	14.0	19.0
399	14.0	19.0
400	14.8	18.9
401	16.3	18.9
402	16.5	18.9
403	16.8	18.9
404	16.9	18.9
405	17.2	18.9
406	17.4	18.9
407	17.6	18.9
408	17.8	18.9
409	14.6	18.9
410	14.6	18.9
411	14.8	18.9
412	14.8	18.9
413	14.9	18.9
414	14.9	18.9
415	14.9	18.9
416	18.4	18.9
417	18.2	18.9
418	18.0	18.8
419	17.6	18.8
420	17.4	18.8
421	17.0	18.8
422	14.8	18.8
423	13.7	18.8
424	13.4	18.7
425	14.1	18.7
426	14.3	18.7
427	14.5	18.7
428	14.6	18.7
429	14.7	18.7
430	14.9	18.7
431	15.1	18.7
432	15.2	18.7
433	12.1	18.7
434	12.3	18.6
435	12.6	18.6
436	12.7	18.6
437	12.8	18.6
438	12.9	18.6
439	12.9	18.6
440	16.4	18.6
441	16.3	18.6
442	16.1	18.6
443	15.9	18.6
444	15.7	18.6
445	15.6	18.6
446	13.6	18.6
447	12.3	18.6
448	11.8	18.6
449	12.5	18.6
450	12.8	18.6
451	13.1	18.6
452	13.4	18.6
453	13.7	18.6
454	14.0	18.5
455	14.3	18.5
456	14.6	18.5
457	11.6	18.5
458	12.0	18.5
459	12.4	18.5
460	12.7	18.5
461	12.9	18.5
462	13.2	18.5
463	13.3	18.5
464	16.8	18.5
465	16.8	18.4
466	16.5	18.4
467	16.4	18.4
468	16.2	18.4
469	16.0	18.4
470	14.4	18.4
471	13.7	18.4
472	13.5	18.4
473	14.1	18.4
474	14.3	18.4
475	14.4	18.4
476	14.6	18.4
477	14.7	18.4
478	14.8	18.4
479	15.0	18.3
480	15.1	18.3
481	11.7	18.3
482	11.7	18.3
483	11.6	18.3
484	11.6	18.3
485	11.5	18.3
486	11.5	18.3
