# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.7	83.3
2	19.0	82.7
3	20.4	82.0
4	20.9	81.2
5	21.4	80.6
6	21.9	79.8
7	22.2	79.8
8	33.0	79.6
9	32.5	79.0
10	28.8	78.5
11	25.4	77.7
12	22.5	76.1
13	20.6	75.9
14	19.6	75.9
15	19.6	75.6
16	20.9	75.3
17	22.7	74.8
18	24.6	74.3
19	26.2	74.0
20	27.8	73.5
21	29.3	73.5
22	30.9	73.5
23	32.8	73.5
24	34.4	73.5
25	27.0	73.2
26	30.7	72.7
27	34.1	72.7
28	36.2	72.7
29	38.1	72.5
30	40.2	72.4
31	41.5	72.2
32	53.7	72.2
33	53.7	72.2
34	48.9	72.2
35	44.9	71.9
36	41.2	71.7
37	39.1	71.6
38	38.1	71.6
39	38.1	71.6
40	40.2	71.6
41	43.6	71.6
42	44.9	71.4
43	46.3	71.1
44	47.6	71.1
45	48.6	70.8
46	50.0	70.7
47	51.3	70.7
48	52.6	70.6
49	41.8	70.6
50	41.2	70.3
51	40.7	70.3
52	40.4	70.3
53	40.2	70.3
54	39.9	70.1
55	39.7	70.1
56	50.0	69.8
57	49.4	69.8
58	45.2	69.5
59	41.5	69.5
60	39.1	69.5
61	37.3	69.3
62	36.2	69.3
63	36.2	69.3
64	37.3	69.3
65	39.4	69.3
66	40.2	69.0
67	40.7	69.0
68	41.2	69.0
69	41.8	69.0
70	42.6	68.7
71	43.1	68.5
72	43.6	68.5
73	34.1	68.5
74	36.0	68.2
75	37.0	68.2
76	37.5	68.2
77	38.3	68.0
78	38.9	67.9
79	39.4	67.9
80	50.5	67.9
81	50.5	67.7
82	49.2	67.4
83	48.1	67.4
84	47.6	67.1
85	47.3	67.1
86	47.1	67.1
87	47.3	67.0
88	47.8	66.9
89	48.6	66.9
90	49.4	66.9
91	50.0	66.6
92	50.8	66.6
93	51.3	66.6
94	52.1	66.5
95	52.9	66.4
96	54.5	66.3
97	43.1	66.1
98	43.1	66.1
99	43.1	66.1
100	43.4	65.8
101	43.1	65.8
102	43.1	65.8
103	43.1	65.8
104	53.7	65.8
105	53.4	65.8
106	51.3	65.6
107	49.2	65.6
108	47.3	65.5
109	46.3	65.5
110	45.5	65.5
111	45.2	65.5
112	46.0	65.3
113	47.3	65.2
114	48.1	65.2
115	48.9	65.2
116	49.7	65.2
117	50.5	65.2
118	51.5	65.2
119	52.1	65.1
120	53.7	65.0
121	43.4	65.0
122	44.7	65.0
123	46.0	65.0
124	46.8	64.8
125	47.3	64.7
126	47.8	64.7
127	48.4	64.6
128	59.5	64.5
129	59.5	64.4
130	57.9	64.4
131	56.3	64.4
132	55.3	64.2
133	54.5	64.2
134	54.2	64.2
135	54.2	64.0
136	54.7	64.0
137	56.0	64.0
138	56.6	63.7
139	57.4	63.7
140	57.9	63.7
141	58.7	63.6
142	59.5	63.6
143	60.0	63.6
144	60.8	63.6
145	50.2	63.4
146	50.5	63.4
147	50.5	63.4
148	50.5	63.4
149	50.5	63.4
150	50.5	63.3
151	50.5	63.2
152	61.1	63.2
153	60.3	63.2
154	55.3	63.1
155	50.8	63.1
156	46.8	62.9
157	43.9	62.9
158	42.3	62.9
159	42.6	62.9
160	44.7	62.9
161	47.6	62.9
162	48.4	62.9
163	49.2	62.9
164	50.0	62.9
165	50.8	62.9
166	51.5	62.8
167	52.6	62.8
168	53.4	62.8
169	44.4	62.8
170	45.5	62.7
171	46.8	62.7
172	47.6	62.6
173	48.4	62.6
174	49.2	62.4
175	49.7	62.4
176	60.8	62.4
177	60.8	62.4
178	59.0	62.4
179	58.2	62.3
180	58.4	62.3
181	58.4	62.3
182	56.0	62.3
183	55.0	62.3
184	54.7	62.1
185	56.0	62.1
186	57.1	62.1
187	58.2	62.1
188	59.0	62.1
189	60.0	62.1
190	60.8	62.1
191	61.9	62.1
192	62.9	62.1
193	52.9	62.0
194	53.4	62.0
195	53.9	62.0
196	54.2	61.9
197	54.5	61.9
198	55.0	61.9
199	55.3	61.9
200	65.8	61.8
201	65.6	61.8
202	63.4	61.8
203	61.6	61.8
204	60.0	61.6
205	59.0	61.6
206	58.7	61.6
207	58.4	61.6
208	59.2	61.6
209	60.8	61.6
210	61.1	61.5
211	61.3	61.5
212	62.1	61.5
213	62.1	61.5
214	62.1	61.4
215	62.4	61.4
216	62.9	61.4
217	52.3	61.3
218	52.3	61.3
219	52.6	61.3
220	52.6	61.2
221	52.6	61.2
222	52.6	61.1
223	52.6	61.1
224	63.2	61.1
225	62.9	61.1
226	60.8	61.1
227	58.7	61.1
228	57.1	61.0
229	56.3	61.0
230	55.5	60.9
231	55.5	60.9
232	56.0	60.9
233	57.4	60.8
234	57.9	60.8
235	58.4	60.8
236	59.5	60.8
237	58.7	60.8
238	59.2	60.8
239	59.5	60.8
240	59.7	60.8
241	49.7	60.8
242	50.0	60.7
243	50.2	60.7
244	50.5	60.7
245	50.5	60.7
246	50.5	60.6
247	50.5	60.5
248	61.3	60.5
249	60.8	60.5
250	57.1	60.4
251	53.7	60.4
252	50.5	60.4
253	48.4	60.4
254	47.1	60.3
255	46.8	60.3
256	47.8	60.2
257	50.0	60.2
258	51.5	60.0
259	53.1	60.0
260	54.5	60.0
261	56.0	60.0
262	57.6	60.0
263	59.2	60.0
264	60.5	60.0
265	52.9	59.9
266	56.6	59.9
267	60.0	59.9
268	62.1	59.9
269	64.0	59.9
270	66.1	59.7
271	67.7	59.7
272	79.8	59.7
273	79.6	59.7
274	77.7	59.6
275	75.9	59.6
276	73.5	59.6
277	72.7	59.6
278	74.0	59.6
279	74.8	59.5
280	76.1	59.5
281	78.5	59.5
282	79.0	59.5
283	79.8	59.5
284	80.6	59.5
285	81.2	59.4
286	82.0	59.4
287	82.7	59.4
288	83.3	59.4
289	71.6	59.4
290	70.8	59.4
291	67.9	59.2
292	66.6	59.2
293	65.6	59.2
294	64.5	59.2
295	63.7	59.2
296	73.5	59.1
297	72.7	59.1
298	69.3	59.1
299	66.1	59.1
300	63.7	59.1
301	61.9	59.0
302	61.1	59.0
303	60.8	59.0
304	61.6	59.0
305	63.2	58.8
306	62.9	58.8
307	62.9	58.8
308	62.9	58.8
309	62.9	58.8
310	63.2	58.8
311	62.7	58.8
312	62.7	58.7
313	53.1	58.7
314	54.2	58.7
315	55.3	58.7
316	55.8	58.7
317	56.6	58.7
318	57.1	58.7
319	57.6	58.6
320	68.5	58.6
321	68.5	58.6
322	67.1	58.4
323	65.0	58.4
324	63.7	58.4
325	62.9	58.4
326	62.4	58.4
327	62.4	58.4
328	62.9	58.4
329	64.0	58.3
330	65.3	58.3
331	66.1	58.3
332	67.1	58.3
333	68.2	58.2
334	69.0	58.2
335	70.1	58.0
336	71.1	58.0
337	62.1	58.0
338	62.1	58.0
339	62.9	58.0
340	63.4	57.9
341	64.0	57.9
342	64.2	57.9
343	64.8	57.9
344	75.6	57.9
345	75.3	57.9
346	73.2	57.8
347	71.6	57.8
348	70.3	57.8
349	69.3	57.7
350	69.0	57.7
351	69.5	57.6
352	70.3	57.6
353	71.4	57.6
354	71.6	57.6
355	71.6	57.5
356	71.9	57.5
357	72.2	57.5
358	72.2	57.5
359	72.2	57.5
360	72.4	57.5
361	61.6	57.4
362	61.3	57.4
363	61.1	57.4
364	60.5	57.4
365	60.3	57.3
366	60.0	57.2
367	59.7	57.2
368	70.1	57.2
369	69.5	57.2
370	68.5	57.2
371	67.4	57.2
372	66.6	57.2
373	65.8	57.1
374	59.5	57.1
375	56.0	57.1
376	55.0	57.1
377	57.1	57.1
378	57.6	57.1
379	57.9	57.1
380	58.4	57.0
381	59.0	57.0
382	59.2	57.0
383	59.7	57.0
384	60.0	56.9
385	50.8	56.7
386	51.8	56.7
387	53.1	56.7
388	53.7	56.7
389	54.2	56.7
390	55.0	56.7
391	55.3	56.7
392	66.4	56.6
393	65.8	56.6
394	58.7	56.6
395	52.1	56.6
396	46.3	56.4
397	42.6	56.4
398	40.7	56.4
399	40.7	56.4
400	43.4	56.4
401	48.1	56.3
402	48.6	56.3
403	49.4	56.3
404	50.0	56.2
405	50.8	56.2
406	51.3	56.2
407	52.1	56.2
408	52.6	56.2
409	42.6	56.2
410	42.8	56.2
411	43.4	56.0
412	43.4	56.0
413	43.6	56.0
414	43.6	56.0
415	43.6	56.0
416	54.5	56.0
417	53.9	55.9
418	53.1	55.9
419	52.1	55.9
420	51.3	55.9
421	50.2	55.9
422	43.4	55.9
423	39.9	55.9
424	38.9	55.9
425	41.2	55.9
426	41.8	55.8
427	42.3	55.7
428	42.8	55.6
429	43.1	55.6
430	43.6	55.6
431	44.1	55.6
432	44.7	55.6
433	34.9	55.5
434	35.7	55.5
435	36.5	55.5
436	36.7	55.5
437	37.0	55.5
438	37.5	55.4
439	37.5	55.4
440	48.4	55.4
441	48.1	55.4
442	47.3	55.4
443	46.8	55.3
444	46.0	55.3
445	45.7	55.3
446	39.7	55.3
447	35.7	55.3
448	34.1	55.3
449	36.2	55.2
450	37.0	55.2
451	38.1	55.2
452	38.9	55.2
453	39.9	55.1
454	41.0	55.1
455	41.8	55.1
