# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.4	15.8
2	3.6	15.7
3	3.9	15.5
4	4.0	15.4
5	4.1	15.3
6	4.2	15.1
7	4.2	15.1
8	6.3	15.1
9	6.2	15.0
10	5.5	14.9
11	4.8	14.7
12	4.3	14.4
13	3.9	14.4
14	3.7	14.4
15	3.7	14.3
16	4.0	14.3
17	4.3	14.2
18	4.7	14.1
19	5.0	14.0
20	5.3	13.9
21	5.6	13.9
22	5.9	13.9
23	6.2	13.9
24	6.5	13.9
25	5.1	13.9
26	5.8	13.8
27	6.5	13.8
28	6.9	13.8
29	7.2	13.7
30	7.6	13.7
31	7.9	13.7
32	10.2	13.7
33	10.2	13.7
34	9.3	13.7
35	8.5	13.6
36	7.8	13.6
37	7.4	13.6
38	7.2	13.6
39	7.2	13.6
40	7.6	13.6
41	8.3	13.6
42	8.5	13.5
43	8.8	13.5
44	9.0	13.5
45	9.2	13.4
46	9.5	13.4
47	9.7	13.4
48	10.0	13.4
49	7.9	13.4
50	7.8	13.3
51	7.7	13.3
52	7.7	13.3
53	7.6	13.3
54	7.6	13.3
55	7.5	13.3
56	9.5	13.2
57	9.4	13.2
58	8.6	13.2
59	7.9	13.2
60	7.4	13.2
61	7.1	13.1
62	6.9	13.1
63	6.9	13.1
64	7.1	13.1
65	7.5	13.1
66	7.6	13.1
67	7.7	13.1
68	7.8	13.1
69	7.9	13.1
70	8.1	13.0
71	8.2	13.0
72	8.3	13.0
73	6.5	13.0
74	6.8	12.9
75	7.0	12.9
76	7.1	12.9
77	7.3	12.9
78	7.4	12.9
79	7.5	12.9
80	9.6	12.9
81	9.6	12.8
82	9.3	12.8
83	9.1	12.8
84	9.0	12.7
85	9.0	12.7
86	8.9	12.7
87	9.0	12.7
88	9.1	12.7
89	9.2	12.7
90	9.4	12.7
91	9.5	12.6
92	9.6	12.6
93	9.7	12.6
94	9.9	12.6
95	10.0	12.6
96	10.3	12.6
97	8.2	12.5
98	8.2	12.5
99	8.2	12.5
100	8.2	12.5
101	8.2	12.5
102	8.2	12.5
103	8.2	12.5
104	10.2	12.5
105	10.1	12.5
106	9.7	12.4
107	9.3	12.4
108	9.0	12.4
109	8.8	12.4
110	8.6	12.4
111	8.6	12.4
112	8.7	12.4
113	9.0	12.4
114	9.1	12.4
115	9.3	12.4
116	9.4	12.4
117	9.6	12.4
118	9.8	12.4
119	9.9	12.3
120	10.2	12.3
121	8.2	12.3
122	8.5	12.3
123	8.7	12.3
124	8.9	12.3
125	9.0	12.3
126	9.1	12.3
127	9.2	12.2
128	11.3	12.2
129	11.3	12.2
130	11.0	12.2
131	10.7	12.2
132	10.5	12.2
133	10.3	12.2
134	10.3	12.2
135	10.3	12.1
136	10.4	12.1
137	10.6	12.1
138	10.7	12.1
139	10.9	12.1
140	11.0	12.1
141	11.1	12.1
142	11.3	12.1
143	11.4	12.1
144	11.5	12.0
145	9.5	12.0
146	9.6	12.0
147	9.6	12.0
148	9.6	12.0
149	9.6	12.0
150	9.6	12.0
151	9.6	12.0
152	11.6	12.0
153	11.4	12.0
154	10.5	12.0
155	9.6	12.0
156	8.9	11.9
157	8.3	11.9
158	8.0	11.9
159	8.1	11.9
160	8.5	11.9
161	9.0	11.9
162	9.2	11.9
163	9.3	11.9
164	9.5	11.9
165	9.6	11.9
166	9.8	11.9
167	10.0	11.9
168	10.1	11.9
169	8.4	11.9
170	8.6	11.9
171	8.9	11.9
172	9.0	11.9
173	9.2	11.9
174	9.3	11.8
175	9.4	11.8
176	11.5	11.8
177	11.5	11.8
178	11.2	11.8
179	11.0	11.8
180	11.1	11.8
181	11.1	11.8
182	10.6	11.8
183	10.4	11.8
184	10.4	11.8
185	10.6	11.8
186	10.8	11.8
187	11.0	11.8
188	11.2	11.8
189	11.4	11.8
190	11.5	11.8
191	11.7	11.8
192	11.9	11.8
193	10.0	11.7
194	10.1	11.7
195	10.2	11.7
196	10.3	11.7
197	10.3	11.7
198	10.4	11.7
199	10.5	11.7
200	12.5	11.7
201	12.4	11.7
202	12.0	11.7
203	11.7	11.7
204	11.4	11.7
205	11.2	11.7
206	11.1	11.7
207	11.1	11.7
208	11.2	11.6
209	11.5	11.6
210	11.6	11.6
211	11.6	11.6
212	11.8	11.6
213	11.8	11.6
214	11.8	11.6
215	11.8	11.6
216	11.9	11.6
217	9.9	11.6
218	9.9	11.6
219	10.0	11.6
220	10.0	11.6
221	10.0	11.6
222	10.0	11.6
223	10.0	11.6
224	12.0	11.6
225	11.9	11.6
226	11.5	11.6
227	11.1	11.6
228	10.8	11.5
229	10.7	11.5
230	10.5	11.5
231	10.5	11.5
232	10.6	11.5
233	10.9	11.5
234	11.0	11.5
235	11.1	11.5
236	11.3	11.5
237	11.1	11.5
238	11.2	11.5
239	11.3	11.5
240	11.3	11.5
241	9.4	11.5
242	9.5	11.5
243	9.5	11.5
244	9.6	11.5
245	9.6	11.5
246	9.6	11.5
247	9.6	11.5
248	11.6	11.5
249	11.5	11.5
250	10.8	11.4
251	10.2	11.4
252	9.6	11.4
253	9.2	11.4
254	8.9	11.4
255	8.9	11.4
256	9.1	11.4
257	9.5	11.4
258	9.8	11.4
259	10.1	11.4
260	10.3	11.4
261	10.6	11.4
262	10.9	11.4
263	11.2	11.4
264	11.5	11.4
265	10.0	11.3
266	10.7	11.3
267	11.4	11.3
268	11.8	11.3
269	12.1	11.3
270	12.5	11.3
271	12.8	11.3
272	15.1	11.3
273	15.1	11.3
274	14.7	11.3
275	14.4	11.3
276	13.9	11.3
277	13.8	11.3
278	14.0	11.3
279	14.2	11.3
280	14.4	11.3
281	14.9	11.3
282	15.0	11.3
283	15.1	11.3
284	15.3	11.3
285	15.4	11.2
286	15.5	11.2
287	15.7	11.2
288	15.8	11.2
289	13.6	11.2
290	13.4	11.2
291	12.9	11.2
292	12.6	11.2
293	12.4	11.2
294	12.2	11.2
295	12.1	11.2
296	13.9	11.2
297	13.8	11.2
298	13.1	11.2
299	12.5	11.2
300	12.1	11.2
301	11.7	11.2
302	11.6	11.2
303	11.5	11.2
304	11.7	11.2
305	12.0	11.1
306	11.9	11.1
307	11.9	11.1
308	11.9	11.1
309	11.9	11.1
310	12.0	11.1
311	11.9	11.1
312	11.9	11.1
313	10.1	11.1
314	10.3	11.1
315	10.5	11.1
316	10.6	11.1
317	10.7	11.1
318	10.8	11.1
319	10.9	11.1
320	13.0	11.1
321	13.0	11.1
322	12.7	11.1
323	12.3	11.1
324	12.1	11.1
325	11.9	11.1
326	11.8	11.1
327	11.8	11.1
328	11.9	11.1
329	12.1	11.0
330	12.4	11.0
331	12.5	11.0
332	12.7	11.0
333	12.9	11.0
334	13.1	11.0
335	13.3	11.0
336	13.5	11.0
337	11.8	11.0
338	11.8	11.0
339	11.9	11.0
340	12.0	11.0
341	12.1	11.0
342	12.2	11.0
343	12.3	11.0
344	14.3	11.0
345	14.3	11.0
346	13.9	10.9
347	13.6	10.9
348	13.3	10.9
349	13.1	10.9
350	13.1	10.9
351	13.2	10.9
352	13.3	10.9
353	13.5	10.9
354	13.6	10.9
355	13.6	10.9
356	13.6	10.9
357	13.7	10.9
358	13.7	10.9
359	13.7	10.9
360	13.7	10.9
361	11.7	10.9
362	11.6	10.9
363	11.6	10.9
364	11.5	10.8
365	11.4	10.8
366	11.4	10.8
367	11.3	10.8
368	13.3	10.8
369	13.2	10.8
370	13.0	10.8
371	12.8	10.8
372	12.6	10.8
373	12.5	10.8
374	11.3	10.8
375	10.6	10.8
376	10.4	10.8
377	10.8	10.8
378	10.9	10.8
379	11.0	10.8
380	11.1	10.8
381	11.2	10.8
382	11.2	10.8
383	11.3	10.8
384	11.4	10.7
385	9.6	10.7
386	9.8	10.7
387	10.1	10.7
388	10.2	10.7
389	10.3	10.7
390	10.4	10.7
391	10.5	10.7
392	12.6	10.7
393	12.5	10.7
394	11.1	10.7
395	9.9	10.7
396	8.8	10.7
397	8.1	10.7
398	7.7	10.7
399	7.7	10.7
400	8.2	10.7
401	9.1	10.7
402	9.2	10.7
403	9.4	10.7
404	9.5	10.6
405	9.6	10.6
406	9.7	10.6
407	9.9	10.6
408	10.0	10.6
409	8.1	10.6
410	8.1	10.6
411	8.2	10.6
412	8.2	10.6
413	8.3	10.6
414	8.3	10.6
415	8.3	10.6
416	10.3	10.6
417	10.2	10.6
418	10.1	10.6
419	9.9	10.6
420	9.7	10.6
421	9.5	10.6
422	8.2	10.6
423	7.6	10.6
424	7.4	10.6
425	7.8	10.6
426	7.9	10.6
427	8.0	10.5
428	8.1	10.5
429	8.2	10.5
430	8.3	10.5
431	8.4	10.5
432	8.5	10.5
433	6.6	10.5
434	6.8	10.5
435	6.9	10.5
436	7.0	10.5
437	7.0	10.5
438	7.1	10.5
439	7.1	10.5
440	9.2	10.5
441	9.1	10.5
442	9.0	10.5
443	8.9	10.5
444	8.7	10.5
445	8.7	10.5
446	7.5	10.5
447	6.8	10.5
448	6.5	10.4
449	6.9	10.4
450	7.0	10.4
451	7.2	10.4
452	7.4	10.4
453	7.6	10.4
454	7.8	10.4
455	7.9	10.4
456	8.1	10.4
457	6.3	10.4
458	6.6	10.4
459	6.8	10.4
460	7.0	10.4
461	7.1	10.4
462	7.3	10.4
463	7.3	10.4
464	9.4	10.4
465	9.4	10.4
466	9.2	10.4
467	9.2	10.4
468	9.0	10.4
469	8.9	10.4
470	8.0	10.4
471	7.6	10.4
472	7.5	10.4
473	7.8	10.4
474	7.9	10.3
475	8.0	10.3
476	8.1	10.3
477	8.2	10.3
478	8.2	10.3
479	8.3	10.3
480	8.4	10.3
481	6.4	10.3
482	6.4	10.3
483	6.3	10.3
484	6.3	10.3
485	6.3	10.3
486	6.3	10.3
487	6.2	10.3
488	8.2	10.3
489	8.1	10.3
490	7.3	10.3
491	6.5	10.3
492	5.7	10.3
493	5.1	10.3
494	4.7	10.3
