# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.8	88.6
2	20.3	88.1
3	21.7	87.2
4	22.2	86.4
5	22.8	85.8
6	23.3	85.0
7	23.6	85.0
8	35.2	84.7
9	34.6	84.1
10	30.7	83.6
11	27.0	82.7
12	23.9	81.0
13	21.9	80.7
14	20.8	80.7
15	20.8	80.5
16	22.2	80.2
17	24.2	79.6
18	26.2	79.0
19	27.9	78.8
20	29.5	78.2
21	31.2	78.2
22	32.9	78.2
23	34.9	78.2
24	36.6	78.2
25	28.7	77.9
26	32.6	77.4
27	36.3	77.4
28	38.5	77.3
29	40.5	77.1
30	42.8	77.0
31	44.2	76.8
32	57.1	76.8
33	57.1	76.8
34	52.0	76.8
35	47.8	76.5
36	43.9	76.2
37	41.6	76.2
38	40.5	76.2
39	40.5	76.2
40	42.8	76.2
41	46.4	76.2
42	47.8	76.0
43	49.2	75.7
44	50.6	75.7
45	51.8	75.4
46	53.2	75.2
47	54.6	75.2
48	56.0	75.0
49	44.4	75.0
50	43.9	74.8
51	43.3	74.8
52	43.0	74.7
53	42.8	74.7
54	42.5	74.5
55	42.2	74.5
56	53.2	74.2
57	52.6	74.2
58	48.1	74.0
59	44.2	74.0
60	41.6	73.9
61	39.7	73.7
62	38.5	73.7
63	38.5	73.7
64	39.7	73.6
65	41.9	73.6
66	42.8	73.4
67	43.3	73.4
68	43.9	73.3
69	44.4	73.3
70	45.3	73.0
71	45.9	72.9
72	46.4	72.9
73	36.3	72.9
74	38.3	72.6
75	39.4	72.5
76	39.9	72.5
77	40.8	72.4
78	41.4	72.3
79	41.9	72.2
80	53.7	72.2
81	53.7	72.0
82	52.3	71.7
83	51.2	71.6
84	50.6	71.5
85	50.4	71.5
86	50.1	71.3
87	50.4	71.3
88	50.9	71.0
89	51.8	71.0
90	52.6	71.0
91	53.2	70.9
92	54.0	70.9
93	54.6	70.8
94	55.4	70.8
95	56.3	70.6
96	58.0	70.5
97	45.9	70.3
98	45.9	70.3
99	45.9	70.3
100	46.1	70.0
101	45.9	70.0
102	45.9	70.0
103	45.9	70.0
104	57.1	69.9
105	56.8	69.9
106	54.6	69.8
107	52.3	69.8
108	50.4	69.6
109	49.2	69.6
110	48.4	69.6
111	48.1	69.6
112	48.9	69.5
113	50.4	69.3
114	51.2	69.3
115	52.0	69.3
116	52.9	69.3
117	53.7	69.3
118	54.9	69.3
119	55.4	69.2
120	57.1	69.2
121	46.1	69.1
122	47.5	69.1
123	48.9	69.1
124	49.8	68.9
125	50.4	68.8
126	50.9	68.8
127	51.5	68.7
128	63.3	68.6
129	63.3	68.5
130	61.6	68.5
131	59.9	68.5
132	58.8	68.4
133	58.0	68.2
134	57.7	68.2
135	57.7	68.1
136	58.2	68.1
137	59.6	68.1
138	60.2	67.8
139	61.0	67.8
140	61.6	67.8
141	62.5	67.6
142	63.3	67.6
143	63.9	67.6
144	64.7	67.6
145	53.4	67.5
146	53.7	67.5
147	53.7	67.4
148	53.7	67.4
149	53.7	67.4
150	53.7	67.4
151	53.7	67.2
152	65.0	67.2
153	64.1	67.2
154	58.8	67.1
155	54.0	67.1
156	49.8	67.0
157	46.7	67.0
158	45.0	67.0
159	45.3	67.0
160	47.5	67.0
161	50.6	67.0
162	51.5	67.0
163	52.3	67.0
164	53.2	67.0
165	54.0	67.0
166	54.9	66.8
167	56.0	66.8
168	56.8	66.8
169	47.3	66.8
170	48.4	66.7
171	49.8	66.7
172	50.6	66.5
173	51.5	66.5
174	52.3	66.4
175	52.9	66.4
176	64.7	66.4
177	64.7	66.3
178	62.7	66.3
179	61.9	66.2
180	62.2	66.2
181	62.2	66.2
182	59.6	66.2
183	58.5	66.2
184	58.2	66.1
185	59.6	66.1
186	60.8	66.1
187	61.9	66.1
188	62.7	66.1
189	63.9	66.1
190	64.7	66.1
191	65.8	66.1
192	67.0	66.1
193	56.3	65.9
194	56.8	65.9
195	57.4	65.9
196	57.7	65.8
197	58.0	65.8
198	58.5	65.8
199	58.8	65.8
200	70.0	65.6
201	69.8	65.6
202	67.5	65.6
203	65.5	65.6
204	63.9	65.5
205	62.7	65.5
206	62.5	65.5
207	62.2	65.5
208	63.0	65.5
209	64.7	65.5
210	65.0	65.4
211	65.3	65.4
212	66.1	65.4
213	66.1	65.4
214	66.1	65.3
215	66.4	65.3
216	67.0	65.3
217	55.7	65.3
218	55.7	65.3
219	56.0	65.3
220	56.0	65.1
221	56.0	65.1
222	56.0	65.0
223	56.0	65.0
224	67.2	65.0
225	67.0	65.0
226	64.7	65.0
227	62.5	65.0
228	60.8	64.8
229	59.9	64.8
230	59.1	64.8
231	59.1	64.8
232	59.6	64.8
233	61.0	64.7
234	61.6	64.7
235	62.2	64.7
236	63.3	64.7
237	62.5	64.7
238	63.0	64.7
239	63.3	64.7
240	63.6	64.7
241	52.9	64.7
242	53.2	64.5
243	53.4	64.5
244	53.7	64.5
245	53.7	64.5
246	53.7	64.5
247	53.7	64.4
248	65.3	64.4
249	64.7	64.4
250	60.8	64.2
251	57.1	64.2
252	53.7	64.2
253	51.5	64.2
254	50.1	64.1
255	49.8	64.1
256	50.9	63.9
257	53.2	63.9
258	54.9	63.9
259	56.5	63.9
260	58.0	63.9
261	59.6	63.9
262	61.3	63.9
263	63.0	63.9
264	64.4	63.9
265	56.3	63.7
266	60.2	63.7
267	63.9	63.7
268	66.1	63.7
269	68.1	63.7
270	70.3	63.6
271	72.0	63.6
272	85.0	63.6
273	84.7	63.6
274	82.7	63.4
275	80.7	63.4
276	78.2	63.4
277	77.4	63.4
278	78.8	63.4
279	79.6	63.3
280	81.0	63.3
281	83.6	63.3
282	84.1	63.3
283	85.0	63.3
284	85.8	63.3
285	86.4	63.1
286	87.2	63.1
287	88.1	63.1
288	88.6	63.1
289	76.2	63.1
290	75.4	63.1
291	72.3	63.0
292	70.9	63.0
293	69.8	63.0
294	68.6	63.0
295	67.8	63.0
296	78.2	62.9
297	77.4	62.9
298	73.7	62.8
299	70.3	62.8
