# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	19.9	93.6
2	21.4	93.0
3	22.9	92.1
4	23.5	91.3
5	24.1	90.7
6	24.7	89.8
7	25.0	89.8
8	37.2	89.5
9	36.6	88.9
10	32.4	88.3
11	28.5	87.4
12	25.3	85.6
13	23.2	85.4
14	22.0	85.3
15	22.0	85.0
16	23.5	84.7
17	25.6	84.1
18	27.6	83.6
19	29.4	83.2
20	31.2	82.7
21	33.0	82.7
22	34.8	82.7
23	36.9	82.6
24	38.6	82.6
25	30.3	82.3
26	34.5	81.8
27	38.3	81.7
28	40.7	81.7
29	42.8	81.5
30	45.2	81.4
31	46.7	81.1
32	60.3	81.1
33	60.3	81.1
34	55.0	81.1
35	50.5	80.9
36	46.4	80.6
37	44.0	80.6
38	42.8	80.6
39	42.8	80.6
40	45.2	80.6
41	49.0	80.6
42	50.5	80.3
43	52.0	80.0
44	53.5	80.0
45	54.7	79.7
46	56.2	79.4
47	57.7	79.4
48	59.2	79.4
49	47.0	79.4
50	46.4	79.1
51	45.8	79.1
52	45.5	79.1
53	45.2	79.1
54	44.9	78.8
55	44.6	78.8
56	56.2	78.5
57	55.6	78.5
58	50.8	78.2
59	46.7	78.2
60	44.0	78.2
61	41.9	77.9
62	40.7	77.9
63	40.7	77.9
64	41.9	77.9
65	44.3	77.8
66	45.2	77.6
67	45.8	77.6
68	46.4	77.6
69	47.0	77.6
70	47.9	77.3
71	48.5	77.0
72	49.0	77.0
73	38.3	77.0
74	40.4	76.7
75	41.6	76.7
76	42.2	76.7
77	43.1	76.4
78	43.7	76.4
79	44.3	76.4
80	56.8	76.4
81	56.8	76.1
82	55.3	75.8
83	54.1	75.8
84	53.5	75.5
85	53.2	75.5
86	52.9	75.5
87	53.2	75.3
88	53.8	75.2
89	54.7	75.2
90	55.6	75.2
91	56.2	74.9
92	57.1	74.9
93	57.7	74.9
94	58.6	74.7
95	59.5	74.6
96	61.2	74.6
97	48.5	74.3
98	48.5	74.3
99	48.5	74.3
100	48.7	74.0
101	48.5	74.0
102	48.5	74.0
103	48.5	74.0
104	60.3	73.9
105	60.0	73.9
106	57.7	73.7
107	55.3	73.7
108	53.2	73.6
109	52.0	73.6
110	51.1	73.6
111	50.8	73.6
112	51.7	73.4
113	53.2	73.3
114	54.1	73.3
115	55.0	73.3
116	55.9	73.3
117	56.8	73.3
118	58.0	73.3
119	58.6	73.1
120	60.3	73.1
121	48.7	73.0
122	50.2	73.0
123	51.7	73.0
124	52.6	72.8
125	53.2	72.7
126	53.8	72.7
127	54.4	72.5
128	66.9	72.5
129	66.9	72.4
130	65.1	72.4
131	63.3	72.4
132	62.1	72.2
133	61.2	72.1
134	60.9	72.1
135	60.9	71.9
136	61.5	71.9
137	63.0	71.9
138	63.6	71.6
139	64.5	71.6
140	65.1	71.6
141	66.0	71.5
142	66.9	71.5
143	67.5	71.5
144	68.4	71.4
145	56.5	71.3
146	56.8	71.3
147	56.8	71.2
148	56.8	71.2
149	56.8	71.2
150	56.8	71.1
151	56.8	71.0
152	68.7	71.0
153	67.8	71.0
154	62.1	70.9
155	57.1	70.9
156	52.6	70.7
157	49.3	70.7
158	47.6	70.7
159	47.9	70.7
160	50.2	70.7
161	53.5	70.7
162	54.4	70.7
163	55.3	70.7
164	56.2	70.7
165	57.1	70.7
166	58.0	70.6
167	59.2	70.6
168	60.0	70.6
169	49.9	70.6
170	51.1	70.4
171	52.6	70.4
172	53.5	70.3
173	54.4	70.3
174	55.3	70.2
175	55.9	70.2
176	68.4	70.2
177	68.4	70.0
178	66.3	70.0
179	65.4	70.0
180	65.7	70.0
181	65.7	70.0
182	63.0	70.0
183	61.8	70.0
184	61.5	69.9
185	63.0	69.9
186	64.2	69.9
187	65.4	69.9
188	66.3	69.9
189	67.5	69.9
190	68.4	69.8
191	69.6	69.8
192	70.7	69.8
193	59.5	69.7
194	60.0	69.7
195	60.6	69.7
196	60.9	69.6
197	61.2	69.6
198	61.8	69.5
199	62.1	69.5
200	74.0	69.4
201	73.7	69.4
202	71.3	69.4
203	69.3	69.4
204	67.5	69.3
205	66.3	69.3
206	66.0	69.3
207	65.7	69.3
208	66.6	69.2
209	68.4	69.2
210	68.7	69.1
211	69.0	69.1
212	69.9	69.1
213	69.9	69.1
214	69.9	69.0
215	70.2	69.0
216	70.7	69.0
217	58.9	68.9
218	58.9	68.9
219	59.2	68.9
220	59.2	68.8
221	59.2	68.8
222	59.2	68.7
223	59.2	68.7
224	71.0	68.7
225	70.7	68.7
226	68.4	68.6
227	66.0	68.6
228	64.2	68.5
229	63.3	68.5
230	62.4	68.4
231	62.4	68.4
232	63.0	68.4
233	64.5	68.4
234	65.1	68.4
235	65.7	68.4
236	66.9	68.4
237	66.0	68.4
238	66.6	68.4
239	66.9	68.4
240	67.2	68.4
241	55.9	68.4
242	56.2	68.2
243	56.5	68.2
244	56.8	68.2
245	56.8	68.2
246	56.8	68.1
247	56.8	68.1
248	69.0	68.1
249	68.4	68.1
250	64.2	67.9
251	60.3	67.9
252	56.8	67.8
253	54.4	67.8
254	52.9	67.8
255	52.6	67.8
256	53.8	67.6
257	56.2	67.6
258	58.0	67.5
259	59.7	67.5
260	61.2	67.5
261	63.0	67.5
262	64.8	67.5
263	66.6	67.5
264	68.1	67.5
265	59.5	67.3
266	63.6	67.3
267	67.5	67.3
268	69.9	67.3
269	71.9	67.3
270	74.3	67.2
271	76.1	67.2
272	89.8	67.2
273	89.5	67.2
274	87.4	67.0
275	85.3	67.0
276	82.6	67.0
277	81.7	67.0
278	83.2	67.0
279	84.1	66.9
280	85.6	66.9
281	88.3	66.9
282	88.9	66.9
283	89.8	66.9
284	90.7	66.9
285	91.3	66.7
286	92.1	66.7
287	93.0	66.7
288	93.6	66.7
289	80.6	66.7
290	79.7	66.7
291	76.4	66.6
292	74.9	66.6
293	73.7	66.6
294	72.5	66.6
295	71.6	66.6
296	82.6	66.4
297	81.7	66.4
298	77.9	66.4
299	74.3	66.4
300	71.6	66.4
301	69.6	66.3
302	68.7	66.3
303	68.4	66.3
304	69.3	66.3
305	71.0	66.1
306	70.7	66.1
307	70.7	66.1
308	70.7	66.1
309	70.7	66.1
310	71.0	66.1
311	70.4	66.1
312	70.4	66.0
313	59.7	66.0
314	60.9	66.0
315	62.1	66.0
316	62.7	66.0
317	63.6	65.9
318	64.2	65.9
319	64.8	65.8
320	77.0	65.8
321	77.0	65.8
322	75.5	65.7
323	73.1	65.7
324	71.6	65.7
325	70.7	65.7
326	70.2	65.7
327	70.2	65.7
328	70.7	65.7
329	71.9	65.5
330	73.4	65.5
331	74.3	65.5
332	75.5	65.5
333	76.7	65.4
334	77.6	65.4
335	78.8	65.2
336	80.0	65.2
337	69.9	65.2
338	69.9	65.2
339	70.7	65.2
340	71.3	65.1
341	71.9	65.1
342	72.2	65.1
343	72.8	65.1
344	85.0	65.1
345	84.7	65.0
346	82.3	64.9
347	80.6	64.9
348	79.1	64.9
349	77.9	64.8
350	77.6	64.8
351	78.2	64.8
352	79.1	64.8
353	80.3	64.8
354	80.6	64.6
355	80.6	64.6
356	80.9	64.6
357	81.1	64.6
358	81.1	64.6
359	81.1	64.6
360	81.4	64.6
361	69.3	64.5
362	69.0	64.5
363	68.7	64.5
364	68.1	64.5
365	67.8	64.4
366	67.5	64.3
367	67.2	64.3
368	78.8	64.3
369	78.2	64.3
370	77.0	64.3
371	75.8	64.2
372	74.9	64.2
373	74.0	64.2
374	66.9	64.2
375	63.0	64.2
376	61.8	64.2
377	64.2	64.2
378	64.8	64.2
379	65.1	64.2
380	65.7	64.0
381	66.3	64.0
382	66.6	64.0
