# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	19.6	92.4
2	21.1	91.8
3	22.6	90.9
4	23.2	90.0
5	23.8	89.4
6	24.3	88.6
7	24.6	88.6
8	36.7	88.3
9	36.1	87.7
10	32.0	87.1
11	28.2	86.2
12	24.9	84.5
13	22.9	84.3
14	21.7	84.2
15	21.7	83.9
16	23.2	83.6
17	25.2	83.0
18	27.3	82.6
19	29.0	82.1
20	30.8	81.7
21	32.6	81.7
22	34.3	81.7
23	36.4	81.5
24	38.1	81.5
25	29.9	81.2
26	34.0	80.8
27	37.8	80.7
28	40.2	80.7
29	42.2	80.5
30	44.6	80.4
31	46.0	80.1
32	59.5	80.1
33	59.5	80.1
34	54.3	79.8
35	49.9	79.6
36	45.8	79.5
37	43.4	79.5
38	42.2	79.5
39	42.2	79.5
40	44.6	79.5
41	48.4	79.2
42	49.9	78.9
43	51.3	78.9
44	52.8	78.7
45	54.0	78.6
46	55.4	78.4
47	56.9	78.4
48	58.4	78.1
49	46.3	78.1
50	45.8	78.0
51	45.2	78.0
52	44.9	77.7
53	44.6	77.7
54	44.3	77.5
55	44.0	77.5
56	55.4	77.2
57	54.8	77.1
58	50.1	77.1
59	46.0	77.1
60	43.4	77.1
61	41.4	76.9
62	40.2	76.9
63	40.2	76.8
64	41.4	76.8
65	43.7	76.6
66	44.6	76.6
67	45.2	76.5
68	45.8	76.5
69	46.3	76.3
70	47.2	76.0
71	47.8	76.0
72	48.4	76.0
73	37.8	75.7
74	39.9	75.7
75	41.1	75.7
76	41.6	75.5
77	42.5	75.4
78	43.1	75.4
79	43.7	75.4
80	56.0	75.1
81	56.0	74.8
82	54.5	74.8
83	53.4	74.5
84	52.8	74.5
85	52.5	74.5
86	52.2	74.2
87	52.5	74.2
88	53.1	74.2
89	54.0	74.1
90	54.8	73.9
91	55.4	73.9
92	56.3	73.9
93	56.9	73.6
94	57.8	73.6
95	58.7	73.3
96	60.4	73.3
97	47.8	73.3
98	47.8	73.0
99	47.8	73.0
100	48.1	73.0
101	47.8	73.0
102	47.8	73.0
103	47.8	73.0
104	59.5	73.0
105	59.2	72.8
106	56.9	72.8
107	54.5	72.8
108	52.5	72.8
109	51.3	72.7
110	50.4	72.7
111	50.1	72.5
112	51.0	72.5
113	52.5	72.5
114	53.4	72.5
115	54.3	72.5
116	55.1	72.5
117	56.0	72.5
118	57.2	72.4
119	57.8	72.2
120	59.5	72.2
121	48.1	72.2
122	49.6	72.1
123	51.0	71.9
124	51.9	71.9
125	52.5	71.9
126	53.1	71.6
127	53.7	71.6
128	66.0	71.6
129	66.0	71.6
130	64.2	71.3
131	62.5	71.3
132	61.3	71.3
133	60.4	71.0
134	60.1	71.0
135	60.1	71.0
136	60.7	70.9
137	62.2	70.7
138	62.8	70.7
139	63.6	70.7
140	64.2	70.7
141	65.1	70.7
142	66.0	70.7
143	66.6	70.4
144	67.5	70.4
145	55.7	70.4
146	56.0	70.4
147	56.0	70.4
148	56.0	70.4
149	56.0	70.1
150	56.0	70.1
151	56.0	70.1
152	67.7	70.1
153	66.9	70.1
154	61.3	69.8
155	56.3	69.8
156	51.9	69.8
157	48.7	69.8
158	46.9	69.8
159	47.2	69.8
160	49.6	69.8
161	52.8	69.8
162	53.7	69.8
163	54.5	69.8
164	55.4	69.8
165	56.3	69.8
166	57.2	69.8
167	58.4	69.5
168	59.2	69.5
169	49.3	69.5
170	50.4	69.5
171	51.9	69.3
172	52.8	69.2
173	53.7	69.2
174	54.5	69.2
175	55.1	69.2
176	67.5	69.2
177	67.5	69.2
178	65.4	69.2
179	64.5	69.2
180	64.8	69.0
181	64.8	68.9
182	62.2	68.9
183	61.0	68.9
184	60.7	68.9
185	62.2	68.9
186	63.3	68.9
187	64.5	68.9
188	65.4	68.9
189	66.6	68.9
190	67.5	68.6
191	68.6	68.6
192	69.8	68.6
193	58.7	68.6
194	59.2	68.6
195	59.8	68.6
196	60.1	68.5
197	60.4	68.3
198	61.0	68.3
199	61.3	68.3
200	73.0	68.3
201	72.7	68.3
202	70.4	68.3
203	68.3	68.3
204	66.6	68.3
205	65.4	68.0
206	65.1	68.0
207	64.8	68.0
208	65.7	68.0
209	67.5	68.0
210	67.7	67.9
211	68.0	67.9
212	68.9	67.7
213	68.9	67.7
214	68.9	67.7
215	69.2	67.7
216	69.8	67.7
217	58.1	67.7
218	58.1	67.7
219	58.4	67.7
220	58.4	67.7
221	58.4	67.5
222	58.4	67.5
223	58.4	67.5
224	70.1	67.5
225	69.8	67.5
226	67.5	67.5
227	65.1	67.5
228	63.3	67.5
229	62.5	67.5
230	61.6	67.4
231	61.6	67.4
232	62.2	67.4
233	63.6	67.4
234	64.2	67.4
235	64.8	67.4
236	66.0	67.2
237	65.1	67.2
238	65.7	67.2
239	66.0	67.1
240	66.3	67.1
241	55.1	67.1
242	55.4	67.1
243	55.7	66.9
244	56.0	66.9
245	56.0	66.9
246	56.0	66.9
247	56.0	66.9
248	68.0	66.8
249	67.5	66.8
250	63.3	66.6
251	59.5	66.6
252	56.0	66.6
253	53.7	66.6
254	52.2	66.6
255	51.9	66.6
256	53.1	66.6
257	55.4	66.6
258	57.2	66.6
259	58.9	66.5
260	60.4	66.5
261	62.2	66.5
262	63.9	66.5
263	65.7	66.5
264	67.2	66.3
265	58.7	66.3
266	62.8	66.3
267	66.6	66.3
268	68.9	66.3
269	71.0	66.3
270	73.3	66.3
271	75.1	66.2
272	88.6	66.2
273	88.3	66.2
274	86.2	66.2
