Hours;Heat demand [kWh / h]
1,00;201.171,31
25,00;345.619,77
49,00;331.762,54
73,00;370.703,11
97,00;382.455,45
121,00;434.113,10
145,00;403.241,29
169,00;444.549,87
193,00;476.737,23
217,00;456.302,20
241,00;424.377,95
265,00;587.858,18
289,00;522.869,53
313,00;506.030,36
337,00;555.583,11
361,00;492.085,43
385,00;412.888,73
409,00;363.335,98
433,00;323.342,96
457,00;338.603,46
481,00;262.564,10
505,00;247.654,42
529,00;314.660,27
553,00;464.283,27
577,00;395.084,82
601,00;291.594,12
625,00;300.452,22
649,00;354.740,99
673,00;307.643,95
697,00;276.684,44
721,00;224.675,98
745,00;206.407,61
769,00;228.615,14
793,00;302.856,36
817,00;416.892,83
841,00;336.735,00
865,00;361.536,11
889,00;328.305,87
913,00;406.842,71
937,00;428.077,64
961,00;389.336,04
985,00;370.775,74
1.009,00;396.306,29
1.033,00;311.204,45
1.057,00;469.007,57
1.081,00;449.474,68
1.105,00;353.431,17
1.129,00;294.994,57
1.153,00;378.637,52
1.177,00;317.931,55
1.201,00;264.682,11
1.225,00;176.095,15
1.249,00;189.144,09
1.273,00;279.027,85
1.297,00;271.895,50
1.321,00;287.943,28
1.345,00;343.543,15
1.369,00;259.413,90
1.393,00;248.958,53
1.417,00;189.563,41
1.441,00;195.274,79
1.465,00;229.048,85
1.489,00;249.423,11
1.513,00;242.448,63
1.537,00;218.010,50
1.561,00;222.843,21
1.585,00;285.229,10
1.609,00;267.381,02
1.633,00;235.474,15
1.657,00;206.532,81
1.681,00;211.804,86
1.705,00;200.656,67
1.729,00;183.961,86
1.753,00;172.648,92
1.777,00;163.752,34
1.801,00;84.177,56
1.825,00;141.016,63
1.849,00;147.441,94
1.873,00;177.811,13
1.897,00;168.200,63
1.921,00;132.888,89
1.945,00;154.361,50
1.969,00;138.106,02
1.993,00;150.956,64
2.017,00;159.578,64
2.041,00;113.722,80
2.065,00;105.759,84
2.089,00;130.637,29
2.113,00;122.015,30
2.137,00;94.721,47
2.161,00;59.746,91
2.185,00;55.676,91
2.209,00;79.839,90
2.233,00;48.650,79
2.257,00;24.744,80
2.281,00;30.678,41
2.305,00;19.234,95
2.329,00;21.703,03
2.353,00;27.936,52
2.377,00;4.026,75
2.401,00;1.234,21
2.425,00;32.777,78
2.449,00;35.583,95
2.473,00;38.025,95
2.497,00;45.351,95
2.521,00;51.628,32
2.545,00;40.960,62
2.569,00;61.867,60
2.593,00;72.299,67
2.617,00;66.194,66
2.641,00;68.957,98
2.665,00;58.033,23
2.689,00;49.657,58
2.713,00;64.116,82
2.737,00;46.551,52
2.761,00;47.322,68
2.785,00;43.124,15
2.809,00;53.813,27
2.833,00;75.619,94
2.857,00;84.638,22
2.881,00;0,00
2.905,00;0,00
2.929,00;0,00
2.953,00;0,00
2.977,00;0,00
3.001,00;0,00
3.025,00;0,00
3.049,00;0,00
3.073,00;0,00
3.097,00;0,00
3.121,00;0,00
3.145,00;0,00
3.169,00;0,00
3.193,00;0,00
3.217,00;0,00
3.241,00;0,00
3.265,00;0,00
3.289,00;0,00
3.313,00;0,00
3.337,00;0,00
3.361,00;0,00
3.385,00;0,00
3.409,00;0,00
3.433,00;0,00
3.457,00;0,00
3.481,00;0,00
3.505,00;0,00
3.529,00;0,00
3.553,00;0,00
3.577,00;0,00
3.601,00;0,00
3.625,00;0,00
3.649,00;0,00
3.673,00;0,00
3.697,00;0,00
3.721,00;0,00
3.745,00;0,00
3.769,00;0,00
3.793,00;0,00
3.817,00;0,00
3.841,00;0,00
3.865,00;0,00
3.889,00;0,00
3.913,00;0,00
3.937,00;0,00
3.961,00;0,00
3.985,00;0,00
4.009,00;0,00
4.033,00;0,00
4.057,00;0,00
4.081,00;0,00
4.105,00;0,00
4.129,00;0,00
4.153,00;0,00
4.177,00;0,00
4.201,00;0,00
4.225,00;0,00
4.249,00;0,00
4.273,00;0,00
4.297,00;0,00
4.321,00;0,00
4.345,00;0,00
4.369,00;0,00
4.393,00;0,00
4.417,00;0,00
4.441,00;0,00
4.465,00;0,00
4.489,00;0,00
4.513,00;0,00
4.537,00;0,00
4.561,00;0,00
4.585,00;0,00
4.609,00;0,00
4.633,00;0,00
4.657,00;0,00
4.681,00;0,00
4.705,00;0,00
4.729,00;0,00
4.753,00;0,00
4.777,00;0,00
4.801,00;0,00
4.825,00;0,00
4.849,00;0,00
4.873,00;0,00
4.897,00;0,00
4.921,00;0,00
4.945,00;0,00
4.969,00;0,00
4.993,00;0,00
5.017,00;0,00
5.041,00;0,00
5.065,00;0,00
5.089,00;0,00
5.113,00;0,00
5.137,00;0,00
5.161,00;0,00
5.185,00;0,00
5.209,00;0,00
5.233,00;0,00
5.257,00;0,00
5.281,00;0,00
5.305,00;0,00
5.329,00;0,00
5.353,00;0,00
5.377,00;0,00
5.401,00;0,00
5.425,00;0,00
5.449,00;0,00
5.473,00;0,00
5.497,00;0,00
5.521,00;0,00
5.545,00;0,00
5.569,00;0,00
5.593,00;0,00
5.617,00;0,00
5.641,00;0,00
5.665,00;0,00
5.689,00;0,00
5.713,00;0,00
5.737,00;0,00
5.761,00;0,00
5.785,00;0,00
5.809,00;0,00
5.833,00;0,00
5.857,00;0,00
5.881,00;0,00
5.905,00;0,00
5.929,00;0,00
5.953,00;0,00
5.977,00;0,00
6.001,00;0,00
6.025,00;0,00
6.049,00;0,00
6.073,00;0,00
6.097,00;0,00
6.121,00;0,00
6.145,00;0,00
6.169,00;0,00
6.193,00;0,00
6.217,00;0,00
6.241,00;0,00
6.265,00;0,00
6.289,00;0,00
6.313,00;0,00
6.337,00;0,00
6.361,00;0,00
6.385,00;0,00
6.409,00;0,00
6.433,00;0,00
6.457,00;0,00
6.481,00;0,00
6.505,00;0,00
6.529,00;0,00
6.553,00;149.177,30
6.577,00;168.139,59
6.601,00;139.778,60
6.625,00;113.890,95
6.649,00;105.316,70
6.673,00;93.664,55
6.697,00;83.675,58
6.721,00;101.304,39
6.745,00;78.549,43
6.769,00;44.197,66
6.793,00;6.532,39
6.817,00;55.080,30
6.841,00;60.411,70
6.865,00;68.711,08
6.889,00;71.349,30
6.913,00;108.504,56
6.937,00;91.191,17
6.961,00;98.116,53
6.985,00;124.333,95
7.009,00;75.416,55
7.033,00;86.244,49
7.057,00;119.607,12
7.081,00;145.000,10
7.105,00;130.215,01
7.129,00;176.548,95
7.153,00;201.007,55
7.177,00;185.837,72
7.201,00;217.056,79
7.225,00;155.553,02
7.249,00;134.447,17
7.273,00;160.060,00
7.297,00;345.480,54
7.321,00;336.186,32
7.345,00;322.840,77
7.369,00;316.167,99
7.393,00;266.837,12
7.417,00;273.907,08
7.441,00;259.846,59
7.465,00;202.810,25
7.489,00;181.520,91
7.513,00;156.974,63
7.537,00;143.708,52
7.561,00;209.165,27
7.585,00;236.730,19
7.609,00;243.800,15
7.633,00;294.402,03
7.657,00;254.524,26
7.681,00;251.505,62
7.705,00;287.014,32
7.729,00;170.876,25
7.753,00;194.389,84
7.777,00;229.819,10
7.801,00;223.702,39
7.825,00;216.950,18
7.849,00;308.939,15
7.873,00;258.575,58
7.897,00;280.579,86
7.921,00;302.266,38
7.945,00;357.078,46
7.969,00;384.961,13
7.993,00;371.536,14
8.017,00;375.881,93
8.041,00;429.523,03
8.065,00;288.693,02
8.089,00;295.508,81
8.113,00;359.860,42
8.137,00;390.929,77
8.161,00;367.738,40
8.185,00;344.104,45
8.209,00;406.862,76
8.233,00;352.867,60
8.257,00;437.046,94
8.281,00;328.437,00
8.305,00;383.405,85
8.329,00;312.326,97
8.353,00;274.353,33
8.377,00;209.470,61
8.401,00;302.413,11
8.425,00;230.626,10
8.449,00;249.480,14
8.473,00;263.288,74
8.497,00;446.164,16
8.521,00;337.731,25
8.545,00;421.379,50
8.569,00;513.436,82
8.593,00;539.195,17
8.617,00;486.881,82
8.641,00;472.896,19
8.665,00;459.707,21
8.689,00;399.161,81
8.713,00;320.647,54
8.737,00;414.121,13
1,00;72.301,75
25,00;124.130,99
49,00;119.158,91
73,00;133.131,09
97,00;137.347,92
121,00;155.883,08
145,00;144.806,04
169,00;159.627,88
193,00;171.176,96
217,00;163.844,71
241,00;152.390,04
265,00;211.048,02
289,00;187.729,58
313,00;181.687,56
337,00;199.467,47
361,00;176.684,01
385,00;148.267,61
409,00;130.487,70
433,00;116.137,89
457,00;121.613,48
481,00;94.329,96
505,00;88.980,26
529,00;113.022,48
553,00;166.708,37
577,00;141.879,43
601,00;104.746,16
625,00;107.924,52
649,00;127.403,75
673,00;110.504,97
697,00;99.396,45
721,00;80.735,41
745,00;74.953,74
769,00;83.008,50
793,00;109.936,11
817,00;151.297,62
841,00;122.224,03
865,00;131.219,50
889,00;119.166,75
913,00;147.652,40
937,00;155.354,40
961,00;141.302,65
985,00;134.570,75
1.009,00;143.830,79
1.033,00;112.963,99
1.057,00;170.199,86
1.081,00;163.115,19
1.105,00;128.279,81
1.129,00;107.084,60
1.153,00;137.422,26
1.177,00;115.403,94
1.201,00;96.090,14
