# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.9	84.1
2	19.2	83.5
3	20.6	82.7
4	21.1	81.9
5	21.6	81.4
6	22.2	80.6
7	22.4	80.6
8	33.4	80.3
9	32.8	79.8
10	29.1	79.3
11	25.6	78.5
12	22.7	76.9
13	20.8	76.6
14	19.8	76.4
15	19.8	76.3
16	21.1	76.1
17	23.0	75.5
18	24.8	74.7
19	26.4	74.7
20	28.0	74.2
21	29.6	74.2
22	31.2	73.9
23	33.1	73.9
24	34.7	73.9
25	27.2	73.9
26	31.0	73.9
27	34.4	73.4
28	36.6	73.4
29	38.4	73.1
30	40.6	73.1
31	41.9	72.9
32	54.2	72.9
33	54.2	72.9
34	49.4	72.9
35	45.4	72.6
36	41.6	72.4
37	39.5	72.4
38	38.4	72.3
39	38.4	72.3
40	40.6	72.3
41	44.0	72.3
42	45.4	72.3
43	46.7	72.1
44	48.0	72.1
45	49.1	71.8
46	50.4	71.8
47	51.8	71.5
48	53.1	71.0
49	42.2	71.0
50	41.6	71.0
51	41.1	71.0
52	40.8	70.8
53	40.6	70.7
54	40.3	70.7
55	40.0	70.7
56	50.4	70.7
57	49.9	70.2
58	45.6	70.2
59	41.9	70.2
60	39.5	70.2
61	37.6	69.9
62	36.6	69.9
63	36.6	69.9
64	37.6	69.7
65	39.8	69.7
66	40.6	69.6
67	41.1	69.6
68	41.6	69.6
69	42.2	69.4
70	43.0	69.4
71	43.5	69.1
72	44.0	69.1
73	34.4	69.1
74	36.3	69.1
75	37.4	68.9
76	37.9	68.6
77	38.7	68.6
78	39.2	68.6
79	39.8	68.6
80	51.0	68.3
81	51.0	68.3
82	49.6	68.3
83	48.6	68.1
84	48.0	68.1
85	47.8	67.8
86	47.5	67.8
87	47.8	67.7
88	48.3	67.5
89	49.1	67.3
90	49.9	67.3
91	50.4	67.2
92	51.2	67.2
93	51.8	67.2
94	52.6	67.0
95	53.4	66.9
96	55.0	66.7
97	43.5	66.7
98	43.5	66.7
99	43.5	66.7
100	43.8	66.6
101	43.5	66.5
102	43.5	66.5
103	43.5	66.5
104	54.2	66.5
105	53.9	66.2
106	51.8	66.2
107	49.6	66.1
108	47.8	66.1
109	46.7	66.1
110	45.9	65.9
111	45.6	65.9
112	46.4	65.9
113	47.8	65.9
114	48.6	65.9
115	49.4	65.7
116	50.2	65.6
117	51.0	65.6
118	52.0	65.6
119	52.6	65.6
120	54.2	65.6
121	43.8	65.6
122	45.1	65.4
123	46.4	65.3
124	47.2	65.3
125	47.8	65.3
126	48.3	65.1
127	48.8	65.1
128	60.1	65.1
129	60.1	65.0
130	58.4	64.9
131	56.8	64.8
132	55.8	64.8
133	55.0	64.8
134	54.7	64.8
135	54.7	64.6
136	55.2	64.6
137	56.6	64.6
138	57.1	64.5
139	57.9	64.5
140	58.4	64.3
141	59.3	64.3
142	60.1	64.3
143	60.6	64.3
144	61.4	64.1
145	50.7	64.1
146	51.0	64.0
147	51.0	64.0
148	51.0	64.0
149	51.0	63.8
150	51.0	63.8
151	51.0	63.8
152	61.7	63.8
153	60.9	63.8
154	55.8	63.7
155	51.2	63.7
156	47.2	63.7
157	44.3	63.5
158	42.7	63.5
159	43.0	63.5
160	45.1	63.5
161	48.0	63.5
162	48.8	63.5
163	49.6	63.5
164	50.4	63.5
165	51.2	63.5
166	52.0	63.5
167	53.1	63.5
168	53.9	63.5
169	44.8	63.5
170	45.9	63.4
171	47.2	63.4
172	48.0	63.3
173	48.8	63.3
174	49.6	63.3
175	50.2	63.3
176	61.4	63.2
177	61.4	63.2
178	59.5	63.2
179	58.7	63.0
180	59.0	63.0
181	59.0	63.0
182	56.6	63.0
183	55.5	63.0
184	55.2	62.9
185	56.6	62.9
186	57.6	62.8
187	58.7	62.8
188	59.5	62.8
189	60.6	62.7
190	61.4	62.7
191	62.5	62.7
192	63.5	62.7
193	53.4	62.7
194	53.9	62.7
195	54.4	62.6
196	54.7	62.6
197	55.0	62.6
198	55.5	62.6
199	55.8	62.6
200	66.5	62.5
201	66.2	62.5
202	64.1	62.5
203	62.2	62.5
204	60.6	62.4
205	59.5	62.4
206	59.3	62.4
207	59.0	62.3
208	59.8	62.3
209	61.4	62.3
210	61.7	62.2
211	61.9	62.2
212	62.7	62.2
213	62.7	62.2
214	62.7	62.1
215	63.0	62.1
216	63.5	62.1
217	52.8	62.1
218	52.8	62.0
219	53.1	61.9
220	53.1	61.9
221	53.1	61.9
222	53.1	61.8
223	53.1	61.8
224	63.8	61.8
225	63.5	61.8
226	61.4	61.8
227	59.3	61.8
228	57.6	61.7
229	56.8	61.7
230	56.0	61.7
231	56.0	61.7
232	56.6	61.6
233	57.9	61.6
234	58.4	61.4
235	59.0	61.4
236	60.1	61.4
237	59.3	61.4
238	59.8	61.4
239	60.1	61.4
240	60.3	61.4
241	50.2	61.4
242	50.4	61.4
243	50.7	61.3
244	51.0	61.3
245	51.0	61.1
